GPU acceleration enabled
Loading Setup File: setup_files/dynamic_1.py
using given n: 0
Starting SourceModule Code
Getting function
Past the SourceModule code
CUDAC Available
Running Nested Sampling
-initializing models
-Running dynesty dynamic sampler
iter: 38 | batch: 0 | bound: 0 | nc: 10 | ncall: 91 | eff(%): 31.405 | logz: -122517.676 +/-  0.418 | dlogz: 110525.191 >  5.000 
iter: 39 | batch: 0 | bound: 0 | nc: 1 | ncall: 92 | eff(%): 31.967 | logz: -120479.737 +/-  0.420 | dlogz: 109535.846 >  5.000 
iter: 40 | batch: 0 | bound: 0 | nc: 3 | ncall: 95 | eff(%): 32.000 | logz: -119861.833 +/-  0.421 | dlogz: 107497.874 >  5.000 
iter: 41 | batch: 0 | bound: 0 | nc: 2 | ncall: 97 | eff(%): 32.283 | logz: -119792.841 +/-  0.422 | dlogz: 106879.937 >  5.000 
iter: 42 | batch: 0 | bound: 0 | nc: 22 | ncall: 119 | eff(%): 28.188 | logz: -119607.546 +/-  0.424 | dlogz: 106810.913 >  5.000 
iter: 43 | batch: 0 | bound: 0 | nc: 1 | ncall: 120 | eff(%): 28.667 | logz: -117281.206 +/-  0.425 | dlogz: 106625.584 >  5.000 
iter: 44 | batch: 0 | bound: 0 | nc: 13 | ncall: 133 | eff(%): 26.994 | logz: -116464.688 +/-  0.426 | dlogz: 104299.212 >  5.000 
iter: 45 | batch: 0 | bound: 0 | nc: 14 | ncall: 147 | eff(%): 25.424 | logz: -116304.769 +/-  0.427 | dlogz: 103482.661 >  5.000 
iter: 46 | batch: 0 | bound: 0 | nc: 4 | ncall: 151 | eff(%): 25.414 | logz: -115860.777 +/-  0.429 | dlogz: 103322.709 >  5.000 
iter: 47 | batch: 0 | bound: 0 | nc: 8 | ncall: 159 | eff(%): 24.868 | logz: -115814.561 +/-  0.430 | dlogz: 102878.685 >  5.000 
iter: 48 | batch: 0 | bound: 0 | nc: 6 | ncall: 165 | eff(%): 24.615 | logz: -114494.059 +/-  0.431 | dlogz: 102832.436 >  5.000 
iter: 49 | batch: 0 | bound: 0 | nc: 4 | ncall: 169 | eff(%): 24.623 | logz: -114338.790 +/-  0.432 | dlogz: 101511.901 >  5.000 
iter: 50 | batch: 0 | bound: 0 | nc: 4 | ncall: 173 | eff(%): 24.631 | logz: -114263.307 +/-  0.434 | dlogz: 101356.600 >  5.000 
iter: 51 | batch: 0 | bound: 0 | nc: 2 | ncall: 175 | eff(%): 24.878 | logz: -113261.903 +/-  0.435 | dlogz: 101281.083 >  5.000 
iter: 52 | batch: 0 | bound: 0 | nc: 6 | ncall: 181 | eff(%): 24.645 | logz: -111910.184 +/-  0.436 | dlogz: 100279.646 >  5.000 
iter: 53 | batch: 0 | bound: 0 | nc: 3 | ncall: 184 | eff(%): 24.766 | logz: -110889.232 +/-  0.437 | dlogz: 98927.895 >  5.000 
iter: 54 | batch: 0 | bound: 0 | nc: 3 | ncall: 187 | eff(%): 24.885 | logz: -104251.397 +/-  0.439 | dlogz: 97906.910 >  5.000 
iter: 55 | batch: 0 | bound: 0 | nc: 6 | ncall: 193 | eff(%): 24.664 | logz: -103371.488 +/-  0.440 | dlogz: 91269.042 >  5.000 
iter: 56 | batch: 0 | bound: 0 | nc: 9 | ncall: 202 | eff(%): 24.138 | logz: -103272.765 +/-  0.441 | dlogz: 90389.100 >  5.000 
iter: 57 | batch: 0 | bound: 0 | nc: 9 | ncall: 211 | eff(%): 23.651 | logz: -102041.433 +/-  0.442 | dlogz: 90290.345 >  5.000 
iter: 58 | batch: 0 | bound: 0 | nc: 10 | ncall: 221 | eff(%): 23.108 | logz: -101168.965 +/-  0.443 | dlogz: 89058.980 >  5.000 
iter: 59 | batch: 0 | bound: 0 | nc: 6 | ncall: 227 | eff(%): 22.957 | logz: -99370.499 +/-  0.445 | dlogz: 88186.479 >  5.000 
iter: 60 | batch: 0 | bound: 0 | nc: 3 | ncall: 230 | eff(%): 23.077 | logz: -98880.391 +/-  0.446 | dlogz: 86387.980 >  5.000 
iter: 61 | batch: 0 | bound: 0 | nc: 21 | ncall: 251 | eff(%): 21.708 | logz: -97669.042 +/-  0.447 | dlogz: 85897.840 >  5.000 
iter: 62 | batch: 0 | bound: 0 | nc: 19 | ncall: 270 | eff(%): 20.667 | logz: -97558.251 +/-  0.448 | dlogz: 84686.458 >  5.000 
iter: 63 | batch: 0 | bound: 0 | nc: 5 | ncall: 275 | eff(%): 20.656 | logz: -94361.278 +/-  0.449 | dlogz: 84575.635 >  5.000 
iter: 64 | batch: 0 | bound: 0 | nc: 2 | ncall: 277 | eff(%): 20.847 | logz: -93865.337 +/-  0.451 | dlogz: 81378.628 >  5.000 
iter: 65 | batch: 0 | bound: 0 | nc: 5 | ncall: 282 | eff(%): 20.833 | logz: -93469.807 +/-  0.452 | dlogz: 80882.654 >  5.000 
iter: 66 | batch: 0 | bound: 0 | nc: 21 | ncall: 303 | eff(%): 19.820 | logz: -90227.924 +/-  0.453 | dlogz: 88466.979 >  5.000 
iter: 67 | batch: 0 | bound: 0 | nc: 49 | ncall: 352 | eff(%): 17.539 | logz: -89249.977 +/-  0.454 | dlogz: 85225.064 >  5.000 
iter: 68 | batch: 0 | bound: 0 | nc: 2 | ncall: 354 | eff(%): 17.708 | logz: -88792.676 +/-  0.455 | dlogz: 84247.084 >  5.000 
iter: 69 | batch: 0 | bound: 0 | nc: 2 | ncall: 356 | eff(%): 17.876 | logz: -88473.223 +/-  0.457 | dlogz: 83789.751 >  5.000 
iter: 70 | batch: 0 | bound: 0 | nc: 4 | ncall: 360 | eff(%): 17.949 | logz: -86170.332 +/-  0.458 | dlogz: 83470.265 >  5.000 
iter: 71 | batch: 0 | bound: 0 | nc: 4 | ncall: 364 | eff(%): 18.020 | logz: -85974.734 +/-  0.459 | dlogz: 81167.341 >  5.000 
iter: 72 | batch: 0 | bound: 0 | nc: 1 | ncall: 365 | eff(%): 18.228 | logz: -85763.940 +/-  0.460 | dlogz: 80971.710 >  5.000 
iter: 73 | batch: 0 | bound: 0 | nc: 4 | ncall: 369 | eff(%): 18.296 | logz: -85228.339 +/-  0.461 | dlogz: 80760.883 >  5.000 
iter: 74 | batch: 0 | bound: 0 | nc: 8 | ncall: 377 | eff(%): 18.182 | logz: -81880.157 +/-  0.462 | dlogz: 80225.249 >  5.000 
iter: 75 | batch: 0 | bound: 0 | nc: 9 | ncall: 386 | eff(%): 18.029 | logz: -80718.356 +/-  0.464 | dlogz: 76877.034 >  5.000 
