logz,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logSFH5,logSFH6,lnprob,N_walkers
-0.0492,-1.9708,1.1502,1.1930,1.0516,1.2424,1.1334,1.1597,1.1346,-1757.4998,128
-0.0492,-1.9708,1.1502,1.1930,1.0516,1.2424,1.1334,1.1597,1.1346,-1757.4998,128
-0.0492,-1.9708,1.1502,1.1930,1.0516,1.2424,1.1334,1.1597,1.1346,-1757.4998,128
-0.0396,-1.9652,1.1476,1.2034,1.0354,1.2673,1.1220,1.1504,1.1310,-1650.4261,128
-0.0396,-1.9652,1.1476,1.2034,1.0354,1.2673,1.1220,1.1504,1.1310,-1650.4261,128
-0.0396,-1.9652,1.1476,1.2034,1.0354,1.2673,1.1220,1.1504,1.1310,-1650.4261,128
-0.0396,-1.9652,1.1476,1.2034,1.0354,1.2673,1.1220,1.1504,1.1310,-1650.4261,128
-0.0396,-1.9652,1.1476,1.2034,1.0354,1.2673,1.1220,1.1504,1.1310,-1650.4261,128
-0.0396,-1.9652,1.1476,1.2034,1.0354,1.2673,1.1220,1.1504,1.1310,-1650.4261,128
-0.0396,-1.9652,1.1476,1.2034,1.0354,1.2673,1.1220,1.1504,1.1310,-1650.4261,128
-0.0396,-1.9652,1.1476,1.2034,1.0354,1.2673,1.1220,1.1504,1.1310,-1650.4261,128
-0.0396,-1.9652,1.1476,1.2034,1.0354,1.2673,1.1220,1.1504,1.1310,-1650.4261,128
-0.0396,-1.9652,1.1476,1.2034,1.0354,1.2673,1.1220,1.1504,1.1310,-1650.4261,128
-0.0396,-1.9652,1.1476,1.2034,1.0354,1.2673,1.1220,1.1504,1.1310,-1650.4261,128
-0.0396,-1.9652,1.1476,1.2034,1.0354,1.2673,1.1220,1.1504,1.1310,-1650.4261,128
-0.0396,-1.9652,1.1476,1.2034,1.0354,1.2673,1.1220,1.1504,1.1310,-1650.4261,128
-0.0168,-1.9466,1.1462,1.2127,1.0278,1.2659,1.1231,1.1586,1.1293,-1613.8070,128
-0.0168,-1.9466,1.1462,1.2127,1.0278,1.2659,1.1231,1.1586,1.1293,-1613.8070,128
-0.0168,-1.9466,1.1462,1.2127,1.0278,1.2659,1.1231,1.1586,1.1293,-1613.8070,128
-0.0168,-1.9466,1.1462,1.2127,1.0278,1.2659,1.1231,1.1586,1.1293,-1613.8070,128
-0.0168,-1.9466,1.1462,1.2127,1.0278,1.2659,1.1231,1.1586,1.1293,-1613.8070,128
-0.0168,-1.9466,1.1462,1.2127,1.0278,1.2659,1.1231,1.1586,1.1293,-1613.8070,128
-0.0168,-1.9466,1.1462,1.2127,1.0278,1.2659,1.1231,1.1586,1.1293,-1613.8070,128
-0.0168,-1.9466,1.1462,1.2127,1.0278,1.2659,1.1231,1.1586,1.1293,-1613.8070,128
-0.0168,-1.9466,1.1462,1.2127,1.0278,1.2659,1.1231,1.1586,1.1293,-1613.8070,128
-0.0168,-1.9466,1.1462,1.2127,1.0278,1.2659,1.1231,1.1586,1.1293,-1613.8070,128
-0.0168,-1.9466,1.1462,1.2127,1.0278,1.2659,1.1231,1.1586,1.1293,-1613.8070,128
-0.0168,-1.9466,1.1462,1.2127,1.0278,1.2659,1.1231,1.1586,1.1293,-1613.8070,128
-0.0168,-1.9466,1.1462,1.2127,1.0278,1.2659,1.1231,1.1586,1.1293,-1613.8070,128
-0.0168,-1.9466,1.1462,1.2127,1.0278,1.2659,1.1231,1.1586,1.1293,-1613.8070,128
-0.0168,-1.9466,1.1462,1.2127,1.0278,1.2659,1.1231,1.1586,1.1293,-1613.8070,128
-0.0168,-1.9466,1.1462,1.2127,1.0278,1.2659,1.1231,1.1586,1.1293,-1613.8070,128
-0.0168,-1.9466,1.1462,1.2127,1.0278,1.2659,1.1231,1.1586,1.1293,-1613.8070,128
-0.0168,-1.9466,1.1462,1.2127,1.0278,1.2659,1.1231,1.1586,1.1293,-1613.8070,128
