acceptance
0.1600
0.0500
0.0700
0.1300
0.0700
0.0800
0.0600
0.1300
0.2500
0.1100
0.2000
0.2100
0.1500
0.2000
0.0800
0.0500
0.0700
0.1600
0.1500
0.1500
