"N_scale: 1024, log_Npix: 0","N_scale: 1024, log_Npix: 2","N_scale: 1024, log_Npix: 4","N_scale: 128, log_Npix: 0","N_scale: 128, log_Npix: 2","N_scale: 128, log_Npix: 4","N_scale: 2048, log_Npix: 0","N_scale: 2048, log_Npix: 2","N_scale: 2048, log_Npix: 4","N_scale: 256, log_Npix: 0","N_scale: 256, log_Npix: 2","N_scale: 256, log_Npix: 4","N_scale: 512, log_Npix: 0","N_scale: 512, log_Npix: 2","N_scale: 512, log_Npix: 4"
-7808.374381759618,-2671.30271163486,-179.08486172551397,-1826.2476300708981,-862.0624682678518,-158.36859031497636,-9649.042228675195,-3207.3828729303254,-237.45737622903553,-7253.7084606359,-2363.361129489567,-155.77402166935238,-8366.268098758776,-2156.1737631805113,-414.03578659856294
-7361.196407058938,-2522.5362014724446,-186.74678724098862,-1587.047745731043,-1029.2346734311284,-184.1423661020759,-9668.445639777887,-3251.297295682941,-199.61799302925994,-2515.37536305643,-1974.8982787487514,-136.86504990351978,-10185.239125010517,-2138.108501624846,-197.3599513450703
-9237.936093451664,-2821.047868833516,-244.63467006235607,-3550.389782447687,-905.0185663347278,-133.21420890071533,-10006.726847909702,-3254.285808326115,-230.73056533103926,-4159.545459709395,-1922.33742208905,-235.64332299597737,-9931.243149085669,-2057.237746275421,-169.62912350525164
-8403.458559712162,-2684.022771519435,-253.03146635173857,-2769.7232160053277,-885.9097161255037,-301.3189235565185,-9601.51806607123,-3133.123142263521,-221.88837590013992,-2850.7817023179346,-2026.5231507745752,-122.89265231854696,-6347.149894325697,-2321.4911685747584,-279.7026602795838
-7632.375142508987,-2755.425207542881,-240.68994245236746,-2653.1334467960346,-1002.6214283239754,-112.6176530723031,-10266.766017396343,-3149.5515616806742,-216.12436965342118,-6129.950422367304,-1746.0833684345519,-230.54915293981946,-5876.935551357036,-2121.733324673421,-157.2789096017999
-10567.679101135074,-2623.740477834503,-216.43769221090497,-2602.23240908288,-835.222494726869,-302.04794155185266,-9532.578717958359,-2994.69963820268,-218.37472707419127,-3571.709707579074,-2148.166102030128,-147.7868569630976,-6634.993807627068,-2266.61577852673,-177.42951445406683
-7269.124555030782,-2888.1879361513656,-162.70630788142017,-2405.588981182806,-1082.228367806603,-265.0248144114356,-10130.073389554866,-3261.6998905012288,-202.4286647930772,-3560.8731525133776,-1537.2931201202991,-166.85014055553737,-7051.069417417509,-2277.2441418637395,-209.4173213523918
-6740.026436688247,-2696.3673075513625,-182.23867713719324,-1721.821939885616,-975.1394989753717,-201.64846189119157,-10550.020808274885,-3091.7176262476455,-180.9303704255422,-4527.615592908791,-3187.886292029533,-141.42538136375356,-10228.338930580134,-2248.29083889731,-218.70491641065635
-8087.639252536821,-2838.6956370019993,-203.16851352461666,-2506.465459868137,-884.0323040780086,-302.7952903140351,-10229.699794040776,-3141.4292828573675,-293.3974035642038,-2541.3531899838713,-1624.8080007819678,-210.06308435322546,-6736.381437583059,-2298.5063492666736,-246.99948701300406
-14296.424223036742,-2605.7521709358098,-215.0139058661204,-1636.7189934411729,-795.1728426080024,-272.0617204513893,-16768.229984440102,-3119.3113623829495,-251.839485907168,-7135.62214962113,-1922.3158897301926,-176.67075914518378,-9744.30711712395,-2316.767196492703,-245.92205062290515
-6981.59519795536,-2654.3885717759235,-118.46479731363513,-3108.718822484774,-831.6542016639182,-120.92924561311371,-9560.50419040058,-3027.693622806645,-150.5885493529983,-3568.675475709556,-2588.567885500384,-169.56977956394766,-6737.871746401163,-2032.453422652354,-156.9553125091261
-11818.118676954708,-2745.570670798288,-172.1593381585094,-1653.180662632695,-886.9948513947274,-100.24700810287679,-11072.981436089487,-3195.8622132590563,-177.583162215814,-4180.912373093008,-1471.5177531391107,-165.96633609112158,-7086.718517711214,-2419.4305425442226,-167.26764367093102
-9285.936954089386,-2709.5283734415657,-207.93407702600263,-1623.6408683390082,-977.4243844456391,-144.52258228003979,-12931.46208310229,-3284.76616536396,-262.8634967017962,-3030.734150023586,-1866.8251194856796,-134.58010100858866,-7222.243270129769,-2016.1529828859136,-152.44927951416082
-8200.85320538225,-2664.0118549822437,-305.2292807096929,-2893.6342991270726,-1000.7030811731186,-231.73664291199725,-12051.704238292035,-3265.924168436567,-215.71994617468926,-3874.1760912747004,-1548.4536124761994,-111.50694072940445,-8161.668746636818,-2082.6512796081806,-181.60335096849735
-9292.232525321067,-2609.7501390264797,-196.28749256237614,-1891.5949293852827,-853.0050082324497,-99.99411310520404,-9777.405837747863,-3337.532153451111,-200.80103773110386,-3011.3076557590534,-1370.5458841658306,-225.57865101404548,-6281.904538692638,-2180.4563114720595,-152.37366697171555
-8390.16203681924,-2779.213094600808,-307.3032963301023,-2247.3613015622936,-925.8296833647795,-124.87626254875876,-9950.07507335991,-3048.5920796190617,-183.3930013442886,-7465.132948002893,-1670.5710360011344,-135.2265002008924,-9276.267585795435,-2226.334722038603,-266.4012238834167
-9481.131831840301,-2940.1908018749773,-193.29073202237416,-1904.3408242099008,-902.7501429528756,-201.05419533603342,-11473.548455747945,-3447.5526486956524,-193.14845827281107,-2906.226144046699,-1685.2540304615022,-131.56420806823243,-9788.341244226514,-2433.563119850224,-158.83390160073057
-9877.657949985933,-2613.6462917007398,-267.82738688907745,-2156.9969592338357,-1102.7452660358347,-320.7913476170378,-10612.023753617032,-3274.3337343382964,-209.38843507930198,-2778.6324667644944,-1494.4257330878559,-182.3417178432519,-8099.357271317095,-2517.18201428582,-203.9050839597885
-11400.899060546019,-2924.8572459967436,-163.09431643048484,-1720.9698557549043,-1302.5223076056527,-103.43107224934607,-10209.192887739977,-3196.0712633000167,-183.70518689586953,-3638.056656018249,-1765.4490720302229,-161.27681970350122,-8502.566408396946,-2399.132814159033,-214.35708763024553
-8733.347495393893,-2935.244108854524,-217.10500865868102,-1739.8069723053545,-828.1969923101532,-139.27583923112073,-9824.693993490939,-3172.756512861087,-231.3578850991213,-3021.3383118548822,-2537.0175875252517,-125.2448426800465,-10367.826901869015,-2150.951638758921,-191.42898120206274
-6999.513708109512,-2657.7833704414425,-162.83529088470945,-1907.289472621227,-898.3363684382667,-131.5681807401774,-11227.947365905957,-3286.2244419823737,-225.85879447876889,-2672.5104795220277,-1422.7019828341704,-115.17493399278473,-6083.671613685507,-2363.3253557405365,-273.82508360225575
-11278.469144631137,-2575.8371434300248,-193.61507012571394,-1665.7832800511817,-896.6930395666428,-140.78773706519718,-9107.86584265408,-3214.6634745052575,-185.22714474099638,-4357.945468726857,-1310.5914772333454,-185.41733374338398,-7375.276520553817,-2319.2070036752993,-169.19483576558673
-7917.949114750827,-2844.0854427812515,-223.96147691491538,-1527.3595009936669,-937.2560498813915,-200.84730059699484,-10637.342639129962,-3315.9785825277554,-126.74826576781885,-5424.049242035,-1993.7785095209524,-218.19532466844802,-7435.622396455847,-2090.785041884285,-192.54187175552943
-8650.966576242954,-2713.9299397399695,-192.68096783503347,-1615.9460278743481,-928.7019920352826,-257.105781015159,-10355.666339770432,-3277.7422798600096,-230.10935751968532,-3827.9313617591265,-2150.2836234810334,-114.9522355290274,-7565.4505607586925,-2312.172454350821,-244.0759610755879
-8394.580796543463,-2684.1438053323236,-123.27250901352362,-2306.5211855418365,-883.1820406349592,-200.54258566202554,-10917.721918657202,-3219.4579016044604,-227.06905111637954,-4221.836067732439,-1726.4804393110562,-218.70112235916065,-8560.532800662035,-2270.9636138983547,-227.84967831016405
-7670.189912875266,-2856.298231636946,-247.80315362243607,-3856.2078305824084,-883.4413650334468,-219.26046463456294,-10132.350590688813,-3006.453873846006,-227.13193942918699,-3343.032310899617,-1918.8229383438934,-208.77175372380066,-9697.0574124738,-2286.936415229673,-228.06234976802102
-8657.830189222976,-2656.2203914011807,-224.20817683359314,-1758.721751669437,-803.8999158256956,-210.64601790748588,-9829.337487565359,-3206.7692376771292,-214.94849127341908,-2774.802177547407,-3235.376392370024,-111.21279904999193,-11266.511825300784,-2261.1323501589018,-241.2717916699838
-9573.930515697008,-2874.030013456563,-257.5807461286117,-2103.7479557090187,-800.8125886638772,-108.90304722714556,-12293.910097359365,-3135.9386715037713,-213.852573435609,-2529.9715139065042,-1782.2991734568816,-173.9520403850593,-11649.748091076923,-2538.389928083264,-316.8344057443855
-7966.353053047354,-2603.28317238164,-222.1491216379407,-1963.20856283703,-1039.35106798343,-108.47694741471966,-9556.583283423226,-3081.8046071482927,-224.8285896810953,-3956.0133341607316,-1823.2482232503307,-110.14131886134604,-7931.938343343758,-2048.079005281336,-165.51457102873002
-8202.423069577895,-2699.500137226605,-251.6095564661815,-2200.8461808376196,-919.3287688622123,-292.72853181991735,-10688.26083162159,-3300.149519973393,-308.65524988677873,-2873.44815032168,-1434.430683120434,-137.9796156964377,-7917.857759902892,-2323.4030956035003,-196.07115961556207
-7918.940122946415,-2589.53566682343,-198.4236059024036,-1621.1398675397568,-890.0988393133512,-141.88046585463786,-10176.261628183986,-3043.2684076981586,-233.5426672224059,-4115.830331357218,-1859.8905655620872,-189.7103186503414,-8549.98119251848,-2172.8389605258562,-211.2666627750768
-12226.778451613081,-2771.7265722089965,-177.8943469586317,-3962.2514403821447,-821.3989274407021,-289.41803204257053,-10112.44662780169,-3070.6319285944282,-246.92038150249206,-3922.0572723114083,-2289.713838060325,-203.48998111212916,-9184.797414336768,-2264.5592898882896,-168.9813562971373
-8321.208756939823,-2643.535740348199,-177.92945774668578,-2664.920369962817,-940.6667772619239,-81.35477105758476,-10761.603565817464,-3301.4939881869373,-158.89335990220815,-2969.042410581956,-1903.9758512989943,-149.2405794951322,-7192.737774159368,-2216.482943024853,-184.185243603463
-8133.507427776523,-2523.2602190283724,-128.5094664185504,-1966.2396678966654,-838.4415953082075,-191.94298566714392,-10035.815435276027,-3252.5804687323193,-215.97832569695566,-2761.5358185071204,-2100.815335736705,-256.3715331073467,-5827.881445204837,-2144.214302620052,-138.56720388138206
-9039.830197028572,-2730.8242368007645,-220.773196412966,-2773.182186831364,-902.9597163466588,-167.76530447570718,-11695.402157649125,-3126.2033758505318,-224.6269207067524,-3621.1850624461354,-1943.0073038718067,-116.06012478642245,-10518.40525996923,-2342.8278503199717,-202.2476126917823
-12034.317397102437,-2742.2005619845736,-159.55909274275382,-2038.3285407770775,-788.0155769541861,-121.33914003812356,-10830.539874440656,-3112.1456760936326,-202.80980227523932,-2969.707713516054,-1875.9606202642929,-200.59873195819497,-11149.617140375993,-2305.1149206336986,-151.6772440936449
-10477.032817878418,-3103.569366368516,-269.9534435082359,-1757.3939027722563,-1054.1514135767072,-183.45870376309432,-10056.623957855825,-3404.141239537024,-153.03192157670765,-3110.3834145023084,-1886.0565098572224,-277.69622643147267,-8077.7456696353975,-2189.1710824955503,-174.98066791365264
-8885.438745794927,-2930.6056349262535,-215.31561759813673,-1882.4551976041123,-1236.441681756593,-189.70352125867657,-12743.977332460887,-3346.2442087641957,-152.04568344977915,-3202.6492159939567,-1915.873971617787,-284.06138031237504,-6828.668688714034,-2176.001060613328,-222.19030048917088
-7889.436282933213,-2562.08313819866,-336.2049036347076,-1613.9172007774755,-1218.4205345656844,-168.69482115073828,-9337.609479072371,-3114.9641752078046,-223.45093491131877,-3088.6725019601477,-1412.3065025720177,-236.57627771528303,-9610.66851668325,-2231.8838905981547,-197.39560467337824
-8138.017809504947,-2755.444647202013,-216.4043763169198,-1574.6442817399225,-873.8638217643897,-163.45057259230285,-10085.313794362264,-3050.479870171913,-172.1034319110232,-5678.9375275010425,-1536.6137020831093,-134.76990917128603,-9020.503679748748,-2388.4523906268973,-256.1546522718643
-8537.901311552547,-2805.48036207578,-209.97783626377694,-1503.976943480649,-916.2685614522201,-116.482615805189,-11216.281567528498,-3447.7870452125685,-189.64083457396148,-5273.905803225896,-1725.0843298934685,-339.34556263910474,-7059.987376325717,-2091.321613657127,-204.79951608459646
-9102.553825338358,-2678.1429003049207,-346.0655805139649,-1672.9859103192066,-1013.4136239628026,-234.95864583235684,-9753.860019845468,-3292.2393420959415,-252.56579173426562,-4174.475566875103,-1551.0462954443462,-101.27356329979715,-8231.919387838976,-2069.6645453441874,-197.11555851154503
-10257.321987709036,-2894.4593025786585,-184.9666354220401,-2262.7684280101334,-1256.7582819621823,-109.65104357043009,-10607.272559812478,-3286.2881738395545,-207.730347995057,-3457.4508383908715,-1659.1383597572608,-120.22621459386836,-9622.775760898337,-1979.1821354698102,-210.30594561121546
-10306.854490547474,-2766.939822658534,-227.7124877014863,-1643.093504603742,-1020.2778441587121,-160.22956630075623,-9586.663290033202,-3382.23979245632,-196.91569017298534,-3418.9017749540185,-1527.020585961625,-206.2796732780508,-9786.877077871339,-2332.1168303093236,-240.74360372502483
-8714.14800004402,-2638.334644351989,-284.05397254293604,-2192.502191659974,-880.6662762308559,-132.90474774756836,-12149.135374940777,-3421.2492827709784,-198.71795864197887,-3621.48360250242,-1653.7488301174517,-194.8567345816651,-6391.42278219247,-2304.445555988703,-152.68091207857594
-11048.210844959742,-2810.0059803395015,-243.72243148085707,-1867.765325074046,-886.6175195021164,-165.0123635160723,-9517.838702898622,-3136.359172894354,-237.79316337936527,-2520.3445794629724,-1894.2988016309284,-125.91138306132652,-6648.677313584967,-2021.0673863228863,-290.3930023584662
-8490.037799509419,-2869.5244904486235,-184.93763768207467,-1505.38751623189,-1045.2772455144,-310.76626115738196,-11893.440593565427,-3452.3948145753698,-300.82015068150974,-2828.762224271435,-1922.0919142528778,-238.61854043615597,-7319.227324965508,-2070.556960115453,-269.069447885114
-9217.735575665514,-3020.3562804189924,-185.12570509402008,-1551.344357361111,-880.5954307974876,-134.57915433892666,-10550.954355916865,-3286.73102502289,-225.44287642645352,-3435.4842478209744,-1569.950867942907,-184.42676120041472,-8086.635685056589,-2208.864450988031,-179.58645224622717
-8524.463023880027,-2695.1999691266774,-192.6889480495502,-2062.909608541487,-1292.7134615362368,-124.73447250654318,-10995.139303909325,-3287.9824687084165,-190.7048695235712,-3919.22345237196,-2316.708130900829,-126.05970503419714,-9254.387085726152,-2175.646995018734,-245.30979469174403
-8334.852509298631,-2667.0349081915588,-157.705380954183,-2990.3819603650036,-1024.9351326733317,-129.34542964205218,-10042.182793687618,-3307.2890926462055,-185.91412979954583,-2902.7099783189387,-2374.4303758264737,-126.42802449832618,-8493.747990948623,-2023.1609577643378,-270.66037766134707
-13468.705367702556,-2787.9938984044284,-259.0489916952028,-2440.826904578888,-875.1824087241273,-176.42941284335492,-9324.22722772316,-3211.7739023326703,-184.76920013862744,-2864.060378544729,-2647.4427534468473,-221.55051162177273,-8419.564469399742,-2059.4953079698366,-364.0598856027958
-11014.62824918633,-2660.6348832413837,-190.4040564403657,-1631.8769919262354,-1008.6055842629854,-176.4895964612354,-9682.993736011324,-3346.7745485414944,-188.81670757516554,-5773.889249640886,-1959.3447360376356,-138.7256983600199,-8348.70429888347,-2167.392656828655,-238.14700473697297
-10434.783759451191,-2683.2279270853346,-206.2396376028812,-1747.824550672696,-881.5087488516816,-129.7659656181951,-10186.683024244043,-3938.7988116063057,-221.71954530146428,-2655.9391864709805,-1698.4398950600341,-151.01379901248595,-6980.047376577794,-2010.5884684174243,-213.33498467114907
-10269.88279485274,-3203.048521143749,-171.3685594826519,-1454.295457065138,-1085.4493680572684,-170.79788292792261,-9682.030929192893,-3121.216887812496,-264.599060724519,-3645.6994504469167,-1639.4577408275545,-199.07186895671018,-10902.991858641168,-2368.8941221433392,-288.68106971483354
-9010.951817303163,-2633.0194803827753,-199.16637682977353,-1847.7953027188664,-856.4618267051311,-256.3925272718309,-9791.328799502477,-3572.6400739481614,-294.4570018874575,-2821.889519791296,-2018.225651530793,-162.78630040759106,-6412.913224851779,-2269.7099578542748,-315.59782202908934
-8469.865878587509,-2550.1319864087814,-164.85271334595302,-2199.841704535908,-1044.0831462971394,-164.10212472581532,-11298.437142049199,-3203.0265293823545,-229.60963524409482,-3249.92836658661,-1895.5088535997618,-279.23329218566795,-9051.758706981633,-2572.142635802233,-202.90451708678407
-10643.551529750293,-2669.506023815777,-205.1797314857431,-1540.879904788693,-1053.4768562267209,-87.77986546019905,-11732.469505267041,-3142.7385413928,-166.98348238765095,-3493.7958668233323,-1688.7876482279214,-135.3130292796251,-9965.35647379813,-3013.828211377692,-274.0852352764622
-11235.817308790982,-2787.2318744962367,-218.57092602400212,-1563.7105870705625,-1207.8977312998695,-150.04194153197926,-11490.328424737327,-3328.7538659174947,-231.58641561712648,-3935.1065694769363,-1909.8118727346455,-130.20637013762502,-8074.031765445278,-2169.6238453792002,-278.4969015723437
-9992.478874082912,-2778.559653604449,-239.70304267214584,-2451.426502739202,-975.2849877978202,-422.9172783568987,-10507.882483199455,-3406.9390897939074,-138.95405613046975,-2595.7084834813177,-3172.7640223610356,-126.66916590274089,-5425.788469185263,-2302.3524530119953,-184.41248606201074
-8910.724039886112,-2664.7014781489643,-222.76501686087204,-2526.863993458991,-896.654552849539,-218.3061359747575,-11884.823187743252,-3120.7549588983984,-146.63973380473345,-3825.193207616115,-3381.9916299920556,-293.67747618655403,-6880.750675412281,-2019.2343729202262,-132.34152194273898
-7114.65384649172,-2691.5665222272114,-187.53466085981015,-2678.2710075336545,-1226.3403312394364,-168.21214917597806,-10546.124393587412,-3221.3030027943823,-178.27683641850527,-4370.993974721805,-2110.809101323683,-98.53381002032526,-6609.684778475532,-2183.9778733987814,-161.60836856593627
-9990.019016936927,-2906.5251563623046,-215.17969815762854,-1587.7498261769529,-1166.7883604900678,-91.83395412918362,-10232.478990934938,-3030.8270197712677,-220.36552569618283,-3141.3619612045327,-2162.2006391948817,-108.281717833022,-7449.381262323845,-2151.2087220969297,-174.77686818039444
-7646.027873547574,-2691.1625299389048,-181.73239368235988,-1781.9674981476985,-1127.5118657510386,-171.33981623911757,-10773.88657419155,-2979.4962193162996,-194.59798175082207,-4421.478367203013,-2263.123789194566,-232.61537355052752,-10549.48664093624,-2506.2201322632163,-330.8417089389689
-10500.236166353392,-2493.105083614367,-175.52106983823074,-2394.135284217743,-935.0193980080962,-111.04210037623875,-10679.396812860561,-3195.3623925894904,-190.5664368334426,-4402.572276501396,-2311.8665928079718,-131.98901842868224,-10217.775075457746,-2584.2426386594134,-143.3706230757611
-9286.29241333203,-2994.5910176301827,-221.86592885844473,-2123.4801308688993,-1348.1893551682374,-123.32466806246565,-11909.252623804154,-3482.2751434179354,-190.39131354064085,-3913.909678212573,-2258.57463969945,-175.11929575992048,-8129.442516145885,-2242.8400618630335,-205.9135172785318
