acceptance
0.0550
0.0980
0.0560
0.0950
0.0880
0.0450
0.0880
0.0600
0.0600
0.0780
0.0830
0.0690
0.0440
0.0780
0.1060
0.0590
0.0490
0.0520
0.0190
0.0560
0.0730
0.0660
0.0600
0.0880
0.0840
0.0550
0.0710
0.0920
0.0370
0.0670
0.1140
0.0840
0.0690
0.0450
0.0400
0.0980
0.0490
0.0810
0.0430
0.0560
0.0310
0.0330
0.1070
0.0630
0.0800
0.0810
0.0450
0.0760
0.0470
0.0420
0.1100
0.0250
0.0540
0.1050
0.1040
0.0680
0.0580
0.0710
0.0320
0.0780
0.0690
0.0190
0.1130
0.1160
0.1330
0.1200
0.0130
0.1460
0.0370
0.1000
0.1000
0.0640
0.0850
0.0930
0.0670
0.0250
0.0950
0.0540
0.1040
0.0890
0.0830
0.0890
0.0270
0.0990
0.0940
0.1330
0.0450
0.1140
0.0230
0.1050
0.0850
0.0260
0.0930
0.0330
0.0710
0.0260
0.0490
0.0250
0.0300
0.0890
0.0950
0.1210
0.0740
0.0700
0.0660
0.0370
0.1090
0.0750
0.0510
0.0640
0.0170
0.0700
0.1130
0.0960
0.0760
0.0860
0.0420
0.0760
0.0790
0.1320
0.0370
0.0830
0.0650
0.0390
0.0470
0.0270
0.0350
0.0880
