logz,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logSFH5,logSFH6,lnprob,N_walkers
-0.1735,-1.9357,1.1314,1.2363,1.1345,1.2311,1.1620,0.8664,0.9635,-1489.9232,128
-0.1735,-1.9357,1.1314,1.2363,1.1345,1.2311,1.1620,0.8664,0.9635,-1489.9232,128
-0.1735,-1.9357,1.1314,1.2363,1.1345,1.2311,1.1620,0.8664,0.9635,-1489.9232,128
-0.1735,-1.9357,1.1314,1.2363,1.1345,1.2311,1.1620,0.8664,0.9635,-1489.9232,128
-0.1729,-1.9337,1.1305,1.2371,1.1388,1.2352,1.1605,0.8434,0.9563,-1485.0339,128
-0.1733,-1.9333,1.1312,1.2360,1.1386,1.2339,1.1602,0.8485,0.9589,-1479.6293,128
-0.1733,-1.9333,1.1312,1.2360,1.1386,1.2339,1.1602,0.8485,0.9589,-1479.6293,128
-0.1733,-1.9333,1.1312,1.2360,1.1386,1.2339,1.1602,0.8485,0.9589,-1479.6293,128
-0.1733,-1.9333,1.1312,1.2360,1.1386,1.2339,1.1602,0.8485,0.9589,-1479.6293,128
-0.1733,-1.9333,1.1312,1.2360,1.1386,1.2339,1.1602,0.8485,0.9589,-1479.6293,128
-0.1733,-1.9333,1.1312,1.2360,1.1386,1.2339,1.1602,0.8485,0.9589,-1479.6293,128
-0.1733,-1.9333,1.1312,1.2360,1.1386,1.2339,1.1602,0.8485,0.9589,-1479.6293,128
-0.1733,-1.9333,1.1312,1.2360,1.1386,1.2339,1.1602,0.8485,0.9589,-1479.6293,128
-0.1733,-1.9333,1.1312,1.2360,1.1386,1.2339,1.1602,0.8485,0.9589,-1479.6293,128
-0.1733,-1.9333,1.1312,1.2360,1.1386,1.2339,1.1602,0.8485,0.9589,-1479.6293,128
-0.1733,-1.9333,1.1312,1.2360,1.1386,1.2339,1.1602,0.8485,0.9589,-1479.6293,128
-0.1733,-1.9333,1.1312,1.2360,1.1386,1.2339,1.1602,0.8485,0.9589,-1479.6293,128
-0.1733,-1.9333,1.1312,1.2360,1.1386,1.2339,1.1602,0.8485,0.9589,-1479.6293,128
-0.1733,-1.9333,1.1312,1.2360,1.1386,1.2339,1.1602,0.8485,0.9589,-1479.6293,128
-0.1733,-1.9333,1.1312,1.2360,1.1386,1.2339,1.1602,0.8485,0.9589,-1479.6293,128
-0.1733,-1.9333,1.1312,1.2360,1.1386,1.2339,1.1602,0.8485,0.9589,-1479.6293,128
-0.1733,-1.9333,1.1312,1.2360,1.1386,1.2339,1.1602,0.8485,0.9589,-1479.6293,128
-0.1733,-1.9333,1.1312,1.2360,1.1386,1.2339,1.1602,0.8485,0.9589,-1479.6293,128
