# Vega Mags
# arm region extracted from square X=[2732,2988), Y=[3822, 4078) from M51 image
# Imag Vmag-Imag Bmag-Vmag
# F814W F555W-F814W F435W-F555W
25.697403 0.907851 0.272536
25.775502 0.833834 0.433020
25.752325 0.808348 0.484401
25.733307 0.791321 0.461685
25.665762 0.847943 0.448075
25.674939 0.772653 0.417281
25.649455 0.724985 0.279849
25.724574 0.814791 0.282377
25.735110 0.780068 0.480859
25.685641 0.748019 0.518879
25.622551 0.789338 0.493015
25.542857 0.960215 0.495885
25.572140 0.961977 0.519207
25.597264 0.956505 0.519777
25.732510 0.884528 0.522654
25.763302 0.817721 0.483201
25.723686 0.840984 0.537688
25.720194 0.788228 0.504832
25.592045 0.860849 0.489354
25.545332 0.859255 0.481946
25.464942 0.948377 0.495557
25.484013 0.948561 0.538866
25.565712 0.928995 0.424659
25.568725 0.932799 0.455875
25.585999 0.950767 0.412974
25.479012 0.912205 0.594894
25.474078 0.877043 0.614979
25.497109 0.970488 0.450825
25.523901 0.876724 0.531781
25.506247 0.869232 0.537582
25.551627 0.775397 0.457153
25.586430 0.678300 0.395927
25.541448 0.759970 0.402462
25.596747 0.746812 0.421213
25.635409 0.827618 0.416043
25.637608 0.832760 0.517506
25.592565 0.928689 0.485850
25.610380 0.843866 0.510757
25.596837 0.919599 0.452590
25.585950 0.979014 0.373269
25.642004 0.975102 0.441050
25.706663 1.026790 0.475999
25.745787 0.834528 0.508232
25.739397 0.864356 0.367376
25.714908 0.835343 0.417660
25.667591 0.886193 0.489461
25.525109 0.829122 0.574872
25.224091 0.976283 0.645348
25.111062 1.179991 0.530448
26.129075 1.061556 0.465579
26.117355 0.915275 0.628818
26.081581 1.020457 0.600024
26.114491 0.965292 0.583792
26.123686 0.896376 0.796875
26.089580 1.033909 0.689545
26.064019 1.054617 0.633110
25.972620 1.065680 0.705966
25.980513 1.164824 0.558770
25.991279 1.064962 0.630099
25.907015 1.129314 0.576355
25.830508 1.158883 0.634567
25.826780 1.118329 0.602177
25.810153 1.026508 0.700930
26.039454 0.863092 0.609627
26.137406 0.871609 0.678059
26.092123 0.921692 0.653230
26.130953 0.833899 0.570806
26.120073 0.864256 0.441384
26.130144 0.928967 0.542944
26.001732 1.019826 0.677173
25.980714 1.009194 0.515375
25.930047 0.973996 0.470408
25.903109 1.027979 0.383344
25.960578 0.935423 0.595971
25.875765 1.056394 0.654496
26.024189 1.024022 0.545281
26.064924 1.037586 0.522758
26.054193 0.991757 0.598761
26.126597 0.887440 0.598957
26.113369 0.884453 0.633442
26.073215 1.071070 0.589778
26.066274 1.018420 0.629106
26.059516 0.968294 0.611521
26.078637 0.931497 0.669794
26.103070 0.932273 0.594900
26.057849 0.966693 0.723353
26.082851 0.977902 0.556334
26.137772 0.834409 0.518903
26.034978 1.033541 0.341362
25.956728 0.937293 0.665562
25.850743 1.041065 0.645875
25.846382 1.182321 0.570672
25.891888 1.086774 0.649351
25.970345 0.951301 0.615114
25.939594 1.014374 0.560477
26.066505 0.895996 0.573044
26.058123 0.983163 0.483777
26.107391 0.881496 0.510833
26.172455 0.807574 0.631835
26.131301 0.842403 0.649165
26.072810 0.976115 0.616342
25.919495 1.031006 0.555542
25.858862 1.068716 0.571293
25.919862 0.978812 0.616346
25.928885 0.992619 0.605765
25.934704 0.906147 0.609518
26.020338 0.858797 0.541369
26.026183 0.838089 0.612624
25.921212 0.825301 0.642937
25.863902 0.845763 0.528298
25.945013 0.798347 0.503941
26.009767 0.822826 0.576778
25.984493 0.893514 0.627721
25.926556 0.997588 0.538798
25.857704 1.066097 0.446844
25.840049 1.069718 0.496533
25.883196 0.985428 0.598814
25.948710 0.901235 0.590304
26.004721 0.898363 0.448667
26.058689 0.882248 0.481004
26.006944 0.873991 0.559122
25.857217 0.994905 0.607130
25.877014 0.933244 0.598242
25.952739 0.939052 0.531606
26.017417 0.960778 0.535884
26.056066 0.898084 0.497281
26.003298 0.865211 0.665808
25.936327 1.008905 0.606392
25.971974 1.056844 0.530614
25.949291 0.984766 0.646849
25.949385 0.949620 0.528674
25.996046 0.969905 0.525336
26.015163 0.917056 0.607621
26.010083 0.945024 0.636592
25.975169 1.040888 0.569829
25.981104 0.988629 0.667557
25.980959 0.941214 0.658742
25.904530 0.919832 0.699657
25.837043 0.986466 0.786070
25.913342 1.012734 0.591617
25.938275 0.947507 0.552935
25.981199 1.008638 0.479001
25.979759 1.031983 0.472876
26.036117 0.977020 0.604473
26.071325 0.910359 0.732325
26.091584 0.869697 0.587648
26.094526 0.727649 0.551447
25.991925 0.940124 0.460673
25.957744 0.841130 0.563566
25.869661 0.972367 0.478022
25.819620 1.005285 0.609232
25.839842 1.022888 0.620577
25.905743 0.977430 0.520080
26.010196 0.955944 0.484774
25.941261 0.967452 0.480831
25.935963 0.833265 0.624404
25.983754 0.799196 0.560352
25.953590 0.959338 0.423402
25.862190 1.011511 0.442501
25.824581 0.903691 0.483326
25.787037 0.860777 0.436753
25.835465 0.834059 0.392349
25.827788 0.807010 0.498419
25.832611 0.747328 0.487992
25.816865 0.620087 0.579374
25.868238 0.805989 0.424750
25.853573 0.869587 0.552390
25.826429 0.857991 0.648802
25.793795 0.914997 0.634025
25.737556 1.054213 0.592472
25.742396 1.057240 0.558347
25.679513 1.030488 0.547707
25.705447 0.885123 0.577772
25.657381 0.899133 0.583342
25.624085 1.043055 0.573703
25.619893 1.089640 0.622022
25.721897 0.954091 0.546271
25.740411 0.924701 0.524917
25.786789 0.893053 0.433515
25.839757 0.912702 0.482208
25.796615 0.911728 0.509973
25.746333 0.907977 0.584091
25.747551 0.950816 0.505459
25.795662 0.977123 0.463509
25.829926 0.917697 0.511533
25.844057 0.837573 0.567934
25.812431 0.839932 0.606590
25.764674 0.842389 0.564810
25.680668 0.943152 0.559277
25.650233 0.956459 0.493137
25.738785 0.927234 0.466912
25.755700 0.967877 0.310839
