logfeh_mean,logdust_med,logNpix,tau,dmod,logl
-2.5618e-01,-4.6453e-01,3.0129e+00,3.0905e+00,2.6025e+01,-4.9578e+02
-2.4367e-01,-5.0157e-01,3.0019e+00,3.0494e+00,2.6010e+01,-4.9217e+02
-2.6495e-01,-4.6967e-01,3.0091e+00,3.0542e+00,2.6023e+01,-4.9621e+02
-2.5235e-01,-4.8112e-01,2.9988e+00,3.0310e+00,2.5989e+01,-4.9773e+02
-2.4994e-01,-5.0394e-01,3.0040e+00,3.0382e+00,2.6022e+01,-4.8842e+02
-2.4101e-01,-5.1439e-01,2.9837e+00,3.0045e+00,2.5961e+01,-4.8968e+02
-2.6521e-01,-4.7304e-01,3.0096e+00,3.0039e+00,2.6016e+01,-4.9345e+02
-2.5984e-01,-4.8418e-01,3.0013e+00,2.9840e+00,2.6001e+01,-4.8474e+02
-2.4884e-01,-4.8753e-01,3.0101e+00,3.0546e+00,2.6022e+01,-4.9436e+02
-2.6895e-01,-4.6595e-01,3.0034e+00,3.0310e+00,2.6002e+01,-4.9531e+02
-2.4842e-01,-4.9667e-01,3.0108e+00,3.0388e+00,2.6028e+01,-4.8579e+02
-2.4697e-01,-4.8755e-01,3.0131e+00,3.1066e+00,2.6036e+01,-4.9380e+02
-2.4972e-01,-4.8609e-01,3.0099e+00,3.1061e+00,2.6029e+01,-4.9425e+02
-2.6651e-01,-4.6953e-01,3.0065e+00,3.0341e+00,2.6012e+01,-4.8388e+02
-2.6499e-01,-4.6975e-01,3.0094e+00,3.0116e+00,2.6016e+01,-4.7676e+02
-2.4737e-01,-4.8775e-01,3.0127e+00,3.0982e+00,2.6032e+01,-4.8848e+02
-2.4377e-01,-5.0233e-01,2.9893e+00,3.0193e+00,2.5971e+01,-4.9699e+02
-2.6432e-01,-4.8565e-01,3.0103e+00,2.9702e+00,2.6024e+01,-4.9710e+02
-2.6689e-01,-4.8974e-01,3.0071e+00,2.9664e+00,2.6018e+01,-4.8826e+02
-2.4923e-01,-4.9054e-01,3.0098e+00,3.0565e+00,2.6024e+01,-4.8498e+02
-2.5226e-01,-4.7511e-01,3.0033e+00,3.1151e+00,2.6010e+01,-4.8644e+02
-2.4687e-01,-5.0417e-01,2.9869e+00,3.0175e+00,2.5969e+01,-4.9344e+02
-2.5043e-01,-4.9681e-01,3.0064e+00,3.0495e+00,2.6022e+01,-4.8149e+02
-2.5141e-01,-4.9011e-01,3.0064e+00,3.0622e+00,2.6020e+01,-4.9417e+02
-2.3947e-01,-4.9665e-01,2.9947e+00,3.0733e+00,2.5987e+01,-4.9498e+02
-2.5034e-01,-4.8884e-01,3.0092e+00,3.0492e+00,2.6024e+01,-4.8901e+02
-2.2355e-01,-5.3459e-01,2.9853e+00,3.0255e+00,2.5969e+01,-4.9435e+02
-2.3935e-01,-5.1771e-01,2.9862e+00,3.0061e+00,2.5968e+01,-4.9049e+02
-2.5027e-01,-4.9291e-01,3.0064e+00,3.0756e+00,2.6022e+01,-4.9608e+02
-2.4988e-01,-5.0340e-01,3.0000e+00,2.9991e+00,2.6002e+01,-4.9314e+02
-2.7064e-01,-4.8031e-01,3.0086e+00,2.9988e+00,2.6026e+01,-4.9304e+02
-2.6637e-01,-4.8124e-01,3.0076e+00,2.9780e+00,2.6014e+01,-4.8690e+02
-2.7624e-01,-4.6647e-01,3.0081e+00,2.9861e+00,2.6015e+01,-4.8777e+02
-2.4886e-01,-5.0281e-01,3.0046e+00,3.0637e+00,2.6023e+01,-4.9699e+02
-2.7732e-01,-4.6002e-01,3.0096e+00,3.0095e+00,2.6019e+01,-4.8518e+02
-2.6623e-01,-4.7093e-01,3.0076e+00,2.9872e+00,2.6008e+01,-4.9293e+02
-2.6367e-01,-4.8287e-01,3.0059e+00,2.9755e+00,2.6011e+01,-4.8850e+02
-2.4193e-01,-5.0183e-01,2.9922e+00,3.0498e+00,2.5983e+01,-4.9608e+02
-2.4025e-01,-5.1204e-01,3.0042e+00,3.0568e+00,2.6020e+01,-4.9729e+02
-2.7659e-01,-4.6028e-01,3.0133e+00,3.0544e+00,2.6037e+01,-4.8599e+02
-2.5534e-01,-4.9976e-01,3.0020e+00,2.9753e+00,2.6006e+01,-4.8056e+02
-2.5921e-01,-4.8822e-01,2.9979e+00,3.0004e+00,2.5995e+01,-4.8281e+02
-2.4357e-01,-5.1193e-01,3.0033e+00,3.0486e+00,2.6021e+01,-4.9610e+02
-2.5066e-01,-4.8433e-01,3.0103e+00,3.0873e+00,2.6029e+01,-4.8870e+02
-2.3335e-01,-5.1521e-01,2.9840e+00,3.0224e+00,2.5957e+01,-4.9591e+02
-2.7272e-01,-4.8036e-01,3.0077e+00,2.9866e+00,2.6023e+01,-4.9416e+02
-2.4178e-01,-4.9623e-01,2.9979e+00,3.0699e+00,2.6000e+01,-4.8871e+02
-2.7476e-01,-4.6940e-01,3.0072e+00,2.9866e+00,2.6016e+01,-4.9613e+02
-2.6700e-01,-4.6926e-01,3.0094e+00,3.0631e+00,2.6024e+01,-4.9663e+02
-2.4962e-01,-5.0734e-01,2.9983e+00,2.9669e+00,2.5998e+01,-4.9029e+02
-2.5419e-01,-4.8158e-01,2.9997e+00,3.0913e+00,2.6005e+01,-4.8626e+02
-2.7353e-01,-4.6698e-01,3.0064e+00,2.9977e+00,2.6012e+01,-4.8250e+02
-2.4322e-01,-5.0943e-01,3.0048e+00,3.0473e+00,2.6022e+01,-4.9607e+02
-2.7398e-01,-4.6619e-01,3.0045e+00,3.0135e+00,2.6008e+01,-4.8663e+02
-2.3579e-01,-5.0411e-01,2.9865e+00,3.0623e+00,2.5964e+01,-4.8996e+02
-2.5200e-01,-4.9243e-01,2.9960e+00,3.0019e+00,2.5989e+01,-4.7457e+02
-2.4825e-01,-5.1119e-01,2.9900e+00,2.9728e+00,2.5977e+01,-4.9684e+02
-2.4745e-01,-4.8670e-01,3.0136e+00,3.1027e+00,2.6038e+01,-4.9768e+02
-2.7169e-01,-4.6339e-01,3.0128e+00,3.0600e+00,2.6030e+01,-4.9267e+02
-2.7434e-01,-4.5976e-01,3.0116e+00,3.0519e+00,2.6029e+01,-4.9020e+02
-2.6620e-01,-4.9333e-01,3.0051e+00,2.9355e+00,2.6010e+01,-4.8061e+02
-2.6102e-01,-4.7404e-01,3.0011e+00,2.9970e+00,2.5996e+01,-4.9465e+02
-2.4394e-01,-5.0037e-01,3.0017e+00,3.0516e+00,2.6009e+01,-4.8997e+02
-2.5069e-01,-4.9488e-01,3.0029e+00,3.0506e+00,2.6013e+01,-4.8872e+02
-2.4066e-01,-5.0545e-01,2.9982e+00,3.0630e+00,2.6005e+01,-4.7842e+02
