logfeh_mean,logdust,logNpix,tau,dmod,logl
-4.8248e-01,-3.4634e-01,1.9243e+00,5.3029e+00,2.5829e+01,-2.7445e+03
-3.8890e-01,-4.5031e-01,1.9881e+00,3.5887e+00,2.6045e+01,-2.1088e+03
-4.6748e-01,-4.8382e-01,2.0974e+00,2.0300e+00,2.6251e+01,-1.3358e+03
2.2669e-01,-7.2257e-01,2.0482e+00,1.7009e+00,2.5997e+01,-2.0573e+03
2.2220e-01,-7.4382e-01,1.9920e+00,1.8784e+00,2.5783e+01,-2.4715e+03
-3.2542e-01,-4.3085e-01,2.0967e+00,4.3321e+00,2.6340e+01,-1.4974e+03
5.8499e-02,-6.0530e-01,2.1028e+00,2.2118e+00,2.6119e+01,-2.6243e+03
-4.8433e-02,-5.2390e-01,2.0828e+00,3.8901e+00,2.6239e+01,-1.7714e+03
1.6068e-01,-5.8964e-01,2.0412e+00,3.8149e+00,2.5997e+01,-2.7088e+03
-3.3937e-01,-5.4566e-01,2.3320e+00,6.8361e-01,2.6912e+01,-2.4631e+03
1.4996e-01,-6.8614e-01,1.9143e+00,6.5069e-01,2.5655e+01,-2.8149e+03
-3.5662e-01,-5.0865e-01,2.0584e+00,1.2352e+00,2.6150e+01,-1.6994e+03
1.6097e-01,-7.3223e-01,2.0154e+00,3.7069e-01,2.5876e+01,-1.7868e+03
1.2339e-01,-6.0154e-01,1.8155e+00,2.4491e+00,2.5339e+01,-2.5401e+03
2.0124e-01,-6.6290e-01,1.8195e+00,2.3797e+00,2.5289e+01,-1.9009e+03
1.8636e-01,-6.5469e-01,1.8594e+00,2.4731e+00,2.5473e+01,-1.2707e+03
-4.5042e-01,-3.8606e-01,1.8792e+00,4.3481e+00,2.5675e+01,-2.1236e+03
1.0460e-01,-6.7738e-01,2.1623e+00,2.2353e+00,2.6386e+01,-2.3213e+03
-5.0163e-03,-5.5144e-01,1.8070e+00,3.2234e+00,2.5375e+01,-2.3270e+03
-2.7478e-01,-4.3060e-01,1.9912e+00,4.5106e+00,2.6010e+01,-1.8041e+03
-1.4242e-01,-5.6293e-01,2.0238e+00,1.8892e+00,2.5924e+01,-1.9441e+03
-9.8967e-02,-5.7277e-01,1.8513e+00,1.3276e+00,2.5475e+01,-1.9949e+03
-4.1299e-02,-4.7548e-01,1.9230e+00,3.9620e+00,2.5692e+01,-2.2339e+03
-2.1439e-01,-5.5195e-01,2.1480e+00,3.1163e-01,2.6360e+01,-1.8519e+03
-4.1287e-02,-6.3432e-01,1.9680e+00,1.4342e+00,2.5847e+01,-1.7635e+03
-1.7473e-01,-6.0818e-01,2.0670e+00,7.5389e-01,2.6157e+01,-2.5039e+03
1.4337e-01,-6.5560e-01,1.8707e+00,2.1386e+00,2.5463e+01,-1.3443e+03
-2.8023e-01,-5.1385e-01,2.0780e+00,2.2710e+00,2.6195e+01,-1.0436e+03
1.6565e-01,-5.6760e-01,1.9073e+00,3.3983e+00,2.5561e+01,-2.1021e+03
1.0055e-02,-5.9540e-01,1.7914e+00,2.4576e+00,2.5320e+01,-2.2780e+03
-1.8291e-01,-5.0912e-01,1.7927e+00,2.6286e+00,2.5316e+01,-2.6217e+03
-2.7476e-01,-4.1455e-01,2.0925e+00,4.5980e+00,2.6229e+01,-2.7024e+03
-4.9090e-02,-4.8262e-01,1.9650e+00,3.9802e+00,2.5852e+01,-2.0568e+03
-4.6275e-01,-4.6519e-01,1.9345e+00,2.4213e+00,2.5806e+01,-1.9869e+03
1.0721e-01,-7.0809e-01,1.9422e+00,1.5886e+00,2.5780e+01,-2.6776e+03
4.2476e-03,-5.4517e-01,1.9745e+00,2.8052e+00,2.5794e+01,-1.9873e+03
1.9776e-01,-6.8863e-01,1.9052e+00,1.1791e-01,2.5506e+01,-1.7415e+03
-2.2479e-01,-5.8132e-01,2.3161e+00,8.9640e-01,2.6859e+01,-2.6886e+03
-7.4947e-02,-5.2834e-01,2.0811e+00,2.9358e+00,2.6064e+01,-2.7509e+03
9.5591e-02,-5.7961e-01,2.0912e+00,3.6321e+00,2.6157e+01,-2.3217e+03
3.5881e-02,-6.2564e-01,1.8126e+00,2.3928e+00,2.5413e+01,-2.7707e+03
-5.6180e-02,-5.7488e-01,1.9873e+00,1.4165e+00,2.5848e+01,-2.3897e+03
1.7595e-01,-7.4367e-01,2.0805e+00,1.8792e+00,2.6142e+01,-2.0282e+03
-4.5283e-01,-4.3220e-01,2.1090e+00,3.4578e+00,2.6274e+01,-1.7654e+03
-4.5782e-01,-4.6795e-01,2.2217e+00,9.7308e-01,2.6510e+01,-2.7915e+03
2.0836e-01,-6.5594e-01,2.0279e+00,3.2181e+00,2.5974e+01,-1.6687e+03
-4.9811e-01,-3.5835e-01,1.9513e+00,4.8982e+00,2.5862e+01,-2.2135e+03
-4.0664e-01,-5.0941e-01,2.0400e+00,1.1036e+00,2.6132e+01,-2.0355e+03
5.1657e-02,-5.7038e-01,2.1044e+00,3.4347e+00,2.6242e+01,-1.6242e+03
-1.4054e-01,-5.9240e-01,2.0328e+00,1.7848e+00,2.6050e+01,-1.4913e+03
-4.6947e-01,-4.9550e-01,2.1083e+00,1.8920e+00,2.6291e+01,-1.8008e+03
-4.9419e-01,-4.0907e-01,2.3151e+00,4.7051e+00,2.7017e+01,-2.7155e+03
-3.7890e-01,-3.8615e-01,2.0122e+00,4.3458e+00,2.6028e+01,-2.6978e+03
-4.7664e-01,-4.3314e-01,2.2229e+00,3.5083e+00,2.6638e+01,-1.2951e+03
-1.1622e-01,-6.1108e-01,2.1747e+00,2.2200e-01,2.6427e+01,-1.7154e+03
-4.0820e-01,-4.6948e-01,2.1056e+00,2.0487e+00,2.6177e+01,-2.1882e+03
-2.2732e-01,-5.4205e-01,2.0836e+00,7.0374e-01,2.6176e+01,-1.5001e+03
-1.1655e-02,-5.7345e-01,2.0875e+00,2.9816e+00,2.6195e+01,-1.1507e+03
-3.1714e-01,-4.1072e-01,1.9937e+00,5.0086e+00,2.6080e+01,-2.3108e+03
-3.3222e-01,-4.4920e-01,2.0869e+00,3.6768e+00,2.6203e+01,-1.8610e+03
-1.7903e-01,-5.4816e-01,1.9544e+00,1.1678e+00,2.5811e+01,-2.0013e+03
1.8118e-02,-5.9831e-01,2.0001e+00,4.1967e-01,2.5808e+01,-2.4609e+03
-3.5686e-01,-5.3436e-01,2.3064e+00,1.8553e+00,2.6843e+01,-2.3030e+03
-4.0374e-01,-3.9989e-01,2.1855e+00,5.1863e+00,2.6605e+01,-2.4889e+03
-2.1523e-01,-5.8905e-01,2.1465e+00,1.4575e+00,2.6431e+01,-2.6099e+03
-1.2343e-01,-4.9029e-01,1.8989e+00,3.2228e+00,2.5602e+01,-1.6625e+03
-2.3311e-01,-5.1658e-01,2.1106e+00,3.0103e+00,2.6270e+01,-1.7209e+03
8.9019e-02,-7.0976e-01,1.9616e+00,9.0481e-01,2.5826e+01,-2.4700e+03
3.6898e-02,-5.7124e-01,2.0374e+00,2.5558e+00,2.5954e+01,-2.4205e+03
1.2642e-01,-6.7515e-01,2.1239e+00,1.9553e+00,2.6155e+01,-2.3961e+03
-1.5481e-01,-5.8698e-01,2.0932e+00,7.3808e-01,2.6133e+01,-2.2400e+03
-1.2122e-01,-4.8910e-01,1.8054e+00,3.0358e+00,2.5319e+01,-2.4843e+03
-1.1830e-01,-4.9162e-01,1.9092e+00,3.4355e+00,2.5734e+01,-2.5933e+03
-1.1401e-01,-5.7831e-01,2.0176e+00,2.4128e-01,2.5961e+01,-1.2081e+03
-4.8224e-01,-4.7372e-01,2.0576e+00,2.5225e+00,2.6159e+01,-1.9493e+03
1.3086e-01,-6.9218e-01,1.9819e+00,8.1096e-01,2.5775e+01,-1.2711e+03
-2.2093e-01,-5.2100e-01,2.1705e+00,2.7754e+00,2.6447e+01,-1.1905e+03
-1.0418e-03,-6.2426e-01,2.0800e+00,2.6736e+00,2.6142e+01,-2.5126e+03
-9.2741e-02,-5.7876e-01,2.2584e+00,2.4671e+00,2.6645e+01,-2.5051e+03
-2.5403e-01,-5.6107e-01,2.0481e+00,7.3155e-01,2.6122e+01,-1.6537e+03
1.1085e-01,-5.3667e-01,1.8019e+00,3.4860e+00,2.5266e+01,-2.6632e+03
8.7420e-02,-6.5402e-01,2.0083e+00,7.4396e-01,2.5841e+01,-1.4737e+03
-4.7377e-01,-4.2118e-01,1.8647e+00,2.9583e+00,2.5565e+01,-2.3319e+03
-3.5982e-02,-5.9614e-01,1.9338e+00,7.4937e-01,2.5621e+01,-2.2512e+03
5.4539e-02,-5.5879e-01,1.9352e+00,3.5562e+00,2.5740e+01,-1.4719e+03
-3.5458e-03,-5.6334e-01,1.8410e+00,2.5043e+00,2.5452e+01,-2.1161e+03
1.0310e-01,-6.6017e-01,1.9247e+00,2.0651e+00,2.5657e+01,-1.0602e+03
-1.8208e-01,-5.3452e-01,2.1473e+00,3.2155e+00,2.6390e+01,-2.2793e+03
-5.7500e-02,-5.7367e-01,1.9833e+00,1.8868e+00,2.5834e+01,-1.4034e+03
8.9729e-02,-5.4254e-01,1.7649e+00,3.1798e+00,2.5167e+01,-2.7829e+03
1.7687e-01,-6.6196e-01,2.0604e+00,2.7771e+00,2.5982e+01,-2.6300e+03
-3.9574e-01,-3.8064e-01,1.9539e+00,4.8699e+00,2.5859e+01,-2.4425e+03
-3.0808e-01,-4.8228e-01,2.0650e+00,2.1902e+00,2.6038e+01,-2.6625e+03
1.4742e-01,-6.2728e-01,1.9390e+00,2.1467e+00,2.5629e+01,-2.2756e+03
-1.7853e-01,-5.7956e-01,2.1971e+00,8.3575e-01,2.6431e+01,-2.3298e+03
-3.1104e-02,-6.2958e-01,2.1227e+00,1.0669e+00,2.6283e+01,-2.1792e+03
1.2478e-01,-7.1868e-01,2.1887e+00,1.6950e+00,2.6455e+01,-2.7170e+03
-2.8177e-01,-5.2504e-01,1.9337e+00,1.2081e+00,2.5793e+01,-2.5408e+03
-9.0442e-02,-6.0430e-01,1.9572e+00,1.2481e+00,2.5755e+01,-2.5093e+03
-1.4104e-02,-6.2813e-01,2.0187e+00,2.3946e+00,2.5989e+01,-1.7517e+03
-3.7597e-01,-4.5063e-01,2.1810e+00,3.3352e+00,2.6458e+01,-1.8616e+03
-2.1718e-02,-5.3415e-01,2.1018e+00,4.0751e+00,2.6275e+01,-2.6785e+03
-4.3719e-01,-4.6993e-01,2.1015e+00,9.7691e-01,2.6202e+01,-2.0083e+03
1.1392e-01,-7.1990e-01,2.1489e+00,9.3363e-01,2.6334e+01,-2.1840e+03
-2.1113e-01,-5.1313e-01,2.1226e+00,3.3893e+00,2.6398e+01,-1.6707e+03
2.3588e-01,-6.3193e-01,1.7471e+00,2.7738e+00,2.5075e+01,-2.3134e+03
2.0783e-01,-7.5630e-01,2.0286e+00,1.7289e+00,2.5958e+01,-1.7721e+03
-3.6458e-02,-5.6227e-01,1.8622e+00,2.3857e+00,2.5546e+01,-2.5066e+03
2.4880e-01,-6.8209e-01,1.7552e+00,2.1371e+00,2.5107e+01,-1.9875e+03
-1.8143e-01,-5.4349e-01,2.1192e+00,1.5611e+00,2.6205e+01,-2.0797e+03
-3.5675e-02,-6.3135e-01,2.0650e+00,4.6886e-01,2.6067e+01,-1.2190e+03
-4.2776e-01,-5.0592e-01,2.0271e+00,1.5199e+00,2.6056e+01,-1.9201e+03
7.9951e-02,-6.4236e-01,1.8225e+00,1.1036e+00,2.5324e+01,-1.9627e+03
