logfeh_mean,logdust_med,logNpix,tau,logl
-1.9661e-01,-6.2611e-01,1.9909e+00,2.8411e+00,-1.0086e+03
-2.9597e-01,-4.5020e-01,1.9980e+00,3.0206e+00,-9.9129e+02
-2.3287e-01,-5.6493e-01,1.9916e+00,2.8846e+00,-9.6776e+02
-2.7989e-01,-5.4610e-01,1.9996e+00,2.4832e+00,-1.0246e+03
-2.5699e-01,-5.2224e-01,2.0006e+00,2.8172e+00,-9.4988e+02
-2.2585e-01,-5.4988e-01,1.9993e+00,2.9343e+00,-1.0113e+03
-2.5894e-01,-4.7537e-01,1.9987e+00,3.1126e+00,-1.0313e+03
-2.3466e-01,-5.6428e-01,1.9884e+00,3.0275e+00,-1.0079e+03
-3.3632e-01,-4.1148e-01,2.0011e+00,2.8217e+00,-1.0266e+03
-1.9562e-01,-5.5096e-01,1.9877e+00,3.1461e+00,-1.0186e+03
-2.3815e-01,-4.8930e-01,1.9976e+00,3.1425e+00,-1.0260e+03
-2.3524e-01,-5.1562e-01,1.9959e+00,2.9528e+00,-9.9803e+02
-2.8401e-01,-4.8739e-01,1.9994e+00,2.9220e+00,-1.0317e+03
-3.2180e-01,-4.7270e-01,1.9993e+00,2.5649e+00,-1.0093e+03
-2.3858e-01,-5.0151e-01,1.9974e+00,3.0982e+00,-1.0006e+03
-2.7901e-01,-5.4066e-01,1.9932e+00,2.6997e+00,-1.0049e+03
-2.5048e-01,-5.3439e-01,1.9984e+00,2.7695e+00,-9.6713e+02
-2.7224e-01,-4.9185e-01,1.9996e+00,2.7588e+00,-1.0188e+03
-2.9777e-01,-5.3946e-01,1.9948e+00,2.4421e+00,-1.0311e+03
-3.4748e-01,-4.1452e-01,2.0025e+00,2.7594e+00,-1.0252e+03
-2.7996e-01,-5.1861e-01,1.9988e+00,2.7976e+00,-1.0114e+03
-2.0745e-01,-5.4853e-01,1.9964e+00,3.1164e+00,-1.0152e+03
-2.3607e-01,-5.7227e-01,1.9870e+00,2.9989e+00,-1.0296e+03
-3.3366e-01,-5.0825e-01,1.9991e+00,2.3992e+00,-1.0287e+03
-1.3210e-01,-6.4256e-01,1.9924e+00,2.9990e+00,-1.0234e+03
-3.3438e-01,-4.5214e-01,2.0061e+00,2.5646e+00,-1.0148e+03
-2.6256e-01,-5.5848e-01,1.9983e+00,2.4962e+00,-1.0234e+03
-2.9051e-01,-5.2961e-01,1.9987e+00,2.4823e+00,-9.9960e+02
-3.3735e-01,-4.7173e-01,2.0035e+00,2.3814e+00,-1.0118e+03
-2.9999e-01,-5.2482e-01,1.9947e+00,2.6411e+00,-1.0175e+03
-2.2999e-01,-5.5204e-01,1.9869e+00,3.0184e+00,-1.0138e+03
-2.6640e-01,-4.7513e-01,2.0011e+00,3.0022e+00,-1.0252e+03
-2.2787e-01,-5.6939e-01,1.9894e+00,3.0043e+00,-1.0153e+03
-2.4109e-01,-5.2245e-01,2.0009e+00,2.9067e+00,-9.9506e+02
-1.8519e-01,-5.8335e-01,1.9913e+00,3.0390e+00,-1.0223e+03
-3.5176e-01,-3.8990e-01,2.0077e+00,2.8561e+00,-1.0262e+03
-2.6744e-01,-4.8644e-01,1.9944e+00,2.9657e+00,-1.0124e+03
-2.1652e-01,-5.1398e-01,1.9932e+00,3.1095e+00,-1.0163e+03
-2.8285e-01,-5.2314e-01,2.0012e+00,2.6439e+00,-1.0276e+03
-3.1062e-01,-4.3003e-01,1.9972e+00,2.9066e+00,-1.0283e+03
-2.4718e-01,-5.3238e-01,1.9971e+00,2.9952e+00,-1.0275e+03
-2.1160e-01,-5.4567e-01,1.9886e+00,3.1636e+00,-1.0247e+03
-3.0135e-01,-5.0234e-01,2.0012e+00,2.4856e+00,-1.0250e+03
-2.3520e-01,-5.2014e-01,1.9965e+00,2.9799e+00,-9.6018e+02
-2.9897e-01,-4.7831e-01,2.0041e+00,2.7114e+00,-1.0145e+03
-2.3752e-01,-5.3107e-01,1.9919e+00,2.9445e+00,-9.8952e+02
-2.9905e-01,-5.0197e-01,1.9977e+00,2.7559e+00,-1.0181e+03
-3.4534e-01,-4.6511e-01,1.9972e+00,2.5074e+00,-1.0155e+03
-2.4721e-01,-5.3710e-01,2.0039e+00,2.7658e+00,-1.0249e+03
-2.1912e-01,-4.9280e-01,1.9954e+00,3.2443e+00,-1.0156e+03
-2.0414e-01,-5.6714e-01,1.9940e+00,2.9048e+00,-1.0075e+03
-2.2586e-01,-4.9395e-01,1.9948e+00,3.1972e+00,-9.9402e+02
-2.8745e-01,-5.5351e-01,1.9974e+00,2.4939e+00,-1.0266e+03
-2.6334e-01,-5.2757e-01,1.9953e+00,2.6867e+00,-1.0294e+03
-2.5767e-01,-4.9605e-01,1.9910e+00,3.1738e+00,-1.0274e+03
-3.1719e-01,-4.6172e-01,1.9962e+00,2.8503e+00,-1.0173e+03
-2.3639e-01,-4.9159e-01,2.0022e+00,2.9784e+00,-1.0284e+03
-2.9460e-01,-4.6194e-01,2.0048e+00,2.7302e+00,-1.0225e+03
-2.8216e-01,-4.8664e-01,2.0025e+00,2.6690e+00,-1.0162e+03
-2.2566e-01,-5.4113e-01,1.9897e+00,3.0479e+00,-9.9570e+02
-2.8641e-01,-4.6540e-01,2.0040e+00,2.7503e+00,-1.0270e+03
-2.0609e-01,-5.5856e-01,1.9967e+00,2.8883e+00,-9.4851e+02
-2.2148e-01,-5.6118e-01,1.9878e+00,3.0587e+00,-9.8672e+02
-2.2568e-01,-5.7033e-01,1.9968e+00,2.8008e+00,-9.7786e+02
-2.7589e-01,-5.2859e-01,1.9994e+00,2.6528e+00,-9.9534e+02
-3.4488e-01,-4.5136e-01,2.0022e+00,2.5823e+00,-1.0258e+03
-2.3330e-01,-5.2878e-01,1.9994e+00,3.0000e+00,-9.7066e+02
-2.3025e-01,-5.2083e-01,2.0040e+00,2.9052e+00,-1.0037e+03
-2.2215e-01,-5.6988e-01,1.9977e+00,2.7080e+00,-1.0005e+03
-2.6858e-01,-5.5131e-01,1.9944e+00,2.6265e+00,-1.0074e+03
-1.9788e-01,-5.9856e-01,1.9950e+00,2.8264e+00,-9.6700e+02
-2.8342e-01,-5.5572e-01,1.9976e+00,2.4892e+00,-1.0309e+03
-2.5337e-01,-5.4165e-01,1.9888e+00,2.9308e+00,-9.8447e+02
-3.3599e-01,-4.6494e-01,2.0017e+00,2.5764e+00,-9.9821e+02
-2.8010e-01,-4.9399e-01,1.9975e+00,2.8971e+00,-9.7446e+02
-3.1406e-01,-4.7822e-01,1.9938e+00,2.6622e+00,-1.0109e+03
-2.1558e-01,-5.6822e-01,2.0016e+00,2.8349e+00,-1.0084e+03
-2.2030e-01,-5.8069e-01,1.9968e+00,2.7501e+00,-1.0024e+03
-2.8932e-01,-5.0834e-01,1.9991e+00,2.5953e+00,-1.0072e+03
-3.1340e-01,-4.4072e-01,1.9968e+00,2.8265e+00,-1.0176e+03
-2.2381e-01,-5.9398e-01,1.9888e+00,2.8029e+00,-1.0089e+03
-2.4200e-01,-5.7693e-01,1.9953e+00,2.5813e+00,-1.0241e+03
-3.1856e-01,-4.7209e-01,2.0007e+00,2.5766e+00,-9.9255e+02
-2.9661e-01,-5.1677e-01,1.9963e+00,2.6517e+00,-1.0034e+03
-2.4828e-01,-4.9887e-01,1.9932e+00,3.0497e+00,-1.0047e+03
-2.4105e-01,-5.1505e-01,1.9980e+00,3.0101e+00,-1.0078e+03
-2.2659e-01,-5.7093e-01,1.9888e+00,2.9701e+00,-1.0112e+03
-3.0656e-01,-4.9611e-01,1.9959e+00,2.7755e+00,-9.9649e+02
-2.1922e-01,-5.4938e-01,1.9917e+00,2.9207e+00,-1.0157e+03
-2.5159e-01,-5.5206e-01,1.9921e+00,2.8166e+00,-9.6642e+02
-2.3248e-01,-5.6696e-01,1.9982e+00,2.6778e+00,-9.9490e+02
-1.8692e-01,-5.6482e-01,1.9937e+00,3.1310e+00,-1.0284e+03
-2.5407e-01,-5.1396e-01,2.0023e+00,2.9081e+00,-9.9836e+02
-2.2388e-01,-5.0578e-01,2.0052e+00,2.9815e+00,-1.0097e+03
-2.6442e-01,-5.4062e-01,1.9914e+00,2.8981e+00,-1.0100e+03
-2.7226e-01,-4.9197e-01,2.0022e+00,2.8598e+00,-9.8599e+02
-3.5005e-01,-4.4524e-01,2.0008e+00,2.6539e+00,-1.0297e+03
-2.9417e-01,-5.2824e-01,1.9969e+00,2.4358e+00,-1.0314e+03
-2.1582e-01,-5.9551e-01,1.9982e+00,2.7782e+00,-1.0276e+03
-2.0597e-01,-6.0655e-01,1.9917e+00,2.7737e+00,-1.0095e+03
-2.2075e-01,-4.9540e-01,1.9973e+00,3.2289e+00,-1.0028e+03
-3.1003e-01,-4.2405e-01,2.0064e+00,2.7943e+00,-1.0310e+03
-3.0652e-01,-5.1909e-01,1.9970e+00,2.5895e+00,-1.0166e+03
-2.3421e-01,-5.0857e-01,1.9970e+00,2.9970e+00,-9.9176e+02
-2.6655e-01,-4.6246e-01,2.0035e+00,2.9728e+00,-1.0312e+03
-1.7541e-01,-5.6719e-01,1.9934e+00,3.1870e+00,-1.0297e+03
-3.3317e-01,-4.6747e-01,1.9994e+00,2.5511e+00,-1.0230e+03
-2.3769e-01,-4.7113e-01,1.9986e+00,3.1483e+00,-1.0238e+03
-2.1964e-01,-5.2930e-01,2.0010e+00,2.9037e+00,-1.0111e+03
-3.0479e-01,-5.1116e-01,1.9995e+00,2.5821e+00,-1.0035e+03
-2.1400e-01,-5.7523e-01,1.9876e+00,3.0472e+00,-1.0322e+03
-2.3985e-01,-5.7966e-01,1.9920e+00,2.6851e+00,-1.0192e+03
-3.0637e-01,-4.5949e-01,1.9956e+00,2.8522e+00,-1.0143e+03
-2.9182e-01,-5.3730e-01,1.9942e+00,2.5639e+00,-1.0322e+03
-1.9370e-01,-6.1588e-01,1.9926e+00,2.8927e+00,-1.0114e+03
-2.6437e-01,-4.9510e-01,2.0014e+00,2.8126e+00,-1.0081e+03
-2.2350e-01,-5.3755e-01,2.0018e+00,2.9080e+00,-9.8338e+02
-2.2348e-01,-5.1207e-01,1.9959e+00,3.1612e+00,-9.4999e+02
-2.3447e-01,-5.4330e-01,1.9952e+00,2.9323e+00,-9.5303e+02
-2.4323e-01,-5.6032e-01,1.9951e+00,2.7508e+00,-1.0032e+03
-2.8958e-01,-5.2706e-01,1.9905e+00,2.7497e+00,-1.0078e+03
-1.8840e-01,-6.0463e-01,1.9889e+00,2.9938e+00,-1.0209e+03
-2.3823e-01,-5.2495e-01,1.9971e+00,2.8852e+00,-9.8462e+02
-2.0646e-01,-5.1317e-01,1.9989e+00,3.0682e+00,-9.9744e+02
-2.6585e-01,-5.4605e-01,1.9925e+00,2.7315e+00,-1.0019e+03
-2.8909e-01,-5.2357e-01,1.9925e+00,2.7960e+00,-1.0309e+03
-2.2772e-01,-5.0243e-01,2.0004e+00,3.0540e+00,-9.6767e+02
-1.9342e-01,-5.4298e-01,1.9920e+00,3.2230e+00,-1.0199e+03
-2.6989e-01,-4.9340e-01,1.9918e+00,2.9434e+00,-1.0081e+03
-2.6305e-01,-4.7094e-01,1.9939e+00,3.0506e+00,-1.0278e+03
-3.1815e-01,-4.6890e-01,1.9918e+00,2.8014e+00,-1.0027e+03
-2.1144e-01,-5.7384e-01,2.0027e+00,2.7696e+00,-1.0176e+03
-1.4509e-01,-5.8938e-01,1.9925e+00,3.1788e+00,-1.0200e+03
-2.6072e-01,-4.8663e-01,2.0036e+00,2.7730e+00,-1.0118e+03
-2.7343e-01,-5.3358e-01,1.9990e+00,2.6923e+00,-1.0167e+03
-3.0259e-01,-4.7269e-01,1.9939e+00,2.8977e+00,-1.0285e+03
-2.2416e-01,-5.6500e-01,1.9921e+00,2.9080e+00,-9.7261e+02
-1.9789e-01,-6.0437e-01,1.9954e+00,2.8279e+00,-1.0111e+03
-3.3901e-01,-4.7387e-01,2.0033e+00,2.4604e+00,-1.0236e+03
-2.7591e-01,-5.4565e-01,1.9982e+00,2.5169e+00,-9.7952e+02
-2.0147e-01,-4.7529e-01,2.0022e+00,3.3080e+00,-1.0316e+03
-2.2383e-01,-5.4429e-01,2.0017e+00,2.8107e+00,-9.8979e+02
-1.9034e-01,-6.1567e-01,1.9884e+00,3.0121e+00,-1.0282e+03
-2.2635e-01,-4.9674e-01,1.9972e+00,3.2314e+00,-9.9017e+02
-3.1041e-01,-5.0707e-01,1.9918e+00,2.5328e+00,-1.0173e+03
-2.1741e-01,-5.1520e-01,1.9926e+00,3.2519e+00,-1.0224e+03
-2.4130e-01,-5.4396e-01,1.9944e+00,2.8642e+00,-9.9320e+02
-2.7501e-01,-5.3615e-01,1.9884e+00,2.8235e+00,-1.0283e+03
-2.4638e-01,-4.9306e-01,1.9905e+00,3.1955e+00,-1.0220e+03
