logfeh_mean,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
-7.3302e-02,-1.9872e+00,-1.9825e+00,-1.8221e-01,-7.6557e-01,1.6309e+00,1.5815e+00,-1.3445e+04
-6.4979e-02,-1.9738e+00,-8.8046e-01,-4.7043e-01,-1.3029e+00,1.6706e+00,1.5283e+00,-1.3438e+04
-6.2344e-02,-1.9191e+00,-7.5906e-01,-7.3771e-01,-8.1161e-01,1.6449e+00,1.5763e+00,-1.3466e+04
-9.3736e-02,-1.7681e+00,-8.5430e-01,-5.6656e-01,-1.3005e+00,1.6719e+00,1.5164e+00,-1.3466e+04
-8.8590e-02,-1.7525e+00,-9.7062e-01,-4.1460e-01,-1.2477e+00,1.6808e+00,1.5165e+00,-1.3465e+04
-8.2673e-02,-1.8452e+00,-1.1231e+00,-3.6015e-01,-1.3057e+00,1.6631e+00,1.5412e+00,-1.3394e+04
-7.1305e-02,-1.9886e+00,-2.3950e+00,-1.8695e-01,-6.7762e-01,1.6509e+00,1.5315e+00,-1.3342e+04
-6.8427e-02,-1.9537e+00,-7.4833e-01,-5.7041e-01,-1.2616e+00,1.6646e+00,1.5132e+00,-1.3349e+04
-7.2638e-02,-1.9450e+00,-2.3680e+00,-2.3437e-01,-1.1038e+00,1.6587e+00,1.5369e+00,-1.3444e+04
-5.9525e-02,-1.8541e+00,-7.8620e-01,-7.8326e-01,-9.6499e-01,1.6822e+00,1.5042e+00,-1.3418e+04
-8.5902e-02,-1.9178e+00,-2.4234e+00,-3.0582e-01,-1.2794e+00,1.6512e+00,1.5607e+00,-1.3478e+04
-1.0212e-01,-1.8450e+00,-7.3615e-01,-1.4850e+00,-1.3251e+00,1.6549e+00,1.5434e+00,-1.3473e+04
-6.1235e-02,-1.9503e+00,-7.4701e-01,-7.2580e-01,-1.0965e+00,1.6504e+00,1.5701e+00,-1.3306e+04
-5.1565e-02,-1.9932e+00,-8.1892e-01,-6.0573e-01,-6.7874e-01,1.6657e+00,1.5536e+00,-1.3459e+04
-7.6398e-02,-1.8943e+00,-1.4550e+00,-2.7821e-01,-9.0947e-01,1.6508e+00,1.5456e+00,-1.3416e+04
