logfeh_mean,logdust,logNpix,tau,dmod,logl
-4.9592e-01,-1.9572e+00,2.6054e+00,4.5368e+00,2.6810e+01,-1.8027e+04
-4.8084e-01,-1.9261e+00,2.5357e+00,4.4683e+00,2.6595e+01,-1.8059e+04
-4.8554e-01,-1.8991e+00,2.5359e+00,4.3838e+00,2.6601e+01,-1.7852e+04
-4.7754e-01,-1.9124e+00,2.5365e+00,4.5529e+00,2.6593e+01,-1.7986e+04
-4.8285e-01,-1.9435e+00,2.5279e+00,4.3555e+00,2.6560e+01,-1.8028e+04
-4.8782e-01,-1.9555e+00,2.5288e+00,4.3433e+00,2.6565e+01,-1.8053e+04
-4.9899e-01,-1.9480e+00,2.6101e+00,4.5643e+00,2.6832e+01,-1.7827e+04
-4.8659e-01,-1.8531e+00,2.5710e+00,4.6198e+00,2.6719e+01,-1.8083e+04
-4.8511e-01,-1.8720e+00,2.5399e+00,4.4503e+00,2.6603e+01,-1.8020e+04
-4.9368e-01,-1.9951e+00,2.5750e+00,4.2669e+00,2.6698e+01,-1.7735e+04
-4.9299e-01,-1.9020e+00,2.5309e+00,4.3392e+00,2.6572e+01,-1.7940e+04
-4.9735e-01,-1.9568e+00,2.5939e+00,4.5574e+00,2.6780e+01,-1.7981e+04
-4.9217e-01,-1.8705e+00,2.5795e+00,4.4910e+00,2.6729e+01,-1.7731e+04
-4.7638e-01,-1.8627e+00,2.5554e+00,4.5874e+00,2.6643e+01,-1.8056e+04
-4.7592e-01,-1.9168e+00,2.5674e+00,4.5370e+00,2.6695e+01,-1.8060e+04
-4.8937e-01,-1.9913e+00,2.5432e+00,4.2530e+00,2.6607e+01,-1.7909e+04
-4.8859e-01,-1.9761e+00,2.5598e+00,4.3461e+00,2.6654e+01,-1.8013e+04
-4.7963e-01,-1.9951e+00,2.5676e+00,4.4164e+00,2.6681e+01,-1.7877e+04
-4.8139e-01,-1.9832e+00,2.5717e+00,4.4514e+00,2.6698e+01,-1.7917e+04
-4.8581e-01,-1.8627e+00,2.5366e+00,4.4533e+00,2.6594e+01,-1.7921e+04
-4.7916e-01,-1.9909e+00,2.5338e+00,4.4700e+00,2.6582e+01,-1.8075e+04
-4.8217e-01,-1.9979e+00,2.5670e+00,4.4751e+00,2.6690e+01,-1.8042e+04
-4.8053e-01,-1.9597e+00,2.5704e+00,4.5638e+00,2.6703e+01,-1.8021e+04
-4.9210e-01,-1.9904e+00,2.5775e+00,4.3720e+00,2.6713e+01,-1.7967e+04
-4.9105e-01,-1.9639e+00,2.6217e+00,4.6520e+00,2.6857e+01,-1.7935e+04
-4.8181e-01,-1.8730e+00,2.5259e+00,4.4928e+00,2.6566e+01,-1.8066e+04
-4.8892e-01,-1.9498e+00,2.6064e+00,4.5020e+00,2.6794e+01,-1.7937e+04
-4.7776e-01,-1.9714e+00,2.5571e+00,4.4528e+00,2.6644e+01,-1.7954e+04
-4.7773e-01,-1.9639e+00,2.5605e+00,4.4994e+00,2.6658e+01,-1.7778e+04
-4.7845e-01,-1.9614e+00,2.5619e+00,4.4665e+00,2.6657e+01,-1.7901e+04
-4.8032e-01,-1.9292e+00,2.5921e+00,4.4419e+00,2.6749e+01,-1.8086e+04
-4.7889e-01,-1.8621e+00,2.5521e+00,4.5549e+00,2.6636e+01,-1.8033e+04
-4.7788e-01,-1.9034e+00,2.5720e+00,4.5967e+00,2.6708e+01,-1.8019e+04
-4.8984e-01,-1.9545e+00,2.5611e+00,4.4275e+00,2.6667e+01,-1.8042e+04
-4.8384e-01,-1.8781e+00,2.5635e+00,4.5853e+00,2.6692e+01,-1.7832e+04
-4.8733e-01,-1.9779e+00,2.5299e+00,4.2851e+00,2.6565e+01,-1.8064e+04
-4.7741e-01,-1.9341e+00,2.5575e+00,4.5960e+00,2.6672e+01,-1.8065e+04
-4.7210e-01,-1.9823e+00,2.5589e+00,4.5019e+00,2.6658e+01,-1.7943e+04
-4.7783e-01,-1.9734e+00,2.5528e+00,4.5234e+00,2.6657e+01,-1.8092e+04
-4.9869e-01,-1.9407e+00,2.5921e+00,4.5984e+00,2.6770e+01,-1.7987e+04
-4.8584e-01,-1.9592e+00,2.5819e+00,4.3427e+00,2.6712e+01,-1.7785e+04
-4.7900e-01,-1.9860e+00,2.5627e+00,4.5199e+00,2.6671e+01,-1.7632e+04
-4.9247e-01,-1.9789e+00,2.5752e+00,4.4016e+00,2.6709e+01,-1.7826e+04
-4.8149e-01,-1.9784e+00,2.5729e+00,4.6050e+00,2.6719e+01,-1.7711e+04
-4.9836e-01,-1.9842e+00,2.6025e+00,4.4855e+00,2.6796e+01,-1.7982e+04
-4.8339e-01,-1.9082e+00,2.5661e+00,4.5115e+00,2.6682e+01,-1.8020e+04
-4.8346e-01,-1.9608e+00,2.5630e+00,4.4570e+00,2.6673e+01,-1.7780e+04
-4.9927e-01,-1.9744e+00,2.5800e+00,4.3362e+00,2.6718e+01,-1.8040e+04
-4.9013e-01,-1.8631e+00,2.5992e+00,4.6429e+00,2.6794e+01,-1.8017e+04
-4.8648e-01,-1.9831e+00,2.5751e+00,4.5418e+00,2.6730e+01,-1.7816e+04
-4.9375e-01,-1.9321e+00,2.5299e+00,4.4028e+00,2.6575e+01,-1.7950e+04
-4.8219e-01,-1.9670e+00,2.5209e+00,4.3924e+00,2.6552e+01,-1.7952e+04
-4.7356e-01,-1.9700e+00,2.5781e+00,4.5009e+00,2.6718e+01,-1.8049e+04
-4.8943e-01,-1.9619e+00,2.5113e+00,4.4450e+00,2.6529e+01,-1.8072e+04
