niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logNpix,tau
1.0000e+00,1.0000e+00,1.9960e-01,-1.6393e+05,-1.6393e+05,-1.9980e-03,-1.6393e+05,1.1750e-01,6.9098e+00,inf,5.9280e+02,2.2392e-01,-5.0297e-02,4.1036e+00,8.3104e-01
2.0000e+00,1.0000e+00,3.9841e-01,-1.6392e+05,-1.6392e+05,-3.9960e-03,-1.6392e+05,1.1751e-01,6.9110e+00,6.8693e+04,5.9396e+02,-5.9021e-02,-9.7485e-01,4.9782e+00,6.5912e-01
3.0000e+00,1.0000e+00,5.9642e-01,-1.6386e+05,-1.6387e+05,-5.9940e-03,-1.6387e+05,1.1753e-01,6.9138e+00,6.8682e+04,5.9512e+02,-8.5755e-02,-8.1427e-01,4.9620e+00,8.5790e-01
4.0000e+00,1.0000e+00,7.9365e-01,-1.6379e+05,-1.6380e+05,-7.9920e-03,-1.6380e+05,1.1755e-01,6.9157e+00,6.8627e+04,5.9629e+02,2.0505e-01,-1.1974e-01,3.9163e+00,2.3675e-01
5.0000e+00,1.0000e+00,9.9010e-01,-1.6375e+05,-1.6376e+05,-9.9900e-03,-1.6376e+05,1.1757e-01,6.9177e+00,6.8556e+04,5.9746e+02,2.2360e-01,-3.2409e-02,4.8601e+00,1.5590e+00
6.0000e+00,1.0000e+00,1.1858e+00,-1.6373e+05,-1.6373e+05,-1.1988e-02,-1.6373e+05,1.1758e-01,6.9197e+00,6.8514e+04,5.9862e+02,1.6303e-01,-4.3295e-01,4.9890e+00,1.5120e+00
7.0000e+00,1.0000e+00,1.3807e+00,-1.6372e+05,-1.6373e+05,-1.3986e-02,-1.6373e+05,1.1054e-01,6.1153e+00,6.8491e+04,5.9976e+02,1.7170e-01,-8.9924e-02,4.2578e+00,1.3447e+00
8.0000e+00,2.0000e+00,1.5717e+00,-1.6370e+05,-1.6370e+05,-1.5984e-02,-1.6370e+05,1.1762e-01,6.9237e+00,6.8489e+04,6.0204e+02,-4.6090e-01,-9.0727e-01,4.7740e+00,1.4284e+00
9.0000e+00,1.0000e+00,1.7647e+00,-1.6367e+05,-1.6368e+05,-1.7982e-02,-1.6368e+05,1.1763e-01,6.9257e+00,6.8460e+04,6.0319e+02,2.1493e-01,-1.1461e-01,4.5586e+00,3.5128e-01
1.0000e+01,1.0000e+00,1.9569e+00,-1.6367e+05,-1.6367e+05,-1.9980e-02,-1.6367e+05,1.1130e-01,6.2002e+00,6.8434e+04,6.0438e+02,-5.6626e-02,-6.8850e-01,4.8368e+00,5.0014e-01
1.1000e+01,1.0000e+00,2.1484e+00,-1.6367e+05,-1.6367e+05,-2.1978e-02,-1.6367e+05,1.0880e-01,5.9249e+00,6.8432e+04,6.0553e+02,1.9538e-01,-1.7220e-01,3.7855e+00,1.2105e+00
1.2000e+01,1.0000e+00,2.3392e+00,-1.6365e+05,-1.6366e+05,-2.3976e-02,-1.6366e+05,1.1768e-01,6.9317e+00,6.8431e+04,6.0669e+02,-1.7188e-01,-2.9075e-02,4.5477e+00,1.1410e+00
1.3000e+01,1.0000e+00,2.5292e+00,-1.6364e+05,-1.6365e+05,-2.5974e-02,-1.6365e+05,1.1736e-01,6.8934e+00,6.8415e+04,6.0786e+02,1.2576e-01,-2.6862e-01,4.9229e+00,1.0059e+00
1.4000e+01,1.0000e+00,2.7184e+00,-1.6362e+05,-1.6362e+05,-2.7972e-02,-1.6362e+05,1.1772e-01,6.9357e+00,6.8409e+04,6.0901e+02,2.2683e-01,-2.5070e-01,4.8655e+00,7.9845e-01
1.5000e+01,1.0000e+00,2.9070e+00,-1.6361e+05,-1.6362e+05,-2.9970e-02,-1.6362e+05,1.0826e-01,5.8654e+00,6.8380e+04,6.1017e+02,2.3054e-01,-2.4578e-01,4.8334e+00,3.9785e-01
1.6000e+01,1.0000e+00,3.0948e+00,-1.6361e+05,-1.6362e+05,-3.1968e-02,-1.6362e+05,1.1549e-01,6.6755e+00,6.8379e+04,6.1132e+02,-2.9304e-01,-4.1694e-01,4.8599e+00,5.5263e-01
1.7000e+01,1.0000e+00,3.2819e+00,-1.6361e+05,-1.6362e+05,-3.3966e-02,-1.6362e+05,1.0746e-01,5.7793e+00,6.8375e+04,6.1253e+02,1.1177e-01,-9.0796e-01,4.7756e+00,2.2987e-01
1.8000e+01,1.0000e+00,3.4682e+00,-1.6358e+05,-1.6358e+05,-3.5964e-02,-1.6358e+05,1.1779e-01,6.9437e+00,6.8374e+04,6.1368e+02,-1.7897e-01,-7.4162e-01,4.7305e+00,1.4689e+00
1.9000e+01,1.0000e+00,3.6538e+00,-1.6357e+05,-1.6358e+05,-3.7962e-02,-1.6358e+05,1.1592e-01,6.7256e+00,6.8341e+04,6.1487e+02,2.3991e-01,-2.1079e-01,4.2287e+00,1.3504e+00
2.0000e+01,1.0000e+00,3.8388e+00,-1.6357e+05,-1.6357e+05,-3.9960e-02,-1.6357e+05,1.1745e-01,6.9042e+00,6.8337e+04,6.1609e+02,-2.9966e-01,-1.9783e-01,4.7993e+00,9.0254e-01
2.1000e+01,1.0000e+00,4.0230e+00,-1.6356e+05,-1.6357e+05,-4.1958e-02,-1.6357e+05,1.1751e-01,6.9107e+00,6.8331e+04,6.1726e+02,1.0429e-01,-5.1573e-01,4.7534e+00,1.3026e+00
2.2000e+01,1.0000e+00,4.2065e+00,-1.6356e+05,-1.6356e+05,-4.3956e-02,-1.6356e+05,1.1694e-01,6.8447e+00,6.8326e+04,6.1853e+02,-1.6703e-01,-7.5233e-02,4.3429e+00,7.4403e-01
2.3000e+01,1.0000e+00,4.3893e+00,-1.6355e+05,-1.6356e+05,-4.5954e-02,-1.6356e+05,1.1495e-01,6.6136e+00,6.8321e+04,6.1969e+02,-2.2098e-02,-8.3405e-01,4.7482e+00,8.5498e-01
2.4000e+01,1.0000e+00,4.5714e+00,-1.6354e+05,-1.6354e+05,-4.7952e-02,-1.6354e+05,1.1789e-01,6.9557e+00,6.8318e+04,6.2085e+02,7.6023e-02,-8.0563e-01,4.7257e+00,3.2690e-01
2.5000e+01,1.0000e+00,4.7529e+00,-1.6353e+05,-1.6354e+05,-4.9950e-02,-1.6354e+05,1.1754e-01,6.9153e+00,6.8302e+04,6.2202e+02,1.6133e-01,-2.3733e-01,3.9288e+00,6.8396e-01
2.6000e+01,1.0000e+00,4.9336e+00,-1.6353e+05,-1.6354e+05,-5.1948e-02,-1.6354e+05,1.0868e-01,5.9114e+00,6.8296e+04,6.2319e+02,8.7792e-02,-3.9400e-01,4.7435e+00,7.7891e-01
2.7000e+01,1.0000e+00,5.1136e+00,-1.6352e+05,-1.6353e+05,-5.3946e-02,-1.6353e+05,1.1776e-01,6.9401e+00,6.8295e+04,6.2436e+02,1.8245e-01,-8.7670e-01,4.7896e+00,1.7200e+00
2.8000e+01,1.0000e+00,5.2930e+00,-1.6352e+05,-1.6353e+05,-5.5944e-02,-1.6353e+05,1.1186e-01,6.2623e+00,6.8288e+04,6.2552e+02,2.4579e-01,-4.3294e-01,4.7231e+00,8.2025e-01
2.9000e+01,1.0000e+00,5.4717e+00,-1.6351e+05,-1.6352e+05,-5.7942e-02,-1.6352e+05,1.1796e-01,6.9642e+00,6.8286e+04,6.2668e+02,-4.5696e-01,-8.5255e-02,4.6613e+00,1.3561e+00
3.0000e+01,1.0000e+00,5.6497e+00,-1.6351e+05,-1.6352e+05,-5.9940e-02,-1.6352e+05,1.0953e-01,6.0041e+00,6.8277e+04,6.2787e+02,-2.2254e-01,-6.3443e-02,3.9661e+00,1.0901e+00
