logfeh_mean,logdust,logNpix,tau,logl
-7.8300e-02,-1.0971e+00,2.9365e+00,2.8266e+00,-2.0752e+03
-3.1985e-02,-1.1700e+00,2.9423e+00,2.8285e+00,-2.0646e+03
7.9235e-03,-1.2422e+00,2.9466e+00,2.7707e+00,-2.0589e+03
-2.4197e-02,-1.1668e+00,2.9442e+00,2.8116e+00,-2.0855e+03
-2.3235e-02,-1.1792e+00,2.9433e+00,2.7694e+00,-2.0392e+03
-5.3357e-02,-1.1275e+00,2.9422e+00,2.7993e+00,-2.0473e+03
-4.1915e-02,-1.1832e+00,2.9387e+00,2.7020e+00,-2.0911e+03
-2.6074e-02,-1.2022e+00,2.9433e+00,2.7217e+00,-2.0915e+03
1.6679e-03,-1.2193e+00,2.9467e+00,2.7849e+00,-2.0894e+03
-7.5452e-02,-1.1020e+00,2.9375e+00,2.7859e+00,-2.0817e+03
-4.1532e-02,-1.1601e+00,2.9386e+00,2.8207e+00,-2.0645e+03
-7.2623e-02,-1.1259e+00,2.9394e+00,2.6715e+00,-2.1071e+03
-3.5766e-02,-1.1817e+00,2.9398e+00,2.7354e+00,-2.0895e+03
-9.9002e-03,-1.1850e+00,2.9471e+00,2.8088e+00,-2.0757e+03
-5.2352e-02,-1.1615e+00,2.9431e+00,2.6409e+00,-2.0899e+03
-4.0441e-02,-1.1396e+00,2.9437e+00,2.8318e+00,-2.0753e+03
1.0193e-02,-1.2174e+00,2.9465e+00,2.8368e+00,-2.0783e+03
6.4643e-03,-1.2440e+00,2.9428e+00,2.7953e+00,-2.0918e+03
-6.9512e-02,-1.1187e+00,2.9414e+00,2.7369e+00,-2.0736e+03
-4.2084e-02,-1.1802e+00,2.9398e+00,2.7140e+00,-2.0767e+03
-2.8853e-02,-1.1651e+00,2.9423e+00,2.8097e+00,-2.0986e+03
3.2852e-03,-1.2107e+00,2.9451e+00,2.8191e+00,-2.1008e+03
2.0136e-02,-1.2612e+00,2.9481e+00,2.7484e+00,-2.1089e+03
-4.7954e-02,-1.1670e+00,2.9409e+00,2.7156e+00,-2.1066e+03
-7.3073e-02,-1.1248e+00,2.9400e+00,2.6513e+00,-2.0909e+03
-3.1769e-02,-1.1566e+00,2.9395e+00,2.8450e+00,-2.0832e+03
-4.0425e-02,-1.1567e+00,2.9428e+00,2.7451e+00,-2.0969e+03
-4.3396e-02,-1.1644e+00,2.9400e+00,2.7559e+00,-2.0540e+03
-2.6792e-02,-1.1760e+00,2.9480e+00,2.7213e+00,-2.0175e+03
-2.8111e-02,-1.1578e+00,2.9468e+00,2.7860e+00,-2.0922e+03
1.4633e-02,-1.2502e+00,2.9491e+00,2.7083e+00,-2.1094e+03
-2.0600e-02,-1.2183e+00,2.9467e+00,2.6103e+00,-2.1031e+03
-7.6529e-02,-1.0805e+00,2.9371e+00,2.9082e+00,-2.0835e+03
-1.2255e-02,-1.1937e+00,2.9442e+00,2.8225e+00,-2.0688e+03
-3.1443e-02,-1.1965e+00,2.9405e+00,2.7075e+00,-2.0756e+03
6.8780e-03,-1.2388e+00,2.9421e+00,2.7900e+00,-2.0269e+03
-4.0208e-02,-1.1542e+00,2.9422e+00,2.8199e+00,-2.0893e+03
8.0539e-03,-1.2376e+00,2.9465e+00,2.7752e+00,-2.0971e+03
-5.1854e-02,-1.1098e+00,2.9446e+00,2.8778e+00,-2.1067e+03
-3.9051e-02,-1.1504e+00,2.9437e+00,2.7932e+00,-2.1094e+03
1.7034e-02,-1.2413e+00,2.9477e+00,2.7868e+00,-2.0782e+03
-3.4282e-02,-1.1710e+00,2.9408e+00,2.7621e+00,-2.1022e+03
-4.6449e-02,-1.1402e+00,2.9431e+00,2.8108e+00,-2.0832e+03
-7.7626e-02,-1.1077e+00,2.9330e+00,2.8587e+00,-2.0621e+03
-3.2191e-02,-1.1794e+00,2.9416e+00,2.7412e+00,-2.1078e+03
-4.6309e-02,-1.1544e+00,2.9385e+00,2.7925e+00,-2.0953e+03
-3.0854e-02,-1.1528e+00,2.9428e+00,2.8425e+00,-2.1102e+03
-2.7268e-02,-1.1994e+00,2.9454e+00,2.6872e+00,-2.0599e+03
-9.3242e-03,-1.1856e+00,2.9413e+00,2.8904e+00,-2.0839e+03
-2.7601e-02,-1.1760e+00,2.9409e+00,2.7962e+00,-2.0829e+03
4.4816e-03,-1.2134e+00,2.9486e+00,2.8097e+00,-2.0675e+03
-3.4225e-02,-1.1876e+00,2.9413e+00,2.7425e+00,-2.0988e+03
5.7630e-03,-1.2306e+00,2.9443e+00,2.7924e+00,-2.0970e+03
-8.8585e-02,-1.0660e+00,2.9374e+00,2.8931e+00,-2.0958e+03
-6.8858e-02,-1.1109e+00,2.9343e+00,2.8385e+00,-2.0688e+03
-3.2375e-02,-1.1635e+00,2.9418e+00,2.8154e+00,-2.1083e+03
-3.5027e-02,-1.1865e+00,2.9401e+00,2.7102e+00,-2.0852e+03
1.4203e-02,-1.2488e+00,2.9489e+00,2.7441e+00,-2.0950e+03
-3.4072e-02,-1.1847e+00,2.9425e+00,2.7203e+00,-2.1062e+03
-2.5285e-02,-1.1773e+00,2.9457e+00,2.7421e+00,-2.1016e+03
-2.9709e-02,-1.1707e+00,2.9418e+00,2.7848e+00,-2.0755e+03
-7.8709e-02,-1.0954e+00,2.9341e+00,2.8306e+00,-2.1078e+03
-8.1503e-03,-1.1842e+00,2.9476e+00,2.7950e+00,-2.1056e+03
-4.0773e-02,-1.1812e+00,2.9432e+00,2.6572e+00,-2.0888e+03
-4.0876e-02,-1.1440e+00,2.9421e+00,2.8197e+00,-2.0899e+03
-2.4635e-02,-1.1808e+00,2.9415e+00,2.7628e+00,-2.1094e+03
-2.4797e-02,-1.1801e+00,2.9416e+00,2.7815e+00,-2.0619e+03
-4.5344e-02,-1.1399e+00,2.9425e+00,2.8132e+00,-2.0912e+03
-4.2276e-02,-1.1591e+00,2.9401e+00,2.7719e+00,-2.1024e+03
-5.4983e-02,-1.1179e+00,2.9379e+00,2.9167e+00,-2.0996e+03
-7.8609e-02,-1.0791e+00,2.9388e+00,2.8750e+00,-2.1105e+03
-3.2639e-02,-1.1908e+00,2.9433e+00,2.6639e+00,-2.0940e+03
-3.1341e-02,-1.1351e+00,2.9423e+00,2.9151e+00,-2.0987e+03
-7.8297e-02,-1.0956e+00,2.9371e+00,2.8379e+00,-2.0939e+03
-3.2297e-02,-1.1583e+00,2.9415e+00,2.8109e+00,-2.0908e+03
5.4707e-03,-1.2080e+00,2.9466e+00,2.8102e+00,-2.0985e+03
-2.5280e-02,-1.1758e+00,2.9431e+00,2.7867e+00,-2.0757e+03
-7.3457e-02,-1.0760e+00,2.9427e+00,2.8835e+00,-2.0776e+03
8.7713e-03,-1.2359e+00,2.9461e+00,2.8046e+00,-2.0726e+03
-1.0277e-02,-1.1758e+00,2.9460e+00,2.8663e+00,-2.0912e+03
-7.2818e-02,-1.0847e+00,2.9392e+00,2.8839e+00,-2.0833e+03
-7.5652e-02,-1.1228e+00,2.9356e+00,2.7249e+00,-2.0713e+03
-4.1418e-02,-1.1811e+00,2.9425e+00,2.6765e+00,-2.0835e+03
1.9240e-03,-1.2261e+00,2.9459e+00,2.7710e+00,-2.0699e+03
1.4514e-03,-1.2262e+00,2.9460e+00,2.7661e+00,-2.1104e+03
-3.4426e-02,-1.1832e+00,2.9415e+00,2.7358e+00,-2.0969e+03
-6.7818e-02,-1.1155e+00,2.9420e+00,2.7610e+00,-2.0846e+03
-2.4075e-02,-1.1803e+00,2.9431e+00,2.7681e+00,-2.0795e+03
