logfeh_mean,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
-3.3349e-01,-1.8919e+00,-9.4294e-01,-1.7898e+00,-1.3229e+00,1.4315e+00,1.4913e+00,-2.1818e+04
-3.2692e-01,-1.9825e+00,-8.3788e-01,-1.8129e+00,-1.3108e+00,1.4258e+00,1.5035e+00,-2.1830e+04
-3.4000e-01,-1.9912e+00,-8.7570e-01,-2.1485e+00,-9.0157e-01,1.4209e+00,1.4885e+00,-2.1796e+04
-3.4496e-01,-1.9311e+00,-9.0827e-01,-1.0269e+00,-1.3431e+00,1.4027e+00,1.5129e+00,-2.1785e+04
-3.4239e-01,-1.9251e+00,-1.0160e+00,-9.3474e-01,-7.4483e-01,1.4109e+00,1.5105e+00,-2.1841e+04
-3.3727e-01,-1.9353e+00,-9.9014e-01,-1.1354e+00,-9.1574e-01,1.4237e+00,1.4928e+00,-2.1799e+04
-3.3558e-01,-1.8733e+00,-8.6141e-01,-1.3579e+00,-1.3097e+00,1.4202e+00,1.4968e+00,-2.1831e+04
-3.4275e-01,-1.9889e+00,-8.8132e-01,-1.7648e+00,-1.0562e+00,1.4141e+00,1.5056e+00,-2.1612e+04
-3.4350e-01,-1.9666e+00,-9.9193e-01,-2.1362e+00,-9.4402e-01,1.4134e+00,1.5077e+00,-2.1719e+04
-3.3697e-01,-1.8253e+00,-8.5645e-01,-1.9306e+00,-6.5566e-01,1.4261e+00,1.4917e+00,-2.1814e+04
-3.4111e-01,-1.9655e+00,-8.9657e-01,-1.5919e+00,-1.0517e+00,1.4081e+00,1.5139e+00,-2.1797e+04
-3.3524e-01,-1.9379e+00,-8.8255e-01,-1.7804e+00,-1.2141e+00,1.4230e+00,1.4917e+00,-2.1832e+04
-3.4151e-01,-1.9468e+00,-9.6753e-01,-9.5267e-01,-1.1585e+00,1.4109e+00,1.5131e+00,-2.1739e+04
-3.3887e-01,-1.8778e+00,-8.8102e-01,-1.8539e+00,-1.1496e+00,1.4151e+00,1.4938e+00,-2.1722e+04
-3.4666e-01,-1.9899e+00,-1.1427e+00,-9.7584e-01,-1.0003e+00,1.4036e+00,1.5057e+00,-2.1804e+04
-3.3437e-01,-1.8056e+00,-8.4882e-01,-1.8819e+00,-7.8283e-01,1.4360e+00,1.4852e+00,-2.1830e+04
-3.3266e-01,-1.9373e+00,-8.3121e-01,-1.7088e+00,-9.6535e-01,1.4289e+00,1.4945e+00,-2.1846e+04
-3.4107e-01,-1.9037e+00,-9.1299e-01,-1.8079e+00,-9.8673e-01,1.4102e+00,1.5122e+00,-2.1748e+04
-3.3909e-01,-1.8888e+00,-8.9543e-01,-1.4018e+00,-8.7388e-01,1.4142e+00,1.4992e+00,-2.1822e+04
-3.4231e-01,-1.9990e+00,-1.1250e+00,-8.2957e-01,-1.3406e+00,1.4105e+00,1.5061e+00,-2.1742e+04
-3.4013e-01,-1.9365e+00,-9.6051e-01,-1.6847e+00,-4.9382e-01,1.4014e+00,1.5113e+00,-2.1832e+04
-3.4308e-01,-1.9562e+00,-8.3808e-01,-2.0887e+00,-6.8723e-01,1.4048e+00,1.5089e+00,-2.1777e+04
-3.4279e-01,-1.9668e+00,-9.8451e-01,-1.3855e+00,-1.1028e+00,1.4185e+00,1.4975e+00,-2.1767e+04
-3.3615e-01,-1.9091e+00,-9.1898e-01,-1.3283e+00,-5.1724e-01,1.4158e+00,1.4907e+00,-2.1824e+04
-3.4037e-01,-1.8184e+00,-7.5989e-01,-1.6414e+00,-1.0225e+00,1.4055e+00,1.5095e+00,-2.1648e+04
-3.4225e-01,-1.9776e+00,-9.2525e-01,-1.0834e+00,-1.0673e+00,1.4024e+00,1.5128e+00,-2.1780e+04
