logfeh_mean,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-1.1940e-01,-1.5564e+00,-6.5749e+00,-4.0696e+00,-4.2962e+00,2.2317e-02,2.3559e+00,2.4760e+01,-3.1949e+03
-4.0826e-02,-1.8918e+00,-5.3018e+00,-4.8234e+00,-2.8132e+00,-5.9853e-01,2.3917e+00,2.4816e+01,-3.1908e+03
-1.7744e-01,-1.4832e+00,-6.7196e+00,-4.5760e+00,-3.1203e+00,-1.3180e+00,2.3862e+00,2.4863e+01,-3.1259e+03
-1.7579e-01,-1.4184e+00,-5.7799e+00,-5.1185e+00,-3.8616e+00,-1.1666e+00,2.4053e+00,2.4866e+01,-3.2745e+03
-1.2264e-01,-1.5631e+00,-5.7456e+00,-4.0697e+00,-3.4754e+00,1.5178e-01,2.4051e+00,2.4903e+01,-3.3286e+03
-5.9585e-02,-1.7376e+00,-5.2528e+00,-4.2908e+00,-4.4201e+00,-9.4645e-01,2.3619e+00,2.4726e+01,-2.9533e+03
-1.0529e-01,-1.5564e+00,-5.9467e+00,-4.8032e+00,-3.3683e+00,5.9122e-02,2.3834e+00,2.4812e+01,-3.1170e+03
-4.4031e-02,-1.8927e+00,-6.1844e+00,-5.5010e+00,-4.4885e+00,-7.5153e-01,2.4307e+00,2.4900e+01,-3.3421e+03
-1.2494e-01,-1.5078e+00,-6.6911e+00,-4.2961e+00,-2.8533e+00,-5.3214e-01,2.4031e+00,2.4870e+01,-3.2875e+03
-1.7052e-01,-1.4496e+00,-5.8160e+00,-5.4133e+00,-3.4825e+00,-7.3139e-01,2.3618e+00,2.4774e+01,-3.2049e+03
-9.6636e-02,-1.6853e+00,-6.2200e+00,-5.0653e+00,-2.5977e+00,1.8364e-01,2.4372e+00,2.4988e+01,-3.3853e+03
-1.1245e-01,-1.5653e+00,-6.5335e+00,-4.9002e+00,-3.2013e+00,-1.9468e-01,2.4466e+00,2.4976e+01,-3.2946e+03
-8.1516e-02,-1.9015e+00,-5.3810e+00,-5.3083e+00,-3.6728e+00,-5.7018e-02,2.4250e+00,2.4935e+01,-2.8075e+03
-1.9914e-01,-1.3827e+00,-5.5207e+00,-4.3200e+00,-3.1923e+00,-2.1753e-01,2.3788e+00,2.4846e+01,-3.1689e+03
-6.7894e-02,-1.9186e+00,-5.4462e+00,-4.6969e+00,-3.7327e+00,-8.2472e-01,2.3751e+00,2.4799e+01,-2.7484e+03
