logfeh_mean,logdust,logNpix,tau,dmod,logl
-4.6398e-01,-1.3249e+00,2.3127e+00,3.0428e+00,2.6115e+01,-8.7567e+04
-4.0813e-01,-1.9708e+00,2.6639e+00,4.1521e+00,2.7392e+01,-6.0063e+04
-4.6990e-01,-1.3683e+00,1.8861e+00,4.0395e+00,2.4755e+01,-9.0227e+04
-4.9605e-01,-1.5614e+00,2.1409e+00,4.7255e+00,2.5803e+01,-4.9739e+04
-4.0701e-01,-1.3341e+00,2.2742e+00,4.1989e+00,2.5894e+01,-8.9301e+04
-4.0993e-01,-1.8413e+00,1.8107e+00,4.6575e+00,2.4978e+01,-4.7904e+04
-2.6007e-01,-1.6715e+00,1.9428e+00,4.3861e+00,2.5320e+01,-6.5692e+04
-3.4742e-01,-1.9186e+00,2.0050e+00,3.8747e+00,2.5660e+01,-7.7246e+04
-3.3984e-01,-1.2718e+00,2.4748e+00,4.3893e+00,2.6616e+01,-8.3665e+04
-1.7065e-01,-1.9955e+00,1.7082e+00,4.1817e+00,2.4728e+01,-8.0637e+04
-4.5981e-01,-1.9680e+00,1.9225e+00,4.2689e+00,2.5685e+01,-9.0581e+04
-4.6813e-01,-1.7753e+00,1.6397e+00,2.8380e-01,2.4193e+01,-7.6100e+04
-4.6360e-01,-1.9118e+00,2.0387e+00,3.4825e+00,2.5481e+01,-5.2878e+04
-3.3318e-01,-1.4056e+00,2.2909e+00,3.8890e+00,2.5986e+01,-8.5128e+04
-4.9436e-01,-1.8810e+00,1.5034e+00,2.3624e+00,2.3845e+01,-6.4109e+04
4.6253e-02,-1.9051e+00,1.8799e+00,4.9382e+00,2.5080e+01,-8.5807e+04
-3.5659e-01,-1.6716e+00,2.1165e+00,3.5059e+00,2.5618e+01,-6.7461e+04
-4.5967e-01,-1.6382e+00,1.6732e+00,1.0846e+00,2.4244e+01,-8.1398e+04
-4.4401e-01,-1.3036e+00,2.0274e+00,3.5383e+00,2.5320e+01,-7.4972e+04
-1.2846e-01,-1.6111e+00,2.2714e+00,4.4965e+00,2.6059e+01,-7.9809e+04
-3.7309e-01,-1.2771e+00,2.0586e+00,4.2140e+00,2.5276e+01,-8.7600e+04
-4.6630e-01,-1.7881e+00,2.4616e+00,3.8261e+00,2.6929e+01,-7.0044e+04
-3.9612e-01,-1.6202e+00,1.5945e+00,1.7842e+00,2.3961e+01,-8.6623e+04
-1.6238e-01,-1.7453e+00,2.4286e+00,4.8259e+00,2.6602e+01,-7.0576e+04
-4.4250e-01,-1.8529e+00,2.0083e+00,1.5944e+00,2.5430e+01,-8.8552e+04
-4.3803e-01,-1.6250e+00,1.8027e+00,2.2050e+00,2.4519e+01,-8.6441e+04
-4.1831e-01,-1.8213e+00,2.0781e+00,3.5819e+00,2.5632e+01,-5.6462e+04
-2.1391e-01,-1.8104e+00,1.9232e+00,4.4007e+00,2.5144e+01,-6.1792e+04
2.1811e-03,-1.7344e+00,1.9664e+00,4.4775e+00,2.5101e+01,-8.5698e+04
-1.3463e-01,-1.4099e+00,2.0411e+00,4.5612e+00,2.5428e+01,-8.2706e+04
-2.0697e-01,-1.6147e+00,1.7247e+00,4.2978e+00,2.4563e+01,-6.9199e+04
-4.4197e-01,-1.2131e+00,2.1113e+00,3.6935e+00,2.5677e+01,-8.1022e+04
-2.6114e-01,-1.8182e+00,2.0903e+00,3.5268e+00,2.5387e+01,-8.2533e+04
-4.9125e-01,-1.9117e+00,1.6355e+00,8.1220e-01,2.4438e+01,-8.3610e+04
-1.1541e-01,-1.5535e+00,1.5412e+00,4.9677e+00,2.3802e+01,-8.6653e+04
-4.7738e-01,-1.3361e+00,1.8036e+00,2.5494e+00,2.4591e+01,-8.4539e+04
-3.8705e-01,-1.4190e+00,1.7588e+00,2.3379e+00,2.4539e+01,-8.8654e+04
-4.1156e-01,-1.1409e+00,2.4051e+00,4.1498e+00,2.6444e+01,-8.9241e+04
-3.8948e-01,-1.8221e+00,2.7680e+00,4.6878e+00,2.7577e+01,-6.1536e+04
-3.7779e-01,-1.9288e+00,2.2003e+00,3.2044e+00,2.6161e+01,-8.9783e+04
-1.7587e-01,-1.8225e+00,2.0413e+00,4.7959e+00,2.5791e+01,-8.5857e+04
-3.1257e-01,-1.9747e+00,1.9903e+00,3.0882e+00,2.5322e+01,-7.2681e+04
-3.4544e-01,-1.6821e+00,2.7883e+00,4.9713e+00,2.7898e+01,-7.7760e+04
-4.0483e-01,-1.8560e+00,1.5392e+00,4.5692e+00,2.3989e+01,-6.2910e+04
-2.4298e-01,-1.9627e+00,1.7166e+00,2.8219e+00,2.4406e+01,-7.9691e+04
-3.9301e-01,-1.5081e+00,2.5949e+00,4.2744e+00,2.7185e+01,-7.1981e+04
-3.7710e-01,-1.6875e+00,1.7909e+00,3.9657e+00,2.4870e+01,-5.7265e+04
-1.8775e-01,-1.8456e+00,2.2940e+00,3.9199e+00,2.5988e+01,-8.6295e+04
-4.6736e-01,-1.7918e+00,1.9951e+00,4.0122e+00,2.5499e+01,-4.8989e+04
-4.1711e-01,-1.7060e+00,2.3973e+00,2.9287e+00,2.6423e+01,-7.9409e+04
-4.0979e-01,-1.9599e+00,2.0034e+00,2.9190e+00,2.5344e+01,-6.4130e+04
7.8962e-02,-1.7202e+00,1.6377e+00,4.8813e+00,2.4199e+01,-8.4490e+04
-2.5015e-01,-1.9357e+00,1.7343e+00,3.1995e+00,2.4562e+01,-7.5053e+04
-4.0894e-01,-1.9592e+00,2.5648e+00,4.2160e+00,2.7106e+01,-5.2423e+04
-3.6725e-01,-1.7757e+00,1.7137e+00,4.6364e-01,2.4409e+01,-8.8336e+04
-2.9030e-01,-1.9493e+00,1.7684e+00,2.2208e+00,2.4583e+01,-8.3680e+04
-4.2903e-01,-1.7328e+00,2.1368e+00,2.8043e+00,2.5532e+01,-8.0050e+04
-3.7780e-01,-1.6101e+00,2.2712e+00,4.4594e+00,2.6463e+01,-7.7643e+04
-3.5450e-01,-1.7790e+00,1.7723e+00,3.3293e+00,2.4839e+01,-7.0970e+04
-4.5028e-01,-1.3000e+00,1.8027e+00,4.7808e+00,2.4887e+01,-5.5551e+04
-3.3406e-01,-1.6033e+00,1.8786e+00,3.1221e+00,2.4850e+01,-7.6856e+04
-2.9556e-01,-1.9895e+00,1.6975e+00,3.2613e+00,2.4366e+01,-6.9343e+04
-2.7953e-01,-1.7514e+00,2.0693e+00,3.8553e+00,2.5294e+01,-8.7154e+04
3.1463e-02,-1.8588e+00,1.5811e+00,4.6327e+00,2.3993e+01,-8.3995e+04
-4.5046e-01,-1.5651e+00,2.2013e+00,4.7850e+00,2.6193e+01,-5.1268e+04
-4.0937e-01,-1.1492e+00,1.7572e+00,3.8942e+00,2.4409e+01,-8.7911e+04
-4.2004e-01,-1.8299e+00,1.5812e+00,4.3065e+00,2.3939e+01,-8.5162e+04
-4.2635e-01,-1.5059e+00,1.7290e+00,4.2086e+00,2.4528e+01,-6.1011e+04
8.9950e-02,-1.9692e+00,2.2551e+00,4.8313e+00,2.5919e+01,-8.9578e+04
-4.1344e-01,-1.8413e+00,2.5066e+00,4.9061e+00,2.7184e+01,-6.5127e+04
-4.1569e-01,-1.5971e+00,2.3571e+00,3.5776e+00,2.6273e+01,-7.1162e+04
-4.6597e-01,-1.3799e+00,1.6490e+00,4.2339e+00,2.4747e+01,-8.8257e+04
-4.8318e-01,-1.3316e+00,2.7420e+00,3.7606e+00,2.7384e+01,-8.6795e+04
-4.5284e-01,-1.7019e+00,2.3112e+00,4.3372e+00,2.6583e+01,-6.5894e+04
-3.8817e-01,-1.9827e+00,2.1198e+00,2.0334e+00,2.5569e+01,-8.2964e+04
-3.6732e-01,-1.2550e+00,1.5505e+00,3.6396e+00,2.4122e+01,-8.1310e+04
-3.2513e-01,-1.8530e+00,2.3666e+00,3.3186e+00,2.6424e+01,-7.9218e+04
-4.0735e-01,-1.6684e+00,2.2100e+00,3.3929e+00,2.5795e+01,-7.2607e+04
-1.0356e-01,-1.8410e+00,1.9031e+00,4.5880e+00,2.5271e+01,-8.4203e+04
-1.0740e-01,-1.7363e+00,2.3102e+00,4.6224e+00,2.6288e+01,-7.8762e+04
-4.7677e-01,-1.7148e+00,1.5784e+00,1.6648e+00,2.3827e+01,-8.7724e+04
-3.3252e-01,-1.7600e+00,1.9645e+00,3.9062e+00,2.4978e+01,-8.8386e+04
-4.8036e-01,-1.3827e+00,2.1058e+00,4.0238e+00,2.5485e+01,-7.5176e+04
-4.9065e-01,-1.1451e+00,2.2826e+00,4.6678e+00,2.6272e+01,-6.7602e+04
-4.8746e-01,-1.7691e+00,2.3281e+00,1.0239e+00,2.6158e+01,-8.8118e+04
1.4245e-02,-1.5892e+00,1.9372e+00,4.9025e+00,2.4963e+01,-8.6288e+04
-4.6700e-01,-1.5106e+00,2.0207e+00,2.6212e+00,2.5418e+01,-7.8309e+04
-4.0293e-01,-1.0791e+00,1.6663e+00,4.1402e+00,2.4461e+01,-8.6369e+04
-4.2682e-01,-1.4878e+00,1.8353e+00,4.7607e+00,2.5362e+01,-8.7682e+04
-3.4583e-01,-1.5450e+00,2.0328e+00,3.1465e+00,2.5228e+01,-8.5244e+04
-4.3972e-01,-1.4174e+00,1.5636e+00,4.3565e+00,2.4462e+01,-8.1117e+04
-3.9238e-01,-1.4281e+00,2.2976e+00,3.8345e+00,2.6037e+01,-8.0616e+04
-4.4003e-01,-1.7524e+00,1.9604e+00,3.5272e+00,2.5064e+01,-7.1341e+04
-2.3851e-01,-1.8196e+00,1.8755e+00,4.4394e+00,2.4729e+01,-8.8560e+04
-1.9366e-01,-1.8924e+00,2.1386e+00,3.8853e+00,2.5513e+01,-8.5093e+04
-4.4705e-01,-1.9413e+00,1.6963e+00,2.1568e+00,2.4529e+01,-7.3947e+04
-3.1335e-01,-1.9932e+00,1.6525e+00,2.5717e+00,2.4480e+01,-8.6847e+04
-3.3685e-01,-1.9162e+00,2.1353e+00,3.9383e+00,2.5608e+01,-6.9706e+04
-2.6820e-01,-1.9582e+00,2.3904e+00,3.8293e+00,2.6226e+01,-9.0746e+04
8.3798e-04,-1.8489e+00,1.8697e+00,4.0491e+00,2.4900e+01,-9.0727e+04
-2.8125e-01,-1.9184e+00,2.0652e+00,4.7129e+00,2.5716e+01,-5.5433e+04
-4.9479e-01,-1.8576e+00,2.0712e+00,2.7243e+00,2.5656e+01,-6.7026e+04
-2.7883e-01,-1.7173e+00,1.7390e+00,4.1363e+00,2.4489e+01,-6.8577e+04
-3.9552e-01,-1.6763e+00,1.7943e+00,6.9466e-01,2.4520e+01,-9.0177e+04
-4.0559e-01,-1.9564e+00,2.2614e+00,2.3994e+00,2.6021e+01,-8.2101e+04
-2.3694e-01,-1.9114e+00,1.9812e+00,3.5854e+00,2.5295e+01,-7.1763e+04
-4.6705e-01,-1.4161e+00,2.0012e+00,4.2510e+00,2.5677e+01,-7.3599e+04
-4.1013e-01,-1.7345e+00,2.2588e+00,4.0232e+00,2.5898e+01,-8.2226e+04
-3.8370e-01,-1.6689e+00,1.9875e+00,3.7201e+00,2.5050e+01,-8.7036e+04
-3.7837e-01,-1.9590e+00,1.9867e+00,4.5905e+00,2.5716e+01,-7.0282e+04
-4.1922e-01,-1.7576e+00,2.1160e+00,3.6121e+00,2.5770e+01,-5.8737e+04
-4.6551e-01,-1.7592e+00,1.5611e+00,2.3816e+00,2.4145e+01,-6.9348e+04
-2.2481e-01,-1.8721e+00,1.8045e+00,4.6154e+00,2.4806e+01,-5.9456e+04
-2.4931e-01,-1.5901e+00,1.9875e+00,3.7551e+00,2.5354e+01,-7.6941e+04
-3.9676e-01,-1.6816e+00,2.1907e+00,4.8547e+00,2.6187e+01,-5.4574e+04
-3.5974e-01,-1.9844e+00,1.8034e+00,3.8233e+00,2.5112e+01,-7.8087e+04
-3.8507e-01,-1.9621e+00,1.7296e+00,3.0489e+00,2.4349e+01,-7.7170e+04
-4.8629e-01,-1.8960e+00,1.6524e+00,6.7000e-01,2.4163e+01,-7.7081e+04
-2.8556e-01,-1.9880e+00,1.9029e+00,3.8886e+00,2.5165e+01,-6.1473e+04
-4.1775e-01,-1.1570e+00,1.9627e+00,3.8688e+00,2.5250e+01,-8.2520e+04
-4.7462e-01,-1.2170e+00,2.0005e+00,3.5941e+00,2.5248e+01,-7.6351e+04
5.2518e-02,-1.8523e+00,1.9658e+00,4.5153e+00,2.5080e+01,-8.7344e+04
-3.2517e-01,-1.9139e+00,2.0999e+00,4.8540e+00,2.5968e+01,-6.2396e+04
-9.4366e-02,-1.7066e+00,2.6155e+00,4.9640e+00,2.7140e+01,-8.0394e+04
-4.1386e-01,-1.8009e+00,2.5729e+00,4.7445e+00,2.7257e+01,-5.2963e+04
-4.5008e-01,-1.5853e+00,1.5386e+00,2.4466e+00,2.3724e+01,-8.8747e+04
-4.5728e-01,-1.4555e+00,2.1139e+00,4.2115e+00,2.5724e+01,-5.3348e+04
-3.0748e-01,-1.9055e+00,1.7779e+00,3.4145e+00,2.4521e+01,-7.3621e+04
-3.1287e-01,-1.9218e+00,1.7164e+00,3.7943e+00,2.4439e+01,-6.3759e+04
-4.8566e-01,-1.7348e+00,1.7200e+00,4.0528e+00,2.4818e+01,-5.9141e+04
-2.3066e-01,-1.6962e+00,1.5908e+00,4.7367e+00,2.4222e+01,-6.2584e+04
-3.3958e-01,-1.8240e+00,1.7935e+00,3.7023e+00,2.4780e+01,-5.9596e+04
-5.6486e-02,-1.6035e+00,2.3962e+00,4.9461e+00,2.6345e+01,-8.3960e+04
-4.5520e-01,-1.4973e+00,2.3049e+00,4.9762e+00,2.6312e+01,-4.6589e+04
-2.9387e-01,-1.9347e+00,2.5217e+00,4.7605e+00,2.6963e+01,-5.4921e+04
-2.4981e-01,-1.7565e+00,2.3358e+00,3.5375e+00,2.6174e+01,-8.2856e+04
-3.2559e-01,-1.3503e+00,1.8903e+00,4.3501e+00,2.4829e+01,-8.1559e+04
-2.3346e-01,-1.9627e+00,1.5382e+00,2.9386e+00,2.4159e+01,-8.9998e+04
-4.0551e-01,-1.7597e+00,2.2893e+00,4.6800e+00,2.6616e+01,-7.8286e+04
-4.6780e-01,-1.6206e+00,1.5398e+00,2.0910e+00,2.4047e+01,-7.5185e+04
-4.2117e-01,-1.7748e+00,1.9505e+00,2.9459e-01,2.4993e+01,-8.7365e+04
-3.5672e-01,-1.7516e+00,2.3936e+00,4.5846e+00,2.6863e+01,-8.4464e+04
-4.0079e-01,-1.9238e+00,1.6433e+00,4.5545e+00,2.4168e+01,-7.8196e+04
