niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust,logNpix,tau
1.0000e+00,1.0000e+00,9.9900e-02,-1.7800e+05,-1.7800e+05,-9.9950e-04,-1.7800e+05,8.7167e-02,7.6019e+00,inf,2.7069e+00,-4.0102e-01,-1.8223e+00,3.9511e+00,8.0765e-01
2.0000e+00,1.0000e+00,1.9960e-01,-1.7797e+05,-1.7798e+05,-1.9990e-03,-1.7798e+05,8.7173e-02,7.6029e+00,1.7490e+05,5.8214e+00,1.2998e-01,-1.3370e+00,3.9905e+00,4.8650e-01
3.0000e+00,1.0000e+00,2.9910e-01,-1.7796e+05,-1.7797e+05,-2.9985e-03,-1.7797e+05,8.6936e-02,7.5616e+00,1.7488e+05,8.0716e+00,8.7972e-02,-1.9623e+00,3.9728e+00,4.4679e-01
4.0000e+00,1.0000e+00,3.9841e-01,-1.7795e+05,-1.7796e+05,-3.9980e-03,-1.7796e+05,8.7184e-02,7.6049e+00,1.7487e+05,1.0746e+01,-3.9133e-01,-1.2845e+00,3.9556e+00,4.2772e-01
5.0000e+00,1.0000e+00,4.9751e-01,-1.7791e+05,-1.7792e+05,-4.9975e-03,-1.7792e+05,8.7190e-02,7.6059e+00,1.7486e+05,1.3504e+01,3.8404e-01,-1.1494e+00,3.9862e+00,9.7582e-01
6.0000e+00,1.0000e+00,5.9642e-01,-1.7785e+05,-1.7786e+05,-5.9970e-03,-1.7786e+05,8.7196e-02,7.6069e+00,1.7482e+05,1.5708e+01,5.2327e-02,-1.7214e+00,3.9524e+00,5.7009e-01
7.0000e+00,1.0000e+00,6.9513e-01,-1.7781e+05,-1.7782e+05,-6.9965e-03,-1.7782e+05,8.7201e-02,7.6079e+00,1.7476e+05,1.8801e+01,-4.2384e-01,-1.2176e+00,3.9602e+00,2.1788e+00
8.0000e+00,1.0000e+00,7.9365e-01,-1.7778e+05,-1.7779e+05,-7.9960e-03,-1.7779e+05,8.7207e-02,7.6089e+00,1.7472e+05,2.1429e+01,1.4357e-01,-1.6103e+00,3.9455e+00,1.6441e-01
9.0000e+00,1.0000e+00,8.9197e-01,-1.7774e+05,-1.7775e+05,-8.9955e-03,-1.7775e+05,8.7213e-02,7.6099e+00,1.7469e+05,2.4090e+01,3.8860e-01,-1.7496e+00,3.9506e+00,1.7082e+00
1.0000e+01,1.0000e+00,9.9010e-01,-1.7762e+05,-1.7763e+05,-9.9950e-03,-1.7763e+05,8.7219e-02,7.6109e+00,1.7465e+05,2.6512e+01,-3.3109e-01,-1.5041e+00,3.8868e+00,6.0812e-01
1.1000e+01,1.0000e+00,1.0880e+00,-1.7753e+05,-1.7754e+05,-1.0995e-02,-1.7754e+05,8.7224e-02,7.6119e+00,1.7453e+05,2.9172e+01,1.4266e-01,-1.0233e+00,3.9184e+00,1.7258e+00
1.2000e+01,1.0000e+00,1.1858e+00,-1.7748e+05,-1.7748e+05,-1.1994e-02,-1.7748e+05,8.7230e-02,7.6129e+00,1.7444e+05,3.1844e+01,3.3435e-01,-9.0293e-01,3.9036e+00,6.6187e-01
1.3000e+01,1.0000e+00,1.2833e+00,-1.7743e+05,-1.7743e+05,-1.2994e-02,-1.7743e+05,8.7236e-02,7.6139e+00,1.7438e+05,3.4512e+01,1.6520e-01,-7.6428e-01,3.9032e+00,2.8537e-01
1.4000e+01,1.0000e+00,1.3807e+00,-1.7743e+05,-1.7743e+05,-1.3993e-02,-1.7743e+05,8.0847e-02,6.5396e+00,1.7433e+05,3.7189e+01,4.3246e-01,-1.9169e+00,3.8914e+00,1.7665e+00
1.5000e+01,2.0000e+00,1.4764e+00,-1.7740e+05,-1.7741e+05,-1.4993e-02,-1.7741e+05,8.7247e-02,7.6159e+00,1.7433e+05,4.2460e+01,3.7279e-01,-1.2379e+00,3.9576e+00,2.1885e+00
1.6000e+01,1.0000e+00,1.5733e+00,-1.7737e+05,-1.7737e+05,-1.5992e-02,-1.7737e+05,8.7253e-02,7.6169e+00,1.7431e+05,4.4661e+01,8.4091e-02,-1.7118e+00,3.9014e+00,2.1005e+00
1.7000e+01,1.0000e+00,1.6699e+00,-1.7732e+05,-1.7733e+05,-1.6992e-02,-1.7733e+05,8.7259e-02,7.6179e+00,1.7427e+05,4.6923e+01,-2.9966e-01,-1.0144e+00,3.8580e+00,1.8482e+00
1.8000e+01,1.0000e+00,1.7664e+00,-1.7728e+05,-1.7729e+05,-1.7991e-02,-1.7729e+05,8.7264e-02,7.6189e+00,1.7423e+05,4.9122e+01,1.3351e-01,-1.6332e+00,3.8279e+00,1.4551e+00
1.9000e+01,1.0000e+00,1.8627e+00,-1.7723e+05,-1.7724e+05,-1.8991e-02,-1.7724e+05,8.7270e-02,7.6199e+00,1.7419e+05,5.1778e+01,-3.0986e-01,-1.0302e+00,3.8328e+00,1.0708e+00
2.0000e+01,1.0000e+00,1.9589e+00,-1.7722e+05,-1.7723e+05,-1.9990e-02,-1.7723e+05,8.7091e-02,7.5886e+00,1.7414e+05,5.4492e+01,4.6911e-01,-8.7605e-01,3.8318e+00,5.3322e-01
2.1000e+01,1.0000e+00,2.0548e+00,-1.7722e+05,-1.7723e+05,-2.0990e-02,-1.7723e+05,8.0923e-02,6.5518e+00,1.7413e+05,5.7153e+01,-2.0285e-01,-9.2302e-01,3.9945e+00,2.8043e+00
2.2000e+01,1.0000e+00,2.1505e+00,-1.7719e+05,-1.7720e+05,-2.1989e-02,-1.7720e+05,8.7287e-02,7.6229e+00,1.7413e+05,5.9819e+01,-2.2405e-01,-1.1254e+00,3.8249e+00,3.8075e-01
2.3000e+01,1.0000e+00,2.2461e+00,-1.7717e+05,-1.7717e+05,-2.2989e-02,-1.7717e+05,8.7293e-02,7.6239e+00,1.7410e+05,6.2045e+01,-4.9065e-01,-6.4903e-01,3.9431e+00,2.8288e+00
2.4000e+01,1.0000e+00,2.3415e+00,-1.7715e+05,-1.7715e+05,-2.3988e-02,-1.7715e+05,8.7299e-02,7.6249e+00,1.7407e+05,6.4267e+01,1.6622e-01,-1.6768e+00,3.7962e+00,1.3832e+00
2.5000e+01,1.0000e+00,2.4366e+00,-1.7712e+05,-1.7713e+05,-2.4988e-02,-1.7713e+05,8.7305e-02,7.6259e+00,1.7405e+05,6.7340e+01,9.1166e-02,-1.5327e+00,3.7961e+00,3.4819e-01
2.6000e+01,1.0000e+00,2.5316e+00,-1.7708e+05,-1.7709e+05,-2.5987e-02,-1.7709e+05,8.7310e-02,7.6269e+00,1.7403e+05,6.9601e+01,3.7059e-01,-5.3512e-01,3.9534e+00,2.2359e+00
2.7000e+01,1.0000e+00,2.6265e+00,-1.7707e+05,-1.7708e+05,-2.6987e-02,-1.7708e+05,8.7241e-02,7.6148e+00,1.7399e+05,7.1801e+01,2.6802e-01,-7.7401e-01,3.8169e+00,1.1145e+00
2.8000e+01,1.0000e+00,2.7211e+00,-1.7706e+05,-1.7707e+05,-2.7986e-02,-1.7707e+05,8.7318e-02,7.6282e+00,1.7398e+05,7.4442e+01,1.6125e-01,-8.3579e-01,3.8165e+00,6.3614e-01
2.9000e+01,1.0000e+00,2.8155e+00,-1.7705e+05,-1.7706e+05,-2.8986e-02,-1.7706e+05,8.7308e-02,7.6265e+00,1.7397e+05,7.7076e+01,1.1900e-01,-8.3080e-01,3.8283e+00,1.7739e+00
3.0000e+01,1.0000e+00,2.9098e+00,-1.7705e+05,-1.7706e+05,-2.9985e-02,-1.7706e+05,8.1021e-02,6.5676e+00,1.7396e+05,8.0225e+01,4.6480e-01,-5.4861e-01,3.8251e+00,1.0049e+00
3.1000e+01,1.0000e+00,3.0039e+00,-1.7705e+05,-1.7706e+05,-3.0985e-02,-1.7706e+05,8.4929e-02,7.2166e+00,1.7396e+05,8.2877e+01,-3.5562e-01,-1.8992e+00,3.7653e+00,2.9729e-01
3.2000e+01,1.0000e+00,3.0978e+00,-1.7705e+05,-1.7705e+05,-3.1984e-02,-1.7705e+05,8.4176e-02,7.0891e+00,1.7396e+05,8.5518e+01,4.7406e-01,-8.6868e-01,3.7917e+00,2.8474e-01
3.3000e+01,1.0000e+00,3.1915e+00,-1.7704e+05,-1.7704e+05,-3.2984e-02,-1.7704e+05,8.7324e-02,7.6293e+00,1.7395e+05,8.7794e+01,3.9580e-01,-1.3216e+00,3.7623e+00,8.5063e-01
3.4000e+01,1.0000e+00,3.2850e+00,-1.7704e+05,-1.7704e+05,-3.3983e-02,-1.7704e+05,8.3845e-02,7.0335e+00,1.7394e+05,9.0875e+01,3.1818e-01,-1.1666e+00,3.8521e+00,2.0471e+00
3.5000e+01,1.0000e+00,3.3784e+00,-1.7703e+05,-1.7704e+05,-3.4983e-02,-1.7704e+05,8.3159e-02,6.9189e+00,1.7394e+05,9.3561e+01,4.3864e-01,-8.8243e-01,3.7768e+00,1.2624e+00
3.6000e+01,1.0000e+00,3.4716e+00,-1.7703e+05,-1.7704e+05,-3.5982e-02,-1.7704e+05,8.2721e-02,6.8461e+00,1.7394e+05,9.6213e+01,2.9108e-01,-8.1907e-01,3.8695e+00,2.0610e+00
3.7000e+01,1.0000e+00,3.5645e+00,-1.7699e+05,-1.7700e+05,-3.6982e-02,-1.7700e+05,8.7373e-02,7.6379e+00,1.7394e+05,9.8844e+01,-4.6731e-01,-1.7047e+00,3.7521e+00,1.0066e+00
3.8000e+01,1.0000e+00,3.6574e+00,-1.7699e+05,-1.7700e+05,-3.7981e-02,-1.7700e+05,8.2054e-02,6.7362e+00,1.7390e+05,1.0192e+02,-3.0657e-01,-8.8993e-01,3.8918e+00,2.6279e+00
3.9000e+01,1.0000e+00,3.7500e+00,-1.7698e+05,-1.7699e+05,-3.8981e-02,-1.7699e+05,8.5911e-02,7.3845e+00,1.7390e+05,1.0413e+02,-4.1570e-01,-1.4343e+00,3.8632e+00,2.6521e+00
4.0000e+01,1.0000e+00,3.8425e+00,-1.7698e+05,-1.7699e+05,-3.9980e-02,-1.7699e+05,8.0684e-02,6.5131e+00,1.7389e+05,1.0683e+02,2.5808e-01,-7.4715e-01,3.7991e+00,6.2542e-01
4.1000e+01,1.0000e+00,3.9347e+00,-1.7697e+05,-1.7698e+05,-4.0980e-02,-1.7698e+05,8.7396e-02,7.6419e+00,1.7389e+05,1.0947e+02,4.0993e-01,-1.8150e+00,3.7370e+00,1.1048e+00
4.2000e+01,3.0000e+00,4.0191e+00,-1.7691e+05,-1.7692e+05,-4.1979e-02,-1.7692e+05,8.7402e-02,7.6429e+00,1.7388e+05,1.1831e+02,-4.2782e-01,-1.2021e+00,3.9385e+00,3.3378e+00
