nlive,niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust,logNpix,tau,dmod
2.0000e+03,1.0000e+00,1.0000e+00,1.9960e-01,-1.9472e+05,-1.9473e+05,-1.9980e-03,-1.9473e+05,1.1750e-01,6.9098e+00,inf,1.1230e+03,-1.4848e+00,-1.1037e+00,4.9902e+00,8.0794e+00,2.0302e+01
2.0000e+03,2.0000e+00,1.0000e+00,3.9841e-01,-1.9460e+05,-1.9460e+05,-3.9960e-03,-1.9460e+05,1.1751e-01,6.9118e+00,1.7727e+05,1.1253e+03,3.4996e-01,-1.4709e+00,4.8847e+00,5.5178e+00,2.0064e+01
2.0000e+03,3.0000e+00,1.0000e+00,5.9642e-01,-1.9426e+05,-1.9427e+05,-5.9940e-03,-1.9427e+05,1.1753e-01,6.9138e+00,1.7715e+05,1.1276e+03,-6.8079e-01,-1.9943e+00,4.8161e+00,6.0920e+00,2.0065e+01
2.0000e+03,4.0000e+00,1.0000e+00,7.9365e-01,-1.9173e+05,-1.9174e+05,-7.9920e-03,-1.9174e+05,1.1755e-01,6.9157e+00,1.7682e+05,1.1296e+03,-1.4813e+00,-1.0994e+00,4.9090e+00,5.6133e+00,2.0848e+01
2.0000e+03,5.0000e+00,1.0000e+00,9.9010e-01,-1.9129e+05,-1.9129e+05,-9.9900e-03,-1.9129e+05,1.1757e-01,6.9177e+00,1.7428e+05,1.1317e+03,-3.3458e-02,-1.9345e+00,4.2620e+00,8.6118e+00,2.0316e+01
2.0000e+03,6.0000e+00,1.0000e+00,1.1858e+00,-1.9105e+05,-1.9105e+05,-1.1988e-02,-1.9105e+05,1.1758e-01,6.9197e+00,1.7384e+05,1.1337e+03,-4.4655e-01,-1.3703e+00,4.5261e+00,6.4473e+00,2.0227e+01
2.0000e+03,7.0000e+00,1.0000e+00,1.3807e+00,-1.9052e+05,-1.9053e+05,-1.3986e-02,-1.9053e+05,1.1760e-01,6.9217e+00,1.7360e+05,1.1360e+03,-1.1025e+00,-1.5560e+00,4.6991e+00,6.7472e+00,2.0815e+01
2.0000e+03,8.0000e+00,1.0000e+00,1.5748e+00,-1.8975e+05,-1.8976e+05,-1.5984e-02,-1.8976e+05,1.1762e-01,6.9237e+00,1.7307e+05,1.1383e+03,-6.5678e-01,-1.0678e+00,4.4705e+00,4.5072e+00,2.0292e+01
2.0000e+03,9.0000e+00,1.0000e+00,1.7682e+00,-1.8966e+05,-1.8967e+05,-1.7982e-02,-1.8967e+05,1.1763e-01,6.9257e+00,1.7231e+05,1.1403e+03,3.3117e-01,-1.8223e+00,4.9284e+00,6.5784e+00,2.1420e+01
2.0000e+03,1.0000e+01,1.0000e+00,1.9608e+00,-1.8959e+05,-1.8959e+05,-1.9980e-02,-1.8959e+05,1.1765e-01,6.9277e+00,1.7221e+05,1.1427e+03,-1.3923e+00,-1.5484e+00,4.9280e+00,1.3270e+00,2.1194e+01
