logfeh,logdust,logNpix,tau,logl
-2.5012e-01,-5.0004e-01,4.5016e+00,5.1606e-01,-1.6054e+01
-2.5792e-01,-4.9785e-01,4.5008e+00,9.0018e-01,-1.8063e+01
-2.5619e-01,-4.9864e-01,4.5010e+00,2.4462e-01,-1.7604e+01
-2.6024e-01,-4.9755e-01,4.5007e+00,3.2036e-01,-1.7798e+01
-2.6240e-01,-4.9677e-01,4.5007e+00,4.7551e-01,-1.8016e+01
-2.5691e-01,-4.9850e-01,4.5008e+00,1.8344e-01,-1.7008e+01
-2.6363e-01,-4.9556e-01,4.5001e+00,1.1511e+00,-1.8082e+01
-2.5944e-01,-4.9765e-01,4.5009e+00,4.1293e-01,-1.7934e+01
-2.5188e-01,-4.9963e-01,4.5013e+00,1.3686e-01,-1.7836e+01
-2.6071e-01,-4.9730e-01,4.5007e+00,5.4779e-01,-1.7265e+01
-2.5923e-01,-4.9775e-01,4.5007e+00,4.4269e-01,-1.7911e+01
-2.5464e-01,-4.9856e-01,4.5005e+00,1.0860e+00,-1.5836e+01
-2.5544e-01,-4.9663e-01,4.4996e+00,1.3654e+00,-1.6809e+01
-2.5527e-01,-4.9860e-01,4.5015e+00,3.1312e-01,-1.8065e+01
-2.6398e-01,-4.9649e-01,4.5005e+00,4.3602e-01,-1.7993e+01
-2.5988e-01,-4.9757e-01,4.5007e+00,3.7149e-01,-1.7074e+01
-2.5322e-01,-4.9924e-01,4.5014e+00,2.9457e-01,-1.6775e+01
-2.5966e-01,-4.9784e-01,4.5005e+00,2.1257e-01,-1.6042e+01
-2.5673e-01,-4.9833e-01,4.5010e+00,5.9830e-01,-1.7773e+01
-2.5358e-01,-4.9954e-01,4.5009e+00,4.0872e-01,-1.8106e+01
-2.6063e-01,-4.9721e-01,4.5008e+00,7.5780e-01,-1.6437e+01
-2.5426e-01,-4.9931e-01,4.5008e+00,4.6481e-01,-1.7530e+01
-2.5675e-01,-4.9851e-01,4.5009e+00,1.3623e-01,-1.7608e+01
-2.5962e-01,-4.9750e-01,4.5009e+00,1.9925e-01,-1.7993e+01
-2.5814e-01,-4.9809e-01,4.5008e+00,1.1676e-01,-1.7989e+01
-2.5885e-01,-4.9674e-01,4.5000e+00,1.2247e+00,-1.7989e+01
-2.5969e-01,-4.9721e-01,4.5001e+00,1.0883e+00,-1.7473e+01
-2.5230e-01,-4.9957e-01,4.5013e+00,7.0048e-01,-1.7385e+01
-2.5686e-01,-4.9823e-01,4.5012e+00,4.7394e-01,-1.8025e+01
-2.5534e-01,-4.9852e-01,4.5015e+00,5.7718e-01,-1.8097e+01
-2.5856e-01,-4.9778e-01,4.5010e+00,2.7073e-01,-1.8010e+01
-2.5170e-01,-4.9941e-01,4.5009e+00,1.0305e+00,-1.7321e+01
-2.6367e-01,-4.9654e-01,4.5005e+00,4.5471e-01,-1.7692e+01
-2.5454e-01,-4.9881e-01,4.5013e+00,2.0620e-01,-1.6401e+01
-2.5074e-01,-4.9983e-01,4.5016e+00,4.3218e-01,-1.5607e+01
-2.6030e-01,-4.9733e-01,4.5009e+00,3.1818e-01,-1.7921e+01
-2.5865e-01,-4.9776e-01,4.5009e+00,6.9086e-01,-1.7896e+01
-2.5584e-01,-4.9767e-01,4.4997e+00,1.2587e+00,-1.7749e+01
-2.5634e-01,-4.9805e-01,4.5005e+00,1.0797e+00,-1.7800e+01
-2.5661e-01,-4.9783e-01,4.5005e+00,1.0961e+00,-1.5053e+01
-2.5625e-01,-4.9851e-01,4.5010e+00,1.1693e-01,-1.7941e+01
-2.5668e-01,-4.9844e-01,4.5010e+00,2.5209e-01,-1.6539e+01
-2.4515e-01,-5.0122e-01,4.5017e+00,1.0624e+00,-1.7718e+01
-2.5624e-01,-4.9851e-01,4.5011e+00,1.9031e-01,-1.8112e+01
-2.5579e-01,-4.9875e-01,4.5010e+00,2.2322e-01,-1.5413e+01
-2.5789e-01,-4.9793e-01,4.5008e+00,8.8506e-01,-1.7699e+01
-2.5609e-01,-4.9826e-01,4.5005e+00,1.0285e+00,-1.6753e+01
-2.4683e-01,-5.0037e-01,4.5013e+00,1.1468e+00,-1.7594e+01
-2.5830e-01,-4.9805e-01,4.5008e+00,2.5660e-01,-1.6062e+01
-2.5462e-01,-4.9713e-01,4.4998e+00,1.3340e+00,-1.6124e+01
