nlive,niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust_med,logNpix,tau
2.0000e+03,1.0000e+00,1.0000e+00,3.3223e-01,-6.3349e+05,-6.3350e+05,-3.3278e-03,-6.3350e+05,1.4594e-01,6.4003e+00,inf,2.3613e+03,4.2023e-01,-1.5524e+00,3.0577e+00,3.1629e+00
2.0000e+03,2.0000e+00,1.0000e+00,6.6225e-01,-6.3083e+05,-6.3083e+05,-6.6556e-03,-6.3083e+05,1.4598e-01,6.4036e+00,1.9138e+05,2.3690e+03,2.0780e-01,-1.4259e+00,2.8653e+00,2.7670e+00
2.0000e+03,3.0000e+00,1.0000e+00,9.9010e-01,-6.2903e+05,-6.2903e+05,-9.9834e-03,-6.2903e+05,1.4602e-01,6.4069e+00,1.8871e+05,2.3774e+03,-1.3987e+00,-1.3974e+00,2.9509e+00,2.7125e-01
2.0000e+03,4.0000e+00,1.0000e+00,1.3158e+00,-6.2856e+05,-6.2857e+05,-1.3311e-02,-6.2857e+05,1.4605e-01,6.4102e+00,1.8691e+05,2.3862e+03,-2.3155e-02,-5.8001e-02,3.2302e+00,9.4737e-01
2.0000e+03,5.0000e+00,1.0000e+00,1.6393e+00,-6.2456e+05,-6.2457e+05,-1.6639e-02,-6.2457e+05,1.4609e-01,6.4136e+00,1.8645e+05,2.3928e+03,1.6520e-01,-5.7608e-01,3.7750e+00,5.9026e-01
2.0000e+03,6.0000e+00,1.0000e+00,1.9608e+00,-6.2262e+05,-6.2262e+05,-1.9967e-02,-6.2262e+05,1.4613e-01,6.4169e+00,1.8245e+05,2.4003e+03,4.6472e-01,-1.7350e+00,2.3014e+00,1.4507e+00
2.0000e+03,7.0000e+00,1.0000e+00,2.2801e+00,-6.2228e+05,-6.2229e+05,-2.3295e-02,-6.2229e+05,1.4617e-01,6.4202e+00,1.8050e+05,2.4080e+03,2.0855e-01,-1.1553e+00,2.4422e+00,1.2282e+00
2.0000e+03,8.0000e+00,1.0000e+00,2.5974e+00,-6.2159e+05,-6.2159e+05,-2.6622e-02,-6.2159e+05,1.4621e-01,6.4235e+00,1.8017e+05,2.4144e+03,-5.3568e-01,-4.6384e-01,3.5145e+00,4.0198e-01
2.0000e+03,9.0000e+00,1.0000e+00,2.9126e+00,-6.2055e+05,-6.2056e+05,-2.9950e-02,-6.2056e+05,1.4624e-01,6.4269e+00,1.7947e+05,2.4232e+03,-7.7985e-02,-1.0139e+00,3.6322e+00,2.4055e+00
2.0000e+03,1.0000e+01,1.0000e+00,3.2258e+00,-6.2046e+05,-6.2046e+05,-3.3278e-02,-6.2046e+05,1.4628e-01,6.4302e+00,1.7844e+05,2.4329e+03,4.3245e-03,-1.8991e+00,2.4133e+00,8.6781e-01
2.0000e+03,1.1000e+01,1.0000e+00,3.5370e+00,-6.2044e+05,-6.2044e+05,-3.6606e-02,-6.2044e+05,1.4632e-01,6.4336e+00,1.7834e+05,2.4407e+03,-4.1603e-01,-1.1126e-01,3.6163e+00,2.0391e+00
2.0000e+03,1.2000e+01,1.0000e+00,3.8462e+00,-6.2036e+05,-6.2036e+05,-3.9933e-02,-6.2036e+05,1.4636e-01,6.4368e+00,1.7832e+05,2.4481e+03,4.4412e-01,-1.4511e+00,2.9372e+00,4.3764e+00
2.0000e+03,1.3000e+01,1.0000e+00,4.1534e+00,-6.1663e+05,-6.1664e+05,-4.3261e-02,-6.1664e+05,1.4640e-01,6.4402e+00,1.7824e+05,2.4561e+03,-5.5900e-01,-1.5989e+00,3.0428e+00,3.6330e+00
2.0000e+03,1.4000e+01,1.0000e+00,4.4586e+00,-6.1625e+05,-6.1626e+05,-4.6589e-02,-6.1626e+05,1.4643e-01,6.4435e+00,1.7452e+05,2.4652e+03,-3.3903e-01,-1.3843e-01,3.6950e+00,2.4897e+00
2.0000e+03,1.5000e+01,1.0000e+00,4.7619e+00,-6.1584e+05,-6.1585e+05,-4.9917e-02,-6.1585e+05,1.4647e-01,6.4469e+00,1.7413e+05,2.4730e+03,2.3527e-01,-1.1097e+00,2.1459e+00,2.2332e+00
2.0000e+03,1.6000e+01,1.0000e+00,5.0633e+00,-6.1437e+05,-6.1438e+05,-5.3245e-02,-6.1438e+05,1.4651e-01,6.4501e+00,1.7372e+05,2.4809e+03,-2.5408e-01,-1.1741e+00,3.8153e+00,8.2840e-01
2.0000e+03,1.7000e+01,1.0000e+00,5.3628e+00,-6.1261e+05,-6.1261e+05,-5.6572e-02,-6.1261e+05,1.4655e-01,6.4535e+00,1.7225e+05,2.4874e+03,1.3249e-01,-2.6777e-01,2.6556e+00,3.9451e+00
2.0000e+03,1.8000e+01,1.0000e+00,5.6604e+00,-6.1206e+05,-6.1206e+05,-5.9900e-02,-6.1206e+05,1.4658e-01,6.4568e+00,1.7049e+05,2.4968e+03,2.3948e-02,-1.1496e+00,2.6945e+00,4.4021e+00
2.0000e+03,1.9000e+01,1.0000e+00,5.9561e+00,-6.1181e+05,-6.1181e+05,-6.3228e-02,-6.1181e+05,1.4662e-01,6.4602e+00,1.6994e+05,2.5047e+03,1.4548e-01,-1.5196e+00,2.0485e+00,4.5783e+00
2.0000e+03,2.0000e+01,1.0000e+00,6.2500e+00,-6.1163e+05,-6.1164e+05,-6.6556e-02,-6.1164e+05,1.4666e-01,6.4635e+00,1.6969e+05,2.5133e+03,1.9539e-01,-9.4060e-01,4.0480e+00,4.6433e-01
