nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logzh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logSFH5,logSFH6
2.0000e+03,0.0000e+00,1.0000e+00,4.9751e-01,-5.0051e+08,-5.0051e+08,-4.9875e-03,-5.0051e+08,1.3660e-01,3.7415e+00,inf,1.1570e+00,1.1413e-01,-2.3021e+00,-2.3966e+00,-1.1050e+00,-7.9619e-01,-1.2854e+00,6.3662e-01,2.4663e+00,3.9297e+00
2.0000e+03,1.0000e+00,2.0000e+00,9.9010e-01,-3.8304e+08,-3.8304e+08,-9.9751e-03,-3.8304e+08,1.6822e-01,5.6739e+00,inf,2.2760e+00,-2.3973e-01,-1.7843e+00,-3.1758e+00,-2.1371e+00,-1.1455e+00,-1.6194e+00,8.2879e-01,2.3757e+00,3.7318e+00
2.0000e+03,2.0000e+00,3.0000e+00,1.4778e+00,-3.5286e+08,-3.5286e+08,-1.4963e-02,-3.5286e+08,1.8675e-01,6.9927e+00,inf,3.3791e+00,-1.3991e+00,-2.3347e+00,-3.6985e+00,-1.4112e+00,-5.9266e-01,-1.2928e+00,4.3336e-01,2.2391e+00,3.7105e+00
2.0000e+03,3.0000e+00,4.0000e+00,1.9608e+00,-3.3508e+08,-3.3508e+08,-1.9950e-02,-3.3508e+08,2.0188e-01,8.1711e+00,inf,4.4796e+00,-6.9385e-01,-1.9934e+00,-2.2937e+00,-2.2534e+00,-2.2329e+00,-7.3738e-01,1.0358e+00,1.5311e+00,3.7034e+00
2.0000e+03,4.0000e+00,5.0000e+00,2.4390e+00,-3.1724e+08,-3.1724e+08,-2.4938e-02,-3.1724e+08,2.1443e-01,9.2190e+00,inf,5.6607e+00,-1.4368e+00,-2.3664e+00,-2.3951e+00,-2.1902e+00,-1.7278e+00,-5.3502e-01,-4.2500e-01,2.5938e+00,3.6099e+00
2.0000e+03,5.0000e+00,6.0000e+00,2.9126e+00,-2.8435e+08,-2.8435e+08,-2.9925e-02,-2.8435e+08,2.2254e-01,9.9299e+00,inf,6.7689e+00,-1.2642e+00,-8.4125e-01,-3.3988e+00,-1.0986e+00,-9.7082e-01,-9.1810e-01,-9.5391e-01,2.9191e+00,3.6475e+00
2.0000e+03,6.0000e+00,7.0000e+00,3.3816e+00,-2.8088e+08,-2.8088e+08,-3.4913e-02,-2.8088e+08,2.3329e-01,1.0912e+01,inf,7.8679e+00,-1.1170e+00,-1.2558e+00,-2.5011e+00,-4.5098e-01,-6.4217e-02,-1.0204e+00,-2.9434e-01,2.5142e+00,3.8100e+00
2.0000e+03,7.0000e+00,8.0000e+00,3.8462e+00,-2.7964e+08,-2.7964e+08,-3.9900e-02,-2.7964e+08,2.4379e-01,1.1917e+01,inf,8.9766e+00,-1.7246e-01,-2.2843e+00,-1.5431e+00,-1.4443e+00,-3.2176e-01,-7.6797e-01,1.1803e+00,2.5606e+00,3.7158e+00
2.0000e+03,8.0000e+00,9.0000e+00,4.3062e+00,-2.7898e+08,-2.7898e+08,-4.4888e-02,-2.7898e+08,2.5391e-01,1.2926e+01,inf,1.0103e+01,-1.3987e+00,-1.8974e+00,-3.2437e+00,-2.7812e+00,-2.0216e+00,-1.4996e+00,1.0675e+00,8.2672e-01,3.6402e+00
2.0000e+03,9.0000e+00,1.0000e+01,4.7619e+00,-2.5247e+08,-2.5247e+08,-4.9875e-02,-2.5247e+08,1.6822e-01,5.6737e+00,inf,1.1201e+01,-1.3737e+00,-2.4356e+00,-3.0869e+00,-2.4689e+00,-1.1892e+00,-1.7119e+00,1.6560e+00,2.9144e+00,3.3668e+00
