logfeh_mean,logdust,logNpix,tau,logl
-2.6573e-01,-1.9301e+00,1.8940e+00,3.5504e+00,-1.8934e+04
-2.3843e-01,-1.9274e+00,1.8845e+00,3.8290e+00,-1.9034e+04
-2.6910e-01,-1.9676e+00,1.8897e+00,3.5657e+00,-1.8903e+04
-2.4011e-01,-1.9975e+00,1.8838e+00,3.7574e+00,-1.9014e+04
-2.3945e-01,-1.8877e+00,1.8865e+00,3.7914e+00,-1.8781e+04
-2.2745e-01,-1.8497e+00,1.8852e+00,3.9589e+00,-1.8926e+04
-3.3633e-01,-1.9660e+00,1.8872e+00,3.2573e+00,-1.8964e+04
-2.7169e-01,-1.9006e+00,1.8930e+00,3.5655e+00,-1.8956e+04
-2.3796e-01,-1.8906e+00,1.8835e+00,3.8363e+00,-1.8930e+04
-2.6508e-01,-1.9913e+00,1.8903e+00,3.5601e+00,-1.8888e+04
-2.6784e-01,-1.9581e+00,1.8926e+00,3.5399e+00,-1.8955e+04
-2.3767e-01,-1.9722e+00,1.8855e+00,3.8298e+00,-1.8957e+04
-2.6749e-01,-1.9212e+00,1.8913e+00,3.5572e+00,-1.8866e+04
-2.3759e-01,-1.9980e+00,1.8840e+00,3.8582e+00,-1.8894e+04
-2.6964e-01,-1.8483e+00,1.8909e+00,3.5719e+00,-1.8989e+04
-2.6619e-01,-1.8723e+00,1.8922e+00,3.5600e+00,-1.8928e+04
-2.2232e-01,-1.8336e+00,1.8893e+00,3.9122e+00,-1.9030e+04
-2.3943e-01,-1.8963e+00,1.8878e+00,3.7746e+00,-1.8955e+04
-3.3570e-01,-1.8855e+00,1.8881e+00,3.2540e+00,-1.9003e+04
-2.3819e-01,-1.9551e+00,1.8844e+00,3.8211e+00,-1.8896e+04
-2.6525e-01,-1.9897e+00,1.8902e+00,3.5440e+00,-1.8993e+04
-2.2410e-01,-1.8957e+00,1.8881e+00,3.9507e+00,-1.9006e+04
-2.6690e-01,-1.9714e+00,1.8908e+00,3.5828e+00,-1.8811e+04
-2.6896e-01,-1.9967e+00,1.8921e+00,3.5932e+00,-1.9035e+04
-2.6725e-01,-1.9911e+00,1.8901e+00,3.5184e+00,-1.8914e+04
-2.6480e-01,-1.8797e+00,1.8925e+00,3.5792e+00,-1.8998e+04
-2.7047e-01,-1.9296e+00,1.8921e+00,3.6109e+00,-1.8980e+04
-2.6900e-01,-1.9227e+00,1.8921e+00,3.5770e+00,-1.8872e+04
-2.7047e-01,-1.9728e+00,1.8891e+00,3.5721e+00,-1.8990e+04
-2.4071e-01,-1.9928e+00,1.8856e+00,3.7282e+00,-1.8951e+04
-2.6586e-01,-1.9935e+00,1.8943e+00,3.6044e+00,-1.8952e+04
-2.2771e-01,-1.8279e+00,1.8856e+00,3.9543e+00,-1.8980e+04
-2.7019e-01,-1.8877e+00,1.8905e+00,3.6131e+00,-1.9027e+04
-2.6713e-01,-1.8537e+00,1.8927e+00,3.6286e+00,-1.8926e+04
-2.6757e-01,-1.9669e+00,1.8899e+00,3.5115e+00,-1.9024e+04
-2.2549e-01,-1.9620e+00,1.8847e+00,3.9784e+00,-1.8955e+04
-2.2964e-01,-1.9620e+00,1.8865e+00,3.9212e+00,-1.8973e+04
-2.6711e-01,-1.9552e+00,1.8888e+00,3.5626e+00,-1.9026e+04
-2.7053e-01,-1.9694e+00,1.8911e+00,3.6016e+00,-1.8775e+04
-2.4124e-01,-1.9576e+00,1.8844e+00,3.7484e+00,-1.8981e+04
-2.2599e-01,-1.9035e+00,1.8879e+00,3.9576e+00,-1.9015e+04
-2.6925e-01,-1.9965e+00,1.8904e+00,3.5259e+00,-1.8992e+04
-2.3056e-01,-1.9223e+00,1.8874e+00,3.9171e+00,-1.8989e+04
-2.3956e-01,-1.9979e+00,1.8846e+00,3.7460e+00,-1.8921e+04
-2.6505e-01,-1.9324e+00,1.8910e+00,3.6004e+00,-1.8804e+04
-2.7070e-01,-1.9293e+00,1.8940e+00,3.5704e+00,-1.9012e+04
-2.3017e-01,-1.9083e+00,1.8863e+00,3.9239e+00,-1.8782e+04
-2.7078e-01,-1.9815e+00,1.8950e+00,3.4525e+00,-1.9023e+04
-3.3579e-01,-1.9851e+00,1.8872e+00,3.2515e+00,-1.8841e+04
-2.6482e-01,-1.9999e+00,1.8903e+00,3.5895e+00,-1.9005e+04
-2.3843e-01,-1.9700e+00,1.8857e+00,3.7942e+00,-1.8902e+04
-2.3167e-01,-1.9396e+00,1.8948e+00,3.7439e+00,-1.8956e+04
-2.2552e-01,-1.8965e+00,1.8866e+00,3.9555e+00,-1.8889e+04
-2.3205e-01,-1.9836e+00,1.8937e+00,3.7505e+00,-1.8921e+04
-2.6467e-01,-1.9070e+00,1.8910e+00,3.5620e+00,-1.8942e+04
-2.6817e-01,-1.9522e+00,1.8890e+00,3.5627e+00,-1.8968e+04
-3.3664e-01,-1.9861e+00,1.8869e+00,3.2384e+00,-1.8922e+04
-2.6874e-01,-1.8415e+00,1.8923e+00,3.5910e+00,-1.9018e+04
-2.6839e-01,-1.9683e+00,1.8913e+00,3.5981e+00,-1.8961e+04
-2.4050e-01,-1.9869e+00,1.8863e+00,3.7342e+00,-1.8864e+04
-2.3689e-01,-1.9967e+00,1.8875e+00,3.8183e+00,-1.8999e+04
-2.3795e-01,-1.9663e+00,1.8839e+00,3.8066e+00,-1.9027e+04
-2.3120e-01,-1.8896e+00,1.8857e+00,3.9105e+00,-1.8940e+04
-2.3948e-01,-1.9653e+00,1.8846e+00,3.7848e+00,-1.8978e+04
-1.9217e-01,-1.9786e+00,1.8947e+00,4.0230e+00,-1.9020e+04
-2.7177e-01,-1.9844e+00,1.8939e+00,3.5996e+00,-1.8936e+04
-2.2466e-01,-1.8622e+00,1.8862e+00,3.9319e+00,-1.9036e+04
