logfeh,logdust,logNpix,tau,logl
-2.4346e-01,-5.0463e-01,2.0004e+00,3.0289e+00,-9.0856e+02
-1.8630e-01,-5.2773e-01,1.9997e+00,2.9804e+00,-8.9598e+02
-1.9827e-01,-5.2265e-01,2.0033e+00,2.9373e+00,-8.9749e+02
-2.3138e-01,-5.1165e-01,2.0013e+00,2.8723e+00,-9.0326e+02
-2.0130e-01,-5.1456e-01,2.0021e+00,3.0618e+00,-8.9782e+02
-1.6630e-01,-5.2832e-01,2.0025e+00,3.0783e+00,-9.1095e+02
-2.0317e-01,-5.2385e-01,2.0054e+00,2.8708e+00,-9.0573e+02
-1.9657e-01,-5.2514e-01,1.9986e+00,2.9954e+00,-9.0765e+02
-2.3106e-01,-5.1396e-01,2.0000e+00,2.8582e+00,-8.9959e+02
-1.9961e-01,-5.2066e-01,2.0030e+00,2.9466e+00,-9.1250e+02
-2.2311e-01,-5.1858e-01,2.0012e+00,2.8716e+00,-8.9024e+02
-2.7511e-01,-4.9966e-01,2.0015e+00,2.9391e+00,-8.9513e+02
-1.9290e-01,-5.3091e-01,1.9998e+00,2.8486e+00,-9.1102e+02
-2.4655e-01,-5.0478e-01,2.0004e+00,2.9877e+00,-8.9615e+02
-2.1624e-01,-5.2168e-01,2.0050e+00,2.7859e+00,-9.0085e+02
-1.5615e-01,-5.4601e-01,2.0077e+00,2.7578e+00,-9.1059e+02
-2.7787e-01,-4.9410e-01,1.9972e+00,3.0831e+00,-9.0007e+02
-2.2912e-01,-5.1402e-01,2.0057e+00,2.8385e+00,-9.1091e+02
-2.2559e-01,-5.1711e-01,2.0019e+00,2.8384e+00,-9.0705e+02
-1.8231e-01,-5.3160e-01,2.0003e+00,2.9468e+00,-9.0861e+02
-2.0244e-01,-5.2199e-01,2.0021e+00,2.8403e+00,-8.9102e+02
-2.2005e-01,-5.0834e-01,1.9977e+00,3.0831e+00,-9.1096e+02
-2.6914e-01,-4.9616e-01,1.9965e+00,3.0936e+00,-9.0964e+02
-1.9516e-01,-5.2680e-01,1.9977e+00,2.9229e+00,-9.0106e+02
-2.2678e-01,-5.1159e-01,1.9984e+00,3.0031e+00,-9.1251e+02
-2.8384e-01,-4.9272e-01,1.9968e+00,3.0557e+00,-9.0383e+02
