niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod
1.0000e+00,1.0000e+00,1.9960e-01,-1.6429e+05,-1.6430e+05,-1.9980e-03,-1.6430e+05,1.1750e-01,6.9098e+00,inf,1.0043e+03,-4.8130e-01,-1.1627e-01,3.8786e-01,1.3166e+00,2.1634e+00,2.6283e+00,4.8919e+00,2.5066e+01
2.0000e+00,1.0000e+00,3.9841e-01,-1.6412e+05,-1.6413e+05,-3.9960e-03,-1.6413e+05,1.1751e-01,6.9118e+00,1.4816e+05,1.0062e+03,-2.9706e-01,-4.7770e-01,-5.6966e-01,1.6935e+00,2.6444e+00,3.2427e+00,4.9245e+00,2.5894e+01
3.0000e+00,1.0000e+00,5.9642e-01,-1.6398e+05,-1.6399e+05,-5.9940e-03,-1.6399e+05,1.1753e-01,6.9138e+00,1.4799e+05,1.0080e+03,-9.8389e-02,-5.5520e-01,-7.2209e-01,1.4782e+00,2.8059e+00,4.0438e+00,4.7956e+00,2.5923e+01
4.0000e+00,1.0000e+00,7.9365e-01,-1.6392e+05,-1.6393e+05,-7.9920e-03,-1.6393e+05,1.1755e-01,6.9157e+00,1.4785e+05,1.0103e+03,-1.4432e-01,-9.4892e-01,-2.1489e-01,1.3157e+00,2.0680e+00,2.8414e+00,4.6548e+00,2.5163e+01
5.0000e+00,1.0000e+00,9.9010e-01,-1.6386e+05,-1.6387e+05,-9.9900e-03,-1.6387e+05,1.1757e-01,6.9177e+00,1.4779e+05,1.0121e+03,7.0061e-02,-1.6740e-01,3.5358e-01,1.3539e+00,2.0522e+00,2.1589e+00,4.9137e+00,2.5354e+01
6.0000e+00,1.0000e+00,1.1858e+00,-1.6385e+05,-1.6385e+05,-1.1988e-02,-1.6385e+05,1.1758e-01,6.9197e+00,1.4773e+05,1.0143e+03,-3.9690e-01,-3.0425e-01,3.7469e-01,9.4181e-01,2.3924e+00,3.7791e+00,4.7748e+00,2.5536e+01
7.0000e+00,1.0000e+00,1.3807e+00,-1.6382e+05,-1.6383e+05,-1.3986e-02,-1.6383e+05,1.1760e-01,6.9217e+00,1.4772e+05,1.0166e+03,-2.1905e-01,-9.3693e-01,9.1606e-02,1.7057e+00,2.4123e+00,2.4973e+00,4.6613e+00,2.5144e+01
8.0000e+00,1.0000e+00,1.5748e+00,-1.6373e+05,-1.6374e+05,-1.5984e-02,-1.6374e+05,1.1762e-01,6.9237e+00,1.4769e+05,1.0184e+03,1.7741e-01,-2.5408e-01,-6.9394e-02,2.8490e-01,2.1988e+00,3.6609e+00,4.7888e+00,2.5547e+01
9.0000e+00,1.0000e+00,1.7682e+00,-1.6367e+05,-1.6368e+05,-1.7982e-02,-1.6368e+05,1.1763e-01,6.9257e+00,1.4760e+05,1.0203e+03,2.3813e-01,-3.8946e-01,5.3708e-01,1.5751e+00,1.9809e+00,2.4801e+00,4.8975e+00,2.5480e+01
1.0000e+01,1.0000e+00,1.9608e+00,-1.6341e+05,-1.6341e+05,-1.9980e-02,-1.6341e+05,1.1765e-01,6.9277e+00,1.4754e+05,1.0223e+03,-3.7241e-01,-2.8162e-01,9.7328e-01,5.2483e-01,2.8244e+00,3.6170e+00,4.7689e+00,2.5189e+01
