logfeh_mean,logdust,logNpix,tau,logl
1.3686e-01,-1.8865e+00,2.4493e+00,3.3998e+00,-2.8270e+03
1.0371e-01,-1.9700e+00,2.4443e+00,3.1826e+00,-2.8176e+03
1.3680e-01,-1.9422e+00,2.4485e+00,3.3828e+00,-2.7897e+03
1.4264e-01,-1.9642e+00,2.4439e+00,3.4405e+00,-2.8216e+03
1.3707e-01,-1.9234e+00,2.4499e+00,3.3916e+00,-2.8163e+03
1.3592e-01,-1.9668e+00,2.4478e+00,3.3512e+00,-2.8331e+03
1.5435e-01,-1.9738e+00,2.4552e+00,3.3451e+00,-2.8143e+03
1.3703e-01,-1.9451e+00,2.4489e+00,3.3707e+00,-2.8128e+03
1.0848e-01,-1.9122e+00,2.4416e+00,3.3293e+00,-2.8115e+03
1.3020e-01,-1.9641e+00,2.4522e+00,3.2507e+00,-2.8282e+03
1.0936e-01,-1.9415e+00,2.4439e+00,3.2846e+00,-2.8364e+03
1.3755e-01,-1.9919e+00,2.4485e+00,3.3654e+00,-2.8330e+03
9.2864e-02,-1.9801e+00,2.4429e+00,3.1720e+00,-2.8321e+03
1.1435e-01,-1.9094e+00,2.4482e+00,3.2652e+00,-2.8436e+03
9.2214e-02,-1.9437e+00,2.4452e+00,3.1945e+00,-2.8272e+03
1.3696e-01,-1.9526e+00,2.4497e+00,3.3964e+00,-2.8153e+03
1.0428e-01,-1.9391e+00,2.4404e+00,3.3297e+00,-2.8437e+03
1.3722e-01,-1.9439e+00,2.4478e+00,3.3825e+00,-2.8339e+03
9.1431e-02,-1.9276e+00,2.4456e+00,3.1593e+00,-2.8422e+03
1.5456e-01,-1.9664e+00,2.4572e+00,3.3466e+00,-2.8448e+03
8.6025e-02,-1.9344e+00,2.4403e+00,3.1871e+00,-2.8269e+03
1.2723e-01,-1.9987e+00,2.4492e+00,3.3131e+00,-2.8204e+03
1.0368e-01,-1.8863e+00,2.4444e+00,3.2418e+00,-2.8456e+03
8.9474e-02,-1.9734e+00,2.4428e+00,3.1682e+00,-2.8356e+03
1.2066e-01,-1.8217e+00,2.4503e+00,3.2978e+00,-2.8323e+03
