logfeh_mean,logdust_med,logNpix,tau,dmod,logl
-2.4069e-01,-5.2123e-01,2.0064e+00,2.8144e+00,2.6007e+01,-9.2321e+02
-2.2906e-01,-5.1783e-01,1.9972e+00,2.8983e+00,2.5969e+01,-9.2761e+02
-2.4332e-01,-5.1550e-01,2.0112e+00,2.8201e+00,2.6017e+01,-9.1397e+02
-2.2072e-01,-5.5457e-01,2.0049e+00,2.7926e+00,2.6004e+01,-9.2364e+02
-2.6766e-01,-5.1002e-01,1.9955e+00,2.7568e+00,2.5975e+01,-9.1642e+02
-2.4078e-01,-5.2759e-01,1.9988e+00,2.7952e+00,2.5976e+01,-9.2763e+02
-2.7399e-01,-4.8741e-01,2.0016e+00,2.8933e+00,2.5998e+01,-9.0225e+02
-2.1212e-01,-5.0345e-01,2.0082e+00,3.0863e+00,2.6005e+01,-9.2384e+02
-2.4012e-01,-5.1140e-01,2.0107e+00,2.8695e+00,2.6021e+01,-9.2205e+02
-2.4455e-01,-5.2329e-01,1.9962e+00,2.7409e+00,2.5966e+01,-9.2540e+02
-2.5799e-01,-5.2015e-01,2.0184e+00,2.7792e+00,2.6048e+01,-9.1303e+02
-2.5303e-01,-4.8821e-01,2.0017e+00,2.7985e+00,2.5980e+01,-9.1797e+02
-2.4645e-01,-5.0532e-01,1.9956e+00,2.7982e+00,2.5964e+01,-9.2583e+02
-2.3598e-01,-5.2880e-01,1.9949e+00,2.8576e+00,2.5976e+01,-9.2724e+02
-2.7316e-01,-4.7843e-01,2.0026e+00,2.8030e+00,2.5987e+01,-9.1133e+02
-2.5411e-01,-5.0326e-01,2.0040e+00,2.8376e+00,2.5999e+01,-9.2021e+02
-2.3707e-01,-5.1721e-01,2.0102e+00,2.8256e+00,2.6012e+01,-9.2517e+02
-2.3264e-01,-5.0761e-01,2.0026e+00,2.9271e+00,2.5997e+01,-9.2114e+02
-2.1842e-01,-5.1993e-01,2.0015e+00,2.9244e+00,2.5989e+01,-9.1970e+02
-2.4372e-01,-5.2620e-01,2.0178e+00,2.8016e+00,2.6039e+01,-9.2431e+02
-2.6463e-01,-5.1557e-01,2.0056e+00,2.7244e+00,2.6018e+01,-9.2685e+02
-2.4441e-01,-5.1949e-01,1.9940e+00,2.8329e+00,2.5973e+01,-9.2696e+02
-2.2377e-01,-5.2712e-01,1.9891e+00,2.8878e+00,2.5954e+01,-9.2737e+02
-2.5831e-01,-5.1256e-01,2.0030e+00,2.7198e+00,2.5996e+01,-9.2558e+02
-2.1934e-01,-5.1706e-01,2.0048e+00,2.9771e+00,2.6002e+01,-9.2708e+02
-2.3321e-01,-5.1665e-01,2.0056e+00,2.8597e+00,2.6005e+01,-9.2758e+02
-2.1594e-01,-5.2928e-01,1.9998e+00,2.8767e+00,2.5976e+01,-9.2355e+02
-2.6324e-01,-5.2637e-01,2.0130e+00,2.7391e+00,2.6035e+01,-9.2608e+02
-2.1742e-01,-5.1854e-01,1.9973e+00,2.9445e+00,2.5977e+01,-9.2348e+02
-2.2187e-01,-5.3541e-01,2.0051e+00,2.9002e+00,2.6006e+01,-9.2208e+02
-2.7263e-01,-4.9236e-01,2.0107e+00,2.8647e+00,2.6023e+01,-9.2502e+02
-2.3638e-01,-5.2542e-01,1.9917e+00,2.8035e+00,2.5958e+01,-9.2511e+02
-2.3620e-01,-5.2244e-01,1.9996e+00,2.8262e+00,2.5981e+01,-9.2568e+02
-2.3439e-01,-4.9686e-01,1.9992e+00,2.9829e+00,2.5983e+01,-9.1785e+02
-2.4258e-01,-5.1616e-01,1.9944e+00,2.8473e+00,2.5965e+01,-9.2421e+02
-2.1904e-01,-5.4678e-01,1.9941e+00,2.8950e+00,2.5973e+01,-9.2216e+02
-2.6608e-01,-5.0948e-01,1.9949e+00,2.7088e+00,2.5969e+01,-9.2680e+02
-2.1083e-01,-5.4761e-01,2.0022e+00,2.8037e+00,2.5985e+01,-9.2664e+02
-2.2356e-01,-5.1461e-01,2.0108e+00,2.9905e+00,2.6013e+01,-9.2290e+02
-2.1842e-01,-5.4495e-01,2.0131e+00,2.8995e+00,2.6032e+01,-9.2432e+02
-2.5230e-01,-5.1839e-01,2.0229e+00,2.7865e+00,2.6055e+01,-9.2286e+02
-2.0368e-01,-5.3110e-01,1.9910e+00,2.9746e+00,2.5953e+01,-9.2206e+02
-2.3733e-01,-5.3276e-01,2.0028e+00,2.8419e+00,2.6005e+01,-9.2360e+02
-2.3100e-01,-5.1853e-01,1.9998e+00,2.9527e+00,2.5987e+01,-9.2699e+02
-2.6570e-01,-5.0180e-01,2.0006e+00,2.7351e+00,2.5984e+01,-9.2349e+02
-2.2228e-01,-5.1737e-01,1.9931e+00,2.8815e+00,2.5955e+01,-9.1693e+02
-2.3196e-01,-5.0776e-01,2.0012e+00,2.9523e+00,2.5987e+01,-9.1537e+02
-2.5752e-01,-4.8348e-01,2.0122e+00,2.9515e+00,2.6026e+01,-9.2696e+02
-2.3307e-01,-5.1226e-01,2.0005e+00,2.9815e+00,2.5992e+01,-9.1588e+02
-2.2137e-01,-5.1744e-01,2.0069e+00,2.9517e+00,2.6003e+01,-9.2721e+02
-2.6752e-01,-5.2263e-01,2.0117e+00,2.7360e+00,2.6035e+01,-9.2667e+02
-2.4275e-01,-5.2551e-01,1.9917e+00,2.7911e+00,2.5959e+01,-9.1903e+02
-2.2823e-01,-5.1432e-01,2.0119e+00,2.9287e+00,2.6020e+01,-9.2259e+02
-2.2876e-01,-5.3196e-01,1.9943e+00,2.9224e+00,2.5982e+01,-9.2484e+02
-2.5917e-01,-5.2123e-01,2.0171e+00,2.7355e+00,2.6045e+01,-9.2394e+02
-2.6359e-01,-5.2024e-01,2.0019e+00,2.6559e+00,2.5992e+01,-9.2123e+02
-2.5788e-01,-5.0581e-01,2.0171e+00,2.8216e+00,2.6036e+01,-9.1425e+02
-2.5394e-01,-5.0161e-01,2.0156e+00,2.7636e+00,2.6027e+01,-9.2476e+02
-2.3583e-01,-5.2676e-01,2.0126e+00,2.8515e+00,2.6021e+01,-9.2701e+02
-2.4280e-01,-5.2036e-01,1.9997e+00,2.7905e+00,2.5982e+01,-9.2220e+02
-2.4350e-01,-5.0765e-01,2.0055e+00,2.9143e+00,2.6003e+01,-9.0608e+02
-2.0324e-01,-5.4978e-01,1.9942e+00,2.9402e+00,2.5969e+01,-9.2301e+02
-2.6014e-01,-5.0382e-01,2.0055e+00,2.7341e+00,2.5999e+01,-9.2738e+02
-2.2427e-01,-5.2610e-01,1.9985e+00,2.8329e+00,2.5984e+01,-9.2778e+02
-2.3867e-01,-4.9983e-01,2.0081e+00,2.9368e+00,2.6010e+01,-9.2264e+02
