niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust,logNpix,tau
1.0000e+00,1.0000e+00,9.9900e-02,-2.0691e+05,-2.0692e+05,-9.9950e-04,-2.0692e+05,8.7167e-02,7.6019e+00,inf,2.6792e+00,-4.0102e-01,-1.8223e+00,3.9511e+00,8.0765e-01
2.0000e+00,1.0000e+00,1.9960e-01,-2.0683e+05,-2.0684e+05,-1.9990e-03,-2.0684e+05,8.7173e-02,7.6029e+00,1.7497e+05,5.8172e+00,-3.9133e-01,-1.2845e+00,3.9556e+00,4.2772e-01
3.0000e+00,1.0000e+00,2.9910e-01,-2.0677e+05,-2.0678e+05,-2.9985e-03,-2.0678e+05,8.7179e-02,7.6039e+00,1.7489e+05,8.1122e+00,-4.2384e-01,-1.2176e+00,3.9602e+00,2.1788e+00
4.0000e+00,1.0000e+00,3.9841e-01,-2.0660e+05,-2.0660e+05,-3.9980e-03,-2.0660e+05,8.7184e-02,7.6049e+00,1.7484e+05,1.0798e+01,8.7972e-02,-1.9623e+00,3.9728e+00,4.4679e-01
5.0000e+00,1.0000e+00,4.9751e-01,-2.0656e+05,-2.0657e+05,-4.9975e-03,-2.0657e+05,8.7190e-02,7.6059e+00,1.7466e+05,1.3482e+01,1.2998e-01,-1.3370e+00,3.9905e+00,4.8650e-01
6.0000e+00,1.0000e+00,5.9642e-01,-2.0650e+05,-2.0650e+05,-5.9970e-03,-2.0650e+05,8.7196e-02,7.6069e+00,1.7462e+05,1.5723e+01,5.2327e-02,-1.7214e+00,3.9524e+00,5.7009e-01
7.0000e+00,1.0000e+00,6.9513e-01,-2.0644e+05,-2.0645e+05,-6.9965e-03,-2.0645e+05,8.7201e-02,7.6079e+00,1.7456e+05,1.8869e+01,-3.3109e-01,-1.5041e+00,3.8868e+00,6.0812e-01
8.0000e+00,1.0000e+00,7.9365e-01,-2.0634e+05,-2.0635e+05,-7.9960e-03,-2.0635e+05,8.7207e-02,7.6089e+00,1.7450e+05,2.1550e+01,1.4357e-01,-1.6103e+00,3.9455e+00,1.6441e-01
9.0000e+00,1.0000e+00,8.9197e-01,-2.0631e+05,-2.0631e+05,-8.9955e-03,-2.0631e+05,8.7213e-02,7.6099e+00,1.7440e+05,2.4237e+01,-2.0285e-01,-9.2302e-01,3.9945e+00,2.8043e+00
1.0000e+01,1.0000e+00,9.9010e-01,-2.0629e+05,-2.0630e+05,-9.9950e-03,-2.0630e+05,8.7218e-02,7.6109e+00,1.7437e+05,2.6691e+01,3.8404e-01,-1.1494e+00,3.9862e+00,9.7582e-01
1.1000e+01,1.0000e+00,1.0880e+00,-2.0622e+05,-2.0622e+05,-1.0995e-02,-2.0622e+05,8.7224e-02,7.6119e+00,1.7435e+05,2.9384e+01,-4.2782e-01,-1.2021e+00,3.9385e+00,3.3378e+00
1.2000e+01,1.0000e+00,1.1858e+00,-2.0618e+05,-2.0619e+05,-1.1994e-02,-2.0619e+05,8.7230e-02,7.6129e+00,1.7428e+05,3.2075e+01,3.8860e-01,-1.7496e+00,3.9506e+00,1.7082e+00
1.3000e+01,1.0000e+00,1.2833e+00,-2.0615e+05,-2.0615e+05,-1.2994e-02,-2.0615e+05,8.7236e-02,7.6139e+00,1.7424e+05,3.4760e+01,-4.9065e-01,-6.4903e-01,3.9431e+00,2.8288e+00
1.4000e+01,1.0000e+00,1.3807e+00,-2.0610e+05,-2.0611e+05,-1.3993e-02,-2.0611e+05,8.7242e-02,7.6149e+00,1.7421e+05,3.7457e+01,-3.4469e-01,-1.0257e+00,3.9541e+00,3.5046e+00
1.5000e+01,1.0000e+00,1.4778e+00,-2.0608e+05,-2.0609e+05,-1.4993e-02,-2.0609e+05,8.7247e-02,7.6159e+00,1.7416e+05,3.9738e+01,-2.9966e-01,-1.0144e+00,3.8580e+00,1.8482e+00
1.6000e+01,1.0000e+00,1.5748e+00,-2.0606e+05,-2.0606e+05,-1.5992e-02,-2.0606e+05,8.7253e-02,7.6169e+00,1.7414e+05,4.2885e+01,-4.1570e-01,-1.4343e+00,3.8632e+00,2.6521e+00
1.7000e+01,1.0000e+00,1.6716e+00,-2.0605e+05,-2.0606e+05,-1.6992e-02,-2.0606e+05,8.7170e-02,7.6024e+00,1.7412e+05,4.5208e+01,8.4091e-02,-1.7118e+00,3.9014e+00,2.1005e+00
1.8000e+01,1.0000e+00,1.7682e+00,-2.0604e+05,-2.0605e+05,-1.7991e-02,-2.0605e+05,8.7239e-02,7.6144e+00,1.7411e+05,4.7470e+01,1.4266e-01,-1.0233e+00,3.9184e+00,1.7258e+00
1.9000e+01,1.0000e+00,1.8646e+00,-2.0599e+05,-2.0600e+05,-1.8991e-02,-2.0600e+05,8.7270e-02,7.6199e+00,1.7410e+05,4.9784e+01,-4.9997e-01,-1.7768e+00,3.8718e+00,3.4596e+00
2.0000e+01,1.0000e+00,1.9608e+00,-2.0597e+05,-2.0598e+05,-1.9990e-02,-2.0598e+05,8.7276e-02,7.6209e+00,1.7406e+05,5.2604e+01,3.7279e-01,-1.2379e+00,3.9576e+00,2.1885e+00
2.1000e+01,1.0000e+00,2.0568e+00,-2.0596e+05,-2.0597e+05,-2.0990e-02,-2.0597e+05,8.7244e-02,7.6153e+00,1.7403e+05,5.5333e+01,-3.0986e-01,-1.0302e+00,3.8328e+00,1.0708e+00
2.2000e+01,1.0000e+00,2.1526e+00,-2.0596e+05,-2.0597e+05,-2.1989e-02,-2.0597e+05,8.4032e-02,7.0648e+00,1.7402e+05,5.8016e+01,-3.0657e-01,-8.8993e-01,3.8918e+00,2.6279e+00
2.3000e+01,1.0000e+00,2.2483e+00,-2.0592e+05,-2.0593e+05,-2.2989e-02,-2.0593e+05,8.7293e-02,7.6239e+00,1.7402e+05,6.0714e+01,-8.6398e-02,-1.1300e+00,3.9724e+00,3.6093e+00
2.4000e+01,1.0000e+00,2.3438e+00,-2.0590e+05,-2.0591e+05,-2.3988e-02,-2.0591e+05,8.7299e-02,7.6249e+00,1.7399e+05,6.2996e+01,-1.2796e-01,-1.9710e+00,3.8722e+00,2.7315e+00
2.5000e+01,1.0000e+00,2.4390e+00,-2.0588e+05,-2.0589e+05,-2.4988e-02,-2.0589e+05,8.7305e-02,7.6259e+00,1.7396e+05,6.5243e+01,-2.2405e-01,-1.1254e+00,3.8249e+00,3.8075e-01
2.6000e+01,1.0000e+00,2.5341e+00,-2.0582e+05,-2.0583e+05,-2.5987e-02,-2.0583e+05,8.7310e-02,7.6269e+00,1.7395e+05,6.8365e+01,-3.5562e-01,-1.8992e+00,3.7653e+00,2.9729e-01
2.7000e+01,1.0000e+00,2.6290e+00,-2.0582e+05,-2.0583e+05,-2.6987e-02,-2.0583e+05,8.3205e-02,6.9266e+00,1.7388e+05,7.0620e+01,4.3246e-01,-1.9169e+00,3.8914e+00,1.7665e+00
2.8000e+01,1.0000e+00,2.7237e+00,-2.0581e+05,-2.0582e+05,-2.7986e-02,-2.0582e+05,8.7315e-02,7.6277e+00,1.7388e+05,7.2915e+01,3.6669e-01,-1.4970e+00,3.8738e+00,7.9140e-01
2.9000e+01,1.0000e+00,2.8183e+00,-2.0580e+05,-2.0580e+05,-2.8986e-02,-2.0580e+05,8.7327e-02,7.6298e+00,1.7387e+05,7.5597e+01,-4.6731e-01,-1.7047e+00,3.7521e+00,1.0066e+00
