logfeh_mean,logdust,logNpix,tau,logl
-3.6103e-02,-1.0414e+00,3.2243e+00,3.0160e+00,-2.4940e+03
-1.9024e-02,-1.0720e+00,3.2303e+00,2.9202e+00,-2.4931e+03
-2.3844e-02,-1.0651e+00,3.2284e+00,2.9262e+00,-2.4518e+03
-6.5317e-03,-1.0989e+00,3.2300e+00,2.8635e+00,-2.4385e+03
-9.0257e-03,-1.1264e+00,3.2322e+00,2.7425e+00,-2.4989e+03
-3.6767e-02,-1.0448e+00,3.2259e+00,2.9794e+00,-2.4836e+03
9.3953e-03,-1.1227e+00,3.2291e+00,2.8723e+00,-2.4776e+03
-4.7057e-03,-1.1045e+00,3.2288e+00,2.8583e+00,-2.4851e+03
1.0782e-02,-1.1304e+00,3.2306e+00,2.8712e+00,-2.4731e+03
-3.6783e-02,-1.0516e+00,3.2244e+00,2.9768e+00,-2.4728e+03
-1.1695e-02,-1.1196e+00,3.2309e+00,2.7471e+00,-2.4928e+03
-1.0340e-02,-1.1186e+00,3.2284e+00,2.7823e+00,-2.4943e+03
-3.6661e-02,-1.0598e+00,3.2229e+00,2.9448e+00,-2.4653e+03
-2.8834e-02,-1.0610e+00,3.2274e+00,2.9514e+00,-2.4475e+03
-3.6140e-02,-1.0444e+00,3.2238e+00,3.0229e+00,-2.4648e+03
-3.8150e-02,-1.0372e+00,3.2256e+00,3.0321e+00,-2.4998e+03
-3.5925e-02,-1.0645e+00,3.2209e+00,2.9616e+00,-2.4018e+03
-3.2451e-02,-1.0795e+00,3.2274e+00,2.8352e+00,-2.4108e+03
-2.1529e-02,-1.0514e+00,3.2271e+00,3.0153e+00,-2.4785e+03
-2.1592e-02,-1.0510e+00,3.2273e+00,3.0213e+00,-2.4694e+03
-6.6677e-03,-1.1161e+00,3.2288e+00,2.8181e+00,-2.4509e+03
-3.9208e-02,-1.0308e+00,3.2259e+00,3.0204e+00,-2.4343e+03
-5.1040e-03,-1.0850e+00,3.2293e+00,2.9542e+00,-2.4026e+03
-6.2411e-03,-1.1148e+00,3.2275e+00,2.8435e+00,-2.4983e+03
-4.3362e-02,-1.0464e+00,3.2239e+00,2.9398e+00,-2.4901e+03
4.7216e-02,-1.1920e+00,3.2345e+00,2.8207e+00,-2.4938e+03
-2.8405e-02,-1.0711e+00,3.2256e+00,2.9299e+00,-2.4909e+03
-6.5509e-03,-1.0600e+00,3.2258e+00,3.0967e+00,-2.4607e+03
-7.4856e-03,-1.0964e+00,3.2298e+00,2.8793e+00,-2.4957e+03
7.3065e-03,-1.1219e+00,3.2253e+00,2.9291e+00,-2.4197e+03
-7.8534e-03,-1.1132e+00,3.2320e+00,2.7664e+00,-2.4768e+03
1.0364e-03,-1.0929e+00,3.2344e+00,2.8941e+00,-2.4915e+03
-1.3429e-03,-1.0857e+00,3.2248e+00,3.0422e+00,-2.4699e+03
-2.7060e-02,-1.0777e+00,3.2278e+00,2.8730e+00,-2.4317e+03
-3.5041e-02,-1.0554e+00,3.2261e+00,2.9091e+00,-2.4854e+03
-2.2963e-02,-1.0540e+00,3.2265e+00,3.0136e+00,-2.4990e+03
-1.9647e-02,-1.0427e+00,3.2284e+00,3.0811e+00,-2.4780e+03
-2.1462e-02,-1.0563e+00,3.2270e+00,2.9891e+00,-2.4901e+03
-3.5118e-03,-1.1138e+00,3.2314e+00,2.8489e+00,-2.5000e+03
-1.8787e-02,-1.0772e+00,3.2289e+00,2.8979e+00,-2.4756e+03
-3.8400e-02,-1.0667e+00,3.2265e+00,2.8939e+00,-2.4474e+03
-3.6107e-02,-1.0542e+00,3.2211e+00,2.9538e+00,-2.4745e+03
-1.3021e-02,-1.1199e+00,3.2291e+00,2.7648e+00,-2.4995e+03
-7.3124e-03,-1.0890e+00,3.2297e+00,2.8900e+00,-2.4393e+03
-7.6462e-03,-1.1111e+00,3.2282e+00,2.8598e+00,-2.4991e+03
-3.1431e-02,-1.0474e+00,3.2229e+00,3.0570e+00,-2.4803e+03
-7.2977e-03,-1.0835e+00,3.2289e+00,2.9420e+00,-2.4954e+03
-3.0051e-02,-1.0644e+00,3.2265e+00,2.9288e+00,-2.4224e+03
-1.2646e-02,-1.0809e+00,3.2319e+00,2.9030e+00,-2.5000e+03
-3.5367e-02,-1.0311e+00,3.2242e+00,3.0844e+00,-2.4938e+03
-7.2152e-03,-1.1029e+00,3.2279e+00,2.8784e+00,-2.4845e+03
-3.0332e-02,-1.0680e+00,3.2245e+00,2.9434e+00,-2.4089e+03
-2.8921e-02,-1.0692e+00,3.2271e+00,2.8833e+00,-2.4962e+03
-2.7072e-02,-1.0711e+00,3.2286e+00,2.8665e+00,-2.4912e+03
-3.2595e-02,-1.0607e+00,3.2270e+00,2.9341e+00,-2.4812e+03
-2.5618e-02,-1.0683e+00,3.2266e+00,2.9189e+00,-2.4983e+03
