logfeh_mean,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
2.3201e-01,-1.7661e+00,-2.8216e+00,-2.2436e-01,7.5417e-01,2.3604e+00,2.9502e+00,-1.4876e+03
1.2914e-01,-1.3715e+00,-1.6902e+00,-4.0323e-02,2.6850e-01,2.3715e+00,2.9422e+00,-1.4233e+03
1.4844e-01,-1.4146e+00,-1.7849e+00,-7.9612e-02,4.9308e-01,2.3772e+00,2.9375e+00,-1.4674e+03
1.2847e-01,-1.5669e+00,-2.2856e+00,-1.0029e-01,9.9285e-01,2.0169e+00,3.0133e+00,-1.4902e+03
1.6879e-01,-1.6001e+00,-1.6155e+00,-2.1584e-02,3.3183e-01,2.2808e+00,2.9735e+00,-1.4501e+03
2.5279e-01,-1.7440e+00,-1.7972e+00,1.0454e-01,9.4362e-01,2.3025e+00,2.9765e+00,-1.4841e+03
1.6770e-01,-1.8015e+00,-2.3100e+00,-5.7950e-02,7.9691e-01,1.9660e+00,3.0318e+00,-1.4593e+03
1.7594e-01,-1.7132e+00,-1.3150e+00,-6.2637e-01,9.0854e-01,2.1342e+00,3.0030e+00,-1.4857e+03
2.3435e-01,-1.6886e+00,-2.1318e+00,9.2308e-02,7.9220e-01,2.3420e+00,2.9560e+00,-1.4426e+03
1.8462e-01,-1.3327e+00,-3.2105e+00,3.3441e-02,1.0267e+00,2.4918e+00,2.8726e+00,-1.4419e+03
1.8520e-01,-1.8478e+00,-2.2027e+00,4.3104e-02,8.8871e-01,1.9694e+00,3.0344e+00,-1.4240e+03
1.4464e-01,-1.5170e+00,-2.4302e+00,-2.7767e-01,7.9587e-01,2.2449e+00,2.9742e+00,-1.4354e+03
1.7681e-01,-1.4100e+00,-2.1102e+00,9.8119e-02,-1.3927e+00,2.4748e+00,2.9009e+00,-1.3951e+03
1.2360e-01,-1.8956e+00,-2.6560e+00,-6.3764e-02,9.1769e-01,3.3536e-01,3.0751e+00,-1.4087e+03
2.3425e-01,-1.6485e+00,-2.6966e+00,-2.2295e-01,9.0913e-01,2.3944e+00,2.9375e+00,-1.4941e+03
2.2166e-01,-1.9461e+00,-1.2084e+00,-4.6939e-01,7.7339e-01,2.2353e+00,2.9889e+00,-1.4049e+03
1.8221e-01,-1.8126e+00,-2.4882e+00,-2.6985e-01,1.0123e+00,1.9988e+00,3.0298e+00,-1.3458e+03
1.9421e-01,-1.4805e+00,-1.4013e+00,-2.9193e-01,9.4752e-01,2.4022e+00,2.9318e+00,-1.4998e+03
1.5777e-01,-1.5230e+00,-1.6720e+00,-6.7360e-02,1.7005e-01,2.3152e+00,2.9597e+00,-1.4637e+03
1.6660e-01,-1.9825e+00,-2.3825e+00,-1.8494e-01,7.9719e-01,1.8601e+00,3.0393e+00,-1.4211e+03
1.7394e-01,-1.8800e+00,-2.3152e+00,-5.7713e-02,7.4754e-01,1.9709e+00,3.0347e+00,-1.4725e+03
1.2521e-01,-1.3024e+00,-2.3643e+00,5.4861e-02,-8.8202e-01,2.4693e+00,2.8964e+00,-1.4831e+03
2.2718e-01,-1.6711e+00,-1.8851e+00,-1.3837e-01,-1.8523e-01,2.4377e+00,2.9227e+00,-1.4942e+03
2.1782e-01,-1.3044e+00,-2.5440e+00,6.7027e-02,8.4171e-01,2.6120e+00,2.8016e+00,-1.4117e+03
1.2143e-01,-1.3516e+00,-3.0498e+00,-3.2238e-01,9.0975e-01,2.3760e+00,2.9270e+00,-1.4667e+03
1.3465e-01,-1.2207e+00,-2.7659e+00,1.5997e-01,-7.5456e-01,2.5508e+00,2.8570e+00,-1.4480e+03
1.0086e-01,-1.5092e+00,-2.8630e+00,-1.8724e-01,9.7695e-01,1.9412e+00,3.0265e+00,-1.4048e+03
1.7119e-01,-1.6265e+00,-2.6302e+00,-1.0671e-01,7.0879e-02,2.2696e+00,2.9813e+00,-1.4659e+03
1.5019e-01,-1.6868e+00,-1.6588e+00,-5.5949e-02,-2.0456e-01,2.1264e+00,3.0112e+00,-1.4997e+03
1.6088e-01,-1.4824e+00,-2.9199e+00,-9.3632e-02,1.0209e+00,2.2306e+00,2.9772e+00,-1.4425e+03
1.5937e-01,-1.9887e+00,-3.1656e+00,-1.3818e-01,7.1488e-01,1.8144e+00,3.0446e+00,-1.3840e+03
2.2538e-01,-1.9074e+00,-2.3443e+00,-1.1523e-01,1.0352e+00,2.1290e+00,3.0111e+00,-1.4305e+03
2.2181e-01,-1.7567e+00,-1.3659e+00,-1.7187e-01,-6.3313e-01,2.4041e+00,2.9357e+00,-1.4907e+03
2.0332e-01,-1.4602e+00,-2.6444e+00,2.7396e-02,6.9891e-01,2.4492e+00,2.9111e+00,-1.4680e+03
2.4003e-01,-1.9419e+00,-1.5458e+00,-3.5910e-01,7.8626e-01,2.3127e+00,2.9653e+00,-1.4983e+03
1.8368e-01,-1.7108e+00,-1.7809e+00,-1.6249e-01,9.1986e-01,2.1541e+00,2.9983e+00,-1.3956e+03
2.3585e-01,-1.4513e+00,-2.6949e+00,-4.0873e-02,9.5545e-01,2.5090e+00,2.8832e+00,-1.5008e+03
2.4661e-01,-1.5584e+00,-2.5552e+00,-5.1971e-02,8.1230e-01,2.4609e+00,2.9135e+00,-1.4796e+03
1.6768e-01,-1.8624e+00,-1.4745e+00,-6.3205e-01,1.0564e+00,1.9079e+00,3.0319e+00,-1.4038e+03
2.3332e-01,-1.9467e+00,-3.0344e+00,-9.7255e-02,1.7540e-01,2.3095e+00,2.9701e+00,-1.5005e+03
1.3787e-01,-1.8943e+00,-2.7751e+00,-2.6756e-01,9.5162e-01,1.5443e+00,3.0565e+00,-1.4635e+03
1.7979e-01,-1.8119e+00,-3.2341e+00,-3.1695e-01,9.3947e-01,2.0723e+00,3.0143e+00,-1.4685e+03
1.3350e-01,-1.3544e+00,-3.1826e+00,-8.0723e-02,8.8577e-01,2.3733e+00,2.9321e+00,-1.3114e+03
1.1852e-01,-1.3321e+00,-2.6810e+00,-1.2039e-01,7.9572e-01,2.3826e+00,2.9293e+00,-1.3943e+03
1.4109e-01,-1.6367e+00,-2.9731e+00,-1.0029e-01,-9.5770e-01,2.1786e+00,2.9991e+00,-1.4130e+03
2.3010e-01,-1.9274e+00,-1.1247e+00,-2.2841e-01,1.0338e+00,2.1733e+00,2.9961e+00,-1.4108e+03
1.3231e-01,-1.9682e+00,-1.4531e+00,-1.9661e-01,9.4869e-01,5.9848e-01,3.0745e+00,-1.4239e+03
8.8469e-02,-1.1956e+00,-1.5873e+00,-3.6378e-02,7.6990e-01,2.4607e+00,2.8957e+00,-1.4352e+03
1.9547e-01,-1.7896e+00,-1.2970e+00,-1.5617e-01,9.4721e-01,2.1030e+00,3.0134e+00,-1.4594e+03
1.9891e-01,-1.8393e+00,-2.3315e+00,-2.1341e-01,9.1942e-01,2.1288e+00,3.0070e+00,-1.2828e+03
1.5302e-01,-1.7677e+00,-1.9884e+00,-3.9370e-01,9.8840e-01,1.9098e+00,3.0311e+00,-1.4688e+03
1.4800e-01,-1.8183e+00,-1.8281e+00,-1.2559e-02,1.0240e+00,1.3933e+00,3.0648e+00,-1.3834e+03
1.2421e-01,-1.7818e+00,-2.7721e+00,-1.2696e-02,1.0455e+00,3.1561e-01,3.0750e+00,-1.4826e+03
1.8578e-01,-1.8948e+00,-1.2070e+00,-4.4787e-01,8.3159e-01,2.1119e+00,3.0059e+00,-1.4635e+03
2.1819e-01,-1.6214e+00,-3.0887e+00,-5.2110e-03,9.9129e-01,2.2957e+00,2.9684e+00,-1.4213e+03
1.4754e-01,-1.5414e+00,-2.5165e+00,-6.9218e-02,-7.8805e-01,2.2864e+00,2.9746e+00,-1.4945e+03
2.4017e-01,-1.8368e+00,-2.8696e+00,-5.8781e-02,1.0195e+00,2.2948e+00,2.9640e+00,-1.4762e+03
1.6649e-01,-1.7736e+00,-1.8740e+00,-3.1475e-01,1.0108e+00,1.9900e+00,3.0248e+00,-1.4826e+03
1.9962e-01,-1.3794e+00,-2.8103e+00,1.9297e-01,-1.1331e-01,2.5220e+00,2.8794e+00,-1.4886e+03
1.8735e-01,-1.7162e+00,-2.6543e+00,5.1111e-02,8.0496e-01,2.0742e+00,3.0235e+00,-1.4680e+03
1.5446e-01,-1.4294e+00,-1.3634e+00,-6.4744e-02,-1.3724e+00,2.4151e+00,2.9285e+00,-1.4473e+03
1.5652e-01,-1.7895e+00,-1.8082e+00,-5.0197e-01,1.0504e+00,1.8665e+00,3.0373e+00,-1.4517e+03
1.2179e-01,-1.7826e+00,-2.9362e+00,-8.1047e-02,1.0514e+00,4.1134e-01,3.0714e+00,-1.4633e+03
2.0096e-01,-1.9451e+00,-2.4733e+00,-3.7867e-01,1.0508e+00,2.0220e+00,3.0249e+00,-1.4246e+03
2.0604e-01,-1.6258e+00,-2.6179e+00,-8.8737e-02,4.5736e-01,2.3662e+00,2.9542e+00,-1.4826e+03
1.4390e-01,-1.4451e+00,-2.9827e+00,1.1451e-01,2.6413e-01,2.2978e+00,2.9684e+00,-1.4797e+03
2.0767e-01,-1.9993e+00,-2.2906e+00,-1.0981e-01,5.6832e-01,2.1355e+00,3.0109e+00,-1.3895e+03
1.5411e-01,-1.3775e+00,-2.6641e+00,1.2005e-01,-7.0909e-01,2.4280e+00,2.9208e+00,-1.4988e+03
2.1298e-01,-1.9155e+00,-2.5839e+00,-2.5379e-01,8.4366e-01,2.1786e+00,2.9984e+00,-1.3302e+03
1.8243e-01,-1.6604e+00,-2.5929e+00,2.3022e-03,5.2126e-01,2.2533e+00,2.9842e+00,-1.4758e+03
9.6210e-02,-1.4887e+00,-2.9233e+00,1.2473e-02,8.0821e-01,1.9686e+00,3.0237e+00,-1.4429e+03
2.0202e-01,-1.5662e+00,-3.0826e+00,-1.8383e-01,9.4925e-01,2.3023e+00,2.9730e+00,-1.4988e+03
2.0302e-01,-1.5876e+00,-1.7391e+00,-1.5531e-02,-2.2057e-01,2.3996e+00,2.9434e+00,-1.4884e+03
1.3927e-01,-1.5684e+00,-1.7913e+00,-1.3910e-02,-7.2875e-01,2.2195e+00,2.9901e+00,-1.4653e+03
1.6719e-01,-1.8416e+00,-1.8246e+00,3.4092e-02,5.8087e-01,1.9990e+00,3.0294e+00,-1.4967e+03
1.1920e-01,-1.3258e+00,-2.0802e+00,1.1322e-01,3.8245e-01,2.3645e+00,2.9434e+00,-1.4678e+03
1.4630e-01,-1.5222e+00,-2.0127e+00,-2.0086e-01,9.0841e-01,2.1425e+00,3.0034e+00,-1.4874e+03
2.0500e-01,-1.5693e+00,-2.2974e+00,-7.0837e-02,4.1790e-01,2.4148e+00,2.9267e+00,-1.4855e+03
1.5173e-01,-1.3628e+00,-1.3380e+00,2.3368e-02,8.3923e-01,2.3745e+00,2.9378e+00,-1.4392e+03
1.9460e-01,-1.6271e+00,-2.5623e+00,1.0682e-02,4.6153e-01,2.3346e+00,2.9568e+00,-1.4818e+03
1.3469e-01,-1.9942e+00,-2.4802e+00,-3.3361e-01,9.9330e-01,9.6374e-01,3.0704e+00,-1.4416e+03
1.4444e-01,-1.4983e+00,-2.7425e+00,-3.0596e-01,6.2183e-01,2.2802e+00,2.9714e+00,-1.4808e+03
1.6260e-01,-1.4988e+00,-2.6461e+00,-9.2452e-02,6.8851e-01,2.2929e+00,2.9691e+00,-1.3350e+03
1.3514e-01,-1.6381e+00,-1.7019e+00,-2.3658e-01,9.2952e-01,1.8900e+00,3.0374e+00,-1.5035e+03
1.3194e-01,-1.8162e+00,-2.2451e+00,-3.4118e-01,9.7810e-01,1.7523e+00,3.0402e+00,-1.4974e+03
1.4592e-01,-1.5301e+00,-2.3929e+00,-1.6073e-01,9.3538e-01,2.1978e+00,2.9852e+00,-1.3875e+03
2.0341e-01,-1.3723e+00,-2.8261e+00,9.8048e-02,1.7032e-01,2.5483e+00,2.8617e+00,-1.3240e+03
1.7132e-01,-1.8256e+00,-1.1695e+00,-3.0356e-01,7.6724e-01,2.0458e+00,3.0192e+00,-1.4824e+03
1.7401e-01,-1.9122e+00,-2.1850e+00,-1.9308e-01,9.7678e-01,1.8951e+00,3.0339e+00,-1.3914e+03
1.7441e-01,-1.9301e+00,-2.0489e+00,-2.1365e-01,9.2562e-01,1.8599e+00,3.0431e+00,-1.3833e+03
1.2038e-01,-1.9186e+00,-1.3094e+00,-3.7361e-01,9.3229e-01,7.7348e-01,3.0713e+00,-1.4987e+03
1.4321e-01,-1.7882e+00,-2.3360e+00,-6.3800e-04,4.1756e-01,1.8812e+00,3.0425e+00,-1.4922e+03
2.3217e-01,-1.4754e+00,-3.1173e+00,3.7203e-02,8.8111e-01,2.4927e+00,2.8892e+00,-1.3516e+03
2.0585e-01,-1.7404e+00,-1.4856e+00,-1.1693e-01,-2.1745e-02,2.3150e+00,2.9710e+00,-1.3972e+03
2.0603e-01,-1.3089e+00,-2.1093e+00,1.3021e-03,1.0593e+00,2.5203e+00,2.8717e+00,-1.4421e+03
9.4836e-02,-1.2039e+00,-2.4394e+00,5.4882e-03,8.0339e-01,2.4669e+00,2.8862e+00,-1.3413e+03
1.8091e-01,-1.3887e+00,-1.3934e+00,-2.5490e-02,-1.1252e+00,2.5194e+00,2.8766e+00,-1.4940e+03
1.7228e-01,-1.2574e+00,-1.8700e+00,-1.8553e-01,7.1384e-01,2.6040e+00,2.8038e+00,-1.4486e+03
1.5779e-01,-1.8532e+00,-2.0153e+00,-1.4458e-01,1.0317e+00,1.6225e+00,3.0582e+00,-1.4378e+03
1.6503e-01,-1.8076e+00,-2.0526e+00,-1.6350e-01,-9.2997e-01,2.1341e+00,3.0114e+00,-1.4700e+03
1.5936e-01,-1.7581e+00,-2.8990e+00,-2.2296e-01,9.7435e-01,1.8941e+00,3.0393e+00,-1.3488e+03
1.6067e-01,-1.5818e+00,-2.5782e+00,-3.9938e-01,8.8567e-01,2.2081e+00,2.9887e+00,-1.4683e+03
2.1995e-01,-1.9355e+00,-1.9627e+00,-3.8543e-02,9.7491e-01,2.1422e+00,3.0066e+00,-1.3649e+03
2.2361e-01,-1.9388e+00,-2.3410e+00,-5.7486e-01,1.0375e+00,2.1509e+00,3.0055e+00,-1.4991e+03
1.7398e-01,-1.6285e+00,-2.8561e+00,-3.3102e-02,1.8493e-01,2.2895e+00,2.9721e+00,-1.3849e+03
1.2517e-01,-1.5148e+00,-2.3048e+00,-2.0047e-01,9.2557e-01,2.1433e+00,2.9921e+00,-1.4395e+03
1.5161e-01,-1.3907e+00,-2.1214e+00,-7.3479e-03,-5.0983e-01,2.4484e+00,2.9094e+00,-1.4639e+03
2.0736e-01,-1.8297e+00,-2.8644e+00,-1.7599e-02,1.0597e+00,2.0667e+00,3.0125e+00,-1.3399e+03
1.9461e-01,-1.6724e+00,-1.3246e+00,-8.8673e-02,-5.8180e-01,2.3179e+00,2.9692e+00,-1.4801e+03
1.6102e-01,-1.5167e+00,-2.9095e+00,-1.6174e-02,-7.8804e-01,2.3531e+00,2.9526e+00,-1.3932e+03
1.9604e-01,-1.5732e+00,-3.1307e+00,-8.9877e-02,6.5205e-01,2.3469e+00,2.9548e+00,-1.3633e+03
1.7185e-01,-1.6805e+00,-1.7656e+00,-8.0506e-02,6.4236e-01,2.1694e+00,2.9991e+00,-1.4346e+03
1.2399e-01,-1.3756e+00,-2.9705e+00,1.0674e-01,8.7692e-01,2.2438e+00,2.9774e+00,-1.3625e+03
1.8196e-01,-1.5322e+00,-2.6177e+00,7.9049e-02,8.1546e-01,2.2970e+00,2.9676e+00,-1.3401e+03
2.2881e-01,-1.6255e+00,-2.0108e+00,-1.3426e-02,1.0234e+00,2.3679e+00,2.9396e+00,-1.4471e+03
1.7125e-01,-1.8456e+00,-1.6294e+00,-1.8581e-01,8.9808e-01,1.9794e+00,3.0285e+00,-1.3643e+03
