logfeh_mean,logdust,logNpix,tau,logl
1.0732e-01,-1.9202e+00,2.6981e+00,2.7764e+00,-1.6462e+03
1.1078e-01,-1.9533e+00,2.6909e+00,2.7816e+00,-1.6592e+03
8.9461e-02,-1.8081e+00,2.6898e+00,2.8616e+00,-1.6567e+03
1.1004e-01,-1.9196e+00,2.6974e+00,2.7847e+00,-1.6557e+03
1.1909e-01,-1.9765e+00,2.6959e+00,2.8388e+00,-1.6482e+03
1.0060e-01,-1.9726e+00,2.6893e+00,2.7634e+00,-1.6595e+03
1.1878e-01,-1.9287e+00,2.6962e+00,2.8493e+00,-1.6509e+03
9.5911e-02,-1.8569e+00,2.6919e+00,2.8092e+00,-1.6636e+03
8.2110e-02,-1.8499e+00,2.6907e+00,2.7621e+00,-1.6610e+03
1.0883e-01,-1.9375e+00,2.6990e+00,2.7724e+00,-1.6626e+03
8.8736e-02,-1.8051e+00,2.6897e+00,2.8400e+00,-1.6567e+03
1.0770e-01,-1.9666e+00,2.6984e+00,2.7712e+00,-1.6516e+03
8.9719e-02,-1.9190e+00,2.6874e+00,2.7640e+00,-1.6601e+03
1.0739e-01,-1.9607e+00,2.6918e+00,2.7747e+00,-1.6584e+03
8.8745e-02,-1.7662e+00,2.6906e+00,2.8569e+00,-1.6636e+03
1.0556e-01,-1.9762e+00,2.6916e+00,2.7799e+00,-1.6537e+03
9.3008e-02,-1.9520e+00,2.6892e+00,2.7529e+00,-1.6630e+03
1.0813e-01,-1.9262e+00,2.6931e+00,2.7936e+00,-1.6524e+03
1.0667e-01,-1.9794e+00,2.6922e+00,2.7602e+00,-1.6587e+03
1.1022e-01,-1.9469e+00,2.6986e+00,2.7764e+00,-1.6501e+03
8.7193e-02,-1.7964e+00,2.6875e+00,2.8458e+00,-1.6567e+03
1.1401e-01,-1.9929e+00,2.6990e+00,2.7266e+00,-1.6630e+03
1.1078e-01,-1.9611e+00,2.6909e+00,2.7994e+00,-1.6489e+03
8.3435e-02,-1.8021e+00,2.6911e+00,2.7850e+00,-1.6312e+03
8.1716e-02,-1.8582e+00,2.6903e+00,2.7550e+00,-1.6595e+03
1.0789e-01,-1.9980e+00,2.6919e+00,2.7468e+00,-1.6510e+03
8.2798e-02,-1.8453e+00,2.6898e+00,2.7660e+00,-1.6467e+03
8.9582e-02,-1.7678e+00,2.6895e+00,2.8551e+00,-1.6181e+03
9.3324e-02,-1.9095e+00,2.6897e+00,2.7820e+00,-1.6438e+03
1.1797e-01,-1.9062e+00,2.6972e+00,2.8491e+00,-1.6572e+03
1.1140e-01,-1.9953e+00,2.6919e+00,2.7768e+00,-1.6616e+03
1.0700e-01,-1.9465e+00,2.6979e+00,2.7300e+00,-1.6502e+03
8.2708e-02,-1.8000e+00,2.6895e+00,2.7832e+00,-1.6466e+03
9.4671e-02,-1.9706e+00,2.6913e+00,2.7362e+00,-1.6602e+03
8.8566e-02,-1.9636e+00,2.6866e+00,2.7673e+00,-1.6596e+03
1.0983e-01,-1.8935e+00,2.6977e+00,2.7835e+00,-1.6477e+03
1.0699e-01,-1.9257e+00,2.6988e+00,2.7808e+00,-1.6595e+03
1.1883e-01,-1.9250e+00,2.6967e+00,2.8348e+00,-1.6633e+03
9.0596e-02,-1.7854e+00,2.6914e+00,2.8456e+00,-1.6483e+03
8.6325e-02,-1.9360e+00,2.6875e+00,2.7526e+00,-1.6570e+03
9.3831e-02,-1.9548e+00,2.6883e+00,2.7709e+00,-1.6589e+03
8.1919e-02,-1.8332e+00,2.6892e+00,2.7738e+00,-1.6526e+03
8.9414e-02,-1.7683e+00,2.6888e+00,2.8651e+00,-1.6330e+03
1.2799e-01,-1.9923e+00,2.6932e+00,2.9103e+00,-1.6516e+03
1.0778e-01,-1.9008e+00,2.6991e+00,2.7794e+00,-1.6303e+03
1.0681e-01,-1.9865e+00,2.6923e+00,2.7686e+00,-1.6152e+03
9.0060e-02,-1.7980e+00,2.6909e+00,2.8395e+00,-1.6140e+03
8.4624e-02,-1.9430e+00,2.6879e+00,2.7216e+00,-1.6466e+03
9.6246e-02,-1.8367e+00,2.6916e+00,2.8139e+00,-1.6627e+03
1.0375e-01,-1.9886e+00,2.6922e+00,2.7475e+00,-1.6519e+03
1.0569e-01,-1.9578e+00,2.6962e+00,2.7696e+00,-1.6547e+03
8.1910e-02,-1.8771e+00,2.6910e+00,2.7529e+00,-1.6479e+03
1.0748e-01,-1.9994e+00,2.6919e+00,2.7750e+00,-1.6468e+03
9.5954e-02,-1.8888e+00,2.6910e+00,2.8014e+00,-1.6375e+03
8.5789e-02,-1.9250e+00,2.6863e+00,2.7519e+00,-1.6501e+03
1.0247e-01,-1.8556e+00,2.6913e+00,2.8554e+00,-1.6393e+03
9.1317e-02,-1.9382e+00,2.6881e+00,2.7946e+00,-1.6630e+03
1.0746e-01,-1.8826e+00,2.6976e+00,2.7876e+00,-1.6317e+03
1.2068e-01,-1.9471e+00,2.6965e+00,2.8309e+00,-1.6527e+03
1.0378e-01,-1.9910e+00,2.6923e+00,2.7489e+00,-1.6384e+03
8.2678e-02,-1.8560e+00,2.6889e+00,2.7776e+00,-1.6358e+03
8.5729e-02,-1.9116e+00,2.6863e+00,2.7577e+00,-1.6415e+03
8.7861e-02,-1.7711e+00,2.6935e+00,2.8306e+00,-1.6596e+03
1.0675e-01,-1.9576e+00,2.6983e+00,2.7400e+00,-1.6397e+03
9.0978e-02,-1.9754e+00,2.6867e+00,2.7722e+00,-1.6399e+03
9.5758e-02,-1.8806e+00,2.6918e+00,2.8051e+00,-1.6505e+03
8.8567e-02,-1.9587e+00,2.6864e+00,2.7648e+00,-1.6398e+03
1.1068e-01,-1.9549e+00,2.6911e+00,2.7869e+00,-1.6596e+03
8.8915e-02,-1.9477e+00,2.6876e+00,2.7714e+00,-1.6353e+03
1.0543e-01,-1.9727e+00,2.6927e+00,2.7804e+00,-1.6015e+03
8.1963e-02,-1.8739e+00,2.6896e+00,2.7530e+00,-1.6541e+03
8.6380e-02,-1.9540e+00,2.6876e+00,2.7530e+00,-1.6539e+03
8.3451e-02,-1.8019e+00,2.6918e+00,2.7869e+00,-1.6449e+03
8.2716e-02,-1.8569e+00,2.6888e+00,2.7645e+00,-1.6569e+03
9.6134e-02,-1.8449e+00,2.6920e+00,2.8112e+00,-1.6573e+03
8.7894e-02,-1.7863e+00,2.6934e+00,2.8300e+00,-1.6593e+03
1.1080e-01,-1.9871e+00,2.6908e+00,2.7842e+00,-1.6133e+03
1.1881e-01,-1.8969e+00,2.6963e+00,2.8455e+00,-1.6455e+03
1.2290e-01,-1.9768e+00,2.6955e+00,2.8698e+00,-1.6449e+03
1.0097e-01,-1.9892e+00,2.6938e+00,2.7186e+00,-1.6637e+03
