nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logzh,logdust,logNpix,tau
2.0000e+03,0.0000e+00,1.0000e+00,1.9608e+00,-1.1748e+06,-1.1748e+06,-1.9803e-02,-1.1748e+06,3.0263e-01,4.6250e+00,inf,2.4134e+00,-3.9506e-01,-1.4539e+00,3.9490e+00,5.0067e+00
2.0000e+03,1.0000e+00,2.0000e+00,3.8462e+00,-1.1667e+06,-1.1667e+06,-3.9605e-02,-1.1667e+06,3.0328e-01,4.6447e+00,inf,4.7724e+00,-8.0398e-01,-1.6348e+00,3.8036e+00,5.2392e+00
2.0000e+03,2.0000e+00,3.0000e+00,5.6604e+00,-1.1587e+06,-1.1587e+06,-5.9408e-02,-1.1587e+06,3.0393e-01,4.6646e+00,inf,7.1255e+00,-1.0965e+00,-6.0341e-01,3.9044e+00,6.3398e+00
2.0000e+03,3.0000e+00,4.0000e+00,7.4074e+00,-1.1528e+06,-1.1528e+06,-7.9211e-02,-1.1528e+06,3.0457e-01,4.6843e+00,inf,9.5270e+00,-8.6633e-01,-8.6380e-01,3.7383e+00,3.6170e+00
2.0000e+03,4.0000e+00,5.0000e+00,9.0909e+00,-1.1488e+06,-1.1488e+06,-9.9013e-02,-1.1488e+06,3.0522e-01,4.7043e+00,inf,1.1972e+01,-6.2621e-01,-7.7570e-01,3.8364e+00,4.7544e+00
2.0000e+03,5.0000e+00,7.0000e+00,1.0526e+01,-1.1443e+06,-1.1443e+06,-1.1882e-01,-1.1443e+06,3.0586e-01,4.7240e+00,inf,1.6832e+01,-1.3305e+00,-1.3340e+00,3.4569e+00,1.8546e+00
2.0000e+03,6.0000e+00,8.0000e+00,1.2069e+01,-1.1332e+06,-1.1332e+06,-1.3862e-01,-1.1332e+06,3.0649e-01,4.7437e+00,inf,1.9200e+01,-1.4813e+00,-1.9870e-01,3.9545e+00,4.3414e+00
2.0000e+03,7.0000e+00,9.0000e+00,1.3559e+01,-1.1325e+06,-1.1325e+06,-1.5842e-01,-1.1325e+06,3.0714e-01,4.7637e+00,inf,2.1587e+01,-9.8869e-01,-1.7834e+00,3.5524e+00,5.6949e+00
2.0000e+03,8.0000e+00,1.0000e+01,1.5000e+01,-1.1313e+06,-1.1313e+06,-1.7822e-01,-1.1313e+06,3.0777e-01,4.7834e+00,inf,2.4053e+01,-1.2521e+00,-1.7612e+00,3.4770e+00,4.5238e+00
2.0000e+03,9.0000e+00,1.1000e+01,1.6393e+01,-1.1260e+06,-1.1260e+06,-1.9803e-01,-1.1260e+06,3.0841e-01,4.8033e+00,inf,2.6423e+01,-7.5611e-01,-3.4460e-01,3.8023e+00,3.5638e+00
2.0000e+03,1.0000e+01,1.2000e+01,1.7742e+01,-1.1251e+06,-1.1251e+06,-2.1783e-01,-1.1251e+06,3.0904e-01,4.8230e+00,inf,2.8785e+01,-2.5445e-01,-1.0126e+00,3.6811e+00,5.2726e+00
2.0000e+03,1.1000e+01,1.3000e+01,1.9048e+01,-1.1203e+06,-1.1203e+06,-2.3763e-01,-1.1203e+06,3.0967e-01,4.8427e+00,inf,3.1173e+01,-2.9133e-01,-1.7938e+00,3.6047e+00,6.6733e+00
2.0000e+03,1.2000e+01,1.4000e+01,2.0312e+01,-1.1159e+06,-1.1159e+06,-2.5743e-01,-1.1159e+06,3.1031e-01,4.8627e+00,inf,3.3589e+01,-4.9383e-01,-1.9725e+00,3.5457e+00,6.2958e+00
2.0000e+03,1.3000e+01,1.5000e+01,2.1538e+01,-1.1127e+06,-1.1127e+06,-2.7724e-01,-1.1127e+06,3.1094e-01,4.8824e+00,inf,3.6025e+01,-5.8438e-01,-1.5919e-01,3.7581e+00,2.5157e+00
2.0000e+03,1.4000e+01,1.6000e+01,2.2727e+01,-1.1079e+06,-1.1080e+06,-2.9704e-01,-1.1080e+06,3.1157e-01,4.9021e+00,inf,3.8418e+01,-5.4887e-01,-1.3112e+00,3.2818e+00,1.7572e+00
2.0000e+03,1.5000e+01,1.7000e+01,2.3881e+01,-1.0987e+06,-1.0987e+06,-3.1684e-01,-1.0987e+06,3.1220e-01,4.9220e+00,inf,4.0875e+01,-8.8005e-02,-1.7003e+00,3.4921e+00,5.9860e+00
2.0000e+03,1.6000e+01,1.8000e+01,2.5000e+01,-1.0937e+06,-1.0937e+06,-3.3664e-01,-1.0937e+06,3.1283e-01,4.9417e+00,inf,4.3295e+01,3.4233e-02,-5.8377e-01,3.5937e+00,4.3466e+00
2.0000e+03,1.7000e+01,1.9000e+01,2.6087e+01,-1.0911e+06,-1.0911e+06,-3.5645e-01,-1.0911e+06,3.1346e-01,4.9617e+00,inf,4.5753e+01,-7.6876e-01,-3.9679e-01,3.5655e+00,5.2081e+00
2.0000e+03,1.8000e+01,2.0000e+01,2.7143e+01,-1.0846e+06,-1.0846e+06,-3.7625e-01,-1.0846e+06,3.1408e-01,4.9814e+00,inf,4.8162e+01,1.0430e-01,-1.7125e+00,3.4085e+00,5.2275e+00
2.0000e+03,1.9000e+01,2.3000e+01,2.7397e+01,-1.0762e+06,-1.0762e+06,-3.9605e-01,-1.0762e+06,3.1470e-01,5.0011e+00,inf,5.5512e+01,-4.8146e-01,-6.7791e-01,3.2606e+00,3.2256e+00
2.0000e+03,2.0000e+01,2.4000e+01,2.8378e+01,-1.0705e+06,-1.0706e+06,-4.1586e-01,-1.0706e+06,3.1533e-01,5.0211e+00,inf,5.7981e+01,8.1048e-02,-1.5837e-02,3.9176e+00,5.7518e+00
2.0000e+03,2.1000e+01,2.6000e+01,2.8947e+01,-1.0684e+06,-1.0684e+06,-4.3566e-01,-1.0684e+06,3.1594e-01,5.0408e+00,inf,6.2858e+01,2.1295e-01,-5.4441e-01,3.3847e+00,3.8341e+00
2.0000e+03,2.2000e+01,2.7000e+01,2.9870e+01,-1.0656e+06,-1.0656e+06,-4.5546e-01,-1.0656e+06,3.1657e-01,5.0607e+00,inf,6.5267e+01,-3.6811e-01,-1.9865e+00,3.2349e+00,6.4727e+00
2.0000e+03,2.3000e+01,2.9000e+01,3.0380e+01,-1.0649e+06,-1.0649e+06,-4.7526e-01,-1.0649e+06,3.1718e-01,5.0804e+00,inf,7.0105e+01,-4.6683e-02,-1.9982e-01,3.5583e+00,4.5949e+00
2.0000e+03,2.4000e+01,3.3000e+01,3.0120e+01,-1.0644e+06,-1.0644e+06,-4.9507e-01,-1.0644e+06,3.1780e-01,5.1001e+00,inf,7.9909e+01,-7.1062e-01,-1.9379e+00,3.1537e+00,6.1015e+00
2.0000e+03,2.5000e+01,3.4000e+01,3.0952e+01,-1.0604e+06,-1.0604e+06,-5.1487e-01,-1.0604e+06,3.1842e-01,5.1201e+00,inf,8.2302e+01,-1.1335e+00,-4.0518e-01,3.2247e+00,4.3339e+00
2.0000e+03,2.6000e+01,3.7000e+01,3.1034e+01,-1.0592e+06,-1.0592e+06,-5.3467e-01,-1.0592e+06,3.1903e-01,5.1398e+00,inf,8.9639e+01,3.0314e-01,-3.2615e-02,3.2818e+00,2.9800e+00
2.0000e+03,2.7000e+01,3.9000e+01,3.1461e+01,-1.0568e+06,-1.0568e+06,-5.5447e-01,-1.0568e+06,3.1965e-01,5.1598e+00,inf,9.4456e+01,-9.2950e-01,-7.5017e-01,2.9562e+00,2.1741e+00
2.0000e+03,2.8000e+01,4.1000e+01,3.1868e+01,-1.0566e+06,-1.0566e+06,-5.7428e-01,-1.0566e+06,3.2026e-01,5.1795e+00,inf,9.9299e+01,-3.7345e-01,-1.9237e+00,3.1310e+00,4.9532e+00
2.0000e+03,2.9000e+01,4.2000e+01,3.2609e+01,-1.0457e+06,-1.0457e+06,-5.9408e-01,-1.0457e+06,3.2087e-01,5.1993e+00,inf,1.0167e+02,2.8111e-01,-5.3470e-02,3.1868e+00,3.1964e+00
2.0000e+03,3.0000e+01,4.5000e+01,3.2632e+01,-1.0419e+06,-1.0419e+06,-6.1388e-01,-1.0419e+06,3.2148e-01,5.2190e+00,inf,1.0888e+02,2.3208e-02,-1.7119e-01,3.3172e+00,4.4102e+00
2.0000e+03,3.1000e+01,4.7000e+01,3.2990e+01,-1.0412e+06,-1.0412e+06,-6.3368e-01,-1.0412e+06,3.2209e-01,5.2388e+00,inf,1.1363e+02,1.6049e-01,-5.1047e-01,3.1730e+00,3.9572e+00
2.0000e+03,3.2000e+01,5.0000e+01,3.3000e+01,-1.0222e+06,-1.0222e+06,-6.5349e-01,-1.0222e+06,3.2270e-01,5.2587e+00,inf,1.2092e+02,-2.5408e-01,-1.1741e+00,2.7261e+00,1.2196e+00
2.0000e+03,3.3000e+01,5.1000e+01,3.3663e+01,-1.0217e+06,-1.0217e+06,-6.7329e-01,-1.0217e+06,3.2331e-01,5.2785e+00,9.8406e+05,1.2328e+02,-7.3537e-01,-1.8923e+00,2.9033e+00,6.8920e+00
2.0000e+03,3.4000e+01,5.2000e+01,3.4314e+01,-1.0207e+06,-1.0207e+06,-6.9309e-01,-1.0207e+06,3.2391e-01,5.2982e+00,9.8357e+05,1.2567e+02,-6.0652e-01,-1.1698e+00,2.9608e+00,6.8999e+00
2.0000e+03,3.5000e+01,5.3000e+01,3.4951e+01,-1.0192e+06,-1.0192e+06,-7.1289e-01,-1.0192e+06,3.2452e-01,5.3180e+00,9.8260e+05,1.2806e+02,-7.9651e-01,-7.3973e-01,2.7157e+00,2.2769e+00
2.0000e+03,3.6000e+01,5.4000e+01,3.5577e+01,-1.0187e+06,-1.0187e+06,-7.3270e-01,-1.0187e+06,3.2512e-01,5.3379e+00,9.8114e+05,1.3046e+02,4.5808e-01,-2.3754e-01,3.2554e+00,6.5829e+00
2.0000e+03,3.7000e+01,5.7000e+01,3.5514e+01,-1.0143e+06,-1.0143e+06,-7.5250e-01,-1.0143e+06,3.2572e-01,5.3577e+00,9.8061e+05,1.3780e+02,-1.1170e+00,-7.5578e-01,2.8755e+00,5.7122e+00
