logfeh_mean,logdust_med,logNpix,tau,dmod,logl
-2.0508e-01,-9.7689e-01,1.9518e+00,3.2234e+00,2.5939e+01,-1.4183e+03
-2.8817e-01,-9.3550e-01,1.9530e+00,3.1600e+00,2.5963e+01,-1.4199e+03
-1.8420e-01,-9.9229e-01,1.9768e+00,3.3076e+00,2.6026e+01,-1.4176e+03
-2.0198e-01,-9.7842e-01,1.9442e+00,3.2144e+00,2.5918e+01,-1.4134e+03
-2.0520e-01,-9.7708e-01,1.9455e+00,3.2383e+00,2.5921e+01,-1.4082e+03
-2.0344e-01,-9.8546e-01,1.9582e+00,3.2051e+00,2.5956e+01,-1.4139e+03
-1.8798e-01,-9.8716e-01,1.9770e+00,3.2938e+00,2.6024e+01,-1.3863e+03
-1.8675e-01,-9.8189e-01,1.9773e+00,3.3026e+00,2.6019e+01,-1.3991e+03
-2.0402e-01,-9.6349e-01,1.9468e+00,3.3092e+00,2.5919e+01,-1.4186e+03
-1.8910e-01,-9.9612e-01,1.9696e+00,3.2056e+00,2.6001e+01,-1.4183e+03
-1.8921e-01,-9.8330e-01,1.9778e+00,3.3422e+00,2.6029e+01,-1.4100e+03
-1.8807e-01,-9.9310e-01,1.9759e+00,3.2548e+00,2.6015e+01,-1.4185e+03
-1.8419e-01,-9.8573e-01,1.9786e+00,3.2790e+00,2.6008e+01,-1.4143e+03
-1.8694e-01,-9.9960e-01,1.9763e+00,3.2580e+00,2.6033e+01,-1.3995e+03
-1.8770e-01,-9.9579e-01,1.9790e+00,3.3168e+00,2.6036e+01,-1.4033e+03
-1.9027e-01,-9.8815e-01,1.9498e+00,3.2327e+00,2.5941e+01,-1.4084e+03
-2.9044e-01,-9.4003e-01,1.9469e+00,3.0279e+00,2.5934e+01,-1.4193e+03
-2.8155e-01,-9.4915e-01,1.9633e+00,3.0119e+00,2.5976e+01,-1.4159e+03
-2.7538e-01,-9.0925e-01,1.9499e+00,3.3426e+00,2.5942e+01,-1.4094e+03
-1.6182e-01,-9.8670e-01,1.9472e+00,3.3776e+00,2.5921e+01,-1.4041e+03
-1.8530e-01,-9.9812e-01,1.9755e+00,3.2977e+00,2.6016e+01,-1.4177e+03
-1.8851e-01,-9.8404e-01,1.9703e+00,3.4149e+00,2.6007e+01,-1.4110e+03
-2.0475e-01,-9.6502e-01,1.9469e+00,3.2785e+00,2.5923e+01,-1.4175e+03
-1.8878e-01,-9.9701e-01,1.9816e+00,3.2739e+00,2.6035e+01,-1.3922e+03
-2.0045e-01,-9.7019e-01,1.9511e+00,3.2283e+00,2.5928e+01,-1.4168e+03
-1.8852e-01,-9.8259e-01,1.9816e+00,3.3459e+00,2.6037e+01,-1.4028e+03
-1.8797e-01,-9.9646e-01,1.9824e+00,3.2379e+00,2.6042e+01,-1.3979e+03
-1.8548e-01,-9.7531e-01,1.9847e+00,3.3489e+00,2.6038e+01,-1.4034e+03
-1.8548e-01,-9.9298e-01,1.9813e+00,3.2606e+00,2.6031e+01,-1.3930e+03
-1.8929e-01,-9.8540e-01,1.9818e+00,3.3197e+00,2.6030e+01,-1.3950e+03
-1.9063e-01,-9.9560e-01,1.9814e+00,3.2835e+00,2.6038e+01,-1.4019e+03
-1.8587e-01,-9.9775e-01,1.9730e+00,3.2496e+00,2.5999e+01,-1.4116e+03
-1.8562e-01,-9.7555e-01,1.9622e+00,3.3755e+00,2.5976e+01,-1.4150e+03
-1.8677e-01,-9.9456e-01,1.9763e+00,3.2675e+00,2.6011e+01,-1.4076e+03
-1.8826e-01,-9.9969e-01,1.9642e+00,3.2948e+00,2.5983e+01,-1.4045e+03
-2.0237e-01,-9.6715e-01,1.9556e+00,3.2326e+00,2.5939e+01,-1.4141e+03
-1.9897e-01,-9.7415e-01,1.9517e+00,3.2499e+00,2.5936e+01,-1.4022e+03
-2.8064e-01,-9.5407e-01,1.9686e+00,3.0778e+00,2.6011e+01,-1.4069e+03
-1.8848e-01,-9.9508e-01,1.9831e+00,3.2823e+00,2.6045e+01,-1.4183e+03
-1.9068e-01,-9.8330e-01,1.9754e+00,3.2648e+00,2.6004e+01,-1.3910e+03
-1.9068e-01,-9.9129e-01,1.9701e+00,3.3024e+00,2.5999e+01,-1.4143e+03
-1.5648e-01,-9.9767e-01,1.9584e+00,3.3594e+00,2.5953e+01,-1.4187e+03
-1.8931e-01,-9.9338e-01,1.9696e+00,3.2514e+00,2.6005e+01,-1.4125e+03
-1.8896e-01,-9.9593e-01,1.9737e+00,3.2641e+00,2.6006e+01,-1.4179e+03
-1.9056e-01,-9.9268e-01,1.9685e+00,3.2229e+00,2.5988e+01,-1.4188e+03
-1.8889e-01,-9.9132e-01,1.9778e+00,3.2769e+00,2.6017e+01,-1.4192e+03
-1.8150e-01,-9.9537e-01,1.9819e+00,3.2515e+00,2.6027e+01,-1.4198e+03
-1.8918e-01,-9.8477e-01,1.9710e+00,3.3055e+00,2.6005e+01,-1.4101e+03
-1.8270e-01,-9.9695e-01,1.9837e+00,3.3137e+00,2.6042e+01,-1.4137e+03
-2.0345e-01,-9.6898e-01,1.9470e+00,3.2919e+00,2.5925e+01,-1.4144e+03
-2.7608e-01,-9.3643e-01,1.9515e+00,3.1944e+00,2.5945e+01,-1.4176e+03
-1.8255e-01,-9.8613e-01,1.9774e+00,3.3959e+00,2.6026e+01,-1.4117e+03
-1.9131e-01,-9.8602e-01,1.9375e+00,3.2311e+00,2.5905e+01,-1.4139e+03
-1.8754e-01,-9.9622e-01,1.9833e+00,3.2957e+00,2.6037e+01,-1.4095e+03
-1.6837e-01,-9.9007e-01,1.9431e+00,3.2838e+00,2.5900e+01,-1.4137e+03
-2.7949e-01,-9.4682e-01,1.9780e+00,3.1416e+00,2.6027e+01,-1.4019e+03
-2.8664e-01,-9.3924e-01,1.9480e+00,3.0421e+00,2.5938e+01,-1.4191e+03
-1.9028e-01,-9.8085e-01,1.9704e+00,3.3328e+00,2.6009e+01,-1.3991e+03
-1.8647e-01,-9.9765e-01,1.9771e+00,3.2948e+00,2.6029e+01,-1.4199e+03
-1.7972e-01,-9.9278e-01,1.9928e+00,3.2712e+00,2.6059e+01,-1.4195e+03
-2.0173e-01,-9.5472e-01,1.9603e+00,3.3618e+00,2.5966e+01,-1.4167e+03
-2.0026e-01,-9.6970e-01,1.9479e+00,3.2401e+00,2.5927e+01,-1.4100e+03
-1.8604e-01,-9.9653e-01,1.9747e+00,3.2221e+00,2.6009e+01,-1.4133e+03
-1.9015e-01,-9.8889e-01,1.9759e+00,3.2812e+00,2.6011e+01,-1.4121e+03
-1.8968e-01,-9.8407e-01,1.9713e+00,3.2976e+00,2.5997e+01,-1.4091e+03
-1.9031e-01,-9.8598e-01,1.9758e+00,3.2608e+00,2.6007e+01,-1.3993e+03
-2.0364e-01,-9.8433e-01,1.9500e+00,3.1540e+00,2.5932e+01,-1.4148e+03
-2.8935e-01,-9.5040e-01,1.9450e+00,3.0083e+00,2.5936e+01,-1.4116e+03
-1.9031e-01,-9.8438e-01,1.9808e+00,3.3246e+00,2.6043e+01,-1.4161e+03
-2.7910e-01,-9.2921e-01,1.9794e+00,3.1863e+00,2.6029e+01,-1.4154e+03
-2.8112e-01,-9.1456e-01,1.9474e+00,3.2628e+00,2.5932e+01,-1.4149e+03
-2.0442e-01,-9.6998e-01,1.9541e+00,3.2301e+00,2.5938e+01,-1.4198e+03
-1.8710e-01,-9.9294e-01,1.9747e+00,3.2592e+00,2.6013e+01,-1.4034e+03
-1.8731e-01,-9.6957e-01,1.9816e+00,3.3313e+00,2.6022e+01,-1.4176e+03
-2.6910e-01,-9.1931e-01,1.9725e+00,3.3217e+00,2.6005e+01,-1.4187e+03
-1.8334e-01,-9.9398e-01,1.9801e+00,3.2846e+00,2.6031e+01,-1.4185e+03
-1.9926e-01,-9.7217e-01,1.9524e+00,3.2709e+00,2.5945e+01,-1.4141e+03
-1.8652e-01,-9.9540e-01,1.9680e+00,3.2846e+00,2.5993e+01,-1.4197e+03
-1.8969e-01,-9.9015e-01,1.9759e+00,3.2997e+00,2.6014e+01,-1.4182e+03
