nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,logzh,logdust,logNpix,tau
2.0000e+03,2.7500e+02,3.5880e+03,7.5866e+00,-3.5482e+04,-3.5492e+04,-5.4655e+00,-3.5492e+04,3.0939e-01,9.4984e+00,3.4092e+04,-6.6536e-02,-1.1755e+00,2.9985e+00,4.0203e+00
2.0000e+03,2.7600e+02,3.6160e+03,7.5559e+00,-3.4851e+04,-3.4861e+04,-5.4853e+00,-3.4861e+04,3.2779e-01,1.0090e+01,3.4090e+04,-2.0958e-01,-1.9011e+00,3.0446e+00,2.2956e+00
2.0000e+03,2.7700e+02,3.7330e+03,7.3487e+00,-3.4818e+04,-3.4828e+04,-5.5051e+00,-3.4828e+04,3.2839e-01,1.0110e+01,3.3458e+04,-9.8522e-01,-6.6796e-01,3.0799e+00,3.2203e+00
2.0000e+03,2.7800e+02,3.8420e+03,7.1686e+00,-3.3471e+04,-3.3481e+04,-5.5249e+00,-3.3481e+04,3.2898e-01,1.0130e+01,3.3425e+04,-3.4702e-01,-6.5915e-01,3.0167e+00,6.8387e+00
2.0000e+03,2.7900e+02,3.8880e+03,7.1102e+00,-3.3416e+04,-3.3426e+04,-5.5447e+00,-3.3426e+04,3.2958e-01,1.0150e+01,3.2079e+04,4.8663e-02,-1.5325e+00,3.1206e+00,2.8990e+00
2.0000e+03,2.8000e+02,3.9180e+03,7.0817e+00,-3.2810e+04,-3.2820e+04,-5.5645e+00,-3.2820e+04,3.3017e-01,1.0170e+01,3.2024e+04,-1.7267e-02,-1.9418e+00,2.9872e+00,3.3162e+00
2.0000e+03,2.8100e+02,3.9880e+03,6.9837e+00,-3.2440e+04,-3.2450e+04,-5.5843e+00,-3.2450e+04,3.3077e-01,1.0190e+01,3.1418e+04,-1.7202e-01,-1.6202e+00,3.0477e+00,1.3366e+00
2.0000e+03,2.8200e+02,4.0780e+03,6.8556e+00,-3.1089e+04,-3.1099e+04,-5.6041e+00,-3.1099e+04,3.3136e-01,1.0209e+01,3.1048e+04,-1.3208e+00,-4.6109e-01,3.0372e+00,6.9642e+00
2.0000e+03,2.8300e+02,4.2440e+03,6.6139e+00,-3.0182e+04,-3.0192e+04,-5.6239e+00,-3.0192e+04,3.3195e-01,1.0229e+01,2.9697e+04,-5.3630e-01,-1.2640e+00,3.0326e+00,3.6822e-01
2.0000e+03,2.8400e+02,4.2760e+03,6.5881e+00,-2.9917e+04,-2.9928e+04,-5.6437e+00,-2.9928e+04,3.3254e-01,1.0249e+01,2.8790e+04,-9.8763e-01,-7.3665e-01,2.9848e+00,3.7115e+00
2.0000e+03,2.8500e+02,4.4410e+03,6.3683e+00,-2.9672e+04,-2.9682e+04,-5.6636e+00,-2.9682e+04,3.3313e-01,1.0269e+01,2.8525e+04,4.3617e-02,-1.6272e+00,3.0165e+00,4.0361e+00
2.0000e+03,2.8600e+02,4.4470e+03,6.3820e+00,-2.9441e+04,-2.9451e+04,-5.6834e+00,-2.9451e+04,3.3372e-01,1.0289e+01,2.8280e+04,-9.9066e-01,-8.0463e-01,3.0681e+00,1.5341e+00
2.0000e+03,2.8700e+02,4.5390e+03,6.2759e+00,-2.8473e+04,-2.8483e+04,-5.7032e+00,-2.8483e+04,3.3431e-01,1.0308e+01,2.8048e+04,-4.4761e-01,-7.3857e-01,3.0477e+00,4.5055e+00
2.0000e+03,2.8800e+02,4.7810e+03,5.9822e+00,-2.8407e+04,-2.8418e+04,-5.7230e+00,-2.8418e+04,3.3489e-01,1.0328e+01,2.7080e+04,-7.4309e-01,-9.1542e-01,3.0316e+00,2.3104e+00
2.0000e+03,2.8900e+02,5.1450e+03,5.5823e+00,-2.8338e+04,-2.8348e+04,-5.7428e+00,-2.8348e+04,3.3548e-01,1.0348e+01,2.7015e+04,-3.8554e-01,-1.7399e+00,2.9920e+00,5.9654e-01
2.0000e+03,2.9000e+02,5.3530e+03,5.3859e+00,-2.8149e+04,-2.8160e+04,-5.7626e+00,-2.8160e+04,3.3606e-01,1.0368e+01,2.6946e+04,-5.3800e-01,-9.0683e-01,2.9749e+00,4.1598e+00
2.0000e+03,2.9100e+02,5.3820e+03,5.3756e+00,-2.7495e+04,-2.7505e+04,-5.7824e+00,-2.7505e+04,3.3664e-01,1.0388e+01,2.6757e+04,-9.0886e-01,-5.7734e-01,3.0511e+00,4.9310e+00
2.0000e+03,2.9200e+02,5.4240e+03,5.3526e+00,-2.7443e+04,-2.7454e+04,-5.8022e+00,-2.7454e+04,3.3723e-01,1.0407e+01,2.6102e+04,-1.4963e+00,-6.6202e-01,3.0409e+00,1.2411e+00
2.0000e+03,2.9300e+02,5.6200e+03,5.1852e+00,-2.7219e+04,-2.7229e+04,-5.8220e+00,-2.7229e+04,3.3781e-01,1.0427e+01,2.6051e+04,-5.7753e-01,-8.7633e-01,3.0777e+00,2.5652e+00
2.0000e+03,2.9400e+02,5.6460e+03,5.1791e+00,-2.6940e+04,-2.6950e+04,-5.8418e+00,-2.6950e+04,3.3839e-01,1.0447e+01,2.5826e+04,1.1375e-01,-1.3712e+00,3.0665e+00,4.2372e+00
2.0000e+03,2.9500e+02,5.6830e+03,5.1631e+00,-2.6918e+04,-2.6929e+04,-5.8616e+00,-2.6929e+04,3.3897e-01,1.0467e+01,2.5548e+04,-5.8074e-02,-1.8804e+00,3.0010e+00,2.8759e+00
2.0000e+03,2.9600e+02,5.8090e+03,5.0691e+00,-2.6008e+04,-2.6018e+04,-5.8814e+00,-2.6018e+04,3.3954e-01,1.0487e+01,2.5526e+04,-1.2530e-03,-1.1772e+00,3.0288e+00,4.1655e+00
2.0000e+03,2.9700e+02,6.1330e+03,4.8197e+00,-2.6006e+04,-2.6016e+04,-5.9012e+00,-2.6016e+04,3.2117e-01,9.8737e+00,2.4615e+04,-1.5461e-01,-1.0803e+00,3.0273e+00,4.3296e+00
2.0000e+03,2.9800e+02,6.1870e+03,4.7940e+00,-2.5427e+04,-2.5438e+04,-5.9210e+00,-2.5438e+04,3.4070e-01,1.0526e+01,2.4613e+04,-1.5254e-01,-1.5026e+00,3.0279e+00,3.2395e+00
2.0000e+03,2.9900e+02,6.6540e+03,4.4749e+00,-2.5359e+04,-2.5370e+04,-5.9408e+00,-2.5370e+04,3.4127e-01,1.0546e+01,2.4035e+04,-1.1664e+00,-6.7672e-01,3.0677e+00,2.5351e+00
2.0000e+03,3.0000e+02,6.6990e+03,4.4599e+00,-2.4894e+04,-2.4904e+04,-5.9606e+00,-2.4904e+04,3.4185e-01,1.0566e+01,2.3967e+04,-1.2252e+00,-7.3119e-01,3.0096e+00,2.6810e+00
2.0000e+03,3.0100e+02,6.7070e+03,4.4694e+00,-2.3879e+04,-2.3889e+04,-5.9804e+00,-2.3889e+04,3.4242e-01,1.0586e+01,2.3501e+04,-5.5729e-01,-8.8802e-01,2.9459e+00,4.1781e+00
2.0000e+03,3.0200e+02,7.0780e+03,4.2508e+00,-2.3756e+04,-2.3766e+04,-6.0002e+00,-2.3766e+04,3.4299e-01,1.0605e+01,2.2486e+04,-1.3681e+00,-6.4947e-01,3.0260e+00,3.2589e+00
2.0000e+03,3.0300e+02,7.1810e+03,4.2041e+00,-2.2743e+04,-2.2754e+04,-6.0200e+00,-2.2754e+04,3.4356e-01,1.0625e+01,2.2363e+04,-2.7247e-01,-1.3146e+00,3.0651e+00,5.7164e-01
2.0000e+03,3.0400e+02,7.2550e+03,4.1752e+00,-2.2499e+04,-2.2510e+04,-6.0398e+00,-2.2510e+04,3.4413e-01,1.0645e+01,2.1351e+04,-4.7968e-01,-1.0262e+00,3.0812e+00,1.5287e+00
2.0000e+03,3.0500e+02,7.2950e+03,4.1661e+00,-2.2261e+04,-2.2272e+04,-6.0596e+00,-2.2272e+04,3.4470e-01,1.0665e+01,2.1107e+04,-4.5838e-01,-1.1562e+00,3.0469e+00,2.2206e+00
