logfeh_mean,logdust,logNpix,tau,dmod,logl
-4.6770e-01,-1.8282e+00,2.5699e+00,3.5783e+00,2.6486e+01,-9.9711e+03
-4.4450e-01,-1.7565e+00,2.6743e+00,3.9121e+00,2.6788e+01,-9.8603e+03
-4.6965e-01,-1.8955e+00,2.6619e+00,3.6953e+00,2.6764e+01,-9.9518e+03
-4.8971e-01,-1.5155e+00,2.6275e+00,3.9987e+00,2.6663e+01,-1.0025e+04
-4.8639e-01,-1.8388e+00,2.6550e+00,3.6308e+00,2.6738e+01,-1.0025e+04
-4.8496e-01,-1.5089e+00,2.5775e+00,4.1223e+00,2.6531e+01,-9.9948e+03
-4.6823e-01,-1.7627e+00,2.6647e+00,3.8987e+00,2.6789e+01,-1.0006e+04
-4.6926e-01,-1.7882e+00,2.6785e+00,3.7947e+00,2.6809e+01,-1.0011e+04
-3.9493e-01,-1.9401e+00,2.5208e+00,3.8182e+00,2.6339e+01,-9.9608e+03
-4.8515e-01,-1.5165e+00,2.5805e+00,4.0815e+00,2.6533e+01,-1.0007e+04
-4.2397e-01,-1.5979e+00,2.6015e+00,4.1978e+00,2.6582e+01,-9.9424e+03
-4.7379e-01,-1.7464e+00,2.5755e+00,3.5775e+00,2.6496e+01,-9.9439e+03
-3.6825e-01,-1.9390e+00,2.5368e+00,4.0032e+00,2.6384e+01,-1.0024e+04
-4.6099e-01,-1.5247e+00,2.6266e+00,4.1841e+00,2.6667e+01,-9.9262e+03
-4.6765e-01,-1.9360e+00,2.5813e+00,3.5500e+00,2.6519e+01,-9.7703e+03
-4.2244e-01,-1.9801e+00,2.5931e+00,3.7444e+00,2.6553e+01,-9.9651e+03
-4.7265e-01,-1.8803e+00,2.6078e+00,3.5296e+00,2.6587e+01,-1.0016e+04
-4.5493e-01,-1.9735e+00,2.5915e+00,3.5264e+00,2.6547e+01,-1.0002e+04
-4.1334e-01,-1.6737e+00,2.5654e+00,4.0471e+00,2.6482e+01,-9.9286e+03
-4.6325e-01,-1.8171e+00,2.6687e+00,3.8819e+00,2.6794e+01,-9.8516e+03
-4.6400e-01,-1.5592e+00,2.5520e+00,4.0582e+00,2.6451e+01,-9.9195e+03
-4.5740e-01,-1.9031e+00,2.6763e+00,3.7315e+00,2.6800e+01,-9.9920e+03
-4.7191e-01,-1.7784e+00,2.6028e+00,3.6912e+00,2.6583e+01,-9.9857e+03
-4.6322e-01,-1.7076e+00,2.6023e+00,3.9139e+00,2.6597e+01,-9.9340e+03
-4.8581e-01,-1.4547e+00,2.5788e+00,4.0903e+00,2.6527e+01,-9.9968e+03
-4.5548e-01,-1.7330e+00,2.6959e+00,3.9549e+00,2.6868e+01,-9.9791e+03
-4.9611e-01,-1.6829e+00,2.6655e+00,3.8125e+00,2.6775e+01,-9.9435e+03
-4.1115e-01,-1.6620e+00,2.5856e+00,4.0612e+00,2.6530e+01,-1.0028e+04
-3.9583e-01,-1.8805e+00,2.5760e+00,3.9474e+00,2.6507e+01,-9.8848e+03
-4.6922e-01,-1.8017e+00,2.5866e+00,3.5434e+00,2.6515e+01,-9.9699e+03
-4.1275e-01,-1.8796e+00,2.5773e+00,3.8356e+00,2.6500e+01,-9.8629e+03
-4.7349e-01,-1.9278e+00,2.5901e+00,3.5605e+00,2.6556e+01,-9.9790e+03
-4.7980e-01,-1.5514e+00,2.5732e+00,3.8574e+00,2.6514e+01,-1.0023e+04
-4.7006e-01,-1.7158e+00,2.6120e+00,3.8503e+00,2.6634e+01,-1.0004e+04
