logfeh_mean,logdust_med,logNpix,tau,dmod,logl
-2.8591e-01,-4.7178e-01,2.0265e+00,3.0474e+00,2.6093e+01,-9.9107e+02
-2.3134e-01,-5.6941e-01,1.9470e+00,2.7671e+00,2.5853e+01,-1.0521e+03
-2.6377e-01,-5.2217e-01,1.9918e+00,2.8860e+00,2.5980e+01,-9.9946e+02
-2.7874e-01,-5.6813e-01,2.0743e+00,2.6739e+00,2.6251e+01,-1.0596e+03
-2.4864e-01,-5.0054e-01,1.9535e+00,2.9455e+00,2.5874e+01,-1.0345e+03
-3.3114e-01,-5.0457e-01,2.0627e+00,2.7464e+00,2.6215e+01,-1.0610e+03
-3.4821e-01,-4.4559e-01,2.0499e+00,2.4581e+00,2.6132e+01,-1.0211e+03
-2.8386e-01,-4.7940e-01,2.0482e+00,2.8470e+00,2.6133e+01,-1.0078e+03
-2.7664e-01,-5.4263e-01,1.9933e+00,2.4456e+00,2.5982e+01,-1.0211e+03
-2.8125e-01,-4.7321e-01,2.0812e+00,2.8755e+00,2.6240e+01,-1.0600e+03
-2.9987e-01,-5.0969e-01,2.0284e+00,2.8852e+00,2.6118e+01,-1.0309e+03
-2.7500e-01,-4.8258e-01,2.0018e+00,2.9772e+00,2.6023e+01,-9.8656e+02
-2.3886e-01,-5.5382e-01,2.0238e+00,2.9216e+00,2.6079e+01,-1.0511e+03
-2.3430e-01,-4.9270e-01,2.0113e+00,3.1720e+00,2.6056e+01,-1.0325e+03
-2.6391e-01,-4.8852e-01,1.9769e+00,2.8799e+00,2.5932e+01,-1.0187e+03
-1.9319e-01,-5.6244e-01,1.9835e+00,2.8983e+00,2.5967e+01,-1.0621e+03
-3.5382e-01,-3.9654e-01,2.0473e+00,2.8873e+00,2.6111e+01,-1.0648e+03
-3.6900e-01,-4.5931e-01,2.1153e+00,2.5127e+00,2.6340e+01,-1.0552e+03
-2.6791e-01,-5.3182e-01,2.0137e+00,2.5897e+00,2.6051e+01,-1.0564e+03
-3.1640e-01,-5.0023e-01,2.1204e+00,2.7274e+00,2.6375e+01,-1.0533e+03
-2.6026e-01,-5.5096e-01,2.0387e+00,2.8917e+00,2.6166e+01,-1.0627e+03
-2.3347e-01,-5.5018e-01,2.0173e+00,3.1136e+00,2.6095e+01,-1.0592e+03
-2.3906e-01,-5.1200e-01,2.0301e+00,3.0408e+00,2.6123e+01,-1.0534e+03
-2.0317e-01,-5.8614e-01,1.9501e+00,2.8024e+00,2.5850e+01,-1.0371e+03
-4.0081e-01,-4.0829e-01,2.1106e+00,2.6499e+00,2.6310e+01,-1.0275e+03
-2.8202e-01,-4.7563e-01,1.9828e+00,2.9006e+00,2.5957e+01,-9.9486e+02
-2.2895e-01,-5.8259e-01,2.0469e+00,2.8985e+00,2.6169e+01,-1.0115e+03
-2.6430e-01,-5.3746e-01,1.9621e+00,2.6408e+00,2.5888e+01,-1.0412e+03
-3.0070e-01,-4.8153e-01,1.9722e+00,2.7019e+00,2.5923e+01,-1.0589e+03
-2.8905e-01,-4.5804e-01,2.0304e+00,3.0730e+00,2.6114e+01,-1.0174e+03
-3.5080e-01,-4.5263e-01,1.9941e+00,2.6553e+00,2.6000e+01,-1.0565e+03
-3.1065e-01,-4.5403e-01,2.0246e+00,2.7607e+00,2.6077e+01,-9.9061e+02
-2.1896e-01,-5.4313e-01,1.9882e+00,2.7738e+00,2.5958e+01,-1.0285e+03
-2.0601e-01,-5.4208e-01,1.9797e+00,2.8229e+00,2.5937e+01,-1.0354e+03
-3.0853e-01,-3.8790e-01,2.0316e+00,2.9342e+00,2.6060e+01,-1.0600e+03
-3.5302e-01,-4.2878e-01,2.0547e+00,2.7788e+00,2.6165e+01,-1.0007e+03
-3.1905e-01,-4.8021e-01,1.9993e+00,2.2795e+00,2.5971e+01,-1.0531e+03
-3.9087e-01,-4.0386e-01,2.0400e+00,2.4688e+00,2.6088e+01,-1.0649e+03
-2.9498e-01,-4.4794e-01,2.0322e+00,3.0256e+00,2.6080e+01,-1.0554e+03
-3.0954e-01,-4.6909e-01,2.0947e+00,3.0061e+00,2.6293e+01,-1.0385e+03
-2.7161e-01,-4.9553e-01,2.0476e+00,3.0554e+00,2.6166e+01,-9.9241e+02
-3.0711e-01,-4.2401e-01,2.0752e+00,2.9705e+00,2.6200e+01,-1.0541e+03
-1.6652e-01,-5.7441e-01,2.0047e+00,3.2425e+00,2.6047e+01,-1.0622e+03
-3.5272e-01,-4.2670e-01,2.0574e+00,2.8243e+00,2.6169e+01,-1.0231e+03
-3.3870e-01,-4.0497e-01,2.0610e+00,2.8163e+00,2.6174e+01,-1.0598e+03
-3.0403e-01,-4.8028e-01,2.0679e+00,2.6653e+00,2.6196e+01,-1.0337e+03
-2.6053e-01,-5.1468e-01,2.0033e+00,3.0591e+00,2.6036e+01,-1.0007e+03
-1.8803e-01,-6.2456e-01,2.0578e+00,2.9812e+00,2.6213e+01,-1.0626e+03
-1.8701e-01,-6.2996e-01,1.9791e+00,2.8034e+00,2.5960e+01,-1.0273e+03
-2.5529e-01,-5.1259e-01,2.0135e+00,2.7793e+00,2.6045e+01,-9.6758e+02
-2.7594e-01,-5.3857e-01,2.0196e+00,2.6754e+00,2.6060e+01,-1.0594e+03
-2.3306e-01,-5.1348e-01,2.0265e+00,3.2220e+00,2.6095e+01,-1.0435e+03
-2.7223e-01,-4.6859e-01,2.0036e+00,2.8007e+00,2.5997e+01,-1.0622e+03
-3.1695e-01,-4.7036e-01,2.0461e+00,2.9622e+00,2.6161e+01,-9.9616e+02
-2.7277e-01,-5.7233e-01,2.0189e+00,2.5877e+00,2.6090e+01,-1.0403e+03
-2.3891e-01,-5.4085e-01,1.9640e+00,2.6902e+00,2.5902e+01,-1.0665e+03
-2.2681e-01,-5.1127e-01,2.0066e+00,3.0453e+00,2.6026e+01,-9.6388e+02
-3.2769e-01,-4.3877e-01,2.0663e+00,2.9346e+00,2.6203e+01,-1.0337e+03
-3.7144e-01,-4.3859e-01,2.0418e+00,2.6617e+00,2.6112e+01,-1.0325e+03
-3.3060e-01,-4.8951e-01,2.0245e+00,2.4014e+00,2.6071e+01,-1.0227e+03
-1.9211e-01,-5.0902e-01,2.0570e+00,3.3846e+00,2.6192e+01,-1.0449e+03
-2.2931e-01,-5.1077e-01,1.9646e+00,2.9922e+00,2.5901e+01,-1.0075e+03
-3.3653e-01,-4.5974e-01,2.0291e+00,2.6360e+00,2.6098e+01,-9.8766e+02
-1.9721e-01,-5.8339e-01,1.9513e+00,2.8879e+00,2.5883e+01,-1.0393e+03
-2.6999e-01,-4.7170e-01,2.0377e+00,3.2068e+00,2.6144e+01,-1.0513e+03
-4.0511e-01,-4.0630e-01,2.0382e+00,2.3705e+00,2.6087e+01,-1.0587e+03
-3.4651e-01,-4.4863e-01,2.0121e+00,2.5637e+00,2.6028e+01,-1.0102e+03
-3.2476e-01,-4.4869e-01,2.0681e+00,3.0515e+00,2.6209e+01,-1.0562e+03
-2.5738e-01,-4.6062e-01,2.0377e+00,3.1644e+00,2.6114e+01,-1.0374e+03
-2.7508e-01,-5.7595e-01,2.0143e+00,2.3622e+00,2.6049e+01,-1.0467e+03
