logfeh_mean,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
-3.7482e-01,-1.6554e+00,-2.3996e+00,-2.2058e-01,-4.1719e-01,1.0648e+00,1.7365e+00,-2.9356e+04
-4.9782e-01,-1.4087e+00,-2.0132e+00,-1.7401e+00,4.4602e-02,1.3239e+00,1.5208e+00,-2.5703e+04
-3.0931e-01,-1.3245e+00,-2.5583e+00,-8.3784e-02,5.7987e-01,9.5723e-01,1.6475e+00,-3.2183e+04
-6.4372e-03,-1.8326e+00,-2.7280e+00,-1.1307e+00,8.6521e-01,1.1675e+00,1.5237e+00,-3.1506e+04
-3.5689e-01,-1.6207e+00,-2.5952e+00,-5.8929e-01,-9.3168e-02,1.1061e+00,1.6647e+00,-2.6638e+04
-2.3031e-01,-1.6805e+00,-1.8644e+00,-1.5794e-01,-8.7565e-01,9.2700e-01,1.7558e+00,-3.2868e+04
-3.0269e-01,-1.7337e+00,-2.6503e+00,-1.4393e-01,6.1848e-01,7.9420e-01,1.6422e+00,-3.3774e+04
-2.7761e-01,-1.7596e+00,-8.7826e-01,-4.2281e-01,-1.6373e-01,1.2797e+00,1.5455e+00,-2.7213e+04
-4.7862e-02,-1.7428e+00,-1.7968e+00,2.6018e-01,-1.2496e+00,1.2282e+00,1.6430e+00,-3.3706e+04
-4.1856e-01,-1.4667e+00,-1.4549e+00,-1.5833e-01,-4.3266e-01,1.3796e+00,1.4970e+00,-3.1348e+04
-2.6836e-01,-1.9772e+00,-1.0420e+00,-2.9488e-01,2.1251e-01,5.1918e-01,1.8188e+00,-3.3323e+04
-2.0437e-01,-1.9560e+00,-2.5657e+00,-1.5192e+00,-1.8752e-01,1.2638e+00,1.5912e+00,-3.1470e+04
-3.2496e-01,-1.5188e+00,-2.1048e+00,-9.2823e-01,-8.2348e-01,1.3322e+00,1.6490e+00,-3.3366e+04
-4.1499e-01,-1.7617e+00,-1.4142e+00,-4.1634e-01,-2.7367e-01,2.8814e-01,1.7965e+00,-2.8846e+04
-3.1625e-01,-1.7811e+00,-1.1765e+00,-2.3869e-01,-1.1737e+00,1.0259e+00,1.7003e+00,-2.5870e+04
-3.3867e-01,-1.2866e+00,-8.0195e-01,-1.0504e-01,-2.4513e-01,1.1281e+00,1.6801e+00,-2.9055e+04
-1.9493e-01,-1.7096e+00,-1.5153e+00,-1.7200e+00,2.5379e-01,1.3236e+00,1.4907e+00,-2.9086e+04
-3.4451e-01,-1.7164e+00,-2.7901e+00,-1.0249e+00,2.1560e-01,1.1209e+00,1.6248e+00,-2.6675e+04
-4.9175e-01,-1.5626e+00,-1.5012e+00,-7.5977e-01,-1.4013e+00,1.1169e+00,1.7430e+00,-3.0884e+04
