nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logzh,logdust,logNpix
2.0000e+03,0.0000e+00,1.0000e+00,1.9608e+00,-9.7727e+06,-9.7727e+06,-1.9803e-02,-9.7727e+06,3.0278e-01,4.6294e+00,inf,2.1975e+00,9.3734e-02,-8.8448e-01,3.9317e+00
2.0000e+03,1.0000e+00,2.0000e+00,3.8462e+00,-9.7165e+06,-9.7165e+06,-3.9605e-02,-9.7165e+06,3.0317e-01,4.6415e+00,inf,4.4928e+00,-1.1128e+00,-1.0844e+00,3.8408e+00
2.0000e+03,2.0000e+00,3.0000e+00,5.6604e+00,-8.4642e+06,-8.4642e+06,-5.9408e-02,-8.4642e+06,3.0413e-01,4.6708e+00,inf,6.7441e+00,-9.4707e-01,-3.9626e-01,3.9163e+00
2.0000e+03,3.0000e+00,4.0000e+00,7.4074e+00,-4.7112e+06,-4.7112e+06,-7.9211e-02,-4.7112e+06,3.0456e-01,4.6841e+00,inf,9.0064e+00,-1.2320e+00,-1.0692e-02,2.3590e+00
2.0000e+03,4.0000e+00,6.0000e+00,8.9286e+00,-4.3847e+06,-4.3847e+06,-9.9013e-02,-4.3847e+06,3.0523e-01,4.7046e+00,inf,1.3632e+01,-5.9670e-01,-3.5991e-02,2.2479e+00
2.0000e+03,5.0000e+00,7.0000e+00,1.0526e+01,-3.2378e+06,-3.2378e+06,-1.1882e-01,-3.2378e+06,3.0583e-01,4.7232e+00,inf,1.5876e+01,3.0130e-01,-4.5517e-02,3.1138e+00
2.0000e+03,6.0000e+00,9.0000e+00,1.1864e+01,-2.6617e+06,-2.6617e+06,-1.3862e-01,-2.6617e+06,3.0649e-01,4.7436e+00,inf,2.0409e+01,-1.2719e+00,-9.8380e-02,2.6514e+00
2.0000e+03,7.0000e+00,1.0000e+01,1.3333e+01,-2.6471e+06,-2.6471e+06,-1.5842e-01,-2.6471e+06,3.0714e-01,4.7637e+00,inf,2.2708e+01,2.8111e-01,-5.3470e-02,3.1868e+00
2.0000e+03,8.0000e+00,1.1000e+01,1.4754e+01,-2.3133e+06,-2.3134e+06,-1.7822e-01,-2.3134e+06,3.0779e-01,4.7838e+00,inf,2.5069e+01,-4.2624e-01,-3.6160e-01,2.1142e+00
2.0000e+03,9.0000e+00,1.2000e+01,1.6129e+01,-2.2378e+06,-2.2378e+06,-1.9803e-01,-2.2378e+06,3.0840e-01,4.8029e+00,inf,2.7243e+01,-2.5445e-01,-1.0126e+00,3.6811e+00
2.0000e+03,1.0000e+01,1.3000e+01,1.7460e+01,-2.0975e+06,-2.0975e+06,-2.1783e-01,-2.0975e+06,3.0904e-01,4.8230e+00,inf,2.9479e+01,2.3825e-01,-1.1277e+00,3.6043e+00
2.0000e+03,1.1000e+01,1.4000e+01,1.8750e+01,-1.9276e+06,-1.9276e+06,-2.3763e-01,-1.9276e+06,3.0967e-01,4.8427e+00,inf,3.1634e+01,-1.2834e+00,-4.4764e-01,3.5650e+00
2.0000e+03,1.2000e+01,1.5000e+01,2.0000e+01,-1.8924e+06,-1.8924e+06,-2.5743e-01,-1.8924e+06,3.1031e-01,4.8627e+00,inf,3.3777e+01,4.5653e-02,-2.3472e-01,2.7298e+00
2.0000e+03,1.3000e+01,1.6000e+01,2.1212e+01,-1.8751e+06,-1.8751e+06,-2.7724e-01,-1.8751e+06,3.1094e-01,4.8824e+00,inf,3.5919e+01,-1.3305e+00,-1.3340e+00,3.4569e+00
2.0000e+03,1.4000e+01,2.0000e+01,2.1429e+01,-1.7674e+06,-1.7674e+06,-2.9704e-01,-1.7674e+06,3.1156e-01,4.9020e+00,inf,4.4930e+01,4.8416e-01,-8.2396e-02,3.5839e+00
2.0000e+03,1.5000e+01,2.1000e+01,2.2535e+01,-1.5680e+06,-1.5680e+06,-3.1684e-01,-1.5680e+06,3.1220e-01,4.9221e+00,inf,4.7149e+01,4.4899e-01,-6.6443e-01,2.5113e+00
2.0000e+03,1.6000e+01,2.2000e+01,2.3611e+01,-1.4871e+06,-1.4871e+06,-3.3664e-01,-1.4871e+06,3.1282e-01,4.9417e+00,inf,4.9299e+01,-1.0624e+00,-1.5026e-01,2.8843e+00
2.0000e+03,1.7000e+01,2.3000e+01,2.4658e+01,-1.4634e+06,-1.4634e+06,-3.5645e-01,-1.4634e+06,3.1346e-01,4.9617e+00,inf,5.1524e+01,-7.5806e-02,-1.1122e+00,2.0621e+00
