logfeh_mean,logdust,logNpix,tau,logl
9.4659e-02,-1.3769e+00,3.7407e+00,2.4786e+00,-6.8892e+02
8.8183e-02,-1.3358e+00,3.7391e+00,2.5833e+00,-6.9684e+02
5.8458e-02,-1.2542e+00,3.7372e+00,2.6089e+00,-6.9411e+02
6.8731e-02,-1.2944e+00,3.7406e+00,2.5409e+00,-6.9892e+02
6.3581e-02,-1.2776e+00,3.7400e+00,2.5786e+00,-6.9157e+02
4.9753e-02,-1.2794e+00,3.7369e+00,2.4789e+00,-6.7532e+02
6.8903e-02,-1.3331e+00,3.7380e+00,2.4871e+00,-6.9071e+02
6.7699e-02,-1.3152e+00,3.7390e+00,2.4766e+00,-6.9774e+02
6.7919e-02,-1.3045e+00,3.7410e+00,2.5060e+00,-6.9650e+02
6.5571e-02,-1.3104e+00,3.7386e+00,2.5173e+00,-6.9110e+02
8.9087e-02,-1.3515e+00,3.7410e+00,2.5191e+00,-6.9856e+02
4.9853e-02,-1.2979e+00,3.7356e+00,2.4336e+00,-6.8811e+02
6.5533e-02,-1.3073e+00,3.7388e+00,2.5163e+00,-6.8338e+02
6.6050e-02,-1.2865e+00,3.7398e+00,2.5702e+00,-6.7596e+02
9.4868e-02,-1.3642e+00,3.7422e+00,2.5247e+00,-6.9555e+02
9.5163e-02,-1.3925e+00,3.7407e+00,2.4609e+00,-6.6907e+02
9.7204e-02,-1.3507e+00,3.7402e+00,2.5812e+00,-6.8041e+02
6.6314e-02,-1.2974e+00,3.7408e+00,2.5058e+00,-6.9695e+02
6.9379e-02,-1.3250e+00,3.7384e+00,2.4958e+00,-6.6204e+02
9.6033e-02,-1.3391e+00,3.7400e+00,2.6105e+00,-6.8336e+02
8.4164e-02,-1.3495e+00,3.7424e+00,2.4739e+00,-6.7893e+02
9.0225e-02,-1.3744e+00,3.7395e+00,2.5007e+00,-6.8175e+02
6.8023e-02,-1.3055e+00,3.7383e+00,2.5376e+00,-6.9680e+02
9.5423e-02,-1.3794e+00,3.7418e+00,2.4824e+00,-6.7828e+02
