nlive,niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust,logNpix,tau
2.0000e+03,1.0000e+00,1.0000e+00,1.9960e-01,-8.1710e+05,-8.1711e+05,-1.9980e-03,-8.1711e+05,1.1750e-01,6.9098e+00,inf,2.6698e+03,-3.5468e-01,-1.8793e+00,6.9998e+00,1.9948e+01
2.0000e+03,2.0000e+00,1.0000e+00,3.9841e-01,-8.0938e+05,-8.0938e+05,-3.9960e-03,-8.0938e+05,1.1751e-01,6.9118e+00,7.7125e+05,2.6754e+03,-9.0571e-01,-1.2820e+00,6.9890e+00,1.1083e+01
2.0000e+03,3.0000e+00,1.0000e+00,5.9642e-01,-8.0180e+05,-8.0181e+05,-5.9940e-03,-8.0181e+05,1.1753e-01,6.9137e+00,7.6353e+05,2.6812e+03,-1.1894e+00,-1.3504e+00,6.9083e+00,1.3927e+01
2.0000e+03,4.0000e+00,1.0000e+00,7.9365e-01,-7.9513e+05,-7.9513e+05,-7.9920e-03,-7.9513e+05,1.1755e-01,6.9157e+00,7.5595e+05,2.6863e+03,-3.9506e-01,-1.7270e+00,6.8725e+00,1.3389e+01
2.0000e+03,5.0000e+00,1.0000e+00,9.9010e-01,-7.9356e+05,-7.9357e+05,-9.9900e-03,-7.9357e+05,1.1757e-01,6.9177e+00,7.4928e+05,2.6921e+03,-1.4813e+00,-1.0994e+00,6.8862e+00,1.1182e+01
2.0000e+03,6.0000e+00,1.0000e+00,1.1858e+00,-7.8442e+05,-7.8442e+05,-1.1988e-02,-7.8442e+05,1.1758e-01,6.9198e+00,7.4771e+05,2.6979e+03,-1.0965e+00,-1.3017e+00,6.7610e+00,1.7810e+01
2.0000e+03,7.0000e+00,1.0000e+00,1.3807e+00,-7.8391e+05,-7.8391e+05,-1.3986e-02,-7.8391e+05,1.1760e-01,6.9218e+00,7.3857e+05,2.7023e+03,-1.3322e+00,-1.8043e+00,6.7376e+00,1.9398e+01
2.0000e+03,8.0000e+00,1.0000e+00,1.5748e+00,-7.8091e+05,-7.8092e+05,-1.5984e-02,-7.8092e+05,1.1762e-01,6.9238e+00,7.3805e+05,2.7080e+03,-1.1131e+00,-1.2600e+00,6.7836e+00,1.0366e+01
2.0000e+03,9.0000e+00,1.0000e+00,1.7682e+00,-7.7938e+05,-7.7938e+05,-1.7982e-02,-7.7938e+05,1.1763e-01,6.9257e+00,7.3506e+05,2.7135e+03,-5.1007e-01,-1.1901e+00,6.7728e+00,1.2786e+01
2.0000e+03,1.0000e+01,1.0000e+00,1.9608e+00,-7.7761e+05,-7.7762e+05,-1.9980e-02,-7.7762e+05,1.1765e-01,6.9277e+00,7.3353e+05,2.7190e+03,-6.2538e-01,-1.4069e+00,6.7572e+00,1.1107e+01
2.0000e+03,1.1000e+01,1.0000e+00,2.1526e+00,-7.7695e+05,-7.7696e+05,-2.1978e-02,-7.7696e+05,1.1767e-01,6.9297e+00,7.3176e+05,2.7244e+03,-8.8663e-01,-1.9434e+00,6.6842e+00,1.8090e+01
2.0000e+03,1.2000e+01,1.0000e+00,2.3438e+00,-7.7637e+05,-7.7637e+05,-2.3976e-02,-7.7637e+05,1.1768e-01,6.9318e+00,7.3110e+05,2.7297e+03,-1.1422e+00,-1.9232e+00,6.6839e+00,1.6733e+01
