nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logNpix,tau
2.0000e+03,1.0000e+00,1.0000e+00,1.9608e+00,-1.1512e+06,-1.1512e+06,-1.9803e-02,-inf,3.0263e-01,4.6250e+00,inf,1.8193e+02,-1.0965e+00,-1.1034e+00,3.8566e+00,8.1197e+00
2.0000e+03,2.0000e+00,2.0000e+00,3.8462e+00,-1.1500e+06,-1.1500e+06,-3.9605e-02,-inf,3.0328e-01,4.6447e+00,inf,1.8544e+02,-3.9506e-01,-1.9539e+00,3.9235e+00,6.3423e+00
2.0000e+03,3.0000e+00,3.0000e+00,5.6604e+00,-1.1404e+06,-1.1404e+06,-5.9408e-02,-inf,3.0393e-01,4.6646e+00,inf,1.8894e+02,-1.4813e+00,-6.9870e-01,3.9317e+00,5.4552e+00
2.0000e+03,4.0000e+00,4.0000e+00,7.4074e+00,-1.1399e+06,-1.1399e+06,-7.9211e-02,-inf,3.0457e-01,4.6843e+00,inf,1.9257e+02,-8.0398e-01,-2.1348e+00,3.7054e+00,6.6522e+00
2.0000e+03,5.0000e+00,5.0000e+00,9.0909e+00,-1.1351e+06,-1.1351e+06,-9.9013e-02,-inf,3.0522e-01,4.7043e+00,inf,1.9614e+02,-6.2621e-01,-1.2757e+00,3.7546e+00,6.0059e+00
2.0000e+03,6.0000e+00,7.0000e+00,1.0526e+01,-1.1243e+06,-1.1243e+06,-1.1882e-01,-inf,3.0586e-01,4.7240e+00,inf,2.0336e+02,-8.6633e-01,-1.3638e+00,3.6074e+00,4.4894e+00
2.0000e+03,7.0000e+00,8.0000e+00,1.2069e+01,-1.1201e+06,-1.1201e+06,-1.3862e-01,-inf,3.0649e-01,4.7437e+00,inf,2.0691e+02,-2.5445e-01,-1.5126e+00,3.5216e+00,6.6968e+00
2.0000e+03,8.0000e+00,9.0000e+00,1.3559e+01,-1.1193e+06,-1.1193e+06,-1.5842e-01,-inf,3.0714e-01,4.7637e+00,inf,2.1047e+02,-2.9133e-01,-2.2938e+00,3.4071e+00,8.5644e+00
2.0000e+03,9.0000e+00,1.1000e+01,1.4754e+01,-1.1187e+06,-1.1187e+06,-1.7822e-01,-inf,3.0777e-01,4.7834e+00,inf,2.1768e+02,-9.8869e-01,-2.2834e+00,3.3285e+00,7.2598e+00
2.0000e+03,1.0000e+01,1.2000e+01,1.6129e+01,-1.1156e+06,-1.1156e+06,-1.9803e-01,-inf,3.0841e-01,4.8033e+00,inf,2.2119e+02,-4.9383e-01,-2.4725e+00,3.3185e+00,8.0611e+00
2.0000e+03,1.1000e+01,1.3000e+01,1.7460e+01,-1.1154e+06,-1.1154e+06,-2.1783e-01,-inf,3.0904e-01,4.8230e+00,inf,2.2472e+02,8.1048e-02,-5.1584e-01,3.8764e+00,7.3357e+00
2.0000e+03,1.2000e+01,1.4000e+01,1.8750e+01,-1.1119e+06,-1.1119e+06,-2.3763e-01,-inf,3.0967e-01,4.8427e+00,inf,2.2828e+02,-1.2521e+00,-2.2612e+00,3.2156e+00,5.6984e+00
2.0000e+03,1.3000e+01,1.5000e+01,2.0000e+01,-1.1096e+06,-1.1096e+06,-2.5743e-01,-inf,3.1031e-01,4.8627e+00,inf,2.3186e+02,-7.6876e-01,-8.9679e-01,3.3482e+00,6.6108e+00
2.0000e+03,1.4000e+01,1.6000e+01,2.1212e+01,-1.1071e+06,-1.1071e+06,-2.7724e-01,-inf,3.1094e-01,4.8824e+00,inf,2.3541e+02,-5.8438e-01,-6.5919e-01,3.6372e+00,3.0209e+00
