nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,logzh,logdust,logNpix,logage
2.0000e+03,2.8000e+01,3.0000e+01,2.2308e+01,-2.0789e+10,-2.0789e+10,-2.8856e-01,-2.0789e+10,1.4710e+01,2.1745e+04,inf,-1.2521e+00,-1.7612e+00,6.4770e+00,9.1746e+00
2.0000e+03,2.9000e+01,3.2000e+01,2.2727e+01,-2.0668e+10,-2.0668e+10,-2.9851e-01,-2.0668e+10,,-2.4146e+04,inf,3.6565e-01,-3.4771e-01,5.2909e+00,9.2940e+00
2.0000e+03,3.0000e+01,3.3000e+01,2.3308e+01,-1.8558e+10,-1.8558e+10,-3.0846e-01,-1.8558e+10,8.9329e+00,8.0195e+03,inf,3.1161e-01,-4.6283e-01,5.5225e+00,9.8769e+00
2.0000e+03,3.1000e+01,3.4000e+01,2.3881e+01,-1.7555e+10,-1.7555e+10,-3.1841e-01,-1.7555e+10,,-3.1285e+04,inf,4.0648e-01,-2.2923e-01,6.5586e+00,8.0636e+00
2.0000e+03,3.2000e+01,3.5000e+01,2.4444e+01,-1.6582e+10,-1.6582e+10,-3.2836e-01,-1.6582e+10,,-3.0138e+03,inf,-5.8438e-01,-1.5919e-01,6.7581e+00,8.5052e+00
2.0000e+03,3.3000e+01,3.6000e+01,2.5000e+01,-1.5892e+10,-1.5892e+10,-3.3831e-01,-1.5892e+10,,-7.7663e+03,inf,-6.9001e-01,-7.0081e-04,5.2171e+00,8.6548e+00
2.0000e+03,3.4000e+01,3.7000e+01,2.5547e+01,-1.4938e+10,-1.4938e+10,-3.4826e-01,-1.4938e+10,,-1.1886e+04,inf,-8.5381e-01,-2.5715e-01,5.4313e+00,9.4699e+00
2.0000e+03,3.5000e+01,3.8000e+01,2.6087e+01,-1.4460e+10,-1.4460e+10,-3.5821e-01,-1.4460e+10,1.0760e+01,1.1636e+04,inf,4.8713e-01,-3.6259e-01,6.0902e+00,8.9025e+00
2.0000e+03,3.6000e+01,3.9000e+01,2.6619e+01,-1.4017e+10,-1.4017e+10,-3.6816e-01,-1.4017e+10,8.3324e+00,6.9776e+03,inf,-1.0627e-01,-7.1947e-01,6.2652e+00,9.6575e+00
2.0000e+03,3.7000e+01,4.0000e+01,2.7143e+01,-1.3914e+10,-1.3914e+10,-3.7811e-01,-1.3914e+10,5.1402e+00,2.6553e+03,inf,4.2524e-01,-9.6073e-01,5.4156e+00,9.7502e+00
2.0000e+03,3.8000e+01,4.2000e+01,2.7465e+01,-1.3845e+10,-1.3845e+10,-3.8806e-01,-1.3845e+10,,-1.6076e+03,inf,1.1372e-02,-1.3580e-01,5.7528e+00,8.5939e+00
2.0000e+03,3.9000e+01,4.3000e+01,2.7972e+01,-1.2959e+10,-1.2959e+10,-3.9801e-01,-1.2959e+10,,-5.4826e+03,inf,2.4612e-01,-1.9226e+00,6.3848e+00,8.9525e+00
2.0000e+03,4.0000e+01,4.5000e+01,2.8276e+01,-1.2500e+10,-1.2500e+10,-4.0796e-01,-1.2500e+10,,-9.1249e+03,inf,-1.4546e+00,-2.8989e-01,5.6127e+00,9.5176e+00
2.0000e+03,4.1000e+01,4.6000e+01,2.8767e+01,-1.2379e+10,-1.2379e+10,-4.1791e-01,-1.2379e+10,1.0354e+01,1.0775e+04,inf,3.0702e-01,-6.5315e-02,5.1351e+00,8.6352e+00
2.0000e+03,4.2000e+01,4.7000e+01,2.9252e+01,-1.1765e+10,-1.1765e+10,-4.2786e-01,-1.1765e+10,8.1216e+00,6.6289e+03,inf,-1.3307e-01,-5.7460e-01,5.7405e+00,9.1224e+00
2.0000e+03,4.3000e+01,4.8000e+01,2.9730e+01,-1.1142e+10,-1.1142e+10,-4.3781e-01,-1.1142e+10,5.3328e+00,2.8580e+03,inf,-1.4453e+00,-6.2751e-02,5.6550e+00,8.8206e+00
2.0000e+03,4.4000e+01,4.9000e+01,3.0201e+01,-1.0959e+10,-1.0959e+10,-4.4776e-01,-1.0959e+10,,-5.5282e+02,inf,3.0718e-01,-1.4448e+00,5.5133e+00,9.3994e+00
2.0000e+03,4.5000e+01,5.2000e+01,3.0263e+01,-1.0892e+10,-1.0892e+10,-4.5772e-01,-1.0892e+10,,-3.8927e+03,inf,-1.4756e+00,-1.0860e+00,6.8635e+00,9.6920e+00
2.0000e+03,4.6000e+01,5.3000e+01,3.0719e+01,-1.0721e+10,-1.0721e+10,-4.6767e-01,-1.0721e+10,,-7.1226e+03,inf,2.1375e-01,-6.7051e-01,5.6668e+00,9.0363e+00
2.0000e+03,4.7000e+01,5.4000e+01,3.1169e+01,-1.0586e+10,-1.0586e+10,-4.7762e-01,-1.0586e+10,9.9294e+00,9.9086e+03,inf,-2.4102e-01,-6.2764e-01,5.4808e+00,9.5759e+00
2.0000e+03,4.8000e+01,5.6000e+01,3.1410e+01,-1.0571e+10,-1.0571e+10,-4.8757e-01,-1.0571e+10,8.1345e+00,6.6501e+03,inf,3.2170e-01,-6.1573e-01,5.0859e+00,9.6672e+00
2.0000e+03,4.9000e+01,5.7000e+01,3.1847e+01,-1.0552e+10,-1.0552e+10,-4.9752e-01,-1.0552e+10,5.8156e+00,3.3990e+03,inf,-1.4813e+00,-1.9870e-01,6.9545e+00,9.1138e+00
2.0000e+03,5.0000e+01,5.9000e+01,3.2075e+01,-1.0539e+10,-1.0539e+10,-5.0747e-01,-1.0539e+10,1.2603e+00,1.5963e+02,inf,-1.4867e-01,-9.0995e-01,6.1285e+00,8.0280e+00
2.0000e+03,5.1000e+01,6.0000e+01,3.2500e+01,-1.0261e+10,-1.0261e+10,-5.1742e-01,-1.0261e+10,,-2.9941e+03,inf,-4.6745e-01,-6.0159e-01,5.5973e+00,9.7232e+00
2.0000e+03,5.2000e+01,6.1000e+01,3.2919e+01,-1.0065e+10,-1.0065e+10,-5.2737e-01,-1.0065e+10,,-6.0262e+03,inf,-4.2624e-01,-3.6160e-01,5.1142e+00,9.3388e+00
2.0000e+03,5.3000e+01,6.2000e+01,3.3333e+01,-1.0043e+10,-1.0043e+10,-5.3732e-01,-1.0043e+10,,-9.0964e+03,inf,2.3630e-01,-6.5434e-01,5.1749e+00,9.7739e+00
2.0000e+03,5.4000e+01,6.3000e+01,3.3742e+01,-9.5193e+09,-9.5193e+09,-5.4727e-01,-9.5193e+09,8.1118e+00,6.6131e+03,inf,-2.3815e-01,-8.9752e-01,6.1342e+00,9.6367e+00
