logfeh_mean,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
4.5746e-02,-1.4267e+00,-1.5571e+00,-1.2308e+00,-4.9989e-01,2.3187e+00,2.7377e+00,-1.5712e+04
-3.7545e-01,-9.2948e-01,-2.4701e+00,-1.2817e+00,8.8189e-01,8.4742e-01,2.9125e+00,-5.0750e+03
7.0151e-02,-1.5376e+00,-1.3824e+00,-2.1644e+00,6.1080e-01,9.7704e-01,2.9489e+00,-7.1808e+03
-2.3737e-01,-9.7028e-01,-1.7617e+00,-5.2753e-01,6.3063e-01,1.1392e+00,2.9343e+00,-5.6735e+03
-1.9897e-01,-1.0145e+00,-3.1252e+00,-3.7555e-01,4.4201e-01,1.4974e+00,2.9494e+00,-7.1317e+03
2.9412e-01,-1.7652e+00,-1.9119e+00,-5.8277e-01,-1.4281e+00,2.5588e+00,2.6451e+00,-1.0250e+04
-1.8966e-01,-1.0011e+00,-1.7848e+00,3.0763e-01,3.4969e-01,1.9526e+00,2.8184e+00,-1.5223e+04
1.7587e-02,-1.7498e+00,-2.8299e+00,-1.5529e+00,-1.0663e+00,1.5442e+00,2.9497e+00,-1.5692e+04
-2.3775e-02,-1.2090e+00,-1.3760e+00,-1.3248e+00,-1.9065e-01,5.6673e-01,3.0068e+00,-1.3948e+04
1.2424e-01,-1.5076e+00,-3.0943e+00,-6.1443e-01,-1.0323e+00,2.3988e+00,2.7597e+00,-1.4867e+04
-2.7985e-01,-1.0583e+00,-2.0549e+00,-2.0064e+00,-6.4991e-01,1.7109e+00,2.8728e+00,-9.6349e+03
2.8750e-01,-1.7359e+00,-3.1090e+00,-1.2471e+00,-1.0118e+00,2.4298e+00,2.7598e+00,-5.8952e+03
1.4163e-01,-1.7009e+00,-2.4261e+00,3.1953e-01,4.7975e-01,1.9961e+00,2.8969e+00,-9.7082e+03
-2.6311e-01,-8.7749e-01,-3.0451e+00,-1.9998e+00,3.2841e-02,2.3861e+00,2.7035e+00,-5.4337e+03
2.6347e-01,-1.6582e+00,-1.1282e+00,2.5144e-01,2.7456e-01,2.3989e+00,2.8036e+00,-1.0332e+04
-1.1388e-01,-9.3479e-01,-9.8473e-01,-1.9255e+00,7.5356e-02,2.4848e+00,2.5703e+00,-1.4232e+04
-2.3152e-01,-1.1178e+00,-1.6536e+00,-1.0643e+00,6.5918e-01,1.4075e+00,2.9003e+00,-9.3084e+03
4.4134e-01,-1.7172e+00,-1.2226e+00,-1.4021e+00,-3.7453e-01,2.6188e+00,2.6985e+00,-1.5826e+04
2.3034e-02,-9.6040e-01,-2.7347e+00,-1.7958e+00,3.4011e-01,2.6379e+00,2.4740e+00,-4.7701e+03
-7.0584e-02,-9.2953e-01,-2.5925e+00,-8.2568e-01,1.8634e-01,2.5872e+00,2.4668e+00,-7.1754e+03
-8.0815e-02,-1.1431e+00,-1.6350e+00,-2.0012e+00,4.7769e-01,1.7719e+00,2.9355e+00,-7.4233e+03
8.1969e-02,-1.5905e+00,-1.2766e+00,1.6173e-01,9.9754e-01,1.3403e+00,2.8883e+00,-1.6289e+04
2.3367e-01,-1.1700e+00,-3.0690e+00,-1.5188e+00,-2.8183e-01,2.5829e+00,2.6181e+00,-1.6166e+04
6.4278e-03,-8.9463e-01,-1.3832e+00,-5.0455e-01,6.6436e-01,2.5703e+00,2.5657e+00,-1.6307e+04
-9.3530e-02,-1.1177e+00,-2.4857e+00,-1.0817e+00,-1.0357e+00,1.1411e+00,2.9579e+00,-9.4378e+03
1.0923e-01,-1.8739e+00,-2.7664e+00,-2.0321e+00,-1.3823e+00,1.3719e+00,2.9748e+00,-6.0897e+03
1.8723e-01,-1.1885e+00,-1.7724e+00,1.0480e-01,-9.6140e-01,2.6223e+00,2.4710e+00,-7.5310e+03
-1.3570e-02,-9.9193e-01,-2.5415e+00,-5.7850e-01,-1.3743e+00,2.3195e+00,2.8569e+00,-1.3578e+04
1.2632e-01,-1.2368e+00,-1.7480e+00,-1.9281e+00,4.5485e-01,2.1714e+00,2.9073e+00,-1.3093e+04
-4.8017e-01,-8.2037e-01,-3.0473e+00,-1.9853e+00,-2.0230e-01,1.1922e+00,2.9220e+00,-9.3405e+03
1.2697e-01,-1.2987e+00,-2.9358e+00,-2.2832e-01,7.0525e-02,2.3272e+00,2.8097e+00,-3.2006e+03
1.4418e-01,-1.7762e+00,-8.3715e-01,-1.9279e+00,1.0478e-01,1.8326e+00,2.9177e+00,-4.3804e+03
-4.8872e-01,-7.9165e-01,-1.3487e+00,-1.4374e-01,2.1777e-01,1.3231e+00,2.9199e+00,-8.1485e+03
1.1848e-01,-1.7837e+00,-2.3580e+00,-8.3701e-01,1.7445e-01,1.1071e+00,2.9546e+00,-7.9355e+03
1.7925e-01,-1.4648e+00,-2.4758e+00,-1.5596e+00,-5.2666e-01,2.1356e+00,2.8731e+00,-1.4936e+04
-2.9992e-02,-8.3929e-01,-1.7486e+00,6.6846e-02,4.1019e-01,2.7018e+00,2.3314e+00,-4.4051e+03
3.0261e-01,-1.9208e+00,-1.8736e+00,-2.3084e-01,-8.6450e-01,2.4917e+00,2.6228e+00,-1.6237e+04
-3.1747e-01,-9.0724e-01,-8.2374e-01,-5.7310e-01,2.5972e-01,1.6267e+00,2.9155e+00,-4.3521e+03
-4.0949e-03,-1.6440e+00,-3.0811e+00,-1.6916e+00,-9.6378e-01,8.9574e-01,2.9611e+00,-8.6065e+03
-4.1530e-01,-8.6002e-01,-3.1023e+00,-1.5093e+00,-7.2292e-01,1.9977e+00,2.8086e+00,-1.4965e+04
1.3058e-01,-1.6558e+00,-1.5182e+00,-6.0922e-02,-6.6949e-02,1.9046e+00,2.8835e+00,-8.3016e+03
2.1793e-01,-1.3930e+00,-1.3332e+00,-5.7230e-01,-2.0694e-01,2.5830e+00,2.4907e+00,-1.4895e+04
