logfeh_mean,logdust,logNpix,tau,dmod,logl
-1.1918e-01,-1.0544e+00,3.3249e+00,1.3778e+00,2.3369e+01,-1.6257e+04
4.2207e-01,-1.8502e+00,3.4774e+00,5.8117e-01,2.3406e+01,-2.2362e+04
-1.8609e-01,-7.9429e-01,3.2765e+00,3.4252e+00,2.3187e+01,-2.7980e+04
2.8499e-01,-1.3019e+00,3.1101e+00,3.7131e+00,2.2776e+01,-3.1677e+04
2.9477e-01,-1.8364e+00,2.9406e+00,1.2465e+00,2.2127e+01,-3.0664e+04
1.9031e-01,-1.6847e+00,3.8459e+00,2.0555e+00,2.4592e+01,-4.6052e+03
4.3416e-01,-1.8971e+00,2.9590e+00,2.4818e+00,2.2256e+01,-2.7851e+04
-1.5733e-01,-9.3979e-01,3.8364e+00,2.6560e-01,2.4596e+01,-1.5723e+04
-4.2663e-01,-7.5903e-01,3.9956e+00,2.4623e+00,2.5058e+01,-1.7974e+04
-4.6805e-01,-8.3743e-01,3.5403e+00,2.1018e+00,2.4033e+01,-1.0504e+04
-4.6043e-01,-8.7065e-01,3.7772e+00,1.4080e+00,2.4631e+01,-3.6483e+03
7.1523e-02,-1.9009e+00,3.7314e+00,2.7720e-01,2.4460e+01,-1.2431e+04
-4.6705e-01,-7.2782e-01,3.6338e+00,2.3069e+00,2.4241e+01,-3.3207e+04
2.5679e-02,-8.9819e-01,3.8343e+00,2.9618e+00,2.4491e+01,-2.0241e+04
2.2325e-01,-1.2219e+00,3.7316e+00,1.7127e+00,2.4080e+01,-3.1921e+04
-1.4400e-01,-1.1212e+00,3.3545e+00,1.8166e+00,2.3533e+01,-1.9759e+04
-1.2953e-01,-9.7728e-01,3.3021e+00,9.5356e-01,2.3203e+01,-1.6411e+04
1.2253e-01,-1.8988e+00,3.4962e+00,2.5430e+00,2.3833e+01,-2.3568e+04
4.6893e-02,-8.0628e-01,3.2301e+00,4.1706e+00,2.3023e+01,-2.4353e+04
3.0159e-01,-1.5832e+00,3.7040e+00,1.0732e+00,2.4053e+01,-1.7824e+04
-1.7130e-01,-1.0403e+00,3.1807e+00,5.0703e-01,2.3029e+01,-2.5755e+04
-4.6365e-02,-8.7967e-01,3.8250e+00,3.6199e+00,2.4611e+01,-1.2207e+04
2.1962e-01,-1.4213e+00,3.3273e+00,2.3300e+00,2.3170e+01,-2.1547e+04
6.3716e-03,-1.7286e+00,3.5167e+00,1.0954e+00,2.3856e+01,-2.9781e+04
-2.4929e-01,-9.4871e-01,3.1277e+00,1.1031e-01,2.2866e+01,-2.7084e+04
-4.8623e-02,-1.3487e+00,3.5809e+00,1.9864e-01,2.4047e+01,-5.7179e+03
1.9532e-01,-1.8304e+00,3.2275e+00,1.0527e+00,2.2953e+01,-1.9937e+04
3.3139e-02,-1.8934e+00,3.4693e+00,1.6166e+00,2.3793e+01,-2.2164e+04
4.5223e-03,-1.4312e+00,3.8142e+00,2.3399e+00,2.4629e+01,-1.9114e+04
8.0883e-02,-1.8222e+00,3.2811e+00,1.7488e+00,2.3288e+01,-2.3508e+04
3.0663e-01,-1.3420e+00,3.0426e+00,3.4079e-01,2.2273e+01,-3.3426e+04
3.1142e-01,-1.6289e+00,3.7230e+00,1.9611e+00,2.4141e+01,-1.3775e+04
8.8479e-02,-1.2274e+00,3.7077e+00,6.8524e-01,2.4154e+01,-1.2205e+04
1.9292e-01,-1.3788e+00,3.3327e+00,2.6791e+00,2.3373e+01,-2.0563e+04
2.7954e-01,-1.5220e+00,3.1932e+00,7.2929e-01,2.2764e+01,-1.9204e+04
2.2306e-01,-1.3091e+00,3.1893e+00,3.4200e+00,2.3075e+01,-3.3830e+04
3.1343e-01,-1.4285e+00,3.5785e+00,2.5686e+00,2.3873e+01,-2.1042e+04
-3.7331e-01,-8.9904e-01,3.6416e+00,1.4521e+00,2.4169e+01,-2.4630e+04
3.0278e-01,-1.3561e+00,3.1726e+00,6.1075e-01,2.2703e+01,-3.2116e+04
4.5523e-01,-1.9978e+00,2.9628e+00,7.3540e-01,2.2079e+01,-3.0743e+04
4.1458e-01,-1.9284e+00,3.0167e+00,1.9160e+00,2.2260e+01,-2.8384e+04
3.0717e-01,-1.5865e+00,3.9183e+00,2.2469e+00,2.4675e+01,-1.4986e+04
1.4086e-01,-9.2813e-01,3.1822e+00,2.7666e+00,2.2727e+01,-3.0113e+04
-6.9190e-02,-8.9871e-01,3.7898e+00,6.8183e-01,2.4300e+01,-3.4319e+04
1.3843e-01,-1.1354e+00,3.3243e+00,3.5764e+00,2.3325e+01,-2.7872e+04
-8.3319e-02,-1.5277e+00,3.7458e+00,1.2502e+00,2.4573e+01,-1.4872e+04
3.1572e-01,-1.7084e+00,3.6690e+00,1.0401e+00,2.3998e+01,-1.6293e+04
