niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logNpix,tau
1.0000e+00,1.0000e+00,4.9975e-02,-1.6666e+05,-1.6667e+05,-4.9988e-04,-1.6667e+05,6.4391e-02,8.2945e+00,inf,2.8686e+03,8.9433e-02,-1.9313e-03,1.2109e+00,4.3716e-01
2.0000e+00,1.0000e+00,9.9900e-02,-1.6564e+05,-1.6565e+05,-9.9975e-04,-1.6565e+05,6.4393e-02,8.2951e+00,1.1793e+05,2.8700e+03,-3.2642e-01,-9.0451e-03,1.0240e+00,2.7485e+00
3.0000e+00,1.0000e+00,1.4978e-01,-1.6392e+05,-1.6393e+05,-1.4996e-03,-1.6393e+05,6.4395e-02,8.2955e+00,1.1692e+05,2.8715e+03,-4.2577e-01,-8.8155e-01,4.9218e+00,1.2409e+00
4.0000e+00,1.0000e+00,1.9960e-01,-1.6390e+05,-1.6391e+05,-1.9995e-03,-1.6391e+05,6.4397e-02,8.2960e+00,1.1520e+05,2.8730e+03,-5.9021e-02,-9.7485e-01,4.9564e+00,6.5912e-01
5.0000e+00,1.0000e+00,2.4938e-01,-1.6383e+05,-1.6384e+05,-2.4994e-03,-1.6384e+05,6.4399e-02,8.2966e+00,1.1518e+05,2.8744e+03,2.1738e-02,-6.0659e-01,4.9996e+00,7.5372e-01
6.0000e+00,1.0000e+00,2.9910e-01,-1.6383e+05,-1.6383e+05,-2.9993e-03,-1.6383e+05,6.3932e-02,8.1766e+00,1.1511e+05,2.8758e+03,-9.6786e-03,-8.7031e-01,4.9873e+00,1.6011e+00
7.0000e+00,1.0000e+00,3.4878e-01,-1.6380e+05,-1.6381e+05,-3.4991e-03,-1.6381e+05,6.4403e-02,8.2975e+00,1.1510e+05,2.8774e+03,-8.5755e-02,-8.1427e-01,4.9239e+00,8.5790e-01
8.0000e+00,1.0000e+00,3.9841e-01,-1.6380e+05,-1.6380e+05,-3.9990e-03,-1.6380e+05,6.4395e-02,8.2956e+00,1.1508e+05,2.8788e+03,-2.7518e-02,-5.5797e-01,4.9848e+00,7.2314e-01
9.0000e+00,1.0000e+00,4.4798e-01,-1.6379e+05,-1.6380e+05,-4.4989e-03,-1.6380e+05,6.4228e-02,8.2524e+00,1.1507e+05,2.8802e+03,-4.1850e-01,-5.2298e-01,4.9290e+00,6.2836e-01
1.0000e+01,1.0000e+00,4.9751e-01,-1.6378e+05,-1.6379e+05,-4.9988e-03,-1.6379e+05,6.4084e-02,8.2156e+00,1.1507e+05,2.8819e+03,2.2360e-01,-3.2409e-02,4.7201e+00,1.5590e+00
1.1000e+01,1.0000e+00,5.4699e-01,-1.6376e+05,-1.6377e+05,-5.4986e-03,-1.6377e+05,6.4411e-02,8.2996e+00,1.1506e+05,2.8834e+03,-1.7320e-02,-7.4017e-01,4.9128e+00,2.0385e-01
1.2000e+01,1.0000e+00,5.9642e-01,-1.6376e+05,-1.6377e+05,-5.9985e-03,-1.6377e+05,6.0116e-02,7.2297e+00,1.1504e+05,2.8848e+03,-4.9134e-02,-1.0984e-02,4.2983e+00,1.0307e+00
1.3000e+01,1.0000e+00,6.4580e-01,-1.6376e+05,-1.6376e+05,-6.4984e-03,-1.6376e+05,6.4343e-02,8.2821e+00,1.1504e+05,2.8862e+03,9.0359e-02,-3.5566e-02,4.8820e+00,1.1995e+00
1.4000e+01,1.0000e+00,6.9513e-01,-1.6375e+05,-1.6376e+05,-6.9983e-03,-1.6376e+05,6.4399e-02,8.2965e+00,1.1503e+05,2.8877e+03,-3.3161e-01,-7.4310e-01,4.8628e+00,1.2865e+00
1.5000e+01,1.0000e+00,7.4442e-01,-1.6373e+05,-1.6374e+05,-7.4981e-03,-1.6374e+05,6.4418e-02,8.3015e+00,1.1502e+05,2.8891e+03,2.1493e-01,-1.1461e-01,4.1171e+00,3.5128e-01
1.6000e+01,1.0000e+00,7.9365e-01,-1.6373e+05,-1.6374e+05,-7.9980e-03,-1.6374e+05,6.0110e-02,7.2283e+00,1.1501e+05,2.8907e+03,1.3311e-01,-7.1903e-01,4.9246e+00,1.0904e+00
1.7000e+01,1.0000e+00,8.4284e-01,-1.6372e+05,-1.6373e+05,-8.4979e-03,-1.6373e+05,6.4422e-02,8.3025e+00,1.1501e+05,2.8921e+03,-6.2603e-02,-3.0675e-02,4.7697e+00,4.6675e-01
1.8000e+01,1.0000e+00,8.9197e-01,-1.6372e+05,-1.6373e+05,-8.9978e-03,-1.6372e+05,6.0188e-02,7.2469e+00,1.1499e+05,2.8935e+03,-8.0570e-02,-6.4339e-01,4.8870e+00,3.0333e-01
1.9000e+01,1.0000e+00,9.4106e-01,-1.6371e+05,-1.6372e+05,-9.4976e-03,-1.6372e+05,6.4413e-02,8.3001e+00,1.1499e+05,2.8949e+03,1.3819e-01,-7.8800e-02,4.3472e+00,6.6885e-01
2.0000e+01,1.0000e+00,9.9010e-01,-1.6371e+05,-1.6371e+05,-9.9975e-03,-1.6371e+05,6.1874e-02,7.6588e+00,1.1498e+05,2.8965e+03,1.4272e-02,-2.1693e-02,3.7368e+00,1.1289e+00
2.1000e+01,1.0000e+00,1.0391e+00,-1.6370e+05,-1.6371e+05,-1.0497e-02,-1.6371e+05,6.4350e-02,8.2839e+00,1.1498e+05,2.8979e+03,-2.4020e-02,-6.9079e-01,4.8677e+00,4.1776e-01
2.2000e+01,1.0000e+00,1.0880e+00,-1.6370e+05,-1.6371e+05,-1.0997e-02,-1.6371e+05,6.1349e-02,7.5292e+00,1.1498e+05,2.8993e+03,1.6303e-01,-4.3295e-01,4.9779e+00,1.5120e+00
2.3000e+01,1.0000e+00,1.1369e+00,-1.6370e+05,-1.6370e+05,-1.1497e-02,-1.6370e+05,6.0601e-02,7.3469e+00,1.1497e+05,2.9007e+03,-1.5843e-01,-5.8638e-01,4.8679e+00,6.7421e-01
2.4000e+01,1.0000e+00,1.1858e+00,-1.6369e+05,-1.6370e+05,-1.1997e-02,-1.6370e+05,5.9409e-02,7.0606e+00,1.1497e+05,2.9022e+03,-3.8895e-01,-8.1093e-01,4.8028e+00,1.6077e+00
