niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod
1.0000e+00,1.0000e+00,9.9900e-02,-2.1024e+05,-2.1025e+05,-9.9950e-04,-2.1025e+05,8.7167e-02,7.6019e+00,inf,2.0990e+00,-4.7506e-01,-6.7441e-01,-1.7931e+00,-8.5213e-01,1.7428e-01,8.6519e-01,3.9217e+00,2.2079e+01
2.0000e+00,1.0000e+00,1.9960e-01,-2.0958e+05,-2.0958e+05,-1.9990e-03,-2.0958e+05,8.7173e-02,7.6029e+00,1.8423e+05,4.6591e+00,9.5053e-02,-1.6297e+00,-1.9737e+00,8.7620e-02,1.5195e-01,9.8865e-01,3.8935e+00,2.2241e+01
3.0000e+00,1.0000e+00,2.9910e-01,-2.0953e+05,-2.0954e+05,-2.9985e-03,-2.0954e+05,8.7179e-02,7.6039e+00,1.8356e+05,7.1844e+00,-4.8677e-01,-1.9150e+00,-1.9360e+00,-2.1246e+00,-6.3321e-02,1.8624e+00,3.7037e+00,2.2042e+01
4.0000e+00,1.0000e+00,3.9841e-01,-2.0923e+05,-2.0924e+05,-3.9980e-03,-2.0924e+05,8.7184e-02,7.6049e+00,1.8352e+05,9.6960e+00,2.0972e-02,-9.7862e-01,-2.1664e+00,4.2826e-02,2.3341e-02,2.6389e+00,3.8323e+00,2.2279e+01
5.0000e+00,1.0000e+00,4.9751e-01,-2.0905e+05,-2.0906e+05,-4.9975e-03,-2.0906e+05,8.7190e-02,7.6059e+00,1.8322e+05,1.2596e+01,-3.2988e-01,-9.2243e-01,-1.0613e+00,-1.8418e+00,1.0005e+00,2.1012e+00,3.7679e+00,2.2226e+01
6.0000e+00,1.0000e+00,5.9642e-01,-2.0903e+05,-2.0904e+05,-5.9970e-03,-2.0904e+05,8.7195e-02,7.6068e+00,1.8303e+05,1.5508e+01,5.6838e-02,-5.9808e-01,-9.1222e-01,1.4162e-01,1.0630e+00,2.2494e+00,3.9024e+00,2.2225e+01
7.0000e+00,1.0000e+00,6.9513e-01,-2.0892e+05,-2.0893e+05,-6.9965e-03,-2.0893e+05,8.7201e-02,7.6079e+00,1.8302e+05,1.8517e+01,1.3385e-01,-1.1081e+00,-2.7310e+00,2.0117e-01,-2.9609e-01,1.2497e+00,3.8936e+00,2.2436e+01
8.0000e+00,1.0000e+00,7.9365e-01,-2.0891e+05,-2.0891e+05,-7.9960e-03,-2.0891e+05,8.7207e-02,7.6089e+00,1.8291e+05,2.0787e+01,2.6008e-01,-7.5109e-01,-1.8359e+00,-8.0546e-01,3.5279e-02,2.7850e-01,3.9489e+00,2.2425e+01
9.0000e+00,1.0000e+00,8.9197e-01,-2.0882e+05,-2.0883e+05,-8.9955e-03,-2.0883e+05,8.7213e-02,7.6099e+00,1.8289e+05,2.3348e+01,2.3897e-01,-8.1129e-01,-1.8378e+00,-7.4322e-01,7.3261e-02,1.7166e+00,3.8893e+00,2.2337e+01
1.0000e+01,1.0000e+00,9.9010e-01,-2.0855e+05,-2.0856e+05,-9.9950e-03,-2.0856e+05,8.7219e-02,7.6109e+00,1.8281e+05,2.6007e+01,-1.0296e-01,-1.6795e+00,-2.2336e+00,-5.2489e-01,8.7672e-01,5.4485e-01,3.7027e+00,2.2254e+01
1.1000e+01,1.0000e+00,1.0880e+00,-2.0852e+05,-2.0853e+05,-1.0995e-02,-2.0853e+05,8.7224e-02,7.6119e+00,1.8254e+05,2.8158e+01,-2.2942e-01,-1.2165e+00,-2.9900e+00,-3.8100e-01,7.7545e-01,1.6333e+00,3.9624e+00,2.3072e+01
1.2000e+01,1.0000e+00,1.1858e+00,-2.0851e+05,-2.0852e+05,-1.1994e-02,-2.0852e+05,8.7087e-02,7.5879e+00,1.8250e+05,3.0690e+01,4.8418e-01,-1.0842e+00,-1.6065e+00,-5.2893e-01,-5.3832e-02,6.7994e-01,3.9286e+00,2.2576e+01
1.3000e+01,1.0000e+00,1.2833e+00,-2.0845e+05,-2.0845e+05,-1.2994e-02,-2.0845e+05,8.7236e-02,7.6139e+00,1.8250e+05,3.3209e+01,9.6422e-02,-1.1342e+00,-2.4146e+00,-1.9107e+00,5.3321e-01,2.6267e+00,3.9024e+00,2.2835e+01
1.4000e+01,1.0000e+00,1.3807e+00,-2.0840e+05,-2.0841e+05,-1.3993e-02,-2.0841e+05,8.7242e-02,7.6149e+00,1.8243e+05,3.6171e+01,3.3822e-01,-1.7740e+00,-2.0130e+00,2.5131e-01,6.7573e-01,9.1804e-01,3.9290e+00,2.2752e+01
1.5000e+01,1.0000e+00,1.4778e+00,-2.0834e+05,-2.0835e+05,-1.4993e-02,-2.0835e+05,8.7247e-02,7.6159e+00,1.8239e+05,3.8861e+01,-3.6253e-01,-9.5638e-01,-1.8095e+00,-1.3206e+00,4.6055e-01,2.3037e+00,3.7753e+00,2.2643e+01
1.6000e+01,1.0000e+00,1.5748e+00,-2.0828e+05,-2.0828e+05,-1.5992e-02,-2.0828e+05,8.7253e-02,7.6169e+00,1.8233e+05,4.1409e+01,-1.2539e-01,-1.9054e+00,-2.1634e+00,-3.6579e-01,4.8543e-01,7.0154e-01,3.6334e+00,2.2172e+01
1.7000e+01,1.0000e+00,1.6716e+00,-2.0811e+05,-2.0812e+05,-1.6992e-02,-2.0812e+05,8.7259e-02,7.6179e+00,1.8226e+05,4.3911e+01,-1.0944e-01,-7.7647e-01,-8.0167e-01,1.3644e-01,-1.1872e+00,5.1175e-01,3.9273e+00,2.2867e+01
1.8000e+01,1.0000e+00,1.7682e+00,-2.0810e+05,-2.0811e+05,-1.7991e-02,-2.0811e+05,8.7222e-02,7.6114e+00,1.8210e+05,4.6366e+01,-2.5763e-02,-1.9234e+00,-2.5465e+00,-8.5320e-01,5.4966e-02,1.1316e+00,3.6252e+00,2.2196e+01
1.9000e+01,1.0000e+00,1.8646e+00,-2.0797e+05,-2.0797e+05,-1.8991e-02,-2.0797e+05,8.7270e-02,7.6199e+00,1.8209e+05,4.8859e+01,4.9438e-01,-1.1494e+00,-1.0819e+00,-1.9372e+00,-1.0124e+00,1.0421e+00,3.8630e+00,2.2622e+01
2.0000e+01,1.0000e+00,1.9608e+00,-2.0795e+05,-2.0796e+05,-1.9990e-02,-2.0796e+05,8.7276e-02,7.6209e+00,1.8195e+05,5.1465e+01,7.5362e-02,-9.1955e-01,-1.3992e+00,5.6167e-03,-5.0255e-01,2.0687e+00,3.9560e+00,2.3076e+01
