niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod
1.0000e+00,1.0000e+00,9.9900e-02,-1.9022e+05,-1.9023e+05,-9.9950e-04,-1.9023e+05,8.7167e-02,7.6019e+00,inf,2.0326e+00,-4.7506e-01,-6.7441e-01,-1.7931e+00,-8.5213e-01,1.7428e-01,8.6519e-01,3.9217e+00,2.2079e+01
2.0000e+00,1.0000e+00,1.9960e-01,-1.8986e+05,-1.8987e+05,-1.9990e-03,-1.8987e+05,8.7173e-02,7.6029e+00,1.7878e+05,4.5023e+00,9.5053e-02,-1.6297e+00,-1.9737e+00,8.7620e-02,1.5195e-01,9.8865e-01,3.8935e+00,2.2241e+01
3.0000e+00,1.0000e+00,2.9910e-01,-1.8966e+05,-1.8967e+05,-2.9985e-03,-1.8967e+05,8.7179e-02,7.6039e+00,1.7843e+05,6.9568e+00,2.0972e-02,-9.7862e-01,-2.1664e+00,4.2826e-02,2.3341e-02,2.6389e+00,3.8323e+00,2.2279e+01
4.0000e+00,1.0000e+00,3.9841e-01,-1.8962e+05,-1.8963e+05,-3.9980e-03,-1.8963e+05,8.7184e-02,7.6049e+00,1.7822e+05,9.4596e+00,2.6008e-01,-7.5109e-01,-1.8359e+00,-8.0546e-01,3.5279e-02,2.7850e-01,3.9489e+00,2.2425e+01
5.0000e+00,1.0000e+00,4.9751e-01,-1.8960e+05,-1.8961e+05,-4.9975e-03,-1.8961e+05,8.7190e-02,7.6059e+00,1.7818e+05,1.2209e+01,-4.8677e-01,-1.9150e+00,-1.9360e+00,-2.1246e+00,-6.3321e-02,1.8624e+00,3.7037e+00,2.2042e+01
6.0000e+00,1.0000e+00,5.9642e-01,-1.8952e+05,-1.8953e+05,-5.9970e-03,-1.8953e+05,8.7196e-02,7.6069e+00,1.7817e+05,1.4956e+01,2.3897e-01,-8.1129e-01,-1.8378e+00,-7.4322e-01,7.3261e-02,1.7166e+00,3.8893e+00,2.2337e+01
7.0000e+00,1.0000e+00,6.9513e-01,-1.8952e+05,-1.8953e+05,-6.9965e-03,-1.8952e+05,8.0912e-02,6.5501e+00,1.7808e+05,1.7759e+01,5.6838e-02,-5.9808e-01,-9.1222e-01,1.4162e-01,1.0630e+00,2.2494e+00,3.9024e+00,2.2225e+01
8.0000e+00,1.0000e+00,7.9365e-01,-1.8951e+05,-1.8952e+05,-7.9960e-03,-1.8952e+05,8.7171e-02,7.6027e+00,1.7808e+05,1.9787e+01,1.3385e-01,-1.1081e+00,-2.7310e+00,2.0117e-01,-2.9609e-01,1.2497e+00,3.8936e+00,2.2436e+01
9.0000e+00,1.0000e+00,8.9197e-01,-1.8941e+05,-1.8942e+05,-8.9955e-03,-1.8942e+05,8.7213e-02,7.6099e+00,1.7807e+05,2.2169e+01,4.8418e-01,-1.0842e+00,-1.6065e+00,-5.2893e-01,-5.3832e-02,6.7994e-01,3.9286e+00,2.2576e+01
1.0000e+01,1.0000e+00,9.9010e-01,-1.8938e+05,-1.8938e+05,-9.9950e-03,-1.8938e+05,8.7219e-02,7.6109e+00,1.7798e+05,2.4657e+01,-3.2988e-01,-9.2243e-01,-1.0613e+00,-1.8418e+00,1.0005e+00,2.1012e+00,3.7679e+00,2.2226e+01
