logfeh_mean,logdust,logNpix,tau,dmod,logl
-4.2202e-01,-1.8803e+00,2.5678e+00,3.8378e+00,2.6485e+01,9.8781e+05
-4.4158e-01,-1.8968e+00,2.5812e+00,3.6659e+00,2.6515e+01,9.8782e+05
-4.7526e-01,-1.6001e+00,2.6158e+00,3.8388e+00,2.6617e+01,9.8787e+05
-4.8550e-01,-1.6876e+00,2.6407e+00,3.7018e+00,2.6689e+01,9.8778e+05
-4.4908e-01,-1.7601e+00,2.5999e+00,3.7442e+00,2.6567e+01,9.8813e+05
-4.4867e-01,-1.8128e+00,2.6807e+00,3.8240e+00,2.6809e+01,9.8783e+05
-4.5329e-01,-1.8154e+00,2.5827e+00,3.7973e+00,2.6523e+01,9.8778e+05
-4.9749e-01,-1.7807e+00,2.6102e+00,3.7201e+00,2.6624e+01,9.8779e+05
-4.3855e-01,-1.8736e+00,2.6635e+00,3.8185e+00,2.6761e+01,9.8793e+05
-4.5083e-01,-1.9874e+00,2.5575e+00,3.5051e+00,2.6433e+01,9.8795e+05
-4.5499e-01,-1.9924e+00,2.5634e+00,3.7293e+00,2.6483e+01,9.8780e+05
-4.7318e-01,-1.8835e+00,2.5950e+00,3.5197e+00,2.6555e+01,9.8777e+05
-4.4184e-01,-1.6418e+00,2.6564e+00,4.0677e+00,2.6757e+01,9.8785e+05
-4.7681e-01,-1.5875e+00,2.6317e+00,3.9745e+00,2.6666e+01,9.8779e+05
-4.8146e-01,-1.6872e+00,2.6157e+00,3.6503e+00,2.6618e+01,9.8783e+05
-3.5926e-01,-1.8770e+00,2.5968e+00,4.1531e+00,2.6571e+01,9.8782e+05
-4.2941e-01,-1.7406e+00,2.5601e+00,3.8323e+00,2.6450e+01,9.8786e+05
-4.4712e-01,-1.8479e+00,2.6199e+00,3.8672e+00,2.6642e+01,9.8790e+05
-4.5227e-01,-1.9883e+00,2.5567e+00,3.4658e+00,2.6451e+01,9.8786e+05
-4.4813e-01,-1.7279e+00,2.5731e+00,3.8191e+00,2.6503e+01,9.8787e+05
-4.8193e-01,-1.7633e+00,2.7039e+00,3.7430e+00,2.6884e+01,9.8782e+05
-3.7937e-01,-1.8464e+00,2.5749e+00,4.1005e+00,2.6502e+01,9.8789e+05
-4.5678e-01,-1.9812e+00,2.6549e+00,3.7211e+00,2.6739e+01,9.8792e+05
-4.6591e-01,-1.9677e+00,2.6615e+00,3.6777e+00,2.6765e+01,9.8778e+05
-4.4284e-01,-1.9803e+00,2.6550e+00,3.6906e+00,2.6722e+01,9.8795e+05
-4.4856e-01,-1.4754e+00,2.6640e+00,4.4339e+00,2.6792e+01,9.8779e+05
-4.7933e-01,-1.8162e+00,2.6607e+00,3.7070e+00,2.6758e+01,9.8781e+05
-4.7960e-01,-1.7920e+00,2.6846e+00,3.7287e+00,2.6822e+01,9.8794e+05
-4.0783e-01,-1.8046e+00,2.5950e+00,3.9432e+00,2.6562e+01,9.8787e+05
-4.7041e-01,-1.5318e+00,2.6241e+00,4.1131e+00,2.6656e+01,9.8779e+05
-4.6592e-01,-1.6520e+00,2.6248e+00,3.9139e+00,2.6656e+01,9.8782e+05
-4.8992e-01,-1.7446e+00,2.6545e+00,3.6121e+00,2.6733e+01,9.8792e+05
