logfeh_mean,logdust,logNpix,tau,logl
1.1450e-01,-1.7069e+00,3.0494e+00,2.4171e+00,-1.1219e+03
1.3615e-01,-1.8855e+00,3.0491e+00,2.4322e+00,-1.1244e+03
1.3609e-01,-1.8273e+00,3.0485e+00,2.4954e+00,-1.1437e+03
1.4199e-01,-1.8803e+00,3.0524e+00,2.4069e+00,-1.1354e+03
1.4239e-01,-1.9871e+00,3.0481e+00,2.3971e+00,-1.1256e+03
1.0254e-01,-1.7310e+00,3.0462e+00,2.3301e+00,-1.1312e+03
1.3824e-01,-1.9173e+00,3.0510e+00,2.3927e+00,-1.1300e+03
1.1533e-01,-1.7160e+00,3.0477e+00,2.4453e+00,-1.1156e+03
1.3692e-01,-1.8757e+00,3.0498e+00,2.4206e+00,-1.1327e+03
1.1299e-01,-1.7772e+00,3.0443e+00,2.3789e+00,-1.1388e+03
8.6888e-02,-1.6623e+00,3.0448e+00,2.3354e+00,-1.1372e+03
1.1990e-01,-1.6966e+00,3.0469e+00,2.5169e+00,-1.1393e+03
1.2731e-01,-1.8045e+00,3.0480e+00,2.4052e+00,-1.1344e+03
1.3798e-01,-1.7974e+00,3.0519e+00,2.4559e+00,-1.1414e+03
1.2441e-01,-1.8229e+00,3.0494e+00,2.3762e+00,-1.1355e+03
1.4125e-01,-1.9877e+00,3.0502e+00,2.3483e+00,-1.1428e+03
1.3777e-01,-1.9118e+00,3.0499e+00,2.3947e+00,-1.1361e+03
1.4081e-01,-1.9852e+00,3.0513e+00,2.3411e+00,-1.1349e+03
1.3424e-01,-1.9346e+00,3.0493e+00,2.3511e+00,-1.1285e+03
1.3039e-01,-1.7623e+00,3.0512e+00,2.4530e+00,-1.1322e+03
1.3858e-01,-1.7975e+00,3.0503e+00,2.4987e+00,-1.1157e+03
1.2798e-01,-1.7861e+00,3.0482e+00,2.4282e+00,-1.1430e+03
1.4811e-01,-1.8877e+00,3.0515e+00,2.4520e+00,-1.0818e+03
1.3604e-01,-1.9345e+00,3.0486e+00,2.3921e+00,-1.1295e+03
1.4814e-01,-1.9819e+00,3.0511e+00,2.3723e+00,-1.1148e+03
1.3493e-01,-1.8300e+00,3.0477e+00,2.4598e+00,-1.1336e+03
1.3597e-01,-1.7616e+00,3.0487e+00,2.5393e+00,-1.1174e+03
1.1924e-01,-1.7747e+00,3.0474e+00,2.4000e+00,-1.1346e+03
1.3479e-01,-1.7486e+00,3.0506e+00,2.4930e+00,-1.1111e+03
1.3591e-01,-1.7419e+00,3.0485e+00,2.5287e+00,-1.1393e+03
1.3532e-01,-1.8566e+00,3.0501e+00,2.3948e+00,-1.1180e+03
1.3753e-01,-1.9067e+00,3.0486e+00,2.4313e+00,-1.1017e+03
1.3579e-01,-1.9831e+00,3.0464e+00,2.3512e+00,-1.1324e+03
1.3731e-01,-1.9483e+00,3.0483e+00,2.3694e+00,-1.1424e+03
1.2044e-01,-1.7736e+00,3.0484e+00,2.4053e+00,-1.1175e+03
1.3226e-01,-1.9614e+00,3.0476e+00,2.3304e+00,-1.1351e+03
1.5383e-01,-1.9849e+00,3.0484e+00,2.4625e+00,-1.1393e+03
1.3527e-01,-1.9494e+00,3.0472e+00,2.3606e+00,-1.0954e+03
1.5298e-01,-1.9801e+00,3.0504e+00,2.4616e+00,-1.1345e+03
1.2855e-01,-1.8758e+00,3.0490e+00,2.3278e+00,-1.1410e+03
1.2832e-01,-1.8445e+00,3.0479e+00,2.4049e+00,-1.1206e+03
1.2869e-01,-1.8321e+00,3.0488e+00,2.4023e+00,-1.1332e+03
1.0332e-01,-1.7093e+00,3.0473e+00,2.3490e+00,-1.1275e+03
1.2701e-01,-1.7964e+00,3.0482e+00,2.4459e+00,-1.0925e+03
1.2150e-01,-1.7543e+00,3.0481e+00,2.4176e+00,-1.1426e+03
1.3627e-01,-1.8540e+00,3.0473e+00,2.4698e+00,-1.1358e+03
1.4493e-01,-1.9817e+00,3.0506e+00,2.3874e+00,-1.1417e+03
1.2411e-01,-1.8492e+00,3.0509e+00,2.3151e+00,-1.1412e+03
1.2948e-01,-1.8495e+00,3.0482e+00,2.3944e+00,-1.0879e+03
1.1980e-01,-1.8348e+00,3.0477e+00,2.3543e+00,-1.1071e+03
1.2009e-01,-1.8166e+00,3.0479e+00,2.3566e+00,-1.1189e+03
1.2813e-01,-1.9431e+00,3.0482e+00,2.3132e+00,-1.1435e+03
1.4090e-01,-1.8784e+00,3.0508e+00,2.4456e+00,-1.1186e+03
1.2727e-01,-1.8886e+00,3.0473e+00,2.3779e+00,-1.1290e+03
8.4758e-02,-1.5909e+00,3.0467e+00,2.4012e+00,-1.1128e+03
1.3577e-01,-1.9054e+00,3.0494e+00,2.3790e+00,-1.1045e+03
1.5284e-01,-1.9757e+00,3.0509e+00,2.4116e+00,-1.1417e+03
1.5604e-01,-1.9511e+00,3.0528e+00,2.4408e+00,-1.1402e+03
1.3411e-01,-1.7880e+00,3.0477e+00,2.4686e+00,-1.0896e+03
1.1642e-01,-1.7378e+00,3.0473e+00,2.4120e+00,-1.1356e+03
1.1297e-01,-1.7206e+00,3.0453e+00,2.4346e+00,-1.1028e+03
1.2883e-01,-1.8871e+00,3.0452e+00,2.4121e+00,-1.1233e+03
1.4569e-01,-1.9818e+00,3.0501e+00,2.4039e+00,-1.1371e+03
9.3851e-02,-1.5980e+00,3.0480e+00,2.4415e+00,-1.1183e+03
1.2890e-01,-1.8614e+00,3.0499e+00,2.3515e+00,-1.1398e+03
1.3801e-01,-1.8839e+00,3.0482e+00,2.4160e+00,-1.1391e+03
1.4562e-01,-1.9335e+00,3.0516e+00,2.3998e+00,-1.1376e+03
1.3667e-01,-1.8744e+00,3.0492e+00,2.4174e+00,-1.1132e+03
1.2865e-01,-1.8060e+00,3.0504e+00,2.3891e+00,-1.1438e+03
1.2158e-01,-1.7735e+00,3.0463e+00,2.4445e+00,-1.1155e+03
1.5338e-01,-1.9799e+00,3.0510e+00,2.4482e+00,-1.1126e+03
1.2719e-01,-1.8270e+00,3.0470e+00,2.4102e+00,-1.1277e+03
1.3623e-01,-1.8240e+00,3.0475e+00,2.4686e+00,-1.1329e+03
1.2183e-01,-1.8090e+00,3.0468e+00,2.4014e+00,-1.1222e+03
1.2727e-01,-1.7716e+00,3.0490e+00,2.4430e+00,-1.1231e+03
1.4127e-01,-1.9914e+00,3.0500e+00,2.3392e+00,-1.1272e+03
1.2983e-01,-1.8676e+00,3.0489e+00,2.3732e+00,-1.1325e+03
1.5345e-01,-1.9376e+00,3.0509e+00,2.4540e+00,-1.0781e+03
1.2880e-01,-1.8302e+00,3.0487e+00,2.3860e+00,-1.1356e+03
1.1470e-01,-1.7588e+00,3.0451e+00,2.4036e+00,-1.1309e+03
1.2110e-01,-1.7061e+00,3.0460e+00,2.5290e+00,-1.1166e+03
1.3492e-01,-1.7882e+00,3.0500e+00,2.4757e+00,-1.1226e+03
