logfeh_mean,logdust,logNpix,tau,dmod,logl
1.5119e-01,-1.9866e+00,3.0465e+00,2.3807e+00,2.4402e+01,-1.1258e+03
1.4849e-01,-1.9852e+00,3.0567e+00,2.3974e+00,2.4435e+01,-1.1173e+03
1.5043e-01,-1.9251e+00,3.0336e+00,2.3864e+00,2.4364e+01,-1.1410e+03
1.4761e-01,-1.9599e+00,3.0267e+00,2.3504e+00,2.4348e+01,-1.0701e+03
1.4423e-01,-1.9177e+00,3.0240e+00,2.3870e+00,2.4347e+01,-1.1468e+03
1.2225e-01,-1.8720e+00,3.0512e+00,2.3074e+00,2.4423e+01,-1.1441e+03
1.4895e-01,-1.9716e+00,3.0354e+00,2.3761e+00,2.4375e+01,-1.0903e+03
1.4755e-01,-1.9968e+00,3.0277e+00,2.3364e+00,2.4355e+01,-1.1206e+03
1.4908e-01,-1.9033e+00,3.0342e+00,2.3890e+00,2.4370e+01,-1.1441e+03
1.5138e-01,-1.8945e+00,3.0386e+00,2.4883e+00,2.4387e+01,-1.1420e+03
7.0277e-02,-1.5406e+00,3.0559e+00,2.4331e+00,2.4451e+01,-1.1496e+03
1.2950e-01,-1.8628e+00,3.0539e+00,2.3578e+00,2.4434e+01,-1.1552e+03
1.2970e-01,-1.8082e+00,3.0391e+00,2.4217e+00,2.4395e+01,-1.1201e+03
1.2590e-01,-1.8050e+00,3.0380e+00,2.3814e+00,2.4388e+01,-1.1552e+03
5.4637e-02,-1.4627e+00,3.0486e+00,2.4605e+00,2.4439e+01,-1.1556e+03
1.1856e-01,-1.8713e+00,3.0573e+00,2.3026e+00,2.4443e+01,-1.1216e+03
1.1462e-01,-1.7320e+00,3.0444e+00,2.4298e+00,2.4411e+01,-1.1138e+03
1.5133e-01,-1.9507e+00,3.0329e+00,2.3992e+00,2.4370e+01,-1.1137e+03
2.2436e-02,-1.3846e+00,3.0728e+00,2.5387e+00,2.4519e+01,-1.1501e+03
1.6830e-01,-1.9666e+00,3.0488e+00,2.5393e+00,2.4414e+01,-1.1413e+03
1.3761e-01,-1.9346e+00,3.0435e+00,2.3967e+00,2.4410e+01,-1.0910e+03
1.4952e-01,-1.9427e+00,3.0248e+00,2.4194e+00,2.4346e+01,-1.1366e+03
8.0177e-02,-1.6482e+00,3.0428e+00,2.3100e+00,2.4412e+01,-1.1518e+03
1.4133e-01,-1.9362e+00,3.0433e+00,2.4204e+00,2.4412e+01,-1.1064e+03
1.5351e-01,-1.9749e+00,3.0298e+00,2.4126e+00,2.4360e+01,-1.1357e+03
1.1778e-01,-1.7705e+00,3.0398e+00,2.3850e+00,2.4398e+01,-1.1496e+03
1.4381e-01,-1.8582e+00,3.0214e+00,2.4373e+00,2.4338e+01,-1.1155e+03
1.3822e-01,-1.9040e+00,3.0471e+00,2.3803e+00,2.4409e+01,-1.1504e+03
1.6301e-01,-1.9772e+00,3.0282e+00,2.4647e+00,2.4356e+01,-1.1554e+03
1.3379e-01,-1.8836e+00,3.0521e+00,2.3806e+00,2.4426e+01,-1.1551e+03
1.2767e-01,-1.8110e+00,3.0457e+00,2.4258e+00,2.4412e+01,-1.1319e+03
1.5734e-01,-1.9563e+00,3.0229e+00,2.4564e+00,2.4345e+01,-1.1249e+03
1.5169e-01,-1.9294e+00,3.0332e+00,2.4192e+00,2.4368e+01,-1.1065e+03
1.0679e-01,-1.6594e+00,3.0259e+00,2.4288e+00,2.4362e+01,-1.1307e+03
1.5649e-01,-1.9316e+00,3.0299e+00,2.4060e+00,2.4356e+01,-1.1309e+03
3.1546e-02,-1.4463e+00,3.0813e+00,2.4046e+00,2.4534e+01,-1.1557e+03
1.0369e-01,-1.7993e+00,3.0585e+00,2.2717e+00,2.4452e+01,-1.1434e+03
1.2770e-01,-1.8134e+00,3.0478e+00,2.4297e+00,2.4420e+01,-1.1109e+03
1.1594e-01,-1.7861e+00,3.0576e+00,2.4126e+00,2.4449e+01,-1.1207e+03
