niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod
1.0000e+00,1.0000e+00,1.9960e-01,-1.6588e+05,-1.6589e+05,-1.9980e-03,-1.6589e+05,1.1750e-01,6.9098e+00,inf,1.0432e+03,-3.7305e-01,-9.3683e-01,2.9814e-01,1.7511e+00,2.1017e+00,3.9186e+00,4.0197e+00,2.9633e+01
2.0000e+00,1.0000e+00,3.9841e-01,-1.6574e+05,-1.6574e+05,-3.9960e-03,-1.6574e+05,1.1751e-01,6.9118e+00,1.3294e+05,1.0451e+03,1.1328e-01,-1.8827e-02,9.3829e-01,1.4275e+00,3.4878e+00,3.4184e+00,4.6955e+00,2.9913e+01
3.0000e+00,1.0000e+00,5.9642e-01,-1.6548e+05,-1.6548e+05,-5.9940e-03,-1.6548e+05,1.1753e-01,6.9138e+00,1.3279e+05,1.0470e+03,1.7878e-01,-2.6856e-01,7.7033e-01,2.2102e+00,2.0339e+00,3.1264e+00,5.0522e+00,2.9779e+01
4.0000e+00,1.0000e+00,7.9365e-01,-1.6524e+05,-1.6525e+05,-7.9920e-03,-1.6525e+05,1.1755e-01,6.9157e+00,1.3253e+05,1.0493e+03,-4.1444e-01,-2.9465e-01,9.5315e-01,2.1121e+00,2.5034e+00,4.2452e+00,4.0027e+00,2.9884e+01
5.0000e+00,1.0000e+00,9.9010e-01,-1.6521e+05,-1.6522e+05,-9.9900e-03,-1.6522e+05,1.1757e-01,6.9177e+00,1.3229e+05,1.0513e+03,-4.5041e-02,-2.9213e-01,8.6209e-01,2.1579e+00,2.4784e+00,3.9832e+00,4.0371e+00,2.9768e+01
6.0000e+00,1.0000e+00,1.1858e+00,-1.6519e+05,-1.6520e+05,-1.1988e-02,-1.6520e+05,1.1758e-01,6.9197e+00,1.3227e+05,1.0536e+03,-4.5170e-01,-3.2462e-01,8.6487e-01,1.9990e+00,2.9147e+00,4.7844e+00,4.1520e+00,2.9992e+01
7.0000e+00,1.0000e+00,1.3807e+00,-1.6519e+05,-1.6519e+05,-1.3986e-02,-1.6519e+05,1.1727e-01,6.8825e+00,1.3225e+05,1.0559e+03,-3.8936e-01,-4.1995e-01,4.0067e-01,2.1768e+00,3.5946e+00,3.7597e+00,4.6107e+00,2.9591e+01
8.0000e+00,1.0000e+00,1.5748e+00,-1.6513e+05,-1.6513e+05,-1.5984e-02,-1.6513e+05,1.1762e-01,6.9237e+00,1.3224e+05,1.0578e+03,-3.4372e-01,-8.3213e-01,5.2113e-01,2.1719e+00,1.8852e+00,3.7382e+00,5.1564e+00,2.9969e+01
9.0000e+00,1.0000e+00,1.7682e+00,-1.6505e+05,-1.6506e+05,-1.7982e-02,-1.6506e+05,1.1763e-01,6.9257e+00,1.3218e+05,1.0598e+03,-1.4054e-01,-5.4972e-01,9.6387e-01,1.7010e+00,2.6608e+00,3.5366e+00,4.7560e+00,2.9678e+01
1.0000e+01,1.0000e+00,1.9608e+00,-1.6502e+05,-1.6502e+05,-1.9980e-02,-1.6502e+05,1.1765e-01,6.9277e+00,1.3210e+05,1.0619e+03,2.2095e-01,-5.8223e-01,4.9374e-01,2.5682e+00,3.0521e+00,3.6181e+00,4.5104e+00,2.9026e+01
1.1000e+01,1.0000e+00,2.1526e+00,-1.6498e+05,-1.6499e+05,-2.1978e-02,-1.6499e+05,1.1767e-01,6.9297e+00,1.3207e+05,1.0642e+03,2.3696e-01,-7.0659e-01,3.4642e-01,3.1353e+00,3.1738e+00,3.7998e+00,5.0222e+00,2.9387e+01
1.2000e+01,1.0000e+00,2.3438e+00,-1.6497e+05,-1.6498e+05,-2.3976e-02,-1.6498e+05,1.1768e-01,6.9315e+00,1.3203e+05,1.0666e+03,1.1779e-01,-5.3243e-01,9.1109e-01,3.1069e+00,3.7515e+00,4.4512e+00,4.2135e+00,2.9645e+01
1.3000e+01,2.0000e+00,2.5292e+00,-1.6496e+05,-1.6496e+05,-2.5974e-02,-1.6496e+05,1.1770e-01,6.9337e+00,1.3202e+05,1.0704e+03,2.2196e-01,-4.8036e-01,6.4927e-01,3.0164e+00,2.3246e+00,3.3859e+00,5.3860e+00,2.9869e+01
1.4000e+01,1.0000e+00,2.7184e+00,-1.6494e+05,-1.6495e+05,-2.7972e-02,-1.6495e+05,1.1772e-01,6.9357e+00,1.3201e+05,1.0728e+03,-1.0881e-01,-8.9732e-01,3.3847e-01,1.9234e+00,2.9958e+00,4.7841e+00,4.0478e+00,2.9475e+01
1.5000e+01,1.0000e+00,2.9070e+00,-1.6492e+05,-1.6492e+05,-2.9970e-02,-1.6492e+05,1.1774e-01,6.9377e+00,1.3199e+05,1.0747e+03,-1.1280e-01,-3.0079e-01,8.3097e-01,2.9894e+00,3.6879e+00,4.6458e+00,4.4580e+00,2.9692e+01
1.6000e+01,1.0000e+00,3.0948e+00,-1.6486e+05,-1.6487e+05,-3.1968e-02,-1.6487e+05,1.1775e-01,6.9397e+00,1.3197e+05,1.0767e+03,-3.6919e-01,-6.4866e-01,1.0928e+00,1.5020e+00,3.4295e+00,3.3403e+00,4.6922e+00,2.9956e+01
