niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust_med,logNpix,tau,dmod
1.0000e+00,1.0000e+00,1.9960e-01,-1.7473e+05,-1.7474e+05,-1.9980e-03,-1.7474e+05,1.1750e-01,6.9098e+00,inf,1.4138e+03,2.4586e-01,-8.2126e-01,1.0488e+00,3.7103e+00,2.9659e+01
2.0000e+00,1.0000e+00,3.9841e-01,-1.7306e+05,-1.7307e+05,-3.9960e-03,-1.7307e+05,1.1751e-01,6.9118e+00,1.7297e+05,1.4170e+03,-2.8443e-01,-1.9472e-01,1.2248e+00,2.2977e+00,2.9684e+01
3.0000e+00,1.0000e+00,5.9642e-01,-1.7208e+05,-1.7208e+05,-5.9940e-03,-1.7208e+05,1.1753e-01,6.9138e+00,1.7130e+05,1.4201e+03,-2.6484e-01,-4.3169e-01,1.1343e+00,7.8170e+00,2.9853e+01
4.0000e+00,1.0000e+00,7.9365e-01,-1.7178e+05,-1.7179e+05,-7.9920e-03,-1.7179e+05,1.1755e-01,6.9157e+00,1.7031e+05,1.4229e+03,-4.3097e-01,-1.1221e-01,1.0658e+00,6.9250e+00,2.9494e+01
5.0000e+00,1.0000e+00,9.9010e-01,-1.7162e+05,-1.7163e+05,-9.9900e-03,-1.7163e+05,1.1757e-01,6.9177e+00,1.7002e+05,1.4256e+03,-7.9103e-02,-4.9692e-01,1.0551e+00,6.2053e+00,2.9413e+01
6.0000e+00,1.0000e+00,1.1858e+00,-1.7137e+05,-1.7138e+05,-1.1988e-02,-1.7138e+05,1.1758e-01,6.9197e+00,1.6986e+05,1.4283e+03,-2.2634e-01,-3.8460e-01,1.3015e+00,3.0137e+00,2.9666e+01
7.0000e+00,1.0000e+00,1.3807e+00,-1.7014e+05,-1.7015e+05,-1.3986e-02,-1.7015e+05,1.1760e-01,6.9217e+00,1.6961e+05,1.4314e+03,-8.0179e-02,-1.6225e-01,1.2245e+00,7.1699e+00,2.9479e+01
8.0000e+00,1.0000e+00,1.5748e+00,-1.6979e+05,-1.6980e+05,-1.5984e-02,-1.6980e+05,1.1762e-01,6.9237e+00,1.6838e+05,1.4340e+03,-6.3417e-02,-9.3225e-01,1.0238e+00,3.7973e+00,2.8951e+01
9.0000e+00,1.0000e+00,1.7682e+00,-1.6940e+05,-1.6941e+05,-1.7982e-02,-1.6941e+05,1.1763e-01,6.9257e+00,1.6803e+05,1.4367e+03,-4.8756e-01,-4.6449e-01,1.1828e+00,1.3164e+00,2.9215e+01
1.0000e+01,1.0000e+00,1.9608e+00,-1.6863e+05,-1.6864e+05,-1.9980e-02,-1.6864e+05,1.1765e-01,6.9277e+00,1.6764e+05,1.4398e+03,-1.4167e-01,-6.9331e-01,1.2264e+00,7.5010e+00,2.9520e+01
1.1000e+01,1.0000e+00,2.1526e+00,-1.6807e+05,-1.6808e+05,-2.1978e-02,-1.6808e+05,1.1767e-01,6.9297e+00,1.6687e+05,1.4425e+03,7.6059e-02,-6.9710e-01,1.0607e+00,3.7606e+00,2.8517e+01
1.2000e+01,1.0000e+00,2.3438e+00,-1.6803e+05,-1.6804e+05,-2.3976e-02,-1.6804e+05,1.1768e-01,6.9317e+00,1.6631e+05,1.4452e+03,7.3517e-02,-6.4068e-01,1.3520e+00,5.8636e+00,2.9405e+01
1.3000e+01,1.0000e+00,2.5341e+00,-1.6802e+05,-1.6803e+05,-2.5974e-02,-1.6803e+05,1.1768e-01,6.9310e+00,1.6627e+05,1.4478e+03,-2.2276e-01,-3.9567e-01,1.4124e+00,6.4388e+00,2.9728e+01
1.4000e+01,1.0000e+00,2.7237e+00,-1.6770e+05,-1.6771e+05,-2.7972e-02,-1.6771e+05,1.1772e-01,6.9357e+00,1.6626e+05,1.4509e+03,-4.5959e-01,-5.4835e-01,4.9280e+00,1.0791e+00,2.5597e+01
1.5000e+01,1.0000e+00,2.9126e+00,-1.6714e+05,-1.6715e+05,-2.9970e-02,-1.6715e+05,1.1774e-01,6.9377e+00,1.6594e+05,1.4540e+03,-1.6730e-01,-1.8999e-01,1.4155e+00,1.9169e+00,2.8959e+01
1.6000e+01,1.0000e+00,3.1008e+00,-1.6679e+05,-1.6680e+05,-3.1968e-02,-1.6680e+05,1.1775e-01,6.9397e+00,1.6538e+05,1.4571e+03,-4.6806e-01,-7.5220e-01,1.1801e+00,5.6731e+00,2.9174e+01
1.7000e+01,1.0000e+00,3.2882e+00,-1.6635e+05,-1.6636e+05,-3.3966e-02,-1.6636e+05,1.1777e-01,6.9417e+00,1.6503e+05,1.4602e+03,2.0828e-01,-6.7674e-01,1.3898e+00,7.5844e+00,2.9285e+01
1.8000e+01,1.0000e+00,3.4749e+00,-1.6623e+05,-1.6624e+05,-3.5964e-02,-1.6624e+05,1.1779e-01,6.9437e+00,1.6459e+05,1.4635e+03,-1.9280e-01,-9.9428e-01,4.8161e+00,4.8815e+00,2.5033e+01
1.9000e+01,1.0000e+00,3.6609e+00,-1.6608e+05,-1.6608e+05,-3.7962e-02,-1.6608e+05,1.1780e-01,6.9457e+00,1.6447e+05,1.4666e+03,-4.1533e-01,-5.6196e-01,1.2843e+00,6.5483e+00,2.9331e+01
2.0000e+01,1.0000e+00,3.8462e+00,-1.6602e+05,-1.6603e+05,-3.9960e-02,-1.6603e+05,1.1782e-01,6.9477e+00,1.6431e+05,1.4699e+03,-4.9429e-01,-1.0366e-01,4.9902e+00,6.4674e+00,2.5151e+01
2.1000e+01,1.0000e+00,4.0307e+00,-1.6598e+05,-1.6599e+05,-4.1958e-02,-1.6599e+05,1.1784e-01,6.9497e+00,1.6426e+05,1.4725e+03,-3.8355e-01,-6.3901e-01,4.8203e+00,1.1283e+00,2.6364e+01
2.2000e+01,1.0000e+00,4.2146e+00,-1.6597e+05,-1.6598e+05,-4.3956e-02,-1.6598e+05,1.1785e-01,6.9513e+00,1.6422e+05,1.4756e+03,1.3455e-01,-8.1674e-01,4.6519e+00,9.1885e-01,2.5634e+01
2.3000e+01,1.0000e+00,4.3977e+00,-1.6596e+05,-1.6597e+05,-4.5954e-02,-1.6597e+05,1.1783e-01,6.9490e+00,1.6421e+05,1.4783e+03,3.6245e-02,-2.7591e-01,1.0747e+00,2.3579e+00,2.7902e+01
