logfeh_mean,logdust,logNpix,tau,logl
-4.8687e-01,-1.9366e+00,1.2182e+00,4.4732e+00,-4.5501e+04
-4.9117e-01,-1.9228e+00,1.2125e+00,4.4358e+00,-4.5563e+04
-4.9493e-01,-1.9715e+00,1.2205e+00,4.2104e+00,-4.5379e+04
-4.9116e-01,-1.9929e+00,1.2428e+00,3.8002e+00,-4.5470e+04
-4.9432e-01,-1.9883e+00,1.2221e+00,4.1743e+00,-4.5548e+04
-4.9858e-01,-1.9938e+00,1.2089e+00,4.4980e+00,-4.5563e+04
-4.8842e-01,-1.9814e+00,1.2171e+00,4.4218e+00,-4.5477e+04
-4.9283e-01,-1.8869e+00,1.2161e+00,4.5543e+00,-4.5411e+04
-4.9548e-01,-1.9734e+00,1.2109e+00,4.4694e+00,-4.5413e+04
-4.9359e-01,-1.9755e+00,1.2114e+00,4.4416e+00,-4.5555e+04
-4.9409e-01,-1.9640e+00,1.2129e+00,4.4533e+00,-4.5449e+04
-4.8775e-01,-1.9600e+00,1.2185e+00,4.4731e+00,-4.5545e+04
-4.9317e-01,-1.9958e+00,1.2127e+00,4.4393e+00,-4.5333e+04
-4.8894e-01,-1.9024e+00,1.2228e+00,4.4983e+00,-4.5512e+04
-4.8833e-01,-1.9639e+00,1.2242e+00,4.2969e+00,-4.5404e+04
-4.9931e-01,-1.9442e+00,1.2218e+00,4.2716e+00,-4.5562e+04
-4.9343e-01,-1.9197e+00,1.2120e+00,4.6412e+00,-4.5392e+04
-4.9772e-01,-1.9386e+00,1.2017e+00,4.6964e+00,-4.5304e+04
-4.9715e-01,-1.9067e+00,1.2131e+00,4.4682e+00,-4.5503e+04
-4.9701e-01,-1.8984e+00,1.2217e+00,4.2172e+00,-4.5457e+04
-4.9242e-01,-1.9913e+00,1.2081e+00,4.4819e+00,-4.5508e+04
-4.9329e-01,-1.9605e+00,1.2120e+00,4.4437e+00,-4.5501e+04
-4.9623e-01,-1.9703e+00,1.2207e+00,4.2277e+00,-4.5406e+04
-4.9228e-01,-1.9011e+00,1.2162e+00,4.5238e+00,-4.5523e+04
-4.9692e-01,-1.9482e+00,1.2213e+00,4.3218e+00,-4.5330e+04
-4.8819e-01,-1.9981e+00,1.2076e+00,4.4811e+00,-4.5485e+04
-4.9650e-01,-1.9448e+00,1.2118e+00,4.5417e+00,-4.5547e+04
-4.8880e-01,-1.9781e+00,1.2116e+00,4.5561e+00,-4.5297e+04
-4.9890e-01,-1.9760e+00,1.2165e+00,4.2980e+00,-4.5413e+04
-4.8827e-01,-1.9339e+00,1.2090e+00,4.5170e+00,-4.5369e+04
-4.9173e-01,-1.9682e+00,1.2102e+00,4.5303e+00,-4.5523e+04
-4.8674e-01,-1.9835e+00,1.2173e+00,4.5117e+00,-4.5563e+04
-4.9541e-01,-1.9952e+00,1.2152e+00,4.5419e+00,-4.5449e+04
-4.9458e-01,-1.9006e+00,1.2091e+00,4.6990e+00,-4.5514e+04
-4.9882e-01,-1.9805e+00,1.2212e+00,4.3187e+00,-4.5084e+04
