nlive,niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logNpix,tau,dmod
2.0000e+03,1.0000e+00,1.0000e+00,1.9960e-01,-5.7104e+05,-5.7105e+05,-1.9980e-03,-5.7105e+05,1.1750e-01,6.9098e+00,inf,1.1814e+03,-4.5959e-01,-5.4835e-01,4.9280e+00,1.0791e+00,2.2716e+01
2.0000e+03,2.0000e+00,1.0000e+00,3.9841e-01,-5.6758e+05,-5.6759e+05,-3.9960e-03,-5.6759e+05,1.1751e-01,6.9118e+00,5.5331e+05,1.1838e+03,1.3455e-01,-8.1674e-01,4.6519e+00,9.1885e-01,2.2761e+01
2.0000e+03,3.0000e+00,1.0000e+00,5.9642e-01,-5.6718e+05,-5.6718e+05,-5.9940e-03,-5.6718e+05,1.1753e-01,6.9137e+00,5.4985e+05,1.1861e+03,-3.8355e-01,-6.3901e-01,4.8203e+00,1.1283e+00,2.3637e+01
2.0000e+03,4.0000e+00,1.0000e+00,7.9365e-01,-5.6570e+05,-5.6570e+05,-7.9920e-03,-5.6570e+05,1.1755e-01,6.9157e+00,5.4944e+05,1.1884e+03,-4.2640e-01,-5.6177e-01,4.7899e+00,4.2860e-01,2.3865e+01
2.0000e+03,5.0000e+00,1.0000e+00,9.9010e-01,-5.6525e+05,-5.6526e+05,-9.9900e-03,-5.6526e+05,1.1757e-01,6.9177e+00,5.4796e+05,1.1908e+03,-7.2719e-02,-1.1066e-01,4.6726e+00,1.3038e+00,2.2714e+01
2.0000e+03,6.0000e+00,1.0000e+00,1.1858e+00,-5.6465e+05,-5.6465e+05,-1.1988e-02,-5.6465e+05,1.1758e-01,6.9198e+00,5.4751e+05,1.1932e+03,1.1176e-01,-2.6356e-02,4.6825e+00,8.8194e-01,2.2711e+01
2.0000e+03,7.0000e+00,1.0000e+00,1.3807e+00,-5.6429e+05,-5.6430e+05,-1.3986e-02,-5.6430e+05,1.1760e-01,6.9218e+00,5.4691e+05,1.1955e+03,-1.1027e-01,-7.9221e-01,4.5004e+00,1.8708e+00,2.2832e+01
2.0000e+03,8.0000e+00,1.0000e+00,1.5748e+00,-5.6308e+05,-5.6309e+05,-1.5984e-02,-5.6309e+05,1.1762e-01,6.9238e+00,5.4655e+05,1.1979e+03,1.0429e-01,-5.1573e-01,4.5067e+00,1.3026e+00,2.3318e+01
2.0000e+03,9.0000e+00,1.0000e+00,1.7682e+00,-5.6307e+05,-5.6307e+05,-1.7982e-02,-5.6307e+05,1.1763e-01,6.9253e+00,5.4534e+05,1.2003e+03,2.3054e-01,-2.4578e-01,4.6667e+00,3.9785e-01,2.3715e+01
2.0000e+03,1.0000e+01,1.0000e+00,1.9608e+00,-5.6258e+05,-5.6259e+05,-1.9980e-02,-5.6259e+05,1.1765e-01,6.9277e+00,5.4533e+05,1.2026e+03,-4.9339e-01,-3.8030e-01,4.6495e+00,1.7795e+00,2.3933e+01
