niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust_med,logNpix,tau,dmod
1.0000e+00,1.0000e+00,1.9960e-01,-1.7251e+05,-1.7252e+05,-1.9980e-03,-1.7252e+05,1.1750e-01,6.9098e+00,inf,1.4090e+03,-2.8443e-01,-1.9472e-01,4.1686e+00,2.2977e+00,2.9684e+01
2.0000e+00,1.0000e+00,3.9841e-01,-1.7164e+05,-1.7165e+05,-3.9960e-03,-1.7165e+05,1.1751e-01,6.9118e+00,7.6009e+04,1.4121e+03,-4.8756e-01,-4.6449e-01,4.1371e+00,1.3164e+00,2.9215e+01
3.0000e+00,1.0000e+00,5.9642e-01,-1.7151e+05,-1.7152e+05,-5.9940e-03,-1.7152e+05,1.1753e-01,6.9138e+00,7.5142e+04,1.4148e+03,-2.2634e-01,-3.8460e-01,4.2261e+00,3.0137e+00,2.9666e+01
4.0000e+00,1.0000e+00,7.9365e-01,-1.7141e+05,-1.7142e+05,-7.9920e-03,-1.7142e+05,1.1755e-01,6.9157e+00,7.5013e+04,1.4172e+03,2.4586e-01,-8.2126e-01,4.0366e+00,3.7103e+00,2.9659e+01
5.0000e+00,1.0000e+00,9.9010e-01,-1.7109e+05,-1.7110e+05,-9.9900e-03,-1.7110e+05,1.1757e-01,6.9177e+00,7.4910e+04,1.4198e+03,-1.6730e-01,-1.8999e-01,4.3116e+00,1.9169e+00,2.8959e+01
6.0000e+00,1.0000e+00,1.1858e+00,-1.7106e+05,-1.7107e+05,-1.1988e-02,-1.7107e+05,1.1758e-01,6.9197e+00,7.4592e+04,1.4223e+03,-4.8098e-01,-6.7618e-01,4.2787e+00,1.5554e+00,2.9147e+01
7.0000e+00,1.0000e+00,1.3807e+00,-1.7073e+05,-1.7074e+05,-1.3986e-02,-1.7074e+05,1.1760e-01,6.9217e+00,7.4558e+04,1.4255e+03,7.1480e-02,-5.7479e-01,4.4167e+00,1.8079e+00,2.8824e+01
8.0000e+00,1.0000e+00,1.5748e+00,-1.7003e+05,-1.7004e+05,-1.5984e-02,-1.7004e+05,1.1762e-01,6.9237e+00,7.4231e+04,1.4282e+03,2.3087e-01,-3.3221e-01,4.7670e+00,9.5566e-01,2.8881e+01
9.0000e+00,1.0000e+00,1.7682e+00,-1.6992e+05,-1.6993e+05,-1.7982e-02,-1.6993e+05,1.1763e-01,6.9257e+00,7.3527e+04,1.4308e+03,1.9785e-01,-9.8931e-01,4.2792e+00,1.1593e+00,2.8137e+01
1.0000e+01,1.0000e+00,1.9608e+00,-1.6991e+05,-1.6992e+05,-1.9980e-02,-1.6992e+05,1.1765e-01,6.9276e+00,7.3419e+04,1.4337e+03,-3.5194e-01,-5.1973e-01,4.8311e+00,1.8282e-01,2.9439e+01
1.1000e+01,1.0000e+00,2.1526e+00,-1.6987e+05,-1.6987e+05,-2.1978e-02,-1.6987e+05,1.1767e-01,6.9297e+00,7.3407e+04,1.4361e+03,-3.8464e-01,-2.2278e-01,4.1769e+00,7.2507e-01,2.8321e+01
1.2000e+01,1.0000e+00,2.3438e+00,-1.6984e+05,-1.6984e+05,-2.3976e-02,-1.6984e+05,1.1768e-01,6.9317e+00,7.3365e+04,1.4388e+03,1.2629e-01,-2.0750e-01,4.9877e+00,2.9219e+00,2.9801e+01
1.3000e+01,1.0000e+00,2.5341e+00,-1.6978e+05,-1.6978e+05,-2.5974e-02,-1.6978e+05,1.1770e-01,6.9337e+00,7.3334e+04,1.4412e+03,-3.5736e-01,-9.9139e-01,4.3826e+00,9.9163e-01,2.8652e+01
1.4000e+01,1.0000e+00,2.7237e+00,-1.6962e+05,-1.6963e+05,-2.7972e-02,-1.6963e+05,1.1772e-01,6.9357e+00,7.3276e+04,1.4443e+03,8.9289e-02,-8.5502e-01,4.2625e+00,2.1284e+00,2.8201e+01
1.5000e+01,1.0000e+00,2.9126e+00,-1.6946e+05,-1.6947e+05,-2.9970e-02,-1.6947e+05,1.1774e-01,6.9377e+00,7.3120e+04,1.4472e+03,-6.3417e-02,-9.3225e-01,4.0179e+00,3.7973e+00,2.8951e+01
1.6000e+01,1.0000e+00,3.1008e+00,-1.6933e+05,-1.6934e+05,-3.1968e-02,-1.6934e+05,1.1775e-01,6.9397e+00,7.2958e+04,1.4505e+03,3.6245e-02,-2.7591e-01,4.0560e+00,2.3579e+00,2.7902e+01
1.7000e+01,1.0000e+00,3.2882e+00,-1.6920e+05,-1.6921e+05,-3.3966e-02,-1.6921e+05,1.1777e-01,6.9417e+00,7.2829e+04,1.4535e+03,-1.0522e-01,-9.8257e-01,5.2522e+00,8.0328e-01,2.9936e+01
