niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust_med,logNpix,tau,dmod
1.0000e+00,1.0000e+00,1.9960e-01,-1.8595e+06,-1.8595e+06,-1.9980e-03,-inf,1.1750e-01,6.9098e+00,inf,1.0315e+03,-4.9429e-01,-1.0366e-01,4.9902e+00,6.4674e+00,2.4181e+01
2.0000e+00,1.0000e+00,3.9841e-01,-1.8590e+06,-1.8590e+06,-3.9960e-03,-inf,1.1752e-01,6.9118e+00,inf,1.0338e+03,-1.9280e-01,-9.9428e-01,4.8161e+00,4.8815e+00,2.4039e+01
3.0000e+00,1.0000e+00,5.9642e-01,-1.8582e+06,-1.8582e+06,-5.9940e-03,-inf,1.1753e-01,6.9139e+00,inf,1.0360e+03,1.9374e-01,-4.7087e-01,4.8847e+00,4.4233e+00,2.4039e+01
4.0000e+00,1.0000e+00,7.9365e-01,-1.8576e+06,-1.8576e+06,-7.9920e-03,-inf,1.1755e-01,6.9159e+00,inf,1.0379e+03,-4.9299e-01,-9.9351e-02,4.9090e+00,4.4995e+00,2.4509e+01
5.0000e+00,1.0000e+00,9.9010e-01,-1.8573e+06,-1.8573e+06,-9.9900e-03,-inf,1.1757e-01,6.9179e+00,inf,1.0398e+03,-4.5959e-01,-5.4835e-01,4.9280e+00,1.0791e+00,2.4716e+01
6.0000e+00,1.0000e+00,1.1858e+00,-1.8570e+06,-1.8570e+06,-1.1988e-02,-inf,1.1758e-01,6.9196e+00,inf,1.0417e+03,-3.5092e-01,-5.5605e-01,4.6991e+00,5.4043e+00,2.4489e+01
7.0000e+00,1.0000e+00,1.3807e+00,-1.8569e+06,-1.8569e+06,-1.3986e-02,-inf,1.1760e-01,6.9216e+00,inf,1.0440e+03,1.8669e-01,-8.2228e-01,4.9284e+00,5.2696e+00,2.4852e+01
8.0000e+00,1.0000e+00,1.5748e+00,-1.8561e+06,-1.8561e+06,-1.5984e-02,-inf,1.1762e-01,6.9236e+00,inf,1.0459e+03,-1.0495e-01,-3.7027e-01,4.5261e+00,5.1650e+00,2.4136e+01
9.0000e+00,1.0000e+00,1.7682e+00,-1.8561e+06,-1.8561e+06,-1.7982e-02,-inf,1.1764e-01,6.9260e+00,inf,1.0478e+03,-3.5362e-01,-9.4261e-01,4.6590e+00,6.6623e+00,2.4954e+01
1.0000e+01,1.0000e+00,1.9608e+00,-1.8559e+06,-1.8559e+06,-1.9980e-02,-inf,1.1765e-01,6.9277e+00,inf,1.0501e+03,2.4586e-01,-8.2126e-01,1.0488e+00,3.7103e+00,2.9591e+01
1.1000e+01,1.0000e+00,2.1526e+00,-1.8557e+06,-1.8557e+06,-2.1978e-02,-inf,1.1767e-01,6.9297e+00,inf,1.0520e+03,-4.5509e-02,-3.5203e-02,4.8704e+00,7.4472e+00,2.5108e+01
1.2000e+01,1.0000e+00,2.3438e+00,-1.8551e+06,-1.8551e+06,-2.3976e-02,-inf,1.1768e-01,6.9318e+00,inf,1.0539e+03,-1.8379e-01,-6.7835e-02,4.4705e+00,3.6169e+00,2.4175e+01
1.3000e+01,1.0000e+00,2.5341e+00,-1.8549e+06,-1.8549e+06,-2.5974e-02,-inf,1.1770e-01,6.9338e+00,inf,1.0558e+03,-2.8443e-01,-1.9472e-01,1.2248e+00,2.2977e+00,2.9620e+01
1.4000e+01,1.0000e+00,2.7237e+00,-1.8549e+06,-1.8549e+06,-2.7972e-02,-inf,1.1317e-01,6.4099e+00,inf,1.0580e+03,4.9953e-02,-9.3448e-01,4.2620e+00,6.8922e+00,2.4190e+01
1.5000e+01,1.0000e+00,2.9126e+00,-1.8549e+06,-1.8549e+06,-2.9970e-02,-inf,1.1774e-01,6.9379e+00,inf,1.0603e+03,-4.7052e-01,-5.6822e-01,4.4171e+00,3.4364e+00,2.4531e+01
1.6000e+01,1.0000e+00,3.1008e+00,-1.8549e+06,-1.8549e+06,-3.1968e-02,-inf,1.1775e-01,6.9399e+00,inf,1.0626e+03,1.3455e-01,-8.1674e-01,4.6519e+00,9.1885e-01,2.4761e+01
1.7000e+01,1.0000e+00,3.2882e+00,-1.8548e+06,-1.8548e+06,-3.3966e-02,-inf,1.1777e-01,6.9415e+00,inf,1.0649e+03,-1.1621e-01,-1.5638e-01,4.9742e+00,5.0830e+00,2.5713e+01
1.8000e+01,1.0000e+00,3.4749e+00,-1.8548e+06,-1.8548e+06,-3.5964e-02,-inf,1.1778e-01,6.9436e+00,inf,1.0672e+03,-2.6484e-01,-4.3169e-01,1.1343e+00,7.8170e+00,2.9824e+01
1.9000e+01,1.0000e+00,3.6609e+00,-1.8547e+06,-1.8547e+06,-3.7962e-02,-inf,1.1780e-01,6.9456e+00,inf,1.0695e+03,-7.2719e-02,-1.1066e-01,4.6726e+00,1.3038e+00,2.4714e+01
2.0000e+01,1.0000e+00,3.8462e+00,-1.8546e+06,-1.8546e+06,-3.9960e-02,-inf,1.1782e-01,6.9477e+00,inf,1.0717e+03,-4.3097e-01,-1.1221e-01,1.0658e+00,6.9250e+00,2.9393e+01
2.1000e+01,1.0000e+00,4.0307e+00,-1.8544e+06,-1.8544e+06,-4.1958e-02,-inf,1.1784e-01,6.9497e+00,inf,1.0736e+03,-3.8355e-01,-6.3901e-01,4.8203e+00,1.1283e+00,2.5637e+01
2.2000e+01,1.0000e+00,4.2146e+00,-1.8544e+06,-1.8544e+06,-4.3956e-02,-inf,1.0948e-01,5.9986e+00,inf,1.0759e+03,-7.9103e-02,-4.9692e-01,1.0551e+00,6.2053e+00,2.9296e+01
2.3000e+01,1.0000e+00,4.3977e+00,-1.8543e+06,-1.8543e+06,-4.5954e-02,-inf,1.1787e-01,6.9538e+00,inf,1.0779e+03,1.1176e-01,-2.6356e-02,4.6825e+00,8.8194e-01,2.4711e+01
2.4000e+01,1.0000e+00,4.5802e+00,-1.8543e+06,-1.8543e+06,-4.7952e-02,-inf,1.1789e-01,6.9558e+00,inf,1.0801e+03,-1.1027e-01,-7.9221e-01,4.5004e+00,1.8708e+00,2.4832e+01
2.5000e+01,1.0000e+00,4.7619e+00,-1.8541e+06,-1.8541e+06,-4.9950e-02,-inf,1.1791e-01,6.9579e+00,inf,1.0820e+03,-2.2634e-01,-3.8460e-01,1.3015e+00,3.0137e+00,2.9599e+01
2.6000e+01,1.0000e+00,4.9430e+00,-1.8541e+06,-1.8541e+06,-5.1948e-02,-inf,1.1792e-01,6.9599e+00,inf,1.0843e+03,-4.8367e-01,-5.5166e-01,4.5725e+00,6.2295e+00,2.5495e+01
2.7000e+01,1.0000e+00,5.1233e+00,-1.8540e+06,-1.8540e+06,-5.3946e-02,-inf,1.1794e-01,6.9615e+00,inf,1.0862e+03,-2.0748e-01,-7.3288e-01,4.2087e+00,7.2071e+00,2.4610e+01
2.8000e+01,1.0000e+00,5.3030e+00,-1.8539e+06,-1.8539e+06,-5.5944e-02,-inf,1.1795e-01,6.9635e+00,inf,1.0885e+03,-8.0179e-02,-1.6225e-01,1.2245e+00,7.1699e+00,2.9375e+01
