logfeh,logdust,logNpix,tau,dmod,logl
-3.9571e-01,-2.5219e-01,2.2851e+00,3.5824e+00,2.6823e+01,-2.0177e+03
-8.1379e-02,-5.7650e-01,2.1101e+00,3.8190e+00,2.6273e+01,-1.9498e+03
-1.4279e-01,-6.6165e-01,1.9830e+00,3.5626e+00,2.5976e+01,-1.7080e+03
-3.5643e-01,-3.4294e-01,2.0692e+00,3.2808e+00,2.6226e+01,-1.9169e+03
-1.8444e-01,-7.7055e-01,2.1368e+00,2.5314e+00,2.6400e+01,-1.9038e+03
-3.9358e-01,-6.2944e-01,2.0908e+00,1.1410e+00,2.6239e+01,-1.9243e+03
-2.2461e-01,-5.5974e-01,1.8772e+00,2.5627e+00,2.5620e+01,-1.2954e+03
-2.8960e-01,-6.5071e-01,1.9622e+00,1.9989e+00,2.5879e+01,-1.5228e+03
6.5619e-02,-9.9738e-01,2.0304e+00,3.1780e+00,2.6051e+01,-1.6778e+03
-3.0092e-01,-5.7163e-01,2.0326e+00,5.9430e-01,2.6032e+01,-1.6277e+03
-2.7961e-01,-4.5836e-01,1.9183e+00,3.2925e+00,2.5793e+01,-1.5753e+03
-1.4975e-01,-6.7166e-01,1.8990e+00,3.3023e+00,2.5769e+01,-1.5478e+03
-2.3838e-01,-7.1677e-01,1.8826e+00,7.8678e-01,2.5671e+01,-1.9460e+03
-1.0497e-01,-9.5025e-01,2.0181e+00,2.0718e+00,2.6016e+01,-1.9250e+03
-2.5805e-01,-7.4998e-01,2.0080e+00,7.9656e-01,2.6060e+01,-1.9665e+03
6.3458e-02,-7.8768e-01,1.9381e+00,3.9098e+00,2.5831e+01,-1.5732e+03
-1.7152e-01,-4.7024e-01,2.0545e+00,3.2265e+00,2.6052e+01,-1.9884e+03
-4.1386e-01,-4.2215e-01,1.9042e+00,2.6987e+00,2.5748e+01,-2.1490e+03
-4.2182e-02,-6.9844e-01,2.0806e+00,3.5631e+00,2.6204e+01,-1.6073e+03
-4.4444e-01,-4.8477e-01,2.3250e+00,2.3417e+00,2.6975e+01,-2.1714e+03
-4.9313e-01,-6.4384e-02,2.3700e+00,2.8662e+00,2.6815e+01,-2.1378e+03
-1.6167e-01,-6.6102e-01,2.0038e+00,3.0097e+00,2.5956e+01,-2.1090e+03
1.3407e-01,-9.4611e-01,1.9847e+00,3.9757e+00,2.5943e+01,-2.0463e+03
-2.5219e-01,-7.2469e-01,2.1162e+00,2.0171e+00,2.6325e+01,-1.9126e+03
-4.0387e-01,-3.4158e-01,2.0517e+00,3.4148e+00,2.6160e+01,-1.8069e+03
-2.1563e-01,-2.9534e-01,2.0116e+00,4.1398e+00,2.5966e+01,-1.8961e+03
5.2486e-02,-9.6351e-01,1.8770e+00,3.4972e+00,2.5673e+01,-1.8170e+03
-3.3214e-01,-3.1385e-02,2.2099e+00,3.2177e+00,2.6306e+01,-1.8943e+03
5.4890e-02,-9.9476e-01,1.9104e+00,3.1443e+00,2.5729e+01,-1.5053e+03
-2.6316e-01,-5.0462e-01,1.9936e+00,2.4264e+00,2.5960e+01,-1.5672e+03
-4.0585e-01,-2.9409e-01,2.1468e+00,3.1777e+00,2.6365e+01,-1.2940e+03
-2.9074e-01,-4.1695e-01,1.9395e+00,2.6290e+00,2.5700e+01,-1.8821e+03
-2.0527e-01,-4.4688e-01,2.2458e+00,3.5488e+00,2.6711e+01,-1.9675e+03
-4.2543e-01,-5.5800e-01,2.1751e+00,7.0184e-01,2.6535e+01,-2.0022e+03
-8.6789e-02,-9.7219e-01,2.0904e+00,2.3781e+00,2.6243e+01,-1.9983e+03
-1.7518e-01,-6.8238e-01,1.7996e+00,2.6517e+00,2.5412e+01,-1.6326e+03
-3.0285e-01,-6.9924e-01,2.0698e+00,1.2534e-01,2.6189e+01,-1.5795e+03
-2.3480e-01,-6.0256e-01,1.9952e+00,9.5742e-01,2.5933e+01,-2.0228e+03
-4.5026e-01,-8.2943e-02,2.3053e+00,2.5817e+00,2.6637e+01,-1.9151e+03
-2.3534e-01,-8.4772e-01,2.0421e+00,1.4402e+00,2.6136e+01,-2.1110e+03
-3.5862e-01,-6.2850e-01,2.0973e+00,1.6204e+00,2.6305e+01,-1.5703e+03
-2.8319e-01,-4.6971e-01,2.0513e+00,3.2146e+00,2.6186e+01,-1.1764e+03
2.0578e-02,-8.1269e-01,1.9427e+00,3.6303e+00,2.5793e+01,-1.9753e+03
-4.5982e-01,-4.2625e-01,2.1623e+00,1.4247e+00,2.6380e+01,-1.5472e+03
-2.2206e-03,-8.5539e-01,2.1698e+00,3.3289e+00,2.6460e+01,-2.1585e+03
-2.8206e-01,-4.7909e-01,2.0383e+00,1.9691e+00,2.6028e+01,-2.0011e+03
-3.1361e-01,-4.9916e-01,1.8828e+00,1.6623e+00,2.5578e+01,-1.7966e+03
-1.0998e-01,-6.3408e-01,2.0617e+00,3.6484e+00,2.6151e+01,-2.0689e+03
-1.7166e-01,-6.0290e-01,1.8130e+00,2.7033e+00,2.5370e+01,-1.9319e+03
-3.9318e-01,-4.4415e-01,2.2416e+00,3.2099e+00,2.6754e+01,-1.7640e+03
-4.6324e-01,-5.6714e-01,2.2202e+00,9.7737e-01,2.6664e+01,-1.8081e+03
-4.6769e-01,-5.3474e-01,2.1300e+00,3.3376e-01,2.6358e+01,-1.5329e+03
-2.3559e-01,-7.3353e-01,2.1467e+00,2.6692e+00,2.6461e+01,-1.9666e+03
-1.9485e-01,-3.5724e-01,1.8828e+00,3.6907e+00,2.5574e+01,-1.9421e+03
-4.2841e-01,-4.7743e-01,1.9362e+00,3.5927e-01,2.5760e+01,-1.6357e+03
-3.4150e-01,-3.9130e-01,1.9359e+00,3.0594e+00,2.5761e+01,-1.5592e+03
-2.9976e-01,-6.3891e-01,2.1400e+00,1.8112e+00,2.6403e+01,-1.6253e+03
-3.6227e-01,-1.2104e-01,2.3754e+00,3.6588e+00,2.6909e+01,-2.1352e+03
2.3670e-02,-7.5069e-01,2.0039e+00,3.6950e+00,2.5994e+01,-1.4276e+03
-4.3456e-01,-5.2175e-01,2.1140e+00,1.9841e+00,2.6325e+01,-1.4420e+03
-1.3428e-01,-7.0388e-01,1.9215e+00,2.1274e+00,2.5686e+01,-2.0162e+03
-1.5840e-01,-6.9075e-01,2.0043e+00,2.9267e+00,2.6027e+01,-1.1348e+03
-2.1963e-01,-8.9882e-01,2.0441e+00,2.8826e-01,2.6133e+01,-2.1558e+03
-3.9049e-01,-3.3369e-01,2.0549e+00,3.0827e+00,2.6121e+01,-1.2230e+03
-4.7159e-01,-3.2863e-01,2.0885e+00,2.4445e+00,2.6179e+01,-1.3458e+03
5.8008e-02,-7.1352e-01,1.8750e+00,3.6833e+00,2.5621e+01,-1.8652e+03
-4.3072e-01,-2.4057e-01,2.3265e+00,3.4538e+00,2.6934e+01,-2.0832e+03
-4.3885e-01,-5.3679e-01,1.9106e+00,9.7089e-01,2.5726e+01,-1.9905e+03
-3.2210e-02,-6.0716e-01,1.9865e+00,3.1868e+00,2.5882e+01,-2.1539e+03
-2.6660e-01,-6.0707e-01,2.1488e+00,2.6879e+00,2.6477e+01,-1.5096e+03
-2.4471e-01,-6.1781e-01,1.7959e+00,2.6134e+00,2.5440e+01,-2.0538e+03
-3.2934e-01,-5.5673e-01,2.1477e+00,9.2510e-01,2.6352e+01,-1.8621e+03
-3.0093e-01,-4.3137e-01,1.9542e+00,2.4506e+00,2.5828e+01,-1.8814e+03
-2.4056e-01,-5.2759e-01,1.8998e+00,2.4495e+00,2.5695e+01,-1.6755e+03
-4.8190e-01,-1.9171e-02,2.4193e+00,2.5725e+00,2.6938e+01,-1.7707e+03
-2.6954e-01,-3.6805e-01,1.9380e+00,2.8423e+00,2.5663e+01,-2.0818e+03
2.1309e-03,-8.7454e-01,2.0676e+00,3.0155e+00,2.6202e+01,-1.9865e+03
-2.7178e-01,-1.5632e-01,2.0847e+00,3.8187e+00,2.6093e+01,-2.0389e+03
-2.3897e-01,-3.0263e-01,2.1132e+00,4.0459e+00,2.6262e+01,-1.8313e+03
-2.3702e-01,-6.1271e-01,1.8126e+00,1.2232e+00,2.5408e+01,-2.0018e+03
-9.2618e-02,-6.7071e-01,1.8164e+00,2.8481e+00,2.5429e+01,-1.6008e+03
-3.2798e-01,-4.0439e-01,2.1238e+00,3.4635e+00,2.6385e+01,-1.2256e+03
-1.8959e-01,-6.3556e-01,1.8550e+00,2.1044e+00,2.5540e+01,-1.6824e+03
-4.6461e-01,-2.4690e-01,2.0695e+00,2.4653e+00,2.6056e+01,-1.7978e+03
-1.2578e-01,-4.6657e-01,2.0192e+00,4.1789e+00,2.6035e+01,-1.6256e+03
-2.8855e-01,-5.8770e-01,1.8910e+00,1.3185e-01,2.5667e+01,-1.9674e+03
-7.0688e-02,-7.6423e-01,1.8566e+00,3.5250e+00,2.5608e+01,-2.1307e+03
-4.8478e-01,-3.8178e-01,2.3049e+00,2.4362e+00,2.6816e+01,-1.7103e+03
-2.8173e-01,-6.4232e-01,1.8341e+00,7.1264e-01,2.5447e+01,-2.1107e+03
-3.4897e-01,-4.5566e-01,2.0237e+00,9.7611e-01,2.5951e+01,-1.8762e+03
-9.7703e-02,-9.4956e-01,2.0003e+00,2.6486e+00,2.6035e+01,-1.8056e+03
1.8985e-02,-8.3326e-01,1.9694e+00,3.3380e+00,2.5911e+01,-1.3387e+03
-2.9066e-01,-2.6399e-01,2.1583e+00,3.6289e+00,2.6344e+01,-2.0733e+03
-2.1731e-01,-5.9739e-01,1.8537e+00,2.7030e+00,2.5507e+01,-2.0971e+03
-2.4633e-01,-4.2228e-01,2.1567e+00,3.6716e+00,2.6448e+01,-1.4584e+03
-1.4379e-01,-6.9724e-01,1.8340e+00,3.0190e+00,2.5508e+01,-1.7896e+03
-3.3245e-01,-4.8123e-01,1.9822e+00,1.7542e-01,2.5869e+01,-1.8442e+03
1.7361e-01,-9.3406e-01,1.9062e+00,3.9463e+00,2.5695e+01,-1.9295e+03
-3.2108e-01,-4.4578e-01,1.8431e+00,2.8069e+00,2.5553e+01,-1.9974e+03
-3.2177e-01,-5.7717e-01,1.9958e+00,7.5999e-01,2.5956e+01,-1.5530e+03
-2.5374e-01,-6.4574e-01,2.2092e+00,2.6778e+00,2.6618e+01,-1.8295e+03
-3.9124e-01,-4.0888e-01,2.0242e+00,3.0666e+00,2.6075e+01,-1.3366e+03
-3.1379e-01,-5.6753e-01,1.9803e+00,2.7220e+00,2.5969e+01,-1.3343e+03
-4.8697e-02,-8.8719e-01,2.1902e+00,3.2519e+00,2.6565e+01,-2.1551e+03
