logfeh_mean,logdust,logNpix,tau,logl
-3.8034e-01,-1.8862e+00,1.9020e+00,4.6488e+00,-2.3207e+04
-1.8394e-01,-1.7091e+00,2.0816e+00,3.2551e+00,-4.9418e+04
-1.8656e-01,-1.8334e+00,2.0446e+00,3.5233e+00,-3.6818e+04
-1.3411e-01,-1.2155e+00,2.0884e+00,4.4003e+00,-5.6491e+04
-4.2930e-01,-1.7636e+00,1.9039e+00,1.4898e+00,-5.9274e+04
-4.3247e-01,-1.5865e+00,2.0965e+00,1.3277e+00,-5.8683e+04
-4.1279e-01,-1.0076e+00,1.8939e+00,4.9654e+00,-4.6193e+04
-1.2263e-01,-1.7525e+00,2.0547e+00,4.9615e+00,-5.2376e+04
-3.0935e-01,-1.7523e+00,2.0823e+00,5.9787e-01,-5.4713e+04
-4.3155e-01,-1.6945e+00,1.9019e+00,4.5855e+00,-2.3321e+04
-2.4236e-01,-1.4781e+00,2.0306e+00,4.0137e+00,-3.4509e+04
2.4279e-02,-1.7683e+00,2.0165e+00,3.9547e+00,-4.2852e+04
-4.7729e-01,-1.4140e+00,1.9238e+00,2.8833e+00,-3.4520e+04
-4.2456e-01,-1.7337e+00,2.0061e+00,1.2530e+00,-3.1754e+04
-3.0293e-01,-1.1153e+00,2.0427e+00,4.9682e+00,-4.4790e+04
-3.4553e-01,-1.0242e+00,1.9636e+00,4.6215e+00,-3.6420e+04
-1.1658e-01,-1.0967e+00,2.0371e+00,4.4248e+00,-5.4774e+04
-4.6667e-01,-1.7201e+00,2.0278e+00,1.1229e+00,-3.1566e+04
-8.8253e-02,-1.4735e+00,2.0501e+00,4.1819e+00,-3.9245e+04
1.3788e-01,-1.3046e+00,2.0895e+00,4.9527e+00,-5.7135e+04
-2.0224e-01,-1.4852e+00,1.8520e+00,4.6341e+00,-5.7743e+04
-3.0655e-01,-1.4848e+00,2.0025e+00,1.3950e+00,-5.9960e+04
-3.7993e-01,-1.5028e+00,1.8282e+00,4.4599e+00,-5.3755e+04
-4.6996e-01,-1.8078e+00,1.9734e+00,4.0288e+00,-3.2259e+04
1.6986e-01,-1.7800e+00,1.9632e+00,4.9353e+00,-5.2162e+04
-3.1924e-01,-1.2341e+00,2.0673e+00,3.8752e+00,-5.0045e+04
-4.1686e-01,-1.6453e+00,1.9689e+00,3.2493e+00,-1.9355e+04
-1.7728e-01,-1.5967e+00,1.9581e+00,3.9252e+00,-2.9835e+04
-4.6024e-01,-1.0343e+00,1.9240e+00,3.8981e+00,-5.0428e+04
-3.9594e-01,-1.7880e+00,1.9850e+00,7.2805e-01,-3.7053e+04
-4.6498e-01,-1.9978e+00,1.9967e+00,2.7293e+00,-2.4522e+04
-4.4770e-01,-1.3184e+00,2.0081e+00,7.4469e-01,-4.9971e+04
-3.5626e-01,-1.8673e+00,2.0070e+00,2.6609e+00,-2.7652e+04
-7.6269e-02,-1.5647e+00,1.8764e+00,4.7596e+00,-5.5929e+04
-4.4096e-01,-1.6648e+00,2.0258e+00,1.8029e-01,-3.4021e+04
-3.4387e-01,-1.9494e+00,1.9104e+00,3.1337e+00,-3.3415e+04
-4.1441e-01,-1.7722e+00,1.9226e+00,3.3335e+00,-2.2298e+04
-4.8805e-01,-1.0733e+00,1.8582e+00,4.6236e+00,-5.1444e+04
-4.9533e-01,-1.7559e+00,1.8453e+00,3.1008e+00,-5.4834e+04
-1.0252e-01,-1.9379e+00,1.9062e+00,4.4618e+00,-3.6097e+04
-3.8358e-01,-1.7457e+00,1.8422e+00,4.4519e+00,-4.3171e+04
-4.2818e-01,-1.4624e+00,2.0217e+00,1.9072e+00,-3.9543e+04
-1.1879e-01,-1.7408e+00,1.9549e+00,3.7023e+00,-3.8909e+04
-6.9786e-02,-1.7791e+00,1.9604e+00,3.6775e+00,-4.4198e+04
6.3185e-04,-1.4240e+00,1.9481e+00,4.9267e+00,-4.1608e+04
1.0784e-01,-1.5843e+00,2.0993e+00,4.5484e+00,-5.4289e+04
-4.2956e-01,-1.8319e+00,1.8624e+00,4.4086e+00,-3.3252e+04
-3.7268e-01,-1.5096e+00,2.0394e+00,2.8031e+00,-3.7959e+04
-4.2503e-01,-1.6390e+00,1.9754e+00,1.1398e+00,-4.0353e+04
-9.4078e-02,-1.8057e+00,2.0070e+00,3.3919e+00,-3.7576e+04
-4.6110e-01,-1.0445e+00,1.9567e+00,4.7531e+00,-2.2832e+04
-4.9258e-01,-1.1433e+00,1.9293e+00,4.7851e+00,-1.8937e+04
-4.1686e-01,-1.4654e+00,1.9283e+00,2.8214e+00,-3.9452e+04
-4.3963e-01,-1.3764e+00,1.9507e+00,3.9977e+00,-1.7133e+04
-1.3453e-01,-1.8909e+00,2.0511e+00,4.8906e+00,-5.3232e+04
-3.6555e-01,-1.9461e+00,2.0842e+00,2.2655e+00,-5.7880e+04
-3.6361e-01,-1.9968e+00,2.0764e+00,2.5063e+00,-5.6711e+04
-3.2333e-01,-1.2333e+00,2.0253e+00,3.0287e+00,-4.6455e+04
-1.0776e-01,-1.3115e+00,1.9101e+00,4.9821e+00,-4.6269e+04
-3.9576e-01,-1.9673e+00,1.9691e+00,5.4819e-01,-3.5998e+04
-3.5714e-01,-1.2324e+00,1.9531e+00,3.8085e+00,-3.1598e+04
-4.3967e-01,-1.4682e+00,1.9881e+00,2.7228e+00,-2.6479e+04
-3.7090e-01,-1.3581e+00,2.0062e+00,1.9850e+00,-5.0975e+04
-3.8202e-01,-1.6623e+00,2.0476e+00,3.1599e+00,-4.4033e+04
-2.0799e-01,-1.8611e+00,2.0095e+00,3.8287e+00,-2.4189e+04
-2.2173e-01,-1.6824e+00,2.0199e+00,4.9811e+00,-4.3045e+04
-1.7317e-01,-1.9603e+00,2.0283e+00,1.7403e+00,-5.8866e+04
-2.0168e-01,-1.8158e+00,1.9526e+00,4.1401e+00,-1.8478e+04
6.5389e-02,-1.5690e+00,2.0805e+00,4.1512e+00,-5.1234e+04
-4.9387e-01,-1.6614e+00,2.0387e+00,3.1449e+00,-4.9345e+04
-2.1473e-01,-1.9341e+00,1.9243e+00,2.8985e+00,-5.1894e+04
-4.1999e-01,-1.0834e+00,2.0788e+00,4.3133e+00,-5.9523e+04
-1.3007e-01,-1.8217e+00,2.0194e+00,3.5633e+00,-3.0653e+04
-3.7666e-01,-1.7104e+00,1.9664e+00,2.9302e+00,-2.2779e+04
-3.4482e-01,-1.7032e+00,1.9487e+00,8.0653e-01,-5.8389e+04
-4.5939e-01,-1.3514e+00,1.9172e+00,3.0797e+00,-3.8894e+04
-3.3814e-01,-1.0949e+00,1.9674e+00,4.4753e+00,-3.1438e+04
-2.8702e-01,-1.6189e+00,1.8326e+00,4.7300e+00,-5.2656e+04
-3.6350e-01,-1.5950e+00,1.9631e+00,1.3205e-01,-5.4880e+04
-3.2506e-01,-1.1508e+00,2.0503e+00,4.2460e+00,-4.4103e+04
-3.3052e-01,-1.1312e+00,2.0289e+00,3.9431e+00,-3.8936e+04
-4.0437e-01,-9.4821e-01,2.0663e+00,4.1228e+00,-5.4098e+04
-3.3099e-01,-1.4048e+00,1.9550e+00,2.8977e+00,-4.4376e+04
-2.8986e-01,-1.8605e+00,1.8620e+00,4.1715e+00,-4.3176e+04
2.6365e-02,-1.7833e+00,2.0891e+00,4.3330e+00,-4.9771e+04
-1.8941e-01,-1.2754e+00,2.0343e+00,3.6537e+00,-4.7099e+04
-2.7777e-01,-1.8823e+00,1.9307e+00,3.7418e+00,-2.2054e+04
-4.9202e-01,-1.5490e+00,1.9501e+00,4.7843e+00,-3.3110e+04
-4.6483e-01,-8.6436e-01,2.0373e+00,4.8571e+00,-4.7513e+04
3.3464e-01,-1.7000e+00,2.0772e+00,4.8799e+00,-6.0602e+04
-1.9254e-01,-1.0601e+00,1.9666e+00,4.3233e+00,-5.9784e+04
-4.0257e-01,-1.0537e+00,1.9836e+00,4.7202e+00,-2.7380e+04
-3.9203e-01,-1.1105e+00,2.0372e+00,3.4607e+00,-4.4480e+04
-4.1364e-01,-1.7662e+00,1.9899e+00,4.5608e-01,-3.5543e+04
-4.5937e-01,-1.7842e+00,1.9728e+00,1.1363e+00,-3.1415e+04
-2.7359e-01,-1.9394e+00,1.9937e+00,3.8973e+00,-2.3356e+04
-2.0103e-02,-1.1975e+00,2.0493e+00,4.9018e+00,-4.7232e+04
-4.5067e-01,-1.8841e+00,1.8147e+00,4.7804e+00,-5.1702e+04
-1.7587e-01,-1.8225e+00,2.0413e+00,4.7959e+00,-4.9645e+04
6.2429e-02,-1.6417e+00,2.0155e+00,4.7315e+00,-3.3381e+04
-3.0838e-01,-1.8709e+00,1.9004e+00,3.6593e+00,-3.1667e+04
-4.2311e-01,-1.8986e+00,2.0425e+00,2.8651e+00,-4.4168e+04
-2.5110e-01,-1.5447e+00,1.8505e+00,4.6164e+00,-5.0685e+04
-4.0592e-01,-1.8613e+00,2.0656e+00,1.3596e+00,-4.5569e+04
-4.9932e-01,-1.5071e+00,1.9582e+00,2.0017e+00,-3.2810e+04
-2.9388e-01,-1.2981e+00,2.0640e+00,2.7627e+00,-5.2792e+04
-3.4377e-01,-1.8384e+00,1.8064e+00,4.6421e+00,-5.9634e+04
-1.5095e-01,-1.4520e+00,2.0903e+00,3.8746e+00,-5.4045e+04
-4.5778e-01,-1.3579e+00,2.0924e+00,1.9189e+00,-6.0029e+04
-3.8167e-01,-1.1863e+00,2.0640e+00,2.8151e+00,-5.4200e+04
-3.8999e-01,-1.0831e+00,1.9752e+00,4.4718e+00,-2.7074e+04
-4.5536e-01,-1.3182e+00,1.9215e+00,4.2837e+00,-2.0046e+04
-3.9042e-01,-1.2874e+00,1.9609e+00,3.6026e+00,-2.6008e+04
-3.0197e-01,-1.1321e+00,2.0578e+00,3.8897e+00,-4.8003e+04
-3.3172e-01,-1.5920e+00,2.0781e+00,1.7301e-01,-5.4639e+04
-5.0661e-02,-1.9930e+00,1.8886e+00,4.6902e+00,-4.6970e+04
