logfeh,logdust_med,logNpix,tau,dmod,logl
-2.9717e-01,-5.1703e-01,1.9990e+00,2.9004e+00,2.6005e+01,-9.2050e+02
-2.3606e-01,-4.9234e-01,2.0138e+00,3.0222e+00,2.6053e+01,-9.1929e+02
-2.4464e-01,-5.1421e-01,1.9988e+00,2.9926e+00,2.6015e+01,-9.0641e+02
-2.2441e-01,-5.0627e-01,1.9980e+00,2.9845e+00,2.6002e+01,-8.9244e+02
-2.3390e-01,-5.2985e-01,1.9863e+00,2.8753e+00,2.5970e+01,-9.1941e+02
-2.7592e-01,-5.1421e-01,1.9960e+00,2.8370e+00,2.5986e+01,-9.1715e+02
-2.7510e-01,-5.4134e-01,1.9981e+00,2.8563e+00,2.6018e+01,-9.1489e+02
-2.7934e-01,-5.3135e-01,1.9977e+00,2.8900e+00,2.6007e+01,-9.1003e+02
-2.0385e-01,-5.1934e-01,1.9966e+00,2.8753e+00,2.5993e+01,-9.0601e+02
-2.8467e-01,-5.2097e-01,1.9956e+00,2.9373e+00,2.6000e+01,-9.1853e+02
-2.7602e-01,-5.3515e-01,1.9955e+00,2.8886e+00,2.6006e+01,-9.1933e+02
-2.1996e-01,-5.3748e-01,1.9986e+00,2.8498e+00,2.6012e+01,-9.1322e+02
-2.0538e-01,-5.1687e-01,2.0000e+00,2.9437e+00,2.6013e+01,-9.2036e+02
-2.0653e-01,-5.1763e-01,1.9986e+00,2.8724e+00,2.6004e+01,-9.1854e+02
-2.9010e-01,-5.3827e-01,2.0043e+00,2.9299e+00,2.6039e+01,-9.1734e+02
-2.3296e-01,-4.9880e-01,1.9967e+00,3.0246e+00,2.6002e+01,-9.1907e+02
-2.5814e-01,-5.2564e-01,1.9964e+00,2.8944e+00,2.6000e+01,-9.1988e+02
-2.5963e-01,-5.2401e-01,1.9991e+00,2.8755e+00,2.6013e+01,-9.0251e+02
-2.0010e-01,-5.4367e-01,1.9960e+00,2.8295e+00,2.6009e+01,-9.1586e+02
-1.9174e-01,-5.7087e-01,1.9600e+00,2.9818e+00,2.5889e+01,-9.1401e+02
-2.6792e-01,-4.9469e-01,1.9997e+00,2.9992e+00,2.6008e+01,-9.1788e+02
-2.6500e-01,-5.0100e-01,2.0007e+00,2.9751e+00,2.6015e+01,-9.1839e+02
-2.3102e-01,-5.1036e-01,1.9986e+00,2.9531e+00,2.6005e+01,-9.1919e+02
-2.3814e-01,-5.4349e-01,1.9945e+00,2.7990e+00,2.5996e+01,-9.1134e+02
-2.2946e-01,-5.2640e-01,2.0006e+00,2.8693e+00,2.6011e+01,-9.1577e+02
-2.4553e-01,-5.2061e-01,1.9976e+00,2.9066e+00,2.6002e+01,-9.2023e+02
-2.7486e-01,-5.0275e-01,2.0022e+00,3.0112e+00,2.6021e+01,-9.1462e+02
-2.5054e-01,-5.0725e-01,2.0138e+00,2.9727e+00,2.6052e+01,-9.1832e+02
-2.2271e-01,-5.2880e-01,1.9997e+00,2.9523e+00,2.6019e+01,-9.1593e+02
-2.8676e-01,-5.4466e-01,1.9920e+00,2.7884e+00,2.5988e+01,-8.9965e+02
-2.0049e-01,-5.2461e-01,1.9951e+00,2.9050e+00,2.5997e+01,-9.2055e+02
-2.5541e-01,-5.1689e-01,1.9994e+00,2.9329e+00,2.6010e+01,-8.9018e+02
-2.2968e-01,-5.0529e-01,2.0006e+00,2.9943e+00,2.6011e+01,-9.1079e+02
-2.1866e-01,-5.2683e-01,1.9895e+00,2.9140e+00,2.5981e+01,-9.1531e+02
-2.0133e-01,-5.0064e-01,2.0039e+00,3.0463e+00,2.6030e+01,-9.1533e+02
-2.0872e-01,-5.3223e-01,1.9976e+00,2.9184e+00,2.6015e+01,-9.1716e+02
-2.1266e-01,-5.2740e-01,2.0021e+00,2.8870e+00,2.6020e+01,-9.1871e+02
-2.2374e-01,-5.4621e-01,1.9975e+00,2.8146e+00,2.6014e+01,-9.0950e+02
-2.3014e-01,-5.3391e-01,1.9974e+00,2.8559e+00,2.6006e+01,-8.8750e+02
-2.2424e-01,-5.6380e-01,1.9911e+00,2.7100e+00,2.5989e+01,-9.2002e+02
-2.9762e-01,-5.1370e-01,1.9963e+00,2.8610e+00,2.5988e+01,-9.1233e+02
-2.0508e-01,-5.2293e-01,2.0035e+00,2.9859e+00,2.6030e+01,-9.2019e+02
-2.2814e-01,-5.1492e-01,1.9954e+00,2.9003e+00,2.5994e+01,-9.0442e+02
-3.0189e-01,-4.8211e-01,2.0125e+00,2.7435e+00,2.6037e+01,-9.1751e+02
-2.4854e-01,-5.1382e-01,2.0026e+00,2.9774e+00,2.6023e+01,-9.1385e+02
