nlive,niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logSFH5,dmod
2.0000e+03,1.0000e+00,1.0000e+00,3.3223e-01,-2.1650e+06,-2.1650e+06,-3.3278e-03,-inf,1.4594e-01,6.4000e+00,inf,6.5462e+00,-1.4569e+00,-6.2600e-01,5.7552e-01,8.6145e-01,1.1105e+00,2.0820e+00,2.9221e+00,2.7932e+00,2.8207e+01
2.0000e+03,2.0000e+00,1.0000e+00,6.6225e-01,-2.1644e+06,-2.1644e+06,-6.6556e-03,-inf,1.4597e-01,6.4032e+00,inf,1.3013e+01,-1.5000e+00,-5.9723e-01,2.7936e-01,8.4171e-01,1.4693e+00,1.7011e+00,2.8325e+00,2.7787e+00,2.7998e+01
2.0000e+03,3.0000e+00,1.0000e+00,9.9010e-01,-2.1522e+06,-2.1522e+06,-9.9834e-03,-inf,1.4602e-01,6.4073e+00,inf,1.9479e+01,-1.5049e+00,-5.3910e-01,5.6965e-01,6.8143e-01,1.5857e+00,2.2188e+00,2.8047e+00,2.7488e+00,2.8165e+01
2.0000e+03,4.0000e+00,1.0000e+00,1.3158e+00,-2.1473e+06,-2.1473e+06,-1.3311e-02,-inf,1.4606e-01,6.4105e+00,inf,2.5932e+01,-1.2915e+00,2.1476e-02,4.7246e-01,5.7961e-01,1.4304e+00,2.2004e+00,2.9102e+00,2.8680e+00,2.8089e+01
2.0000e+03,5.0000e+00,1.0000e+00,1.6393e+00,-2.1371e+06,-2.1371e+06,-1.6639e-02,-inf,1.4609e-01,6.4136e+00,inf,3.2379e+01,-1.5060e+00,-6.2886e-01,3.5804e-01,6.3087e-01,1.3164e+00,1.6732e+00,2.8867e+00,2.8711e+00,2.8551e+01
2.0000e+03,6.0000e+00,1.0000e+00,1.9608e+00,-2.1357e+06,-2.1357e+06,-1.9967e-02,-inf,1.4613e-01,6.4167e+00,inf,3.8822e+01,-1.3680e+00,-2.2392e-01,5.2816e-01,1.0636e+00,1.5804e+00,2.2072e+00,2.9181e+00,2.5805e+00,2.8015e+01
2.0000e+03,7.0000e+00,1.0000e+00,2.2801e+00,-2.1356e+06,-2.1356e+06,-2.3295e-02,-inf,1.4616e-01,6.4199e+00,inf,4.5274e+01,-1.4900e+00,-1.7700e-01,5.2741e-01,1.1015e+00,1.2700e+00,1.7049e+00,2.8986e+00,2.8255e+00,2.7972e+01
2.0000e+03,8.0000e+00,1.0000e+00,2.5974e+00,-2.1353e+06,-2.1353e+06,-2.6622e-02,-inf,1.4621e-01,6.4240e+00,inf,5.1714e+01,-1.4423e+00,-9.2732e-04,4.4413e-01,5.8467e-01,1.4138e+00,2.1350e+00,2.9010e+00,2.7243e+00,2.8009e+01
2.0000e+03,9.0000e+00,1.0000e+00,2.9126e+00,-2.1313e+06,-2.1313e+06,-2.9950e-02,-inf,1.4625e-01,6.4271e+00,inf,5.8181e+01,-1.4840e+00,-6.6752e-01,5.1593e-01,9.9633e-01,1.3369e+00,2.1569e+00,2.6587e+00,2.8418e+00,2.8287e+01
2.0000e+03,1.0000e+01,1.0000e+00,3.2258e+00,-2.1276e+06,-2.1276e+06,-3.3278e-02,-inf,1.4628e-01,6.4303e+00,inf,6.4710e+01,-1.4242e+00,-6.5964e-01,4.8758e-01,1.0494e+00,1.6103e+00,1.7814e+00,2.9236e+00,2.3304e+00,2.8200e+01
