nlive,niter,ncall,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logzh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logSFH5,logSFH6
2.0000e+03,0.0000e+00,1.0000e+00,4.9751e-01,-4.9142e+05,-4.9143e+05,-4.9875e-03,-4.9143e+05,1.7294e-01,5.9964e+00,inf,1.2068e+00,-6.3211e-01,-1.9934e+00,-3.2212e+00,-1.7848e+00,-1.4792e+00,-1.1009e+00,-6.9174e-01,1.2234e+00,1.7979e+00
2.0000e+03,1.0000e+00,2.0000e+00,9.9010e-01,-4.8743e+05,-4.8744e+05,-9.9751e-03,-4.8744e+05,1.7301e-01,6.0014e+00,4.6113e+05,2.4426e+00,-5.5848e-01,-1.9976e+00,-2.9219e+00,-1.5689e+00,-1.1770e+00,-1.1350e+00,-4.7189e-01,1.0885e+00,1.8520e+00
2.0000e+03,2.0000e+00,3.0000e+00,1.4778e+00,-4.8679e+05,-4.8680e+05,-1.4963e-02,-4.8680e+05,1.7308e-01,6.0064e+00,4.5714e+05,3.7144e+00,-7.1839e-01,-2.0087e+00,-2.8866e+00,-2.1487e+00,-1.7315e+00,-9.7322e-01,-5.1544e-01,1.1150e+00,1.7853e+00
2.0000e+03,3.0000e+00,4.0000e+00,1.9608e+00,-4.8634e+05,-4.8635e+05,-1.9950e-02,-4.8635e+05,1.7315e-01,6.0114e+00,4.5650e+05,4.9746e+00,-6.8683e-01,-2.0094e+00,-3.1172e+00,-2.2416e+00,-1.5519e+00,-1.3655e+00,1.7821e-01,1.2219e+00,1.7043e+00
2.0000e+03,4.0000e+00,5.0000e+00,2.4390e+00,-4.8474e+05,-4.8475e+05,-2.4938e-02,-4.8475e+05,1.7323e-01,6.0164e+00,4.5605e+05,6.2086e+00,-6.9953e-01,-2.0083e+00,-3.3211e+00,-1.8890e+00,-1.3531e+00,-1.2258e+00,-2.2932e-01,9.9676e-01,1.8188e+00
2.0000e+03,5.0000e+00,6.0000e+00,2.9126e+00,-4.8315e+05,-4.8315e+05,-2.9925e-02,-4.8315e+05,1.7330e-01,6.0214e+00,4.5445e+05,7.4453e+00,-7.4345e-01,-2.0000e+00,-2.7610e+00,-2.0541e+00,-1.4952e+00,-9.1200e-01,-1.6269e-01,1.1562e+00,1.7261e+00
2.0000e+03,6.0000e+00,7.0000e+00,3.3816e+00,-4.8287e+05,-4.8288e+05,-3.4913e-02,-4.8288e+05,1.7337e-01,6.0264e+00,4.5285e+05,8.7050e+00,-4.8877e-01,-1.9912e+00,-2.4210e+00,-1.6092e+00,-1.0462e+00,-1.1704e+00,-2.5338e-01,1.0965e+00,1.8484e+00
2.0000e+03,7.0000e+00,8.0000e+00,3.8462e+00,-4.7602e+05,-4.7603e+05,-3.9900e-02,-4.7603e+05,1.7344e-01,6.0314e+00,4.5258e+05,9.9266e+00,-7.3904e-01,-2.0036e+00,-2.8329e+00,-1.7245e+00,-1.0754e+00,-7.6646e-01,-7.2566e-01,9.8179e-01,1.7785e+00
2.0000e+03,8.0000e+00,9.0000e+00,4.3062e+00,-4.6607e+05,-4.6608e+05,-4.4888e-02,-4.6608e+05,1.7351e-01,6.0364e+00,4.4573e+05,1.1133e+01,-1.5237e-01,-2.0015e+00,-2.4262e+00,-1.3603e+00,-1.4091e+00,-6.7737e-01,-7.2037e-01,1.1502e+00,1.8925e+00
2.0000e+03,9.0000e+00,1.0000e+01,4.7619e+00,-4.6555e+05,-4.6556e+05,-4.9875e-02,-4.6556e+05,1.7358e-01,6.0413e+00,4.3578e+05,1.2342e+01,-6.0134e-01,-1.9939e+00,-2.9399e+00,-2.0151e+00,-1.6598e+00,-6.8961e-01,2.4946e-01,8.3851e-01,1.7838e+00
2.0000e+03,1.0000e+01,1.1000e+01,5.2133e+00,-4.5365e+05,-4.5365e+05,-5.4863e-02,-4.5365e+05,1.7366e-01,6.0463e+00,4.3526e+05,1.3557e+01,-6.6609e-01,-2.0061e+00,-2.4121e+00,-1.3845e+00,-1.9530e+00,-1.2233e+00,1.7962e-01,9.7310e-01,1.7087e+00
