niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust_med,logNpix,tau,dmod
1.0000e+00,1.0000e+00,1.9960e-01,-7.4925e+04,-7.4932e+04,-1.9980e-03,-7.4932e+04,1.1750e-01,6.9098e+00,inf,1.0926e+03,-4.9429e-01,-1.0366e-01,4.9902e+00,6.4674e+00,2.5151e+01
2.0000e+00,1.0000e+00,3.9841e-01,-7.4420e+04,-7.4427e+04,-3.9960e-03,-7.4427e+04,1.1751e-01,6.9118e+00,7.0310e+04,1.0950e+03,-1.9280e-01,-9.9428e-01,4.8161e+00,4.8815e+00,2.5033e+01
3.0000e+00,1.0000e+00,5.9642e-01,-7.3642e+04,-7.3649e+04,-5.9940e-03,-7.3649e+04,1.1753e-01,6.9137e+00,6.9805e+04,1.0973e+03,1.9374e-01,-4.7087e-01,4.8847e+00,4.4233e+00,2.5032e+01
4.0000e+00,1.0000e+00,7.9365e-01,-7.3209e+04,-7.3216e+04,-7.9920e-03,-7.3216e+04,1.1755e-01,6.9157e+00,6.9027e+04,1.0993e+03,-4.9299e-01,-9.9351e-02,4.9090e+00,4.4995e+00,2.5424e+01
5.0000e+00,1.0000e+00,9.9010e-01,-7.3139e+04,-7.3146e+04,-9.9900e-03,-7.3146e+04,1.1757e-01,6.9177e+00,6.8594e+04,1.1015e+03,-4.5959e-01,-5.4835e-01,4.9280e+00,1.0791e+00,2.5597e+01
6.0000e+00,1.0000e+00,1.1858e+00,-7.2611e+04,-7.2618e+04,-1.1988e-02,-7.2618e+04,1.1758e-01,6.9197e+00,6.8524e+04,1.1035e+03,1.8669e-01,-8.2228e-01,4.9284e+00,5.2696e+00,2.5710e+01
7.0000e+00,1.0000e+00,1.3807e+00,-7.2499e+04,-7.2505e+04,-1.3986e-02,-7.2505e+04,1.1760e-01,6.9217e+00,6.7996e+04,1.1059e+03,-3.5092e-01,-5.5605e-01,4.6991e+00,5.4043e+00,2.5408e+01
8.0000e+00,1.0000e+00,1.5748e+00,-7.1773e+04,-7.1780e+04,-1.5984e-02,-7.1780e+04,1.1762e-01,6.9237e+00,6.7883e+04,1.1079e+03,-3.5362e-01,-9.4261e-01,4.6590e+00,6.6623e+00,2.5795e+01
9.0000e+00,1.0000e+00,1.7682e+00,-7.1540e+04,-7.1547e+04,-1.7982e-02,-7.1547e+04,1.1763e-01,6.9257e+00,6.7158e+04,1.1100e+03,-1.0495e-01,-3.7027e-01,4.5261e+00,5.1650e+00,2.5113e+01
1.0000e+01,1.0000e+00,1.9608e+00,-7.1435e+04,-7.1442e+04,-1.9980e-02,-7.1442e+04,1.1765e-01,6.9277e+00,6.6925e+04,1.1125e+03,-4.5509e-02,-3.5203e-02,4.8704e+00,7.4472e+00,2.5923e+01
1.1000e+01,1.0000e+00,2.1526e+00,-7.0791e+04,-7.0798e+04,-2.1978e-02,-7.0798e+04,1.1767e-01,6.9297e+00,6.6820e+04,1.1146e+03,-1.1621e-01,-1.5638e-01,4.9742e+00,5.0830e+00,2.6427e+01
1.2000e+01,1.0000e+00,2.3438e+00,-7.0666e+04,-7.0673e+04,-2.3976e-02,-7.0673e+04,1.1768e-01,6.9317e+00,6.6176e+04,1.1166e+03,1.3455e-01,-8.1674e-01,4.6519e+00,9.1885e-01,2.5634e+01
1.3000e+01,1.0000e+00,2.5341e+00,-7.0566e+04,-7.0573e+04,-2.5974e-02,-7.0573e+04,1.1770e-01,6.9337e+00,6.6051e+04,1.1186e+03,-3.8355e-01,-6.3901e-01,4.8203e+00,1.1283e+00,2.6364e+01
1.4000e+01,1.0000e+00,2.7237e+00,-7.0539e+04,-7.0546e+04,-2.7972e-02,-7.0546e+04,1.1772e-01,6.9357e+00,6.5951e+04,1.1211e+03,-1.8379e-01,-6.7835e-02,4.4705e+00,3.6169e+00,2.5146e+01
1.5000e+01,1.0000e+00,2.9126e+00,-7.0471e+04,-7.0478e+04,-2.9970e-02,-7.0478e+04,1.1774e-01,6.9377e+00,6.5924e+04,1.1235e+03,-4.7052e-01,-5.6822e-01,4.4171e+00,3.4364e+00,2.5442e+01
1.6000e+01,1.0000e+00,3.1008e+00,-7.0452e+04,-7.0459e+04,-3.1968e-02,-7.0459e+04,1.1775e-01,6.9397e+00,6.5856e+04,1.1260e+03,-7.2719e-02,-1.1066e-01,4.6726e+00,1.3038e+00,2.5595e+01
