logfeh_mean,logdust_med,logNpix,tau,dmod,logl
-4.7163e-01,-8.2655e-01,2.2423e+00,2.8300e+00,2.7059e+01,-1.9374e+03
-4.5640e-01,-8.1456e-01,2.2532e+00,3.0262e+00,2.7095e+01,-1.9223e+03
-4.5327e-01,-8.5033e-01,2.2454e+00,2.8979e+00,2.7070e+01,-1.9444e+03
-4.7545e-01,-8.5905e-01,2.2410e+00,2.8300e+00,2.7076e+01,-1.9424e+03
-4.7312e-01,-8.5849e-01,2.2354e+00,2.7790e+00,2.7041e+01,-1.9434e+03
-4.7347e-01,-8.2063e-01,2.2436e+00,2.8726e+00,2.7070e+01,-1.9331e+03
-4.5606e-01,-8.1930e-01,2.2502e+00,2.9365e+00,2.7089e+01,-1.9129e+03
-4.5533e-01,-8.0959e-01,2.2486e+00,2.9104e+00,2.7065e+01,-1.9240e+03
-4.7498e-01,-8.3913e-01,2.2418e+00,2.8451e+00,2.7061e+01,-1.9310e+03
-4.5383e-01,-8.4892e-01,2.2425e+00,2.9283e+00,2.7062e+01,-1.9263e+03
-4.5063e-01,-8.3912e-01,2.2514e+00,2.8998e+00,2.7082e+01,-1.9441e+03
-4.8131e-01,-8.2719e-01,2.2328e+00,2.6888e+00,2.7021e+01,-1.9232e+03
-4.5076e-01,-8.4647e-01,2.2479e+00,2.8959e+00,2.7076e+01,-1.9148e+03
-4.5179e-01,-8.2625e-01,2.2518e+00,2.9178e+00,2.7089e+01,-1.9423e+03
-4.5837e-01,-8.2655e-01,2.2466e+00,2.9185e+00,2.7079e+01,-1.9402e+03
-4.5504e-01,-8.6048e-01,2.2502e+00,2.9151e+00,2.7102e+01,-1.9444e+03
-4.6265e-01,-8.1805e-01,2.2595e+00,2.9005e+00,2.7109e+01,-1.9352e+03
-4.7348e-01,-7.4038e-01,2.2567e+00,3.2997e+00,2.7114e+01,-1.9344e+03
-4.5998e-01,-8.5311e-01,2.2480e+00,2.9190e+00,2.7090e+01,-1.9056e+03
-4.7802e-01,-8.5828e-01,2.2344e+00,2.6947e+00,2.7051e+01,-1.9432e+03
-4.7832e-01,-8.3969e-01,2.2299e+00,2.6899e+00,2.7019e+01,-1.9396e+03
-4.5243e-01,-8.5178e-01,2.2464e+00,2.8553e+00,2.7073e+01,-1.9445e+03
-4.7605e-01,-8.5435e-01,2.2285e+00,2.6729e+00,2.7021e+01,-1.9441e+03
-4.7399e-01,-8.6475e-01,2.2372e+00,2.7038e+00,2.7041e+01,-1.9421e+03
-4.7595e-01,-8.6489e-01,2.2362e+00,2.7130e+00,2.7053e+01,-1.9310e+03
-4.5978e-01,-8.3708e-01,2.2444e+00,2.8956e+00,2.7063e+01,-1.9331e+03
-4.7530e-01,-7.3186e-01,2.2348e+00,3.2083e+00,2.7050e+01,-1.9379e+03
-4.7730e-01,-8.3479e-01,2.2350e+00,2.7768e+00,2.7035e+01,-1.9283e+03
-4.7524e-01,-8.3636e-01,2.2334e+00,2.7551e+00,2.7030e+01,-1.9308e+03
-4.5906e-01,-8.4107e-01,2.2472e+00,2.8711e+00,2.7079e+01,-1.9321e+03
-4.7310e-01,-8.5128e-01,2.2328e+00,2.7124e+00,2.7031e+01,-1.9302e+03
-4.5823e-01,-8.3095e-01,2.2441e+00,2.8481e+00,2.7058e+01,-1.9423e+03
-4.4324e-01,-8.2324e-01,2.2402e+00,3.0862e+00,2.7066e+01,-1.9350e+03
-4.5776e-01,-8.2526e-01,2.2470e+00,2.8945e+00,2.7069e+01,-1.9272e+03
-4.7719e-01,-8.5286e-01,2.2365e+00,2.6415e+00,2.7040e+01,-1.9410e+03
-4.7375e-01,-8.3687e-01,2.2323e+00,2.6933e+00,2.7017e+01,-1.9303e+03
-4.5712e-01,-8.1165e-01,2.2502e+00,2.9308e+00,2.7077e+01,-1.9341e+03
-4.5750e-01,-8.2719e-01,2.2488e+00,2.9214e+00,2.7083e+01,-1.9261e+03
-4.7260e-01,-8.1973e-01,2.2359e+00,2.7311e+00,2.7028e+01,-1.9437e+03
