logfeh_mean,logdust,logNpix,tau,dmod,logl
-4.9105e-01,-1.9974e+00,2.5198e+00,4.9615e+00,2.6641e+01,-1.0675e+04
-4.9479e-01,-1.9889e+00,2.5257e+00,4.9493e+00,2.6637e+01,-1.0686e+04
-4.9089e-01,-1.9535e+00,2.5271e+00,4.9548e+00,2.6643e+01,-1.0731e+04
-4.9871e-01,-1.9873e+00,2.5304e+00,4.9423e+00,2.6668e+01,-1.0649e+04
-4.9771e-01,-1.9877e+00,2.5710e+00,4.9899e+00,2.6783e+01,-1.0633e+04
-4.9367e-01,-1.9669e+00,2.5110e+00,4.9576e+00,2.6606e+01,-1.0686e+04
-4.9384e-01,-1.9827e+00,2.6229e+00,4.9809e+00,2.6920e+01,-1.0688e+04
-4.9905e-01,-1.9649e+00,2.5782e+00,4.9414e+00,2.6795e+01,-1.0627e+04
-4.8962e-01,-1.9980e+00,2.5215e+00,4.9247e+00,2.6632e+01,-1.0487e+04
-4.9644e-01,-1.9959e+00,2.5242e+00,4.9259e+00,2.6636e+01,-1.0674e+04
-4.9698e-01,-1.9397e+00,2.5099e+00,4.9620e+00,2.6602e+01,-1.0651e+04
-4.9498e-01,-1.9953e+00,2.5324e+00,4.9982e+00,2.6669e+01,-1.0658e+04
-4.9034e-01,-1.9880e+00,2.5204e+00,4.9716e+00,2.6645e+01,-1.0682e+04
-4.8965e-01,-1.9982e+00,2.5232e+00,4.9953e+00,2.6647e+01,-1.0576e+04
-4.9622e-01,-1.9791e+00,2.5202e+00,4.9837e+00,2.6616e+01,-1.0634e+04
-4.9809e-01,-1.9330e+00,2.5926e+00,4.9913e+00,2.6831e+01,-1.0725e+04
-4.9528e-01,-1.9945e+00,2.5096e+00,4.9160e+00,2.6602e+01,-1.0593e+04
-4.9466e-01,-1.9736e+00,2.4654e+00,4.9133e+00,2.6483e+01,-1.0715e+04
-4.9781e-01,-1.9898e+00,2.4613e+00,4.9212e+00,2.6474e+01,-1.0723e+04
-4.9675e-01,-1.9840e+00,2.5053e+00,4.8461e+00,2.6580e+01,-1.0711e+04
-4.8555e-01,-1.9680e+00,2.5299e+00,4.9566e+00,2.6656e+01,-1.0718e+04
-4.9873e-01,-1.9441e+00,2.5174e+00,4.9135e+00,2.6617e+01,-1.0680e+04
-4.9993e-01,-1.9742e+00,2.5190e+00,4.8263e+00,2.6610e+01,-1.0733e+04
-4.9964e-01,-1.9837e+00,2.5193e+00,4.8305e+00,2.6619e+01,-1.0693e+04
-4.9684e-01,-1.9649e+00,2.5192e+00,4.8784e+00,2.6618e+01,-1.0666e+04
-4.8994e-01,-1.9780e+00,2.5326e+00,4.9508e+00,2.6652e+01,-1.0681e+04
-4.9770e-01,-1.9939e+00,2.5259e+00,4.9595e+00,2.6642e+01,-1.0540e+04
-4.9851e-01,-1.9644e+00,2.5767e+00,4.9944e+00,2.6795e+01,-1.0726e+04
-4.9232e-01,-1.9925e+00,2.5147e+00,4.9690e+00,2.6624e+01,-1.0538e+04
-4.9872e-01,-1.9959e+00,2.6109e+00,4.9581e+00,2.6899e+01,-1.0690e+04
-4.9212e-01,-1.9845e+00,2.5310e+00,4.9702e+00,2.6659e+01,-1.0555e+04
-4.8997e-01,-1.9739e+00,2.4676e+00,4.8778e+00,2.6469e+01,-1.0594e+04
-4.9770e-01,-1.9682e+00,2.4609e+00,4.8642e+00,2.6450e+01,-1.0676e+04
-4.9730e-01,-1.9805e+00,2.5832e+00,4.9570e+00,2.6809e+01,-1.0560e+04
-4.9457e-01,-1.9095e+00,2.5141e+00,4.9776e+00,2.6612e+01,-1.0701e+04
-4.9763e-01,-1.9805e+00,2.5192e+00,4.9753e+00,2.6639e+01,-1.0695e+04
-4.9505e-01,-1.9716e+00,2.5100e+00,4.9532e+00,2.6603e+01,-1.0702e+04
-4.9120e-01,-1.9338e+00,2.5273e+00,4.9836e+00,2.6638e+01,-1.0691e+04
